@ HyperIMU - rohanrodrigues - 2016
@ Date: Fri Nov 04 10:30:03 PDT 2016
@ Sensors: BMI160_accelerometer - BMI160_gyroscope
@ SamplingTime: 100ms

time,accelerometer-x,accelerometer-y,accelerometer-z,gyro-x,gyro-y,gyro-z
1478277328.98,0.0,0.0,0.0,0.0,0.0,0.0#
1478277329.02,-0.019466,-0.013970,-0.286490,2.221736,0.436114,-2.418581#
1478277329.00,0.058504,-0.091622,-0.185312,2.209792,-0.078305,-1.943424#
1478277329.04,-0.035041,0.073311,-0.234771,2.240652,1.014760,-2.288725#
1478277329.06,0.113586,0.057277,-0.095742,2.272111,1.455553,-2.240539#
1478277329.08,0.252913,0.022196,0.125458,2.311858,1.581533,-2.727904#
1478277329.10,0.427067,0.095999,0.128855,2.367636,1.846573,-4.455024#
1478277329.12,0.529972,0.210027,-0.014234,2.448870,2.373944,-5.996428#
1478277329.15,0.312296,0.259380,-0.262212,2.550473,3.119049,-6.509127#
1478277329.17,-0.180416,0.337742,-0.277569,2.667933,3.868547,-6.143236#
1478277329.19,-0.353379,0.178571,0.032587,2.784312,3.660571,-4.577436#
1478277329.21,-0.323658,0.152748,-0.018797,2.878227,2.723375,-2.331740#
1478277329.23,-0.404296,0.030912,-0.110812,2.948153,1.955310,-0.531494#
1478277329.25,-0.318189,0.067821,-0.278146,3.012475,2.058386,0.294019#
1478277329.27,-0.379182,-0.006079,-0.303903,3.085079,2.583193,-0.856271#
1478277329.29,-0.294720,0.028065,0.262403,-3.123553,2.689809,-2.260555#
1478277329.32,-0.257269,-0.005304,0.309278,-3.055803,2.409301,-2.399194#
1478277329.34,-0.332773,-0.063141,0.280265,-2.998494,1.899818,-0.665354#
1478277329.36,-0.107433,-0.166175,0.493318,-2.950675,1.369531,-2.121962#
1478277329.38,-0.100669,-0.187323,0.465521,-2.912666,0.786186,-1.585163#
1478277329.40,0.081398,-0.129094,0.498261,-2.891477,0.176403,-0.981002#
1478277329.42,-0.095067,-0.060576,-0.806677,-2.859290,1.848201,-2.668661#
1478277329.44,0.193838,-0.105640,-0.804396,-2.779749,4.094697,-4.393612#
1478277329.46,0.521351,-0.018321,0.303233,-2.688084,3.492037,-4.525523#
1478277329.48,0.397336,-0.112731,1.380731,-2.641757,0.880836,-2.488443#
1478277329.51,0.361533,-0.113623,0.857769,-2.631089,0.068835,-0.106880#
1478277329.53,0.467604,-0.145780,0.156244,-2.623240,0.084542,-0.433359#
1478277329.55,0.429266,-0.192693,0.034591,-2.608810,0.260414,-1.597107#
1478277329.57,0.400631,-0.254209,-0.001377,-2.594551,0.035085,-2.045856#
1478277329.59,0.168268,-0.012647,0.243782,-2.592145,-0.400909,-0.610466#
1478277329.61,-0.487297,0.033784,-0.032053,-2.596612,-0.409670,-1.036796#
