time,accelerometer-x,accelerometer-y,accelerometer-z,gyro-x,gyro-y,gyro-z
1478468135333,0.0,0.0,0.0,0.0,0.0,0.0#
1478468135436,0.21794678,9.316627,0.5628296,-0.023435818,0.051132694,0.04261058#
1478468135540,0.31374758,8.610096,0.5843848,-0.040480047,-0.34621096,0.070307456#
1478468135646,0.26105714,8.631651,0.81909674,-0.033023197,-0.002130529,-0.07243799#
1478468135752,-1.6381935,11.534414,0.86220706,-0.13635385,-0.8788432,-0.0479369#
1478468135858,-0.26105714,7.8197393,1.4034815,-0.26631612,-1.0450244,-0.043675844#
1478468135961,0.009580079,8.411309,1.8776954,-0.17044231,-0.86499476,-0.017044231#
1478468136065,-0.6466553,7.4509063,2.1004322,-0.03834952,-0.7041398,0.013848438#
1478468136169,0.83586186,8.782537,0.9699829,0.23435818,-1.0375676,0.083090626#
1478468136274,-2.9099488,11.00751,3.4536183,0.0777643,-0.7840346,-0.28868666#
1478468136380,-1.5639478,8.586145,1.9878663,-0.49428272,0.07669904,-1.0460896#
1478468136485,4.5577226,5.927674,-2.4525,0.12144015,-0.6679208,-0.08522116#
1478468136592,-0.25147706,7.5179667,-0.94603276,0.28655612,0.6466155,-0.41545314#
1478468136697,-0.28500733,8.298743,0.22513184,0.022370555,0.50387007,-0.04474111#
1478468136802,-0.6706055,8.6077,0.7759864,-0.15126756,0.36645097,0.14487597#
1478468136907,-0.6610254,8.871153,0.6706055,0.09054748,0.70200926,0.42397526#
1478468137011,-1.2933106,10.748848,2.0142114,-0.039414786,1.0418286,-0.67537767#
1478468137118,5.977969,13.170213,-3.0344899,0.26844665,-0.4644553,0.0777643#
1478468137224,-3.3554225,7.3646855,1.21188,-0.34301516,-0.2130529,-0.49641323#
1478468137331,-0.0023950196,7.1156034,1.1927198,-0.3834952,-2.0293288,0.34301516#
1478468137436,0.047900394,6.2510014,1.343606,-0.08628642,-0.65194184,-0.19281286#
1478468137542,-0.1460962,9.045989,1.0274634,0.21198763,-0.74675035,0.15446335#
1478468137647,-5.8175025,11.361973,5.352869,-0.42290998,-1.2921658,-0.8788432#
1478468137755,5.951624,2.9650342,1.7244141,-0.76059884,-0.28868666,-1.015197#
1478468137859,0.08861572,11.009905,-2.0621119,0.14274544,-0.53476274,0.20453078#
1478468137966,-1.6214283,7.189849,-0.1101709,0.45699844,1.1100056,-0.30146983#
1478468138071,-0.95561284,8.52148,0.73048097,0.22264028,0.3898868,0.314253#
1478468138175,-0.51971924,8.54543,0.68737066,0.06391586,0.35473305,0.3749731#
1478468138280,0.364043,10.380015,1.5519727,-0.068176925,0.79894835,0.18642128#
1478468138386,-1.1520045,10.93087,2.8955786,0.77231675,0.72437984,-0.8990832#
1478468138491,4.7948294,10.693763,1.465752,-0.48043427,0.36112466,-0.34940675#
1478468138595,-2.3614893,6.7898808,0.45026368,-0.5187838,-1.2740563,-0.058589544#
1478468138700,0.4167334,6.9958525,0.8382569,-0.20772657,-1.24849,0.36751625#
1478468138805,-0.6490503,5.7073317,2.6441016,0.099069595,-0.20879184,-0.16831179#
1478468138911,1.8106349,12.202625,2.4261549,0.046871636,-0.070307456,0.30679616#
1478468139018,5.712122,14.238392,-2.5387208,-0.36005938,0.6679208,2.2093585#
1478468139122,-0.14849122,11.745176,-0.977168,0.01917476,-0.59122175,-0.36964676#
1478468139229,2.193838,7.197034,-0.37122804,0.37710363,0.7946873,-0.45699844#
1478468139335,-1.6836988,7.429351,0.4742139,0.12463594,0.4527374,0.36325517#
1478468139440,-1.7435743,8.150251,1.2406201,0.033023197,-0.2066613,0.084155895#
1478468139547,-0.4167334,11.06978,0.82388675,0.07669904,0.5496765,0.41971418#
1478468139654,1.0538087,12.420572,3.5110989,0.5699165,0.5294364,-0.75101143#
1478468139759,7.302415,13.826448,0.23231691,-0.36645097,-0.26844665,0.04474111#
1478468139862,-3.171006,7.692803,0.3281177,-0.4261058,-0.44421527,-0.257794#
1478468139967,0.5245093,6.246211,1.1160791,-0.23329292,-1.0727214,0.28442562#
1478468140075,-1.0801538,6.1504107,2.919529,-0.07989483,-0.21837921,-0.314253#
1478468140180,0.51492923,12.906761,2.0237916,0.18642128,-0.23009712,0.37284255#
1478468140286,4.631968,12.83012,1.4370118,-0.98110855,1.0290455,1.4945661#
1478468140391,-0.20357667,12.511582,-1.0442286,0.28868666,-0.5422196,0.39627838#
1478468140499,0.1341211,7.7359133,-0.043110352,0.535828,1.470065,-0.37390783#
1478468140604,-1.3531861,8.423284,0.6466553,0.26738137,0.59761333,0.39734364#
1478468140710,-0.55803955,8.255632,0.728086,0.10546118,-0.19281286,0.34301516#
1478468140814,-0.87178713,8.916658,1.089734,-0.13315806,0.3888215,0.2876214#
