time,accelerometer-x,accelerometer-y,accelerometer-z,gyro-x,gyro-y,gyro-z
0.0,1.7124391,13.766573,0.059875492,0.9331717,1.0599382,0.4346279#
208.0,6.0210795,8.064031,-3.788921,0.850081,-0.15020229,0.22903186#
313.0,5.1876125,9.783655,-3.6188745,0.5209143,-0.015978966,0.39627838#
419.0,0.5005591,3.1278956,0.2945874,0.8000136,1.8152106,-1.2335763#
523.0,1.4226416,4.912185,-8.859178,0.07563378,-0.7350325,1.4168017#
629.0,6.3947024,20.470232,6.4976883,-0.86392945,-0.8330368,-0.19707392#
733.0,5.249883,4.4643164,-1.3292359,-1.2783173,-0.6466155,-0.36005938#
840.0,-2.6441016,-1.1855347,-0.5460645,0.049002163,1.1483551,-1.3347764#
946.0,8.907078,29.042007,-10.375225,0.94595486,1.4476944,0.9076053#
1052.0,-4.495452,-0.44307864,-6.1599903,1.1046792,1.381648,-1.6831179#
1156.0,0.7065308,4.378096,1.1951149,-1.0610034,-0.45912898,0.23648871#
1261.0,12.319981,10.554852,2.4980054,-0.94488955,0.793622,0.6423545#
1368.0,3.1087356,8.298743,-4.3230104,-0.3536678,-1.1568772,0.47723848#
1472.0,-1.951941,-1.089734,2.0070264,-0.8543421,1.8418423,-0.5305017#
1579.0,2.9770093,17.862057,-25.518934,-0.15659387,-4.345214,0.53263223#
1683.0,3.4895437,10.5692215,3.547024,0.20985709,0.59867865,0.15126756#
1789.0,-4.888235,-3.171006,0.39517823,-1.397627,-1.6479641,-0.7637946#
1895.0,5.0989966,35.731297,-8.004155,1.0034791,-0.8032094,3.943609#
2003.0,-4.8427296,20.915707,-0.47900394,1.0237192,-0.5432849,-1.087635#
2108.0,-2.1052222,1.3555812,-4.3301954,-0.21837921,1.7044232,-0.41758367#
2213.0,-2.6608667,-1.7675245,-2.2201831,0.165116,-1.1217234,-1.293231#
2318.0,-4.399651,22.565874,2.4716604,0.67218184,0.4910869,-1.0908308#
2423.0,0.07424561,0.45026368,-3.5254688,0.77444726,0.9736517,-0.69987875#
2530.0,5.1397123,3.2356715,2.1579127,-0.33662358,0.34194988,0.4165184#
2636.0,5.6785917,19.066751,9.405242,-0.051132694,-1.0524813,-2.2775354#
2740.0,4.8427296,2.42855,-0.855022,-0.015978966,-0.9736517,0.2609898#
2845.0,-1.5232325,-2.543511,-0.38080812,-0.12250541,0.6199839,-1.0950918#
2960.0,25.686586,42.497227,3.6907253,-0.9683254,-0.21518342,2.5246768#
3066.0,-0.20357667,4.679868,1.1064991,0.87777793,2.4319987,-0.16192019#
3174.0,3.5661843,4.703819,-0.6011499,-0.78723043,-0.47617322,-0.060720075#
3280.0,1.3675562,13.390554,-2.6273365,0.18961707,-0.62317973,0.2130529#
3387.0,1.4513819,9.510623,-2.926714,-0.608266,-1.454086,0.25353295#
3493.0,5.7959476,-1.8489552,-0.16286133,0.4314321,0.3653857,-0.7414241#
3601.0,3.4248781,15.308966,-24.331005,0.5454154,-5.220861,0.39734364#
3708.0,0.8909473,9.407638,3.767366,0.257794,1.3869743,0.02130529#
3815.0,-7.683223,-7.9706254,-2.6249416,-0.69774824,-1.8471686,-0.6583334#
3922.0,1.5016773,19.725382,3.6452198,1.639442,0.49641323,0.7456851#
4029.0,-9.915381,22.079685,-0.12693603,0.9108011,0.026631612,-1.675661#
4136.0,-1.4849122,3.2476466,-5.9133034,-0.13848437,1.4881744,-0.18642128#
4242.0,-2.6369166,-0.4167334,-0.97237796,-0.26205507,-0.57417756,-0.88203895#
4350.0,1.2885206,28.081606,0.2802173,0.9129316,1.3496901,-0.7105314#
4457.0,-2.1818628,-4.792434,-3.391348,0.3355583,-0.05539375,-1.2857742#
4564.0,4.2799,5.245093,2.095642,-0.39521313,-0.033023197,0.28442562#
4671.0,5.343289,16.825012,9.086704,-0.053263225,-0.5305017,-1.2495552#
4776.0,5.3097587,1.6501685,1.1567944,-0.14061491,-0.98856544,-0.056459017#
4883.0,-1.7292042,-2.8931837,0.086220704,0.24714136,0.70627034,-1.0929613#
4990.0,17.059725,51.749187,0.29698244,-0.6103965,-2.2221417,3.6645098#
5097.0,0.45984375,5.5636306,1.5304176,0.45699844,1.4455639,0.15659387#
5204.0,0.62031007,1.8274,-0.50774413,-0.76059884,-1.4040185,-0.49321744#
5311.0,7.460486,5.716912,-8.195757,-1.6149409,3.3843453,1.7385116#
5418.0,-10.32014,22.309608,1.6118482,1.0045444,0.6466155,-0.71585774#
5525.0,-4.1146436,2.2106032,-6.1599903,0.101200126,1.2058793,0.13848437#
5632.0,3.032095,5.158872,1.4250367,1.6341157,-0.41758367,-0.73609775#
5738.0,-3.173401,15.704144,0.9508228,0.0053263223,0.30253512,-0.17257284#
5845.0,-4.9720607,-9.910591,-3.2692018,0.08735169,0.15446335,-1.8269285#
5949.0,2.0932472,5.5492606,1.089734,-0.39521313,0.039414786,0.051132694#
6055.0,1.3891114,15.6059475,5.5612354,-0.40906155,-1.1121361,-0.99921805#
6160.0,5.2834134,4.2248144,-3.8679566,-0.57417756,-1.8599517,0.24607609#
6267.0,0.366438,-4.040398,1.3052857,-0.5134575,1.1664646,-0.34940675#
6372.0,9.980047,44.9162,-6.840176,-0.8383631,-0.9683254,2.2615564#
6479.0,0.90052736,9.920172,0.70174074,-0.25672874,1.5116103,0.84688526#
6585.0,-5.381609,-5.5612354,-1.9447559,-1.1558119,-1.361408,-0.700944#
6690.0,5.017566,8.657996,3.0895753,-0.36751625,-0.69029135,0.5400891#
6795.0,-7.3311553,21.672533,-2.0309765,1.0652645,-0.44528055,-0.74035877#
6901.0,-0.016765138,2.8141482,-4.0667434,-0.57311225,1.3070794,0.07669904#
7007.0,1.6597486,0.31853762,-2.818938,-0.17150758,0.002130529,-0.48682585#
