time,accelerometer-x,accelerometer-y,accelerometer-z,gyro-x,gyro-y,gyro-z
0.0,-1.0753639,9.196876,0.79035646,-0.07669904,-0.515588,-0.13954964#
210.0,-1.2406201,9.091495,0.17244141,0.0063915867,-0.9193232,-0.07243799#
314.0,-1.089734,9.244776,0.09340577,0.040480047,-1.0322412,-0.09267801#
419.0,-0.80712163,9.359736,0.009580079,0.23755397,-1.055677,0.01917476#
525.0,-0.23231691,9.764495,0.28979737,0.11611383,-0.96406436,-0.0031957934#
629.0,-0.19878663,9.096285,-0.8646021,0.22903186,-0.9853696,0.16192019#
735.0,-0.016765138,8.993299,0.1939966,0.0010652645,-0.83942837,0.096939065#
840.0,0.27542725,9.127419,-0.23710695,0.053263225,-0.69029135,0.15446335#
944.0,-0.7376661,9.357342,0.5628296,0.05752428,-0.5944176,-0.068176925#
1049.0,-0.6586304,9.319021,0.45744875,0.027696876,-0.69348717,-0.029827405#
1154.0,-0.91729254,8.454419,0.5724097,0.11930962,-0.71798825,-0.06178534#
1259.0,-0.2802173,8.868757,1.0681788,0.0053263223,-0.40266997,-0.09161274#
1363.0,-0.2802173,8.868757,1.0681788,0.008522116,-0.39947417,-0.09267801#
1470.0,1.0681788,11.702065,-1.5423926,-0.10333065,0.7914915,0.40906155#
1574.0,-1.2478052,6.720425,-0.43349856,-0.18961707,-0.88949585,-0.01917476#
1680.0,3.1087356,9.508228,-1.8082398,-0.7030745,1.216532,-0.0958738#
1784.0,-2.430945,8.48316,-0.68018556,-0.09054748,1.1622036,-0.43036684#
1890.0,-0.6706055,9.077125,0.13891114,-0.080960095,0.902279,-0.096939065#
1996.0,-0.51732427,9.565708,-0.49097902,0.027696876,1.2058793,-0.0127831735#
2102.0,-2.1459377,9.187295,0.14130616,0.025566347,1.0801781,0.014913702#
2206.0,-1.1376343,9.321417,0.16046631,0.058589544,0.757403,-0.037284255#
2311.0,-1.0705738,9.242381,0.6322852,0.096939065,0.82877576,-0.01917476#
2415.0,-1.6238233,9.388477,0.27542725,0.2790993,0.8117315,0.2790993#
2521.0,-1.4968873,8.760982,0.50534916,-0.008522116,0.608266,0.28655612#
2628.0,-1.6836988,8.291558,0.69695073,-0.046871636,0.64555025,0.40053943#
2733.0,0.19878663,9.922566,1.3124708,-0.33129725,0.12676647,0.22050974#
2839.0,4.167334,10.391991,-2.3782544,-0.12357068,0.46871635,-0.50600064#
2944.0,-5.8917484,8.641231,2.3327491,-0.2066613,-0.15233281,-0.52411014#
3050.0,-0.7089258,9.915381,-0.5125342,-0.32384038,-1.3038837,-0.15978967#
3155.0,0.9029224,9.053174,-0.42870852,-0.15020229,-1.361408,0.12144015#
3262.0,-0.87418216,8.655601,0.4167334,-0.1438107,-1.1121361,-0.12783173#
3368.0,-0.58198977,9.062755,0.20597169,-0.034088463,-1.2389026,-0.0479369#
3473.0,-0.65384036,8.52148,1.1831397,0.13209279,-1.2644689,-0.13209279#
3577.0,-0.73048097,9.065149,1.21188,0.12463594,-0.96406436,-0.07563378#
3683.0,-0.98195803,8.739427,2.0237916,0.22264028,-0.9012137,-0.14168017#
3788.0,-0.25866213,9.189691,1.3699512,0.32170987,-0.8490158,-0.07350325#
3893.0,-2.6273365,11.060201,0.61073,0.029827405,-0.45593318,-0.13209279#
3998.0,0.74724615,7.0030375,0.45505372,-0.48149952,-0.1949434,-0.033023197#
4104.0,-1.8992506,9.453142,-0.44307864,-0.07350325,-0.5592638,0.21092236#
4208.0,-0.60354495,8.804092,-0.18920656,-0.37071204,-0.6040049,0.29188246#
4313.0,1.3100758,9.038804,0.51732427,0.1438107,0.26631612,-0.52624065#
4419.0,-3.1039455,8.416099,0.38080812,0.47297743,-0.10333065,-0.094808534#
