time,accelerometer-x,accelerometer-y,accelerometer-z,gyro-x,gyro-y,gyro-z
0.0,2.3614893,7.831714,2.1483326,0.08841695,-0.27696875,0.094808534#
210.0,2.0261867,7.917935,1.8944606,0.34301516,0.05965481,0.04580637#
316.0,0.22992188,9.522598,1.3531861,0.15020229,0.2514024,-0.0479369#
419.0,1.7723145,9.309442,1.1759547,0.38029942,-0.035153728,0.1438107#
525.0,1.7627344,8.696317,0.5939649,0.2034655,-0.15659387,-0.07137272#
630.0,2.1387525,8.53106,-0.92926764,0.49960902,0.3472762,-0.07563378#
734.0,2.4692652,10.439891,-0.8765772,0.084155895,-0.096939065,-0.0031957934#
840.0,2.1363575,7.8820095,-1.343606,-0.1438107,-0.6775082,-0.7435546#
945.0,1.0394385,9.134604,-0.6514453,0.05539375,-0.515588,-0.17789917#
1052.0,2.059717,8.384964,0.2203418,-0.033023197,0.051132694,0.034088463#
1160.0,0.9148975,9.220825,0.28261232,0.49534798,0.008522116,-0.3174488#
1266.0,-0.87897223,13.986915,-1.3268409,0.21411815,-0.10333065,-0.4495416#
1373.0,-1.5807129,9.625584,0.36883304,-1.9281287,-0.9832391,0.47297743#
1480.0,0.122146,9.453142,0.7041358,-1.7747306,-0.38136467,1.2325109#
1585.0,1.1639795,7.038963,0.9867481,-1.3230585,0.44528055,1.4476944#
1690.0,1.6501685,2.7758276,2.323169,-0.8490158,1.7576864,1.4530207#
1795.0,4.4834766,3.8511915,6.1144853,0.90654004,0.45486793,0.13209279#
1901.0,1.5376027,10.873389,0.49337405,2.2200112,-1.067395,-0.60080916#
2009.0,-0.84544194,13.527071,0.8646021,0.28868666,0.92464954,-0.75420725#
2114.0,2.0573218,11.829002,-0.37362307,1.5084145,0.52624065,-0.48363006#
2222.0,0.60354495,6.461763,0.22992188,0.6317018,0.41971418,-0.48043427#
2330.0,1.3723463,7.094048,2.2106032,0.3685815,-0.17470337,-0.2130529#
2437.0,1.6477735,12.046948,1.6453785,0.40586576,-0.40053943,-0.6402239#
2543.0,0.19639161,9.764495,1.719624,-1.026915,0.48682585,0.23542345#
2650.0,-0.122146,11.57034,1.0202783,-1.7406421,0.0127831735,1.3049489#
2758.0,0.51732427,10.564431,2.2728736,-1.3891048,-0.34834146,1.5936357#
2863.0,0.8310718,4.404441,0.9484278,-0.71159667,2.5150893,2.0080235#
2968.0,4.3230104,2.0309765,6.2797413,1.0503508,1.8674086,0.52624065#
3076.0,-0.366438,11.855348,8.236472,0.81705785,0.22370553,-0.624245#
3184.0,3.6308498,9.807606,-0.7664063,0.60080916,0.12037488,-0.9832391#
