@ HyperIMU - rohanrodrigues - 2016
@ Date: Fri Nov 04 10:30:03 PDT 2016
@ Sensors: BMI160_accelerometer - BMI160_gyroscope
@ SamplingTime: 100ms

time,accelerometer-x,accelerometer-y,accelerometer-z,gyro-x,gyro-y,gyro-z
1478277294.96,0.0,0.0,0.0,0.0,0.0,0.0#
1478277295.00,-0.072298,0.056197,0.267214,-0.162649,0.094218,-0.336635#
1478277295.02,-0.061881,0.107523,0.358799,-0.166701,-0.372144,-0.350635#
1478277295.04,0.124804,0.057733,0.031860,-0.161706,-0.591692,-1.518095#
1478277295.06,-0.129736,-0.064469,-0.349959,-0.147001,-0.051446,-1.133163#
1478277295.08,-0.099530,-0.055418,-0.356271,-0.128452,0.929658,-1.689124#
1478277295.11,0.068661,0.067748,-0.109159,-0.102891,1.410732,-1.736950#
1478277295.13,0.151693,0.048029,0.260672,-0.089114,0.838553,-1.677348#
1478277295.15,0.100975,-0.022521,-0.041760,-0.076797,0.660046,-1.596001#
1478277295.17,0.135887,-0.015878,-0.054620,-0.056526,0.590314,-1.600483#
1478277295.19,0.176064,0.125311,0.036213,-0.030791,0.758752,-1.929301#
1478277295.21,0.414136,0.283530,0.288260,0.015522,0.085584,-3.811117#
1478277295.23,0.396374,0.493288,0.319929,0.051590,0.325726,-4.188501#
1478277295.25,0.484258,0.328223,0.072728,0.092508,0.224225,-4.904496#
1478277295.28,0.234668,0.365487,-0.072754,0.137578,0.194848,-3.300332#
1478277295.30,0.180270,0.380636,-0.390975,0.186424,0.634364,-2.715589#
1478277295.32,0.091900,0.301787,-0.255674,0.246276,1.231605,-2.442594#
1478277295.34,0.012331,0.216278,-0.188122,0.309844,1.236537,-1.975547#
1478277295.36,0.040427,0.175188,-0.226327,0.375026,1.496212,-2.494608#
1478277295.38,-0.249106,0.057464,-0.236704,0.445926,2.161609,-3.861537#
1478277295.40,-0.306406,-0.011972,0.032453,0.517361,2.291664,-3.879511#
1478277295.42,-0.384099,-0.089802,0.158961,0.580878,2.061246,-3.164047#
1478277295.45,-0.438128,-0.194429,0.169753,0.638171,2.064282,-3.278983#
1478277295.47,-0.380350,-0.253865,0.062080,0.697302,2.318316,-5.610510#
1478277295.49,-0.248406,-0.156870,0.256728,0.742520,1.565775,-7.573446#
1478277295.51,-0.039893,0.039148,0.441098,0.769970,1.136374,-8.195022#
1478277295.53,-0.059457,0.037621,0.303530,0.794604,1.173811,-5.669908#
1478277295.55,0.246060,-0.246483,1.014771,0.814904,0.401388,1.717094#
1478277295.57,-0.265470,0.047050,0.182671,0.791083,-1.073914,2.015445#
1478277295.59,-0.009692,0.116017,-0.130017,0.765424,-0.794894,2.276545#
1478277295.61,0.017137,0.135396,-0.050350,0.755884,-0.110267,1.863361#
1478277295.64,-0.247566,0.090545,-0.129659,0.755738,0.303518,1.839486#
1478277295.66,0.065996,0.070876,-0.014987,0.767649,0.726069,1.210658#
1478277295.68,0.190634,0.177077,-0.586876,0.807101,2.573973,0.868660#
1478277295.70,0.275550,0.074516,-0.519531,0.880588,3.583077,-0.247140#
1478277295.72,0.196751,-0.074913,0.080997,0.937325,0.652725,-3.595135#
1478277295.74,0.010797,-0.253318,0.929567,0.909957,-1.419181,-2.680369#
1478277295.76,0.335056,-0.113017,0.026028,0.895732,-0.045124,0.311599#
1478277295.78,0.625445,-0.155876,-0.029251,0.895768,0.147472,-0.573931#
1478277295.81,0.603315,-0.197654,-0.047095,0.893770,0.185887,-1.134406#
1478277295.83,0.373201,-0.089225,0.197184,0.887350,0.146836,-0.078954#
1478277295.85,0.037833,-0.059072,-0.031804,0.881025,0.394803,1.584969#
1478277295.87,-0.284224,-0.103624,0.132913,0.889451,0.437163,2.856097#
1478277295.89,0.011718,-0.174048,-0.002046,0.887748,0.222222,1.021974#
1478277295.91,-0.162864,-0.359646,-0.021483,0.900994,0.119012,-0.029700#
1478277295.93,-0.321534,-0.068845,0.100487,0.899825,0.208464,0.424231#
1478277295.95,-0.283427,0.303166,-0.119000,0.897339,-0.072700,0.111335#
1478277295.98,0.132205,0.135848,0.106552,0.912795,0.627557,0.333873#
1478277296.00,0.100215,0.115636,0.126323,0.952125,1.157610,0.129485#
1478277296.02,-0.155316,0.274374,0.084236,1.010466,1.237749,0.534863#
1478277296.04,-0.069176,0.228155,0.108839,1.033767,0.173615,1.146791#
1478277296.06,-0.215894,0.242307,0.096900,1.036710,-0.035290,0.076180#
1478277296.08,-0.014605,-0.068821,-0.296172,1.041944,0.449207,-0.464112#
1478277296.10,-0.040323,0.140569,-0.139464,1.032332,-0.638931,-0.666355#
1478277296.12,-0.106655,0.027184,0.118249,1.016043,-0.197153,-0.035894#
1478277296.15,-0.070851,-0.095300,0.087757,1.017003,0.016847,0.221389#
1478277296.17,-0.082895,-0.100976,0.094082,1.027078,0.161141,0.435299#
1478277296.19,-0.054867,-0.109940,0.032904,1.042290,0.158078,0.060604#
1478277296.21,-0.021799,-0.029380,0.041809,1.053533,0.009486,0.210872#
1478277296.23,-0.060922,-0.034683,-0.027949,1.064921,0.066171,0.166797#
1478277296.25,-0.082255,-0.043209,-0.023901,1.081934,0.090376,0.375218#
1478277296.27,-0.042984,-0.000279,0.051469,1.104338,0.103586,0.371095#
1478277296.29,-0.093118,0.220677,0.058939,1.122944,0.261877,0.311052#
1478277296.31,-0.032392,-0.127156,0.029475,1.138099,0.298752,0.382775#
1478277296.34,-0.053910,-0.095953,0.048472,1.161256,0.331911,0.465869#
1478277296.36,-0.003319,-0.108880,0.010102,1.193851,0.370702,0.373493#
1478277296.38,0.020912,-0.114015,0.040986,1.224890,0.166811,0.259683#
1478277296.40,-0.008325,-0.146568,0.062126,1.263889,0.291947,0.468294#
1478277296.42,0.086608,-0.199409,-0.020829,1.309813,0.202068,0.408109#
1478277296.44,0.062762,-0.205730,-0.021054,1.355849,-0.131493,-0.515129#
1478277296.46,0.182321,-0.255512,-0.036718,1.392407,-0.495578,-1.326202#
1478277296.48,0.117125,-0.182197,0.171679,1.458212,-0.098847,-0.610704#
1478277296.51,0.037094,-0.163308,0.067634,1.590720,-0.076301,-0.058012#
1478277296.53,0.085436,-0.263584,-0.044088,1.824113,0.026286,0.052871#
1478277296.55,0.018215,-0.201437,-0.066190,2.360878,-0.009817,-1.080872#
1478277296.57,-0.058746,-0.329706,-0.220577,3.039975,0.457142,-2.243328#
1478277296.59,-0.168572,-0.339988,-0.032459,-2.913074,0.837251,-2.773934#
1478277296.61,-0.233810,-0.322803,-0.007791,-2.759765,0.545468,-2.239415#
1478277296.63,-0.283429,-0.250651,0.115665,-2.676690,0.247060,-0.297940#
1478277296.65,-0.204354,-0.161736,-0.189829,-2.664958,1.102708,-0.165783#
1478277296.68,-0.113660,0.100298,-0.237387,-2.720963,2.157760,-1.042071#
1478277296.70,0.730416,4.847739,0.655641,-2.734083,0.637486,-1.493075#
1478277296.72,-0.382723,-0.594238,0.395400,-2.709243,-0.571687,-0.315030#
1478277296.74,0.009217,-0.394014,0.107309,-2.726343,0.684746,0.377620#
1478277296.76,0.023569,-0.169152,0.218937,-2.742196,0.337232,0.112042#
1478277296.78,-0.060792,-0.071795,0.089620,-2.735688,0.096024,-0.236957#
1478277296.80,-0.067440,-0.067208,0.095746,-2.734740,0.389105,0.065367#
1478277296.82,-0.126750,-0.085199,0.245965,-2.737596,0.344478,0.353540#
1478277296.84,-0.206893,0.003310,0.344248,-2.738892,0.265244,0.337297#
1478277296.87,-0.169002,0.461924,0.413316,-2.735888,-0.455794,0.830880#
1478277296.89,-0.171392,0.460609,0.406558,-2.722245,-0.062339,-0.276959#
1478277296.91,-0.609851,0.418634,0.607066,-2.727401,-0.174313,0.810397#
1478277296.93,-0.365795,0.628577,0.288485,-2.731654,-0.430889,0.454858#
1478277296.95,-0.240565,0.533092,0.365430,-2.729900,-1.044866,0.167779#
1478277296.97,-0.034989,0.198102,0.382509,-2.717294,-1.258789,0.415660#
1478277296.99,0.126273,0.110128,0.408669,-2.680032,-1.767108,0.096622#
1478277297.01,0.166101,0.167939,0.445759,-2.582755,-2.537694,-0.439493#
1478277297.04,0.140167,0.313299,0.360857,-2.428704,-2.779647,0.400059#
1478277297.06,0.128945,0.316076,-0.214567,-2.279965,-1.986620,1.501550#
1478277297.08,0.141655,0.311085,-0.259213,-2.138792,-2.016440,0.686320#
1478277297.10,0.063381,0.268174,-0.424327,-1.954790,-2.026060,0.178389#
1478277297.12,0.141688,0.325775,-0.105753,-1.806508,-1.358512,0.616562#
1478277297.14,0.137683,0.242369,-0.070968,-1.685260,-1.077279,0.648058#
1478277297.16,0.136662,0.170789,-0.258944,-1.535629,-1.642809,-1.017463#
1478277297.18,0.019710,-0.007267,-0.159480,-1.352720,-1.895805,-1.159454#
1478277297.21,0.066454,-0.112419,-0.300348,-1.207098,-1.535689,-1.051496#
1478277297.23,0.091652,-0.189507,-0.399963,-1.086737,-1.530794,-1.331340#
1478277297.25,0.097179,-0.184487,-0.425132,-0.985082,-1.385128,-1.378009#
1478277297.27,0.114052,-0.255668,-0.464270,-0.903504,-1.011600,-1.559490#
1478277297.29,0.090102,-0.464866,-0.291025,-0.845750,-0.482220,-1.409789#
1478277297.31,0.049533,-0.548580,-0.224987,-0.812081,-0.076917,-1.206450#
1478277297.33,0.043562,-0.622226,-0.203540,-0.794324,0.251382,-0.734323#
1478277297.35,-0.010159,-0.658024,-0.244394,-0.796243,0.631701,-0.332588#
1478277297.38,-0.049455,-0.589571,-0.232172,-0.822106,1.014661,-0.236978#
1478277297.40,-0.021197,-0.414460,-0.017097,-0.877894,1.240074,-0.132646#
1478277297.42,0.001994,-0.020255,0.388199,-0.955530,1.037598,-0.034656#
1478277297.44,-0.167564,0.624782,0.955278,-1.000603,0.202359,-0.574506#
1478277297.46,-0.538475,1.304874,1.417077,-0.956825,-0.774605,-0.849008#
1478277297.48,-0.118786,0.015190,0.336816,-0.857839,-0.903374,-1.046355#
1478277297.50,-0.069855,-0.585482,0.042896,-0.760474,-0.610873,-0.868143#
1478277297.52,-0.062890,-0.585585,0.039171,-0.712155,0.026574,-0.486055#
1478277297.54,0.046352,0.512326,-0.287189,-0.759711,1.227230,0.533997#
1478277297.57,-0.175559,1.078591,-0.173333,-0.831191,1.102860,2.482522#
1478277297.59,0.246114,0.268460,0.380550,-0.764606,-0.510643,1.823036#
1478277297.61,0.808784,-0.830181,-0.405477,-0.696822,0.054340,0.002770#
1478277297.63,0.857372,-1.280307,-0.387476,-0.746681,1.148676,-1.160256#
1478277297.65,0.788707,-0.884892,-0.196422,-0.969743,2.183049,0.404141#
1478277297.67,-0.645838,1.086142,-0.541516,-1.348862,2.602660,2.685184#
1478277297.69,-0.662965,1.086567,-0.509580,-1.633715,1.281523,1.471093#
1478277297.71,-0.840832,0.711546,-0.311747,-1.749173,0.789840,0.035631#
1478277297.74,0.136718,-0.134135,-0.125862,-1.884039,1.075391,-0.900200#
1478277297.76,0.031121,-0.015939,0.058977,-2.041986,1.115412,-1.243566#
1478277297.78,0.085908,-0.070648,0.110840,-2.143606,0.751668,-0.335303#
1478277297.80,0.220927,-0.128731,-0.022685,-2.235208,1.050369,1.062460#
1478277297.82,0.265553,-0.112824,-0.051177,-2.336542,1.091063,0.831618#
1478277297.84,0.151258,-0.096637,-0.009462,-2.392189,0.876598,0.151438#
1478277297.86,-0.235821,-0.087435,-0.065655,-2.434114,0.990715,0.416637#
1478277297.88,-0.253793,-0.080955,-0.047583,-2.476917,1.047128,0.698818#
1478277297.91,-0.299393,-0.109075,-0.077686,-2.523300,1.139518,0.746315#
