timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478277170.83,1.115501,-0.924609,-1.862979,0.103534,0.220800,-0.055359,0.540807,0.798386,-0.264780,-0.045537,0.003769,0.022181,17.214256,39.618752,3.432142,,,,,,
,,,,,,,,,,,,,,,,37.352906,-122.034866,50.730347,0.000000,256.992188,1478280632.10
1478277170.85,1.117117,-0.925685,-1.865096,-0.030578,0.111368,-0.067889,0.540461,0.799033,-0.263530,-0.030360,-0.023398,0.048259,16.973854,39.714798,3.518352,,,,,,
,,,,,,,,,,,,,,,,37.352906,-122.034866,50.730347,0.000000,256.992188,1478280630.00
1478277170.87,1.121543,-0.927891,-1.865269,-0.040864,0.255498,-0.102219,0.540033,0.800357,-0.260369,-0.028269,-0.041370,0.034218,16.973854,39.714798,3.518352,,,,,,
1478277170.89,1.127828,-0.930695,-1.865176,-0.079514,0.299529,-0.161929,0.539630,0.802035,-0.256007,-0.047869,-0.048465,0.009013,16.834946,39.759224,3.680332,,,,,,
,,,,,,,,,,,,,,,,37.352906,-122.034866,50.730347,0.000000,256.992188,1478280632.18
1478277170.91,1.132384,-0.936611,-1.863842,-0.143550,0.123849,-0.264288,0.536485,0.805555,-0.251527,-0.063401,-0.040723,-0.015395,16.737747,39.788895,3.801034,,,,,,
1478277170.93,1.134354,-0.943699,-1.866213,-0.074331,0.239015,-0.361138,0.531792,0.809734,-0.248050,-0.041069,-0.085155,0.025866,16.387552,39.909477,4.054339,,,,,,
1478277170.95,1.136368,-0.952272,-1.870304,-0.054901,0.204297,-0.433124,0.525973,0.814735,-0.244047,-0.070910,-0.076179,0.002485,16.140259,39.998650,4.166065,,,,,,
1478277170.98,1.136193,-0.962511,-1.875798,-0.097998,0.167647,-0.549786,0.518337,0.820629,-0.240614,-0.112590,-0.150509,0.007048,15.531035,40.219040,4.355610,,,,,,
1478277171.00,1.135834,-0.976515,-1.879231,-0.214308,0.119403,-0.698361,0.507777,0.828551,-0.235934,-0.161616,-0.072188,0.007708,15.531035,40.219040,4.355610,,,,,,
,,,,,,,,,,,,,,,,37.352906,-122.034866,50.730347,0.000000,256.992188,1478280632.18
1478277171.02,1.133580,-0.993050,-1.884050,-0.253670,0.059414,-0.751709,0.494765,0.837695,-0.231245,-0.148604,-0.081332,0.003020,14.688315,40.502640,4.641686,,,,,,
1478277171.04,1.132037,-1.011736,-1.891265,-0.201899,0.315580,-0.962903,0.480151,0.847754,-0.225318,-0.037021,-0.038046,-0.028374,14.191511,40.660343,4.805540,,,,,,
1478277171.06,1.127318,-1.034246,-1.900994,-0.256345,0.144643,-1.055818,0.461726,0.859477,-0.219337,0.119512,0.120915,-0.073770,12.944391,41.029709,5.173151,,,,,,
1478277171.08,1.125138,-1.054532,-1.911228,-0.108923,0.478227,-0.925324,0.445420,0.869669,-0.212782,0.114135,0.170507,-0.012529,12.944391,41.029709,5.173151,,,,,,
1478277171.10,1.122658,-1.068082,-1.927210,0.092639,0.529860,-0.587309,0.434230,0.876278,-0.208761,0.168462,0.250736,-0.034876,11.020739,41.529785,5.619250,,,,,,
1478277171.12,1.125954,-1.072842,-1.935263,0.020987,0.388474,-0.142432,0.431146,0.878561,-0.205531,0.128928,0.150064,0.006191,11.020739,41.529785,5.619250,,,,,,
1478277171.14,1.130452,-1.074292,-1.936579,0.027583,0.261245,-0.100933,0.430913,0.879253,-0.203047,-0.024648,0.043141,-0.042894,10.541913,41.642799,5.700984,,,,,,
1478277171.17,1.127414,-1.076483,-1.947168,0.238128,0.240902,-0.277469,0.428553,0.880295,-0.203528,0.073812,-0.174973,-0.001856,10.470985,41.654919,5.743005,,,,,,
1478277171.19,1.123307,-1.076234,-1.957679,0.113510,0.140013,-0.104074,0.427911,0.880176,-0.205381,0.074454,-0.174854,-0.000002,10.197128,41.746067,5.571376,,,,,,
1478277171.21,1.123055,-1.079995,-1.959301,-0.083183,0.050491,-0.170601,0.424872,0.881955,-0.204054,-0.060828,0.046069,0.009459,10.197128,41.746067,5.571376,,,,,,
1478277171.23,1.120306,-1.085534,-1.963864,-0.090803,0.142803,-0.237040,0.419905,0.884553,-0.203091,-0.023939,-0.020600,-0.010120,9.852402,41.819534,5.640275,,,,,,
1478277171.25,1.122074,-1.092501,-1.964206,-0.152881,0.064029,-0.370513,0.414701,0.887781,-0.199671,-0.036268,-0.038217,-0.023855,9.852402,41.819534,5.640275,,,,,,
1478277171.27,1.119663,-1.102717,-1.967927,-0.156048,-0.014900,-0.516911,0.406035,0.892437,-0.196705,-0.038847,-0.010234,-0.026790,9.363415,41.913174,5.776511,,,,,,
1478277171.29,1.114343,-1.114780,-1.971045,-0.197569,-0.126899,-0.565902,0.395290,0.897814,-0.194103,-0.035411,-0.012987,-0.005726,8.693846,42.028503,5.981465,,,,,,
1478277171.31,1.108217,-1.128686,-1.976723,-0.180032,-0.011392,-0.686290,0.382883,0.903851,-0.190931,-0.022241,-0.010189,0.019452,8.306581,42.089981,6.098363,,,,,,
1478277171.34,1.101486,-1.143555,-1.983010,-0.237326,-0.099583,-0.661015,0.369561,0.910112,-0.187404,-0.000314,-0.032900,-0.000981,8.306581,42.089981,6.098363,,,,,,
1478277171.36,1.095311,-1.159714,-1.983914,-0.388768,-0.352565,-0.719213,0.355274,0.916689,-0.182926,-0.018711,-0.065035,-0.010602,7.403290,42.220844,6.351961,,,,,,
1478277171.38,1.089906,-1.178046,-1.977540,-0.576131,-0.642087,-0.708259,0.339323,0.923860,-0.177039,-0.002760,-0.072206,-0.016488,6.533279,42.297485,6.781960,,,,,,
1478277171.40,1.086714,-1.197271,-1.966700,-0.521295,-0.545610,-0.701718,0.322974,0.931047,-0.169823,-0.001501,-0.113527,-0.003059,6.123672,42.306004,7.103414,,,,,,
1478277171.42,1.075701,-1.213606,-1.968363,-0.262035,-0.458108,-0.744591,0.307660,0.936883,-0.166121,-0.065655,-0.124535,-0.007524,5.312579,42.321636,7.642735,,,,,,
1478277171.44,1.051157,-1.235359,-1.983541,-0.316933,-0.497374,-1.227177,0.285730,0.944266,-0.163461,-0.100824,-0.076530,0.001413,4.808977,42.356232,7.783269,,,,,,
