@ HyperIMU - ianovir - 2016
@ Date: Fri Nov 04 10:33:31 PDT 2016
@ Sensors: BMI160_accelerometer - BMI160_gyroscope
@ SamplingTime: 100ms

time,accelerometer-x,accelerometer-y,accelerometer-z,gyro-x,gyro-y,gyro-z
1478280811551,0.07903565,9.05557,0.41912845,0.0,0.0,0.0#
1478280811653,0.026345216,9.553733,1.1639795,-0.0958738,0.15020229,-0.05965481#
1478280811760,0.0047900393,8.974138,1.3651612,-0.2130529,0.10972224,0.14594123#
1478280811864,-0.27542725,8.772957,1.5064673,-0.15446335,0.12144015,-0.013848438#
1478280811968,0.50534916,8.53585,2.1387525,-0.1768339,-0.20240025,0.10439592#
1478280812071,2.2920337,8.121511,2.5770411,-0.28229508,0.14061491,0.21198763#
1478280812175,1.1424243,7.9059596,3.0871804,-0.3568636,0.50387007,0.38562572#
1478280812281,1.0011182,7.6496925,3.0728102,-0.19600865,0.37923414,0.3153183#
1478280812387,2.2417383,8.380174,3.7338357,0.020240024,0.5400891,0.25246766#
1478280812494,3.4823585,7.7502837,6.332432,0.65726817,0.7233146,0.25566345#
1478280812601,1.0106983,7.783814,0.3520679,0.029827405,-0.44421527,-0.59867865#
1478280812705,0.80233157,7.443721,-0.5460645,0.88843054,-0.49854377,-0.10759171#
1478280812812,-0.18920656,8.657996,-1.2885206,0.9331717,-0.9054748,-0.18429075#
1478280812919,-1.0106983,6.444998,-1.2046949,1.0375676,-0.4111921,-0.21624869#
1478280813026,-1.710044,7.8676395,-0.6442603,0.9044095,-1.1387677,-0.5763081#
1478280813133,9.869876,11.958333,-0.48618898,0.66579026,-1.2069446,-0.2609898#
1478280813240,-3.2213013,11.766731,-1.453777,-0.9139969,0.094808534,1.6831179#
1478280813347,-1.7148341,11.484119,-0.91250247,-1.5350461,-0.6348976,1.1941614#
1478280813455,-1.5783179,10.518927,-0.855022,-1.4530207,-0.43249738,1.32945#
1478280813562,2.912344,2.7279274,1.7962648,0.15446335,1.2420983,-0.5944176#
1478280813669,1.3627661,16.065792,6.0617948,-0.28868666,1.9441077,0.37284255#
1478280813776,-0.94603276,18.056053,2.7518775,-0.45486793,1.1462245,0.07563378#
1478280813883,0.91729254,5.752837,-2.090852,0.7499462,-0.13422333,-0.7861652#
1478280813991,-0.9436377,5.415139,-2.7901978,1.0141318,-1.1664646,-0.24181503#
1478280814098,-0.9484278,5.1660576,-0.7831714,0.850081,-0.70627034,-0.8000136#
1478280814204,1.951941,9.654325,-1.3004956,0.4111921,-1.4626081,-0.43995422#
1478280814311,-1.7435743,10.518927,-6.67971,0.41864893,-0.056459017,0.09054748#
1478280814418,-2.818938,14.042,-3.04886,-1.73212,-0.30679616,1.5243934#
1478280814525,1.9974464,8.590936,-0.1580713,-1.2058793,0.43995422,1.1877699#
1478280814633,1.7627344,1.094524,0.92208254,-0.07456851,1.1632688,0.18216023#
1478280814740,4.375701,7.316785,2.191443,0.4889564,1.73212,-1.0546118#
1478280814847,0.8286768,8.387359,0.7544312,-0.4612595,1.1419635,0.023435818#
1478280814954,-1.4322218,3.1087356,-2.184258,0.19281286,-0.05752428,-0.17150758#
1478280815061,-0.3281177,4.517007,-0.2778223,1.6202673,-0.5613944,0.19707392#
1478280815168,0.45744875,8.583751,-1.0753639,0.813862,-1.820537,-0.51984906#
1478280815275,-0.28979737,9.544153,-0.98435307,0.3888215,-2.0762005,-0.7030745#
1478280815379,1.8681153,11.910433,-0.18441652,0.9012137,0.15339808,0.0010652645#
1478280815485,-2.1459377,14.9233675,-4.184099,-1.6745957,-0.16724652,2.0474384#
1478280815593,3.1207106,8.380174,0.119750984,-1.1909657,0.22903186,1.2026836#
