@ HyperIMU - ianovir - 2016
@ Date: Fri Nov 04 09:25:41 PDT 2016
@ Sensors: BMI160_accelerometer - BMI160_gyroscope
@ SamplingTime: 100ms

time,accelerometer-x,accelerometer-y,accelerometer-z,gyro-x,gyro-y,gyro-z
1478276741532,0.0,0.0,0.0,0.0,0.0,0.0#
1478276741633,-0.84544194,8.255632,3.3937428,0.11504856,0.14487597,-0.03089267#
1478276741739,-1.223855,7.8891945,3.5494192,0.1917476,0.18429075,-0.099069595#
1478276741844,-1.2070899,7.8868,4.3206153,0.41864893,-0.094808534,-0.112918034#
1478276741951,-2.2273684,9.237591,3.4368532,0.6689861,0.0010652645,-0.36751625#
1478276742057,-0.39517823,8.202942,2.4764502,0.535828,0.13528858,-0.21731395#
1478276742160,-1.4897022,9.429193,3.1087356,0.4282363,0.49534798,-0.2972088#
1478276742265,-2.0573218,8.171807,3.8464015,0.24607609,-0.24927188,0.0628506#
1478276742371,-7.6017923,9.802815,-3.5637891,-0.16298546,-1.0524813,-0.3834952#
1478276742478,-0.87897223,11.294912,1.4897022,0.041545313,0.36112466,-0.28336033#
1478276742585,-2.5004005,12.178675,0.0071850587,-0.004261058,0.46871635,-0.49854377#
1478276742692,-1.7507594,1.3268409,-1.223855,-0.49747851,-0.02876214,-0.22050974#
1478276742798,-3.2117214,5.132527,-3.0057497,-0.30679616,0.5454154,0.40586576#
1478276742903,-8.552615,18.90389,2.5363257,-0.5763081,0.5656554,-0.32810146#
1478276743010,1.0538087,5.774392,2.9171338,0.101200126,0.24501082,0.16085494#
1478276743115,-5.6833816,-0.76161623,-0.99393314,-0.8042747,0.5336975,0.43569317#
1478276743221,-9.062755,28.306738,0.852627,-1.1110709,-1.2591426,-1.361408#
1478276743327,-8.902288,12.231365,2.0237916,0.9139969,-0.23648871,-0.6870956#
1478276743436,-3.1566358,7.9826,1.7579445,-0.78723043,0.7233146,-0.34514567#
1478276743542,-1.8681153,0.40715334,0.38320315,-0.69135666,-0.5965481,1.0865698#
1478276743649,-12.490027,21.847368,-1.2382251,-0.35792887,-1.0247844,-1.3571469#
1478276743755,-2.9027638,10.056687,2.0166066,-0.03834952,0.3930826,-0.6593987#
1478276743862,3.439248,-3.68354,-2.5195606,-0.0031957934,0.47297743,1.4924355#
1478276743969,-11.946358,25.07825,5.2666483,-0.9534117,-1.7182716,-0.35579833#
1478276744076,-11.53681,16.678917,3.9661524,0.61572284,0.34194988,-0.0958738#
1478276744184,-0.8813672,7.417376,0.07664063,-0.6583334,0.813862,-0.8117315#
1478276744289,-1.2957057,0.8047266,-1.8800904,-0.74248934,-0.71159667,1.196292#
1478276744394,-11.167976,23.911877,-0.34727785,0.4495416,-0.20879184,-1.2314457#
1478276744502,-2.2968237,8.641231,2.2489235,0.28442562,0.33662358,-0.36751625#
1478276744608,-3.290757,1.1280543,-2.914739,0.44741106,-0.2514024,1.3603427#
1478276744716,-10.049502,9.82437,0.050295413,-2.0357203,-0.4282363,-2.5363946#
1478276744821,-7.7071733,13.301939,4.988826,1.284709,0.628506,-1.551025#
1478276744924,-1.3651612,9.474698,0.4143384,-0.37923414,0.36112466,-0.2876214#
1478276745031,-1.5447876,2.1291726,-0.083825685,-0.6327671,-1.2602079,1.0546118#
1478276745138,-16.367563,26.82901,2.7015822,0.5795039,-0.11824436,-1.010936#
1478276745245,-3.7290456,12.343931,3.0823903,-0.13528858,0.5219796,-0.34408042#
1478276745353,3.661985,-7.661668,-4.718189,-0.35579833,-0.035153728,0.96299905#
1478276745461,-5.470225,1.5304176,-6.6916847,0.5209143,-1.7704695,0.101200126#
1478276745565,-4.184099,7.719148,5.8989334,1.6831179,1.0120013,-1.2335763#
1478276745669,-0.1939966,11.910433,-0.85741705,0.17576863,0.86392945,0.41225734#
1478276745773,-1.7986598,0.5508545,-2.3830445,-0.37603834,-0.37816888,0.35792887#
