@ HyperIMU - ianovir - 2016
@ Date: Fri Nov 04 09:26:21 PDT 2016
@ Sensors: BMI160_accelerometer - BMI160_gyroscope
@ SamplingTime: 100ms

time,accelerometer-x,accelerometer-y,accelerometer-z,gyro-x,gyro-y,gyro-z
1478276781686,0.0,0.0,0.0,0.0,0.0,0.0#
1478276781787,0.35925296,9.175321,-0.38320315,0.094808534,-0.10972224,-0.2066613#
1478276781890,-0.23231691,8.981323,0.16286133,0.16937704,-0.1438107,-0.066046394#
1478276781997,0.5748047,8.892708,1.1472144,-0.11717909,-0.3110572,0.30466563#
1478276782100,0.33290774,10.152488,2.0525317,-0.4048005,-0.60080916,0.37710363#
1478276782206,0.8047266,8.641231,1.8274,-0.29614353,-0.5336975,0.04474111#
1478276782310,3.7074904,9.783655,3.7649708,0.05752428,-0.06711166,-0.039414786#
1478276782416,1.5974782,7.5874224,2.323169,0.6306366,0.66365975,-0.66365975#
1478276782521,2.0860622,0.48618898,2.5459058,0.51771855,-0.3121225,-0.330232#
1478276782626,-0.58677983,8.399334,-0.847837,-0.14487597,-1.1984226,-0.023435818#
1478276782732,5.633086,17.13876,1.6429834,1.9515644,0.48682585,-0.10333065#
1478276782836,-1.3699512,11.702065,-0.90771246,2.0687435,-0.37284255,-1.0567423#
1478276782941,0.7424561,1.84177,-4.4212065,-1.4391723,-1.2261194,0.7499462#
1478276783047,-0.51971924,22.436544,-5.1828227,-2.8538435,0.17257284,1.067395#
1478276783154,3.68354,18.216518,2.560276,-0.92784536,-0.060720075,0.20133498#
1478276783260,6.7467704,-15.217955,0.043110352,0.0628506,2.2988408,-0.6945524#
1478276783368,-0.44547364,12.449312,-1.4418018,-1.8514296,-0.9534117,1.4871092#
1478276783472,-5.352869,0.62989014,-14.044395,-1.8077538,0.9853696,2.005893#
1478276783577,5.9707837,7.209009,-1.346001,2.4266725,-0.082025364,-0.8788432#
1478276783682,0.81191164,1.0609937,-2.4908204,-0.8042747,-1.917476,0.40906155#
1478276783787,-1.1376343,5.1971927,-4.734954,-1.4157364,1.4040185,1.3944311#
1478276783893,7.0102224,18.348246,2.6896071,-1.1025487,-0.78936094,0.17150758#
1478276783999,3.2069314,1.6286134,1.5232325,0.083090626,-0.24501082,-0.33981937#
1478276784103,-2.7710378,4.5649076,-3.0847852,0.25992453,0.9331717,-0.46552056#
1478276784206,4.3182206,19.083517,4.567302,-0.41864893,0.86499476,0.5603291#
1478276784311,9.204061,7.8604546,-3.9469924,1.5584819,0.644485,-1.3667343#
1478276784416,9.204061,7.8604546,-3.9469924,1.5584819,0.644485,-1.3667343#
1478276784521,9.204061,7.8604546,-3.9469924,1.5584819,0.644485,-1.3667343#
1478276784624,9.204061,7.8604546,-3.9469924,1.5584819,0.644485,-1.3667343#
1478276784726,6.1695704,17.155525,3.3266823,-0.37390783,0.47510794,-0.7552725#
1478276784830,0.014370117,-10.748848,-1.1424243,0.39095205,0.7680557,-1.3901701#
1478276784936,-0.56522465,13.548626,1.6789087,-1.4349113,-1.0066749,1.0737866#
1478276785041,10.581197,10.099798,1.8992506,1.2676647,-1.1408982,0.46871635#
1478276785146,6.0258694,11.256593,-2.2585034,2.8783445,-0.21624869,-1.0088054#
1478276785252,-6.9096317,5.9228835,-2.936294,0.16724652,-0.5954828,-0.40053943#
1478276785357,-0.32332766,0.93405765,-2.8812087,-1.4956313,0.49747851,1.1536814#
1478276785462,-4.1170387,20.908522,1.4753321,-1.6128104,-1.9771309,0.86606#
1478276785567,1.8944606,6.210286,-0.7041358,0.55606806,0.03195793,0.38456047#
1478276785676,-3.8080812,0.6466553,-4.9241605,0.53263223,1.1366372,-0.5944176#
1478276785781,0.15088624,11.199112,6.8880763,-1.3571469,0.84368944,1.6724652#
1478276785889,-5.087022,28.000175,2.2513185,3.5111117,0.793622,-1.4604776#
1478276785995,-9.15616,1.1376343,0.2945874,1.7012273,0.15659387,-1.4146712#
1478276786100,2.931504,-5.415139,-3.65959,-0.9938917,-0.9086706,0.44847634#
1478276786210,-1.3579761,36.406693,0.6442603,-2.404302,0.080960095,2.525742#
1478276786316,2.4764502,15.661034,4.277505,-0.03195793,-0.32597092,0.45912898#
1478276786422,-0.05269043,-15.450272,3.5733693,0.8404937,1.2985574,-1.2538162#
1478276786528,-9.865086,20.22594,-15.87419,-3.529221,1.1685951,2.3350596#
1478276786633,4.4571314,-22.915548,-3.8799317,0.624245,-0.1438107,-1.1728562#
1478276786739,1.0825489,8.056846,-1.0490186,1.845038,0.45912898,-1.2431636#
1478276786845,2.6345215,0.4239185,-0.2921924,-0.6924219,-0.84688526,0.95128113#
1478276786951,-0.50774413,7.1635036,-6.567144,-2.7089674,-1.5733956,1.7193369#
1478276787057,6.6174393,16.48971,4.4188113,-0.5656554,0.9267801,-0.45167214#
1478276787164,3.0608351,-17.399818,0.24189699,0.04261058,1.7140105,-1.1888351#
1478276787268,1.7268091,12.564273,0.3424878,-1.4391723,-2.2668827,1.6202673#
1478276787373,9.424402,9.517808,-0.14370118,1.1707256,-0.8543421,-0.9896307#
1478276787479,3.4344583,8.641231,-2.9770093,3.0786142,0.9267801,-0.9257148#
1478276787585,-2.2968237,6.7611403,-0.6514453,-0.52837116,-2.0282636,0.34408042#
1478276787691,-5.9635987,4.4403663,0.25866213,-2.5513084,-0.112918034,1.3092101#
1478276787795,-2.3135889,21.131258,6.6365995,-1.1973573,0.6348976,0.8809737#
1478276787900,0.45026368,4.29427,-2.7973828,0.7946873,-0.26418558,0.6988135#
1478276788005,-3.2428565,1.0466236,-1.6501685,0.6199839,0.6988135,-0.101200126#
1478276788109,6.2989016,16.43223,4.184099,0.20772657,0.9129316,0.5592638#
1478276788213,1.949546,23.64124,-3.3506324,4.3558664,0.85753787,-2.5747442#
1478276788315,-12.25292,6.5240335,0.56522465,1.1899004,-0.8681905,-1.73212#
1478276788420,5.278623,-5.5947657,-2.7207422,-1.3241237,-0.30679616,0.85966843#
1478276788526,4.1050634,37.27848,-1.6094532,-2.509763,1.0066749,2.4554346#
1478276788629,4.071533,17.74949,4.3493557,-0.29933932,-0.8213189,-0.12676647#
1478276788734,-2.42855,-15.589183,-3.2692018,0.8607337,0.9981528,-1.4029533#
1478276788842,-1.3579761,11.539205,-0.42152345,-1.0386329,-0.8042747,1.9718045#
1478276788947,11.2302475,11.184742,-3.532654,1.4093449,-0.479369,-0.8245147#
1478276789058,-0.48618898,10.042317,-2.1315675,2.441586,0.20879184,-1.24849#
1478276789164,3.9206471,-0.6562354,-3.9637575,-0.7819041,-1.856756,1.438107#
1478276789269,-3.6907253,7.7143583,-4.1721244,-2.4703484,0.33129725,1.3273195#
1478276789373,3.5805542,19.713408,4.9505057,-1.5073493,-0.5486112,0.23861924#
1478276789482,4.2152348,-7.1467385,-2.8309133,0.5784386,0.76272935,-0.1736381#
1478276789589,-2.6441016,17.509989,5.400769,-1.0354371,-0.19600865,0.8788432#
1478276789696,5.357659,29.046799,2.9698243,0.90973586,-0.27803403,-1.5616777#
1478276789802,2.3878345,22.264103,-0.8334668,3.4844801,0.23329292,-1.1536814#
1478276789911,2.3878345,22.264103,-0.8334668,3.4035199,0.11824436,-0.850081#
1478276790017,-0.43349856,-2.3758595,-1.4058765,-1.4977618,1.3891048,0.9406285#
1478276790123,-3.899092,22.307213,1.7986598,-1.9164108,-1.8397117,0.9076053#
1478276790229,2.7255323,10.966795,2.0118165,0.41864893,-0.7765778,0.5123922#
1478276790332,-1.954336,-6.461763,-1.5687379,0.757403,0.60720074,-0.9757822#
1478276790437,-4.754114,14.743741,-4.368516,-1.9813919,0.9331717,2.7760792#
1478276790541,9.577683,37.13478,-4.533772,2.3265376,0.6178534,-2.7973845#
1478276790647,0.023950197,10.284214,-0.25147706,2.1411815,0.27057716,-1.7395768#
1478276790753,3.1398706,-1.8944606,-3.4560134,-0.6945524,-1.1845741,1.5126755#
1478276790860,-4.3278003,14.978453,-6.0617948,-2.5438516,-0.31851408,1.5851135#
1478276790966,7.422166,19.761307,4.5601172,-1.4604776,0.094808534,-0.2514024#
1478276791073,3.1135256,-9.908196,-2.5171657,0.4644553,1.3539511,-0.8447547#
1478276791183,-2.299219,16.346008,2.440525,-1.3837786,-0.75101143,1.2112057#
1478276791290,9.74294,3.9517825,1.4010864,1.8066885,-0.4825648,0.1438107#
1478276791395,6.952742,11.54639,-5.1636624,3.1904671,0.18535602,-0.9683254#
1478276791501,-3.0847852,6.5384035,-2.6704469,-0.24181503,-1.2026836,-0.4101268#
1478276791605,-1.4465919,-1.575923,-1.2909156,-1.7640779,0.44315,0.76912093#
1478276791710,-3.7697608,26.625433,1.1304493,-1.7757958,-1.6895094,1.091896#
1478276791816,2.7710378,13.194163,2.7327175,0.36005938,-0.18109496,0.3685815#
1478276791922,-2.327959,-6.3060865,-1.21188,0.8426242,1.2857742,-0.9033443#
1478276792028,-7.9083548,8.344249,-11.541599,-1.892975,1.5488945,2.4224114#
1478276792132,11.333233,22.062922,-5.1804276,1.3699301,2.0378509,-2.6045716#
1478276792238,-1.0298585,11.673326,-0.8334668,2.0676782,0.6711166,-2.1134846#
1478276792344,-0.5484595,2.9219239,-1.1472144,-0.17257284,-1.3401027,0.31957933#
1478276792449,-1.4968873,6.615044,-3.3793726,-1.3518206,-0.12996227,1.1526161#
1478276792555,2.1291726,17.198635,0.49337405,-1.2325109,-0.25353295,0.35899413#
1478276792659,2.2345533,4.167334,-0.028740235,0.644485,-0.49321744,-0.23009712#
1478276792766,-2.0166066,-2.4045997,-1.954336,0.07243799,0.9193232,-0.72011876#
1478276792870,-8.310719,8.147857,-9.362132,-1.7981664,1.861017,2.038916#
1478276792978,0.12933107,28.56061,3.0919704,2.207228,1.3486248,-2.4820662#
