@ HyperIMU - ianovir - 2016
@ Date: Thu Nov 03 16:26:37 PDT 2016
@ Sensors: BMI160_accelerometer - BMI160_gyroscope
@ SamplingTime: 100ms

time,accelerometer-x,accelerometer-y,accelerometer-z,gyro-x,gyro-y,gyro-z
1478215597912,0.0,0.0,0.0,0.0,0.0,0.0#
1478215598013,-0.20118165,9.263936,-0.5748047,0.027696876,0.039414786,-0.022370555#
1478215598117,-0.119750984,9.189691,-0.39757326,0.06391586,0.036218993,-0.027696876#
1478215598220,-0.2802173,9.254355,-0.46463382,0.08841695,0.094808534,-0.018109497#
1478215598324,-0.9268726,9.275911,-0.31374758,0.09161274,-0.025566347,-0.034088463#
1478215598427,-0.45744875,9.271121,-0.22273682,-0.007456851,-0.11824436,0.029827405#
1478215598530,1.8920655,9.15616,-1.5663428,0.21411815,0.17576863,-0.040480047#
1478215598634,-0.51013917,9.594449,-0.6730005,0.12037488,0.34301516,0.17044231#
1478215598737,0.7065308,8.943004,-1.3579761,0.30999196,0.0958738,0.23009712#
1478215598841,1.4394068,8.868757,-1.4298267,0.39095205,0.013848438,0.068176925#
1478215598946,1.1999048,8.646021,-1.6525636,0.49854377,0.036218993,-0.24607609#
1478215599048,0.92208254,9.869876,-1.3771362,0.4133226,-0.386691,-0.10226539#
1478215599151,-0.55803955,14.446758,-5.695357,0.608266,1.0386329,0.03834952#
1478215599254,0.7209009,8.914263,-4.86189,-0.5091964,-0.7414241,0.05006743#
1478215599356,-1.22146,9.493857,-1.3747413,-2.001632,0.112918034,0.12037488#
1478215599459,-1.2022998,9.381292,-0.45026368,-1.0887003,-0.6988135,0.39947417#
1478215599562,1.3028907,4.509822,0.34488282,-0.27377295,0.680704,0.81918836#
1478215599666,1.7579445,6.3779373,1.9399658,0.17150758,-0.017044231,-0.09374327#
1478215599769,1.7220191,6.6557593,-1.0202783,0.9416938,0.12996227,-0.026631612#
1478215599871,2.2441335,1.695674,-5.767207,1.0130665,0.98856544,0.3920173#
1478215599973,-4.392466,8.8951025,-0.7424561,0.43249738,-0.76485986,0.23222765#
1478215600075,3.3602126,7.189849,-1.9782863,0.7946873,-0.3089267,0.15126756#
1478215600185,0.6730005,7.1539235,-2.9338992,0.70200926,-0.44208476,0.25992453#
1478215600287,1.6405884,9.656719,-3.4560134,-0.08735169,-0.5933523,0.066046394#
1478215600390,2.1004322,10.480606,-2.5171657,-0.039414786,-0.39734364,-0.10652645#
1478215600494,-4.385281,10.629097,-5.886958,-0.78296936,0.41971418,-0.78723043#
1478215600597,6.6413894,6.69408,-2.823728,-1.856756,0.15126756,0.8266452#
1478215600699,-1.6214283,9.6615095,-0.98435307,-1.2186625,0.2514024,-0.084155895#
1478215600804,0.8646021,7.5179667,-0.40715334,-0.4346279,0.5049353,0.013848438#
1478215600907,1.9974464,5.3480787,1.7387843,-0.06498113,-0.04261058,0.25885928#
1478215601009,4.061953,6.327642,2.1650977,0.5571333,-0.1949434,0.066046394#
1478215601113,4.112249,5.0630717,-3.5829494,1.0812434,0.2514024,0.6295713#
1478215601217,-2.9794044,11.685301,-2.0190015,1.1920309,0.36645097,-0.43675843#
1478215601322,2.560276,7.0198026,-1.8274,1.128115,0.010652645,0.022370555#
1478215601426,0.2778223,9.465117,-3.6763551,0.47510794,0.083090626,0.10759171#
1478215601532,2.6129665,8.449629,-3.0871804,0.21624869,-0.07137272,-0.018109497#
1478215601636,1.4920973,9.541759,-3.0608351,-0.09374327,-0.48469532,-0.068176925#
1478215601742,-4.133804,13.261224,-4.28948,-1.0418286,-0.09267801,0.07989483#
1478215601847,3.2620168,8.54543,-1.6693287,-1.6330504,0.4250405,0.52624065#
1478215601951,0.8214917,9.1849,-1.0298585,-0.89801794,-0.0958738,0.43888897#
1478215602055,1.219065,6.3228517,0.67539555,-0.4910869,0.42077947,-0.1555286#
1478215602163,1.9902613,5.149292,1.2502003,0.12144015,0.37816888,-0.101200126#
1478215602267,3.178191,13.289964,-3.1350808,0.36005938,-0.0958738,-0.30253512#
1478215602370,4.967271,6.3803325,-3.4967287,1.1653993,0.7254451,-0.30040458#
1478215602473,-0.5604346,9.148975,-2.8668385,0.902279,-0.5049353,0.32384038#
1478215602576,2.0118165,7.4940166,-2.071692,0.721184,0.03089267,-0.12676647#
1478215602680,1.0609937,8.073611,-2.567461,0.26205507,-0.20133498,0.16405073#
1478215602784,1.2933106,9.400452,-2.2106032,0.28016454,-0.10439592,-0.04580637#
1478215602886,2.3710694,10.825489,-6.1863356,-0.12357068,-0.5997439,0.20133498#
1478215602989,-2.2776637,12.8061695,-3.774551,-1.5712651,-0.9821738,0.5006743#
1478215603093,1.6741188,9.872271,-1.4873072,-1.2879047,1.659682,-0.026631612#
1478215603196,0.5508545,6.310877,-0.34009278,-0.87032104,0.4676511,0.69987875#
1478215603299,2.196233,6.3899126,1.6118482,-0.19707392,0.7094661,0.060720075#
1478215603403,1.5352076,4.5960426,2.4980054,-0.16831179,0.16831179,-0.113983296#
1478215603506,2.4165747,12.226575,-0.77359134,-0.111852765,0.1736381,0.13848437#
1478215603609,2.0932472,7.690408,0.44307864,0.73290193,0.37284255,-0.4293016#
1478215603712,-0.17004639,10.121353,-0.54366946,0.6583334,0.024501082,-0.23755397#
1478215603815,1.7842896,8.789722,-0.43110353,0.2034655,-0.3717773,-0.42184472#
