@ HyperIMU - ianovir - 2016
@ Date: Fri Nov 04 10:33:08 PDT 2016
@ Sensors: BMI160_accelerometer - BMI160_gyroscope
@ SamplingTime: 100ms

time,accelerometer-x,accelerometer-y,accelerometer-z,gyro-x,gyro-y,gyro-z
1478280788217,0.0,0.0,0.0,0.0,0.0,0.0#
1478280788320,1.9567311,9.395662,0.24668702,-0.13315806,0.3334278,0.03089267#
1478280788427,2.0573218,8.873548,1.9830762,-0.74675035,0.09054748,0.42077947#
1478280788533,2.5411158,8.404124,1.6836988,-0.18429075,0.6135923,0.13422333#
1478280788637,2.3590944,8.581355,1.583108,-0.027696876,0.60933125,0.28336033#
1478280788743,2.8452833,8.255632,2.095642,-0.0479369,0.47617322,0.19600865#
1478280788847,3.1255007,7.7790236,2.5962012,0.070307456,0.6945524,0.054328486#
1478280788954,3.661985,6.933582,3.2404616,0.40586576,0.6380934,0.0479369#
1478280789060,2.311194,12.715159,0.39517823,0.5763081,0.9757822,-0.16192019#
1478280789167,-0.9053174,6.222261,-0.44547364,0.27164245,-0.29614353,-0.08948222#
1478280789273,0.9053174,8.205338,0.22513184,0.45167214,-0.479369,0.035153728#
1478280789377,2.9961696,7.951465,-0.30177248,0.5400891,-0.56459016,0.3174488#
1478280789485,1.9926564,9.254355,-0.4742139,0.8383631,0.22583607,-0.10652645#
1478280789592,2.4812403,9.623189,-0.84544194,0.40586576,-0.50173956,-0.4079963#
1478280789699,2.9698243,8.995694,-1.0370435,-0.051132694,-0.7765778,-0.10972224#
1478280789806,-0.69216067,10.427916,-3.7362306,-0.45593318,-0.4346279,0.82344943#
1478280789913,1.9184108,10.37283,-0.9148975,-0.8692558,0.0958738,0.8564726#
1478280790021,1.9854712,8.459209,-0.69216067,-0.7456851,0.8831042,0.7882957#
1478280790128,2.1004322,7.237749,0.57719976,-0.18109496,0.7105314,-0.098004326#
1478280790235,4.248765,6.11209,2.315984,0.42717105,0.13848437,-0.624245#
1478280790342,4.1050634,11.206297,2.6656568,0.13102753,1.0396981,0.013848438#
1478280790449,1.331631,8.978929,0.34727785,0.34408042,0.33981937,-0.67963874#
1478280790555,1.0035132,12.626543,-0.79754156,1.1004182,0.4261058,-0.18109496#
1478280790661,1.9232007,8.816068,-1.4346168,0.4910869,-0.16937704,0.049002163#
1478280790769,1.3747413,6.69408,-1.1160791,0.8032094,-0.27803403,-0.46232477#
1478280790876,1.1472144,6.9072366,-0.9388477,0.78936094,-0.28549087,-0.5965481#
1478280790984,2.936294,11.644586,-3.4440382,0.23755397,-0.8522116,0.51026165#
1478280791091,0.72569096,13.177398,-2.6584718,-1.252751,-0.15978967,1.3145363#
1478280791198,3.5973196,7.6209526,-0.49576905,-0.99708754,0.4079963,0.5305017#
1478280791304,2.2608986,6.8737063,0.58677983,-0.61678815,0.45593318,0.3121225#
1478280791411,3.9422023,4.9217653,1.7627344,0.10759171,0.35260254,-0.43249738#
1478280791518,2.7279274,11.484119,2.459685,0.16724652,0.95660746,0.0777643#
1478280791624,2.8452833,9.292676,1.9711012,0.036218993,-0.20879184,0.051132694#
1478280791732,0.99393314,7.709568,-1.2741505,0.51452273,0.26525086,-0.29507825#
1478280791839,2.1555176,7.455696,-0.90771246,0.63702816,-0.6061355,0.15339808#
1478280791945,1.6334034,8.775352,-0.87897223,1.0524813,-0.17044231,-0.2972088#
1478280792052,0.84065187,9.295072,-0.97237796,0.41225734,-0.6988135,-0.6498113#
1478280792160,4.9529004,9.251961,-0.36883304,0.26312032,0.036218993,0.37071204#
1478280792265,-1.0705738,10.736873,-3.1374757,-1.3763217,-0.004261058,0.95660746#
1478280792372,3.551814,8.8879175,-0.9316626,-1.2879047,-0.63915867,0.69668293#
1478280792480,2.6512868,6.586304,0.4239185,-0.922519,0.38775626,0.24394555#
1478280792587,2.694397,4.4427614,1.8226099,0.22690132,0.25353295,-0.5251754#
1478280792694,2.0453467,12.636124,1.8920655,0.15765914,1.2144015,-0.084155895#
1478280792801,1.8848804,12.856465,0.90052736,-0.52837116,0.1107875,-0.22370553#
1478280792909,1.4394068,3.5949244,-2.5267458,0.44101948,0.5475459,-0.5613944#
1478280793016,0.76880133,6.12646,-1.8872755,0.60720074,-0.9108011,0.22370553#
1478280793122,1.6741188,8.298743,-0.852627,0.6583334,-0.6849651,-0.40373522#
1478280793228,1.0633887,9.251961,-0.79754156,0.33129725,-0.902279,-0.6306366#
1478280793344,2.2129982,11.009905,-0.0047900393,0.5006743,-0.18961707,0.35153726#
1478280793451,-0.6682105,16.583117,-3.8200562,-1.3060142,0.30146983,1.7246631#
1478280793558,4.598438,7.810159,-0.37122804,-1.3763217,-0.20985709,0.69668293#
1478280793666,2.5123756,4.095484,0.5628296,-0.05006743,1.0705907,0.2066613#
1478280793772,3.2476466,5.616321,1.6477735,0.35792887,0.43995422,-0.6103965#
1478280793879,3.4584084,11.481724,5.3121533,0.13209279,0.59228706,0.1917476#
1478280793986,2.2321582,16.642992,0.36164796,-0.070307456,1.0237192,-0.6061355#
1478280794093,2.2321582,16.642992,0.36164796,0.18216023,0.76272935,-0.6040049#
1478280794199,2.7375073,8.279583,-1.3555812,1.1089402,-0.59867865,-0.068176925#
1478280794305,1.4465919,7.767049,-0.7041358,0.7850999,-0.406931,-0.6668556#
1478280794410,2.186653,8.090376,-1.0130934,-0.12996227,-1.1675298,-0.3089267#
1478280794514,1.3891114,11.515254,-5.0415163,0.4495416,0.23222765,0.5390238#
1478280794621,-1.8369801,14.60962,-2.6129665,-1.6426378,-0.46978164,1.3699301#
1478280794727,3.9326222,7.29523,-0.040715333,-1.0279802,0.7669904,0.7286409#
1478280794831,1.8872755,5.592371,0.8095166,0.15978967,1.0748519,0.15446335#
1478280794939,3.9517825,5.6450615,2.8357031,0.608266,0.43995422,-0.82557994#
1478280795044,4.150569,11.460169,2.095642,0.44421527,0.8905611,-0.03834952#
1478280795150,-1.1352394,5.1660576,-1.6765138,0.20879184,0.7669904,-0.60293967#
1478280795257,2.0142114,15.32573,-0.0023950196,0.8926916,-0.3355583,0.19813919#
1478280795362,2.3926246,10.126143,-0.21555176,0.83729786,-1.067395,0.05752428#
1478280795468,2.2800586,8.286768,-0.8981324,0.5006743,-0.5965481,-0.660464#
1478280795576,3.7577858,7.9059596,-0.96040285,-0.07243799,-1.2346416,-0.1470065#
1478280795682,1.7675245,9.309442,-5.0606766,0.1438107,0.49215218,0.49747851#
1478280795788,-0.05748047,14.10906,-1.22625,-1.4775218,-0.9821738,1.3582122#
1478280795894,4.2367897,6.806646,0.59156984,-0.7488809,1.293231,0.5251754#
1478280795999,2.3590944,6.013894,0.9388477,0.05752428,1.1813782,0.1107875#
1478280796104,3.4943337,6.262976,2.5099807,0.5944176,0.5581986,-0.67005134#
1478280796209,3.7266505,13.38816,1.9711012,0.09267801,0.46339005,-0.13528858#
1478280796315,1.5471827,6.823411,-1.2933106,0.26631612,0.15020229,-0.6423545#
1478280796420,-0.6586304,13.627662,0.44786867,0.9321064,-0.22370553,0.1107875#
1478280796526,2.4884255,8.799302,-1.5399976,0.75420725,-0.7850999,0.19068234#
1478280796630,2.4165747,7.668853,-1.0801538,0.63915867,-0.61572284,-0.5837649#
1478280796736,1.5543678,8.406519,-1.3268409,0.020240024,-1.1142666,-0.5187838#
1478280796842,2.5363257,11.285333,-1.092129,0.45593318,-0.72970617,0.113983296#
1478280796948,-1.099314,14.674285,-3.5039136,-1.3113406,-0.2247708,1.4892397#
1478280797055,3.647615,8.47837,-0.21555176,-1.1994878,0.0010652645,0.8117315#
1478280797160,2.5411158,5.4031644,0.5939649,-0.3685815,1.0226538,0.39627838#
1478280797266,2.3614893,5.872588,1.2813355,-0.024501082,1.0897655,-0.022370555#
1478280797372,2.440525,16.072977,6.7395854,-0.16298546,0.50173956,0.3536678#
1478280797478,2.7758276,17.007034,0.42152345,-0.2247708,0.33768883,-0.37390783#
1478280797585,1.5304176,8.48316,-1.8633252,0.65726817,0.28229508,-1.1132014#
1478280797690,2.4022048,6.9024467,-1.2358302,0.74035877,-0.71479243,0.007456851#
1478280797796,0.6179151,5.391189,-1.0394385,0.69668293,-0.26525086,-0.6689861#
1478280797902,1.3388159,8.581355,-0.6610254,0.26631612,-1.0972224,-0.19387813#
1478280798008,6.1552005,12.976216,-3.0799952,0.86606,-0.62531024,-0.023435818#
1478280798113,3.4512234,10.633887,-3.911067,-1.1334413,0.4111921,1.0546118#
1478280798218,-1.1208692,11.539205,-1.8609302,-1.5169365,-0.02130529,0.6061355#
1478280798326,2.663262,7.1227884,-0.47181886,-1.0056096,0.9235843,0.75101143#
1478280798438,2.2345533,3.7625759,1.4729371,-0.098004326,1.0791129,-0.49428272#
1478280798543,5.886958,10.039923,4.9169755,0.1438107,0.6263755,0.33662358#
1478280798648,1.2022998,16.621437,-0.5676197,0.42077947,0.5581986,-0.66579026#
1478280798754,2.680027,4.6032276,-2.5387208,0.7456851,-0.27803403,-0.61891866#
1478280798860,-0.06466553,4.9624805,-1.7387843,0.6135923,-1.0791129,-0.096939065#
1478280798965,2.0573218,6.1312504,-1.1783496,0.9331717,-0.47617322,-0.18855181#
1478280799071,1.2981006,10.054293,-1.3962965,0.3089267,-0.74248934,-0.6487461#
1478280799178,5.0918117,10.626702,-1.5543678,0.1917476,-0.9139969,-0.07137272#
1478280799283,-0.3520679,9.678274,-3.4368532,-0.39521313,0.037284255,1.0695255#
1478280799389,-0.9364527,9.912986,-1.6621436,-1.1781825,0.41758367,0.77444726#
1478280799496,2.2513185,7.862849,-0.009580079,-1.2261194,0.87990844,0.7755125#
1478280799601,2.1195924,4.112249,1.961521,-0.26844665,0.7105314,-0.12783173#
1478280799709,4.1314087,9.580078,2.6177564,0.49321744,1.0258497,-0.5581986#
1478280799813,3.1111305,10.3440895,2.4692652,0.13528858,1.0333065,-0.06711166#
1478280799919,0.57001466,9.0004835,-1.3531861,0.15339808,-0.52837116,-0.15339808#
1478280800025,-0.98195803,9.438772,0.18681154,0.5965481,-0.8671253,0.12144015#
1478280800131,2.3638844,8.732242,-0.9268726,0.9619338,-0.21624869,0.05539375#
1478280800237,0.88376224,8.538245,-0.62031007,0.8042747,-0.19707392,-0.7105314#
1478280800342,3.5542092,8.456815,-1.8513502,0.035153728,-1.3571469,-0.02130529#
1478280800448,4.6032276,9.496253,-1.4441968,0.6625945,-0.30360037,-0.24607609#
1478280800553,-1.0585986,9.551338,-3.2548318,-1.3667343,-0.05219796,1.1664646#
1478280800659,3.4727786,9.381292,-0.40715334,-1.3113406,-0.05219796,0.850081#
1478280800764,1.8106349,5.815108,0.5221143,-0.5368933,0.74675035,0.4261058#
1478280800871,3.7218604,5.024751,1.5974782,0.58056915,0.90973586,-0.716923#
1478280800976,2.5530908,14.60962,6.564749,-0.07669904,0.39521313,0.49960902#
1478280801082,1.8681153,15.7185135,-0.38080812,-0.03195793,1.1068097,-0.5091964#
1478280801186,1.2885206,7.680828,-2.9458742,0.9896307,0.37284255,-1.0375676#
1478280801293,1.1759547,6.6461797,-1.9088306,0.8000136,-0.5603291,-0.06498113#
1478280801398,1.1735597,7.070098,-0.8382569,0.66365975,-0.2876214,-0.56245965#
1478280801504,1.214275,9.410032,-1.223855,0.13209279,-1.2314457,-0.44528055#
1478280801609,3.432063,11.524835,-0.7209009,0.51452273,-0.34940675,0.08628642#
1478280801715,-0.6849756,14.226417,-4.8427296,-1.365669,-0.44208476,1.3859091#
1478280801821,3.661985,8.229287,-0.5843848,-1.1984226,0.18109496,0.7041398#
1478280801925,1.7842896,6.2965064,0.4981641,-0.4293016,1.1930962,0.51665324#
1478280802031,2.8883936,5.4582496,1.7435743,0.2514024,0.38562572,-0.5763081#
1478280802137,2.7159522,12.569063,3.5877395,0.007456851,1.164334,-0.018109497#
1478280802242,2.6321266,11.929593,1.0657837,0.21837921,0.05219796,-0.17576863#
1478280802348,-0.9484278,10.571617,-2.315984,1.2665994,0.60933125,-0.8383631#
1478280802452,0.45984375,6.7467704,-1.3986914,0.53795856,-0.64555025,-0.034088463#
1478280802557,1.590293,9.17053,-0.49576905,0.7392935,-0.18109496,-0.46232477#
1478280802663,0.8334668,9.359736,-0.9915381,0.2130529,-0.8745821,-0.58483016#
1478280802768,2.083667,11.199112,-0.4622388,0.45380265,-0.41864893,0.20985709#
1478280802872,-0.13651612,11.623031,-3.4560134,-1.1366372,-0.39947417,1.2793826#
1478280802977,3.0081446,8.847202,-0.84065187,-1.3475596,-0.1587244,0.5699165#
1478280803085,1.83219,6.543194,0.2562671,-0.5432849,1.0066749,0.53263223#
1478280803194,2.4860303,5.2666483,1.7699195,0.25033715,0.721184,-0.48682585#
1478280803299,3.04407,11.407478,1.6932789,-0.03089267,1.7512947,-0.15339808#
1478280803406,1.6765138,12.674444,2.7590625,-0.18216023,-0.084155895,0.03834952#
1478280803515,0.7185059,8.966953,-1.4394068,0.65513766,1.0343717,-0.7957525#
1478280803623,0.23471193,6.856941,-2.1770728,0.61572284,-0.52411014,0.12676647#
1478280803730,0.76880133,7.33355,-1.3819263,0.75101143,-0.38136467,-0.5699165#
1478280803833,0.7544312,9.0148535,-1.1567944,0.23009712,-0.90014845,-0.5581986#
1478280803940,3.6068995,10.267449,-0.488584,0.314253,-0.55287224,-0.020240024#
1478280804048,-1.3579761,11.153606,-3.3841627,-1.0663297,0.18216023,1.1930962#
1478280804157,2.320774,9.407638,-0.61552006,-1.1451592,0.083090626,0.7797736#
1478280804263,1.6405884,6.5096636,0.17244141,-0.49321744,1.3390374,0.7882957#
1478280804371,2.2345533,5.455855,1.6070582,0.26205507,0.69029135,-0.37071204#
