time (ms),  accel x,  accel y,  accel z,  gryo x,  gyro y,  gyro z,  linear accel x,  linear accel y,  linear accel z,  orientation x,  orientation y,  orientation z
1469406533738, 2.6767175, 5.9585695, 7.5213847, -0.32650748, 0.24190263, -0.37843102, -0.07225537, 0.13970661, 0.12176514, 220.14944, -36.39573, 20.380129
1469406533839, 1.8375498, 5.5407815, 6.9228344, -1.6688838, -0.32467487, 0.36926803, -0.5253087, -0.41164017, -0.5038724, 219.12027, -37.371315, 17.648832
1469406533940, 2.0871453, 6.1519012, 7.2322845, -0.021991149, -0.122478485, -0.28038713, -0.31897545, 0.132967, -0.12661505, 219.8257, -37.86191, 18.106062
1469406534042, 2.475006, 5.631162, 6.0860605, 0.010995574, -0.4129449, -0.204029, -0.024518728, -0.48738146, -1.1586747, 220.94797, -38.602802, 19.03508
1469406534149, 1.9644425, 4.281431, 5.0062757, 0.3182608, -0.62949663, -0.18387043, -0.6643646, -1.8975878, -2.140716, 221.37914, -39.056366, 20.194536
1469406534262, 3.0083144, 4.5358152, 2.658761, 1.0338894, -1.3738359, -0.28099802, -0.58244467, -2.3799696, -3.2951255, 229.81326, -44.846817, 31.09397
1469406534368, 6.2422824, 6.487688, 1.1869255, 1.9905044, -1.9828686, -0.5766568, 0.6111841, -0.7731061, -2.2397332, 233.16278, -47.76507, 58.678482
1469406534470, 6.7839704, 9.871892, 0.3333926, 2.251344, -1.142318, -0.94897914, 1.0021625, 2.0484767, -0.9056599, 225.95058, -52.917328, 36.46584
1469406534572, 4.872799, 11.536461, -0.81283146, 1.5564847, -0.29535335, -1.1942415, 0.2842908, 2.8695364, -0.7925871, 210.82126, -117.89821, 27.897976
1469406534675, 0.7080852, 12.0410385, -0.78888947, 0.8894198, 1.2281445, -1.0519099, -2.0552855, 2.6429377, -0.3307564, 207.98714, -106.596596, 16.385183
1469406534784, -0.3585317, 11.763311, -1.6537948, 0.4343252, 1.2666291, -0.35277468, -1.5669098, 2.0721684, -0.7638526, 208.1291, -98.80256, 7.1074653
1469406534887, -0.50637364, 10.051457, -1.5472529, -0.08002335, 0.5900958, -0.21288654, -1.0279403, 0.33925533, -0.29366028, 207.87056, -97.95835, 3.0739563
1469406534989, 2.3588872, 9.093178, -2.633622, -0.23396139, -0.7892379, -0.13347405, 2.540241, -0.61375904, -1.2505443, 213.04066, -98.17754, -1.070327
1469406535104, 0.7320272, 9.613917, -1.2210429, -0.3051272, 0.32925636, -0.18478674, 0.16373861, -0.01212883, 0.56408346, 214.39613, -101.01311, 3.3786237
1469406535229, -0.11791443, 9.48882, -0.80205756, -0.28680122, 0.1020145, -0.045814894, -0.41931322, -0.2221365, 0.5309277, 212.85826, -98.01072, 1.7777174
1469406535334, 0.51355624, 9.694721, -0.6931214, -0.20616703, 0.03390302, 0.0693332, 0.040943682, -0.049697876, 0.30354518, 212.06891, -96.45819, 2.776718
1469406535436, 0.8750807, 9.655815, -0.66498953, -0.1441642, -0.09560041, 0.11453723, 0.2794175, -0.10500717, 0.07119125, 211.86719, -95.541336, 3.4921973
1469406535552, 0.9331401, 9.6049385, -0.51595044, -0.096516706, 0.20769419, 0.14508049, 0.17546993, -0.15469074, 0.07223463, 211.56265, -95.61305, 4.4391446
1469406535653, 1.3377602, 9.49301, -0.8194155, -0.054061573, 0.24495697, 0.16065755, 0.30264032, -0.23864841, -0.19193417, 210.69646, -97.090256, 6.071508
1469406535759, 1.2210429, 9.559449, -0.65900403, -0.08368854, 0.22174409, 0.13194689, 0.008342028, -0.15198326, -0.03622985, 209.02577, -97.99075, 7.1178813
1469406535865, 1.7788919, 9.5013895, -0.5315128, -0.08155051, 0.19211712, 0.12736541, 0.44128752, -0.20127678, -0.042166263, 205.73804, -98.35111, 7.8492894
1469406535968, 1.5334862, 9.753978, -0.6452374, -0.22174409, 0.13439035, -0.035124753, 0.029718876, 0.06717968, -0.371286, 202.47966, -98.96692, 8.824097
1469406536074, 1.0971429, 9.579201, 0.4285621, -0.2012801, 0.25320363, -0.16615535, -0.37553394, -0.1162405, 0.4237053, 199.73395, -81.3631, 8.636852
1469406536176, 0.43035775, 9.750386, 0.59735334, -0.018325957, -0.18570304, 0.03390302, -0.96760494, 0.04613304, 0.38857383, 199.34521, -81.712975, 8.197446
1469406536279, 1.46585, 9.534908, -0.20649989, 0.06414085, -0.14935656, 0.10751228, -0.0966568, -0.14492035, -0.37935588, 198.85765, -80.775505, 9.169525
1469406536382, 1.5981296, 9.636064, 0.27832595, 0.10048734, -0.116980694, 0.17592919, -0.16089427, -0.010749817, 0.15496668, 198.67502, -79.64125, 10.333922
1469406536485, 0.80445176, 9.718663, -0.16639702, 0.20005837, -0.33169982, 0.32559118, -1.2175882, 0.12275028, -0.15107612, 197.99883, -101.899506, 11.899222
1469406536601, -0.5734113, 9.427169, 0.08499416, 0.49418998, -0.06994407, 0.8594874, -3.0803936, -0.049206734, 0.37437052, 196.57861, -104.91219, 14.818172
1469406536703, 2.1338322, 12.925097, -3.2094274, 0.6908886, -0.57818395, 2.0592268, -1.7293234, 3.9779682, -2.1161275, 187.96495, -114.1674, 23.353527
1469406536806, 6.261436, 7.9152308, -2.493561, 0.21074851, 0.053450707, 1.5741998, 0.7460923, -0.0040769577, -0.75116086, 175.52046, -126.14328, 34.855
1469406536914, 5.493496, 6.882133, -2.3708582, -0.5876524, -0.57787853, -1.5974126, 0.18167353, -1.1633029, -0.5747796, 173.85654, -124.874535, 33.43391
1469406537016, 3.7074213, 8.72088, -3.1316159, -0.22937989, 0.4700608, -2.5289822, 0.6801286, -0.51036644, -1.7937171, 184.63585, -109.72472, 18.156374
1469406537118, 3.9791632, 8.918402, -2.3822308, 0.03940081, 0.88239485, -0.69027776, 2.0303218, -0.60508347, -1.0877632, 195.63681, -103.80218, 11.565071
1469406537225, 1.5951369, 9.023148, -2.0632033, 0.05955936, 0.87781334, -0.37965274, -0.11227989, -0.5544729, -0.828575, 198.6965, -102.40715, 10.108018
1469406537329, 2.2499511, 9.320627, -1.2246342, -0.18295415, -0.01740966, -0.14446963, 0.7554445, -0.3086815, -0.12314534, 200.45349, -100.91287, 8.822144
1469406537433, -0.1364695, 9.606734, -2.6635494, -0.34697145, -0.8943067, -0.16279559, -1.258527, -0.10632992, -1.9100492, 201.38115, -97.921906, 6.5896254
1469406537541, -0.45070848, 9.738416, -0.97623575, -0.3481932, 0.7290677, -0.047647487, -1.4944755, -0.0024309158, -0.53254974, 199.42226, -96.64119, 6.1161137
1469406537644, 0.1316811, 9.680356, -0.6757634, -0.27672195, -0.010079277, 0.13958271, -0.95985353, -0.065135, -0.60956514, 199.84315, -96.40227, 6.3907256
1469406537745, 1.3126211, 9.627684, -0.6500258, -0.24770586, 0.12950343, 0.17745635, 0.0091564655, -0.08987236, -0.85120887, 200.27388, -82.270836, 7.6397705
1469406537847, 0.5734113, 9.61691, -0.31783026, -0.30176744, 0.012217305, -0.03634648, -0.83759636, -0.077100754, -0.7712673, 201.28156, -81.307625, 8.281506
1469406537951, 0.6386533, 9.696517, 0.5189432, -0.26297748, -0.014966198, -0.057421334, -0.72856975, 0.016916275, -0.25977737, 202.09348, -80.7672, 8.0397215
1469406538052, 0.6314707, 9.661202, 0.14425065, -0.16646078, -0.26816985, -0.013439035, -0.7124312, -0.002910614, -0.8402526, 202.31004, -80.219315, 7.9168415
1469406538154, 0.31603462, 9.570223, 0.260968, -0.08460484, -0.057421334, 0.0, -1.0199878, -0.08196831, -0.84386253, 202.32585, -79.81748, 7.8806067
1469406538257, 1.0031705, 9.668983, 0.12868834, -0.03604105, -0.094989546, 9.162979E-4, -0.36936843, 0.02580738, -1.009592, 202.84694, -79.523735, 8.100651
1469406538359, 0.48841715, 9.721656, 0.142455, -0.024740042, 0.113926366, -0.06536258, -0.85245967, 0.07745457, -1.0245231, 203.45161, -79.55671, 7.915349
1469406538463, 0.09876082, 9.743204, 0.7715315, -0.03390302, 0.48808134, -0.08460484, -1.1581753, 0.09192848, -0.42987138, 204.12798, -79.78726, 7.4201665
1469406538573, 0.40521863, 9.651027, 0.4261679, 0.035124753, 0.5317582, -0.09590584, -0.6740856, -0.0160141, -0.8203555, 204.57819, -80.32056, 6.3705664
1469406538675, 0.6254852, 9.657013, 0.2621651, 0.057726767, 0.30848694, -0.1328632, -0.31346887, -0.028586388, -0.95354867, 204.85522, -80.98825, 5.53714
1469406538777, -0.093373865, 9.850345, 0.08200141, 0.12950343, 0.36926803, -0.22143865, -0.8096514, 0.13624859, -1.0553987, 204.55452, -82.12199, 4.217123
1469406538885, -0.23044191, 9.661801, 0.4297592, 0.2144137, 0.3659083, -0.25228736, -0.66579324, -0.088674545, -0.52369773, 204.08086, -83.86445, 2.556515
1469406538986, -0.45010993, 9.554062, -0.3728969, 0.26083946, -0.18448131, -0.27000242, -0.6217464, -0.22606945, -1.072904, 204.38327, -85.785416, 1.0054098
1469406539092, -1.5741876, 9.758766, -0.48841715, 0.23090707, -0.15088372, -0.33414328, -1.4437095, -0.03798008, -0.9092934, 205.18564, -87.424736, -0.76304984
1469406539194, -0.7978677, 9.536704, -1.1653777, 0.22540927, -0.37873647, -0.2125811, -0.40903687, -0.26138592, -1.2944454, 210.68054, -87.605835, -2.2725534
1469406539296, -1.4460979, 9.898229, -1.5442601, 0.1863139, -0.18661933, -0.18051068, -0.82855517, 0.111784935, -1.4235154, 217.22404, -93.67877, -3.6106827
1469406539401, 2.12246, 9.344569, -1.2641385, 0.19150625, 0.10048734, 0.042455133, 2.7724326, -0.4342718, -0.91455287, 219.49577, -94.31595, -3.8026998
1469406539504, -0.80445176, 9.461287, -1.917157, 0.26847526, 0.9789116, 0.82894415, -0.94678897, -0.315938, -1.1714959, 213.26672, -94.43963, 0.83405524
1469406539606, 1.1174936, 8.949526, -2.6102784, 0.2452624, 0.591623, 0.86834496, 0.116461635, -0.7515869, -1.5822966, 199.59196, -98.413376, 5.8913484
1469406539711, 1.5388732, 9.037513, -2.7329812, 0.30176744, 0.61575216, 0.9224065, -0.5007818, -0.46697807, -1.4388269, 184.04115, -104.25991, 12.111921
1469406539815, 2.2331917, 9.091981, -2.4510639, 0.2134974, 0.6178902, 0.4728097, -0.59818506, -0.18399239, -0.9984708, 171.7794, -108.93523, 16.974167
1469406539917, 1.7980455, 9.203311, -2.4001873, 0.15668693, 0.75533485, 0.07788532, -1.3624889, 0.037446976, -0.92764854, 163.56549, -110.82706, 19.025
1469406540018, 3.4284968, 10.079589, -2.2948422, -0.22937989, 0.20433442, -0.55924714, 0.6265311, 0.7686329, -1.0199082, 160.07579, -108.29494, 16.748228
1469406540120, 1.1079168, 8.810662, -1.8261774, -0.40408736, -0.09590584, -0.5647449, -1.034735, -0.6999111, -0.76390874, 162.8248, -104.114914, 12.696282
1469406540222, 0.10354923, 9.697714, -1.0163386, -0.3203988, 0.2751948, -0.23304509, -1.6049527, 0.06323719, -0.36190438, 163.20702, -100.75223, 10.055843
1469406540328, 1.1432313, 9.562442, -1.0630256, -0.19120082, 0.5421429, 0.12644911, -0.505285, -0.09776878, -0.6982056, 162.32219, -99.91397, 9.684245
1469406540430, 2.0805612, 9.427768, -1.2240356, -0.19883664, 0.47555858, 0.13194689, 0.20974398, -0.19803333, -1.1040596, 162.59135, -101.0206, 10.998571
1469406540534, 1.8130093, 9.450513, -0.7080852, -0.21319197, 0.32620203, 0.04917465, -0.15476, -0.15568447, -0.8468121, 160.3404, -78.39552, 11.576534
1469406540636, 1.8112136, 9.581595, -0.44891283, -0.21533, -0.032986723, 0.03970624, -0.1964544, -0.011463165, -0.78491706, 158.90941, -78.01988, 11.820451
1469406540740, 2.1308396, 9.478046, -0.60932434, -0.21685717, -0.1908954, -0.03023783, 0.08160734, -0.10233402, -1.0421587, 158.67386, -77.66811, 12.073564
