@ HyperIMU - ianovir - 2016
@ Date: Thu Nov 03 16:23:09 PDT 2016
@ Sensors: BMI160_accelerometer - BMI160_gyroscope
@ SamplingTime: 100ms

time,accelerometer-x,accelerometer-y,accelerometer-z,gyro-x,gyro-y,gyro-z
1478215389040,0.0,0.0,0.0,0.0,0.0,0.0#
1478215389141,-0.6562354,9.299861,1.83219,-0.07350325,-0.05219796,0.1438107#
1478215389245,0.2083667,8.863968,2.083667,0.014913702,-0.112918034,0.13528858#
1478215389350,-0.15088624,9.273516,2.069297,0.05539375,-0.14807177,-0.033023197#
1478215389453,0.26345217,8.873548,2.6967921,-0.051132694,-0.2695119,-0.07563378#
1478215389558,1.5016773,9.093889,3.532654,0.3334278,0.44208476,-0.36432046#
1478215389661,2.5219557,8.796907,3.0344899,0.5635249,0.48363006,-0.4825648#
1478215389765,0.8909473,8.890313,2.2872438,0.17789917,-0.029827405,-0.05219796#
1478215389869,-1.2046949,12.125984,-1.3172607,0.67324716,-0.35579833,-0.42184472#
1478215389976,4.0739284,15.706539,1.2981006,1.3986923,-0.4463458,-0.09267801#
1478215390083,1.4370118,8.701106,-0.91010743,1.3390374,0.36218992,-0.082025364#
1478215390189,-2.3878345,2.1579127,-3.6859353,-0.8213189,-1.9664782,1.0098706#
1478215390296,-2.8596535,23.499933,-4.263135,-1.9899141,0.05219796,1.1377025#
1478215390403,2.9530592,21.940775,1.707649,-1.2271847,0.47404268,-0.63383234#
1478215390508,5.1971927,-4.617598,-0.34488282,-0.93423694,0.54435015,0.7850999#
1478215390615,-5.1564775,9.13221,-1.7483643,-0.35899413,1.1163971,-0.46658584#
1478215390722,3.3123121,6.471343,0.38559815,0.8032094,-0.9651296,1.2836437#
1478215390829,3.2644117,11.314073,-4.2200246,2.538525,-0.33981937,0.44421527#
1478215390936,-5.721702,-0.54366946,-3.3602126,0.4048005,-0.9214538,-1.1153319#
1478215391043,3.410508,-2.9530592,-2.7662477,-0.24501082,1.1547467,1.0684602#
1478215391150,0.98914313,15.620318,-1.6549586,-0.37710363,-1.2634037,0.15020229#
1478215391258,1.3986914,7.4676714,1.6741188,-0.53476274,-1.0258497,-0.6412892#
1478215391366,-2.069297,-4.7062135,-2.9626393,1.2090752,1.4998924,-0.2130529#
1478215391473,-2.9506643,14.956898,-4.840335,-2.183792,-1.0130665,-0.34834146#
1478215391590,-2.2728736,16.39391,4.761299,1.8983012,-0.23648871,-0.572047#
1478215391698,-2.8548634,0.5748047,-0.8981324,1.2069446,-0.16724652,-1.7491642#
1478215391805,8.025711,-6.581514,-1.0777588,-0.99708754,-0.60507023,1.8216022#
1478215391912,2.1339624,25.514145,-2.1267774,-1.1419635,-0.44315,-0.20772657#
1478215392020,2.3638844,15.799945,2.0812721,-0.3355583,0.43675843,-0.65726817#
