@ HyperIMU - ianovir - 2016
@ Date: Thu Nov 03 15:23:43 PDT 2016
@ Sensors: BMI160_accelerometer - BMI160_gyroscope
@ SamplingTime: 100ms

time,accelerometer-x,accelerometer-y,accelerometer-z,gyro-x,gyro-y,gyro-z
1478211823985,0.0,0.0,0.0,0.0,0.0,0.0#
1478211824088,0.1939966,9.12263,-1.4513819,0.037284255,-0.07882957,-0.039414786#
1478211824195,0.366438,9.153765,-1.4130616,0.046871636,0.0010652645,-0.034088463#
1478211824300,0.07903565,9.012459,-1.334026,0.06711166,-0.096939065,-0.008522116#
1478211824405,0.7927515,9.350157,-1.21188,0.02876214,-0.25566345,0.07243799#
1478211824512,1.2549903,9.821976,-0.9029224,-0.17257284,0.18748654,0.08948222#
1478211824615,0.9651929,8.756192,-0.122146,-0.4644553,0.42290998,0.19707392#
1478211824722,-0.1101709,9.644744,-0.11256592,-0.4825648,0.34514567,-0.0127831735#
1478211824829,0.9651929,8.5598,0.73527104,-0.35260254,-0.018109497,0.068176925#
1478211824935,1.2621753,8.305928,1.1687696,0.23329292,0.25992453,0.018109497#
1478211825041,1.1759547,8.586145,0.76401126,0.30679616,0.5944176,-0.026631612#
1478211825146,1.4226416,9.216036,2.2776637,0.20879184,0.23329292,-0.05006743#
1478211825252,-0.047900394,17.847687,0.19639161,-0.27164245,0.11717909,-0.3206446#
1478211825357,-1.223855,6.6605496,-2.9482691,0.29507825,0.7882957,-0.46658584#
1478211825465,-0.55324954,7.29523,-1.4801221,0.4314321,-0.8841695,0.26631612#
1478211825571,1.4513819,8.885523,-1.9399658,0.46232477,-0.8319715,0.46552056#
1478211825678,-0.37362307,9.836346,-1.2789404,0.20240025,-0.5305017,-0.018109497#
1478211825785,1.1879297,9.16574,-0.5891748,0.26418558,-1.3273195,0.15126756#
1478211825890,1.8585353,11.115286,-4.600833,0.8159926,-0.16724652,0.49428272#
1478211825997,-4.382886,10.753638,-2.9482691,-1.2335763,-1.284709,0.6828345#
1478211826105,4.5601172,9.15137,-1.8561403,-0.83516735,0.86606,-0.040480047#
1478211826211,-0.8214917,8.157437,0.2778223,-0.6125271,1.3432984,-0.06924219#
1478211826320,2.8764186,7.6520877,0.7209009,0.21731395,0.9012137,-0.32490566#
1478211826428,0.91010743,9.72378,1.5256275,0.45380265,1.0695255,-0.3920173#
1478211826536,0.14130616,7.1443434,0.30177248,-0.60507023,-1.0002834,-0.5219796#
1478211826643,-2.1459377,11.448194,-2.938689,0.73822826,0.8628642,-0.60933125#
1478211826751,0.7783814,9.158555,-1.7986598,0.1438107,-1.3518206,0.78723043#
1478211826858,1.1304493,9.429193,-2.2273684,0.62531024,-0.4282363,-0.08841695#
1478211826965,0.76161623,9.024434,-1.0106983,0.051132694,-0.78723043,-0.070307456#
1478211827073,4.140989,7.7335186,-0.28500733,0.75101143,-0.4261058,0.07243799#
1478211827178,-3.786526,10.806329,-7.9897857,-0.1470065,0.16298546,0.700944#
1478211827283,4.497847,9.340576,-1.9279908,-0.8863,-0.42077947,0.6849651#
1478211827390,2.6321266,7.3838453,-0.76401126,-0.8490158,0.9672601,0.15126756#
1478211827495,1.6693287,6.9886675,0.3520679,-0.05219796,0.6828345,-0.13315806#
1478211827603,3.0033545,8.638836,0.2562671,0.3121225,1.123854,-0.2908172#
1478211827710,1.1735597,11.213482,-4.2104445,0.24927188,1.0183928,-0.40266997#
1478211827818,-0.57959473,5.5660257,-3.3650026,-0.5581986,-0.1917476,-0.16405073#
1478211827925,-2.680027,4.88105,-2.088457,0.03089267,-0.9470201,0.5273059#
1478211828034,3.0728102,7.6113725,-1.336421,0.49641323,-0.30040458,0.515588#
1478211828142,0.24189699,9.402847,-1.463357,0.25885928,-0.4495416,-0.27377295#
1478211828250,1.7244141,8.456815,0.09580079,0.23648871,-1.2985574,0.08948222#
1478211828357,1.6118482,12.027788,-3.666775,1.015197,0.10972224,0.4708469#
1478211828464,-2.680027,8.121511,-2.8764186,-1.1153319,-1.3592775,0.46019423#
1478211828579,2.6464968,10.97398,-2.5195606,-0.6668556,1.0354371,0.14274544#
1478211828686,0.3903882,7.5035963,1.1088941,-0.85966843,0.753142,0.004261058#
1478211828794,3.7170706,7.2760696,0.91729254,0.1587244,0.54648066,-0.43888897#
1478211828901,1.346001,10.95482,0.69216067,0.08948222,0.9076053,-0.2759035#
1478211829006,0.6730005,13.97973,1.0322535,-0.5049353,0.023435818,-0.6828345#
1478211829112,-3.2548318,10.890154,-3.1231055,0.78936094,1.1014835,-0.77125144#
1478211829220,-1.9136207,9.642349,-2.8261232,0.515588,-1.196292,0.257794#
1478211829326,1.7747096,8.641231,-1.8441651,0.44847634,-0.47830373,0.06391586#
1478211829434,0.364043,9.172925,-0.9867481,0.09161274,-0.7286409,-0.1257012#
1478211829539,5.388794,7.7215433,-1.3244458,0.43036684,-0.6775082,0.16085494#
1478211829645,-1.3986914,11.400293,-6.4833183,0.737163,0.3057309,0.8745821#
1478211829751,3.5039136,7.9634404,-3.5805542,-0.9076053,-0.6679208,0.80107886#
1478211829858,1.6238233,9.292676,-1.2909156,-0.96299905,0.72011876,0.082025364#
1478211829965,1.1759547,6.9144216,0.28500733,-0.25033715,1.0173275,-0.084155895#
1478211830070,2.8524685,8.904683,1.1256592,0.48682585,1.0823087,-0.25353295#
1478211830177,0.14370118,10.703342,-1.3603711,0.35153726,0.60293967,-0.4314321#
1478211830284,1.4226416,1.3747413,-2.7446926,-0.39627838,-0.29614353,0.070307456#
1478211830391,-2.1722827,9.065149,-1.1807446,-0.10972224,-0.36112466,0.18002969#
1478211830497,-0.3424878,9.251961,-1.951941,0.33981937,-0.9768475,0.45380265#
1478211830603,1.2094849,8.847202,-1.6286134,0.39947417,-0.46339005,-0.12037488#
1478211830708,1.839375,8.571775,-0.22513184,-0.027696876,-1.0855045,-0.014913702#
1478211830814,1.8345851,11.033855,-1.3819263,0.99282646,-0.26418558,0.20985709#
1478211830919,-2.8764186,7.6281376,-4.0595584,-1.2048141,-1.5776566,0.73822826#
1478211831024,4.9337406,9.539363,-2.5171657,-0.37816888,0.96939063,0.4612595#
1478211831130,1.3172607,12.221786,-2.071692,-0.83942837,0.90973586,0.31851408#
1478211831236,2.680027,7.110813,-0.102985844,0.12996227,0.82344943,-0.31957933#
1478211831344,1.5974782,9.68067,-0.81191164,0.3334278,0.91825795,-0.20240025#
1478211831449,2.7015822,15.783179,-1.8585353,-0.14274544,-0.068176925,-0.62104917#
