@ HyperIMU - ianovir - 2016
@ Date: Thu Nov 03 16:23:56 PDT 2016
@ Sensors: BMI160_accelerometer - BMI160_gyroscope
@ SamplingTime: 100ms

time,accelerometer-x,accelerometer-y,accelerometer-z,gyro-x,gyro-y,gyro-z
1478215436098,0.0,0.0,0.0,0.0,0.0,0.0#
1478215436200,-0.95561284,8.902288,-0.85741705,0.14168017,0.07350325,-0.16085494#
1478215436306,-0.81191164,9.189691,-0.43349856,0.11504856,0.10546118,-0.034088463#
1478215436411,-1.465752,9.22801,-0.26584718,-0.36432046,0.45593318,0.20985709#
1478215436516,0.3305127,9.711804,1.585503,-0.25885928,0.25672874,0.4857606#
1478215436621,0.07185059,9.304651,1.8944606,-0.6295713,0.17150758,0.20133498#
1478215436724,0.37362307,5.767207,2.7782228,-0.22583607,0.8085357,-0.20559604#
1478215436829,1.8920655,9.623189,1.219065,0.3717773,1.3124058,0.041545313#
1478215436936,0.48139894,11.00751,1.089734,0.49321744,1.1867046,-0.32810146#
1478215437043,-0.25147706,5.130132,-1.8800904,0.5496765,0.5454154,-0.0010652645#
1478215437150,-0.019160157,6.2725563,0.28500733,0.5006743,-0.26844665,0.6061355#
1478215437254,1.2430152,7.8580594,-1.6645386,0.9619338,-0.17789917,0.5400891#
1478215437361,-1.9830762,8.749006,-1.3986914,0.55606806,-0.3323625,-0.37816888#
1478215437468,6.6557593,8.392149,-3.4368532,0.8564726,-1.3603427,1.2559468#
1478215437575,-8.073611,14.530584,-8.655601,-1.0333065,0.10546118,0.96086854#
1478215437681,-1.6669337,10.341695,-2.694397,-0.55074173,-0.049002163,0.46339005#
1478215437788,2.3423293,3.9493873,0.34967285,-0.6317018,1.4689997,-0.37390783#
1478215437895,2.7710378,7.220984,2.201023,0.27803403,1.2900352,-0.52624065#
1478215438000,-2.6345215,18.39854,5.8007374,0.00958738,1.0908308,-0.98856544#
1478215438108,-4.998406,5.695357,-2.8428884,-0.78083885,0.09161274,-0.9076053#
1478215438214,-2.3303542,10.075848,-4.6104126,1.0301107,-0.6221144,0.30679616#
1478215438321,0.11256592,9.283096,-4.6846585,1.2676647,-1.0439591,-0.08841695#
1478215438428,-0.7711963,9.6615095,-1.4178516,0.49215218,-1.3166668,-0.330232#
1478215438536,7.9562554,6.8186207,0.05508545,1.2644689,-0.09374327,0.3568636#
1478215438644,-5.254673,16.525635,-5.127737,-1.4455639,-0.624245,1.9004318#
1478215438753,4.6918435,7.8820095,-2.1411476,-1.4572818,0.008522116,0.86392945#
1478215438861,-0.8646021,2.2800586,0.37601808,0.1587244,2.2817965,-0.4314321#
1478215438967,3.2045362,8.669971,2.320774,0.5432849,1.1259845,-0.46552056#
1478215439075,2.6129665,6.0689797,-4.373306,0.20240025,0.7275756,-0.4495416#
1478215439183,-7.6233473,1.7699195,-2.4022048,-1.7427727,-0.25992453,0.24927188#
1478215439291,4.605623,15.205979,-0.4622388,1.5222629,0.06391586,-0.406931#
1478215439399,0.7113208,3.906277,-0.3281177,0.3089267,-1.8407769,-0.10759171#
1478215439507,1.6813037,9.347761,1.0035132,0.31851408,-2.2487733,-0.29614353#
1478215439616,-3.1087356,10.691368,-10.9644,2.0804615,1.1249193,0.97471696#
1478215439723,4.1242237,11.304493,-2.320774,-1.2751216,-0.58056915,1.0705907#
1478215439831,2.8213332,4.167334,-0.68737066,-0.737163,1.6170714,-0.31851408#
1478215439940,2.9099488,4.1098537,0.70174074,0.572047,1.3997575,-0.18216023#
1478215440047,-3.6404297,20.858227,4.471502,-0.21731395,0.96086854,-0.608266#
1478215440152,1.5926881,11.441009,6.368357,-2.1805964,-0.6711166,-1.470065#
1478215440258,-4.018843,19.98165,-3.4823585,0.7946873,-0.56459016,-0.2876214#
1478215440364,3.6212697,6.231841,-3.1566358,1.6426378,-0.67005134,0.22050974#
1478215440469,-1.719624,10.253079,-1.1208692,0.035153728,-1.7129452,-0.72011876#
1478215440575,8.720266,7.6257424,-2.0285816,0.89162636,-1.1771172,0.46019423#
1478215440684,-6.583909,17.955462,-10.768008,-0.5965481,0.45167214,0.8841695#
1478215440790,-0.8214917,12.099639,-1.8154249,-0.700944,0.5230448,-0.03089267#
1478215440895,2.7590625,2.0261867,1.6238233,-1.0162623,1.0492855,-0.22050974#
1478215441003,4.148174,6.198311,2.2537134,0.6945524,1.3102753,-0.13741912#
1478215441109,-3.8104763,18.963766,7.7359133,-0.06391586,-0.084155895,-0.8309063#
1478215441214,-2.5914114,7.6353226,-0.44547364,-0.49641323,-0.36645097,-0.6562029#
1478215441319,-2.9794044,12.631333,-3.9326222,1.1419635,-0.27164245,-0.5858955#
1478215441426,2.3830445,11.335628,-3.2021413,0.96299905,-1.4253238,-0.0010652645#
1478215441534,-0.098195806,9.917776,-1.1735597,0.33981937,-1.0183928,-0.49215218#
1478215441639,10.820699,5.336104,0.08861572,0.6359629,-1.3954965,0.7414241#
1478215441744,-5.134922,16.741188,-7.2832546,-1.4114754,-0.15978967,1.9579561#
1478215441848,-1.1735597,10.487791,-2.5267458,-0.6870956,0.567786,0.22370553#
1478215441954,2.4764502,1.6884888,1.4346168,-0.49534798,1.4945661,-0.6199839#
1478215442059,3.051255,8.042476,0.6706055,0.5422196,1.6777915,-0.21624869#
