timeInMs,loggingSample,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,gyroRotationZ
0,1,140785.144,-0.018722534,1.00402832,-0.038024902,140785.138,-0.007861119,0.027611122,0.048302285,0.048302285
10.00000001,2,140785.154,-0.02041626,1.013046265,-0.041244507,140785.148,-0.020772923,0.036117791,0.0557365,0.0557365
19.99999999,3,140785.164,-0.009765625,1.010879517,-0.026031494,140785.158,-0.026164492,0.046761913,0.057826282,0.057826282
30,4,140785.174,-0.004623413,1.009902954,-0.029907227,140785.168,-0.025143436,0.069122879,0.056689112,0.056689112
40.00000001,5,140785.184,-0.002212524,1.006744385,-0.02255249,140785.178,-0.033800574,0.072296301,0.070620907,0.070620907
49.99999999,6,140785.194,-0.003250122,1.007965088,-0.012542725,140785.188,-0.032739571,0.062705726,0.076036711,0.076036711
60,7,140785.204,-0.004669189,1.006988525,-0.019638062,140785.198,-0.027409254,0.065896725,0.078210117,0.078210117
70.10000001,8,140785.2141,-0.003936768,0.997467041,-0.018386841,140785.208,-0.025288579,0.060565077,0.083619263,0.083619263
80.09999999,9,140785.2241,-0.001052856,1.002838135,-0.013504028,140785.2181,-0.018874622,0.058432417,0.085814773,0.085814773
90,10,140785.234,0.008224487,1.003585815,-0.015396118,140785.2281,-0.014582671,0.0648272,0.081515366,0.081515366
100.1,11,140785.2441,0.0131073,1.004074097,-0.017074585,140785.2381,-0.002711897,0.049935336,0.071941835,0.071941835
110.1,12,140785.2541,0.00340271,1.004302979,-0.025924683,140785.2481,0.00163598,0.028643895,0.069877885,0.069877885
120.1,13,140785.2641,-0.004150391,1.008682251,-0.02671814,140785.2581,-0.001569667,0.015860722,0.074202592,0.074202592
130.1,14,140785.2741,0.003860474,1.008209229,-0.02154541,140785.2681,0.000596282,0.024389762,0.066655993,0.066655993
140.1,15,140785.2841,0.01902771,1.003341675,-0.027786255,140785.2781,0.004948153,0.03612578,0.050502589,0.050502589
150.1,16,140785.2941,0.02394104,0.997253418,-0.033599854,140785.2881,0.003992345,0.016976587,0.039792154,0.039792154
160.1,17,140785.3041,0.020736694,1.000915527,-0.028747559,140785.2981,-0.000158458,-0.019214707,0.03341921,0.03341921
170.1,18,140785.3141,0.01512146,1.002609253,-0.02633667,140785.3081,-0.003204315,-0.05326695,0.020588898,0.020588898
180.1,19,140785.3241,0.012237549,1.00163269,-0.034164429,140785.3181,0.006569752,-0.072409752,0.005634983,0.005634983
190.1,20,140785.3341,0.005432129,1.002105713,-0.039581299,140785.3281,0.016307867,-0.079842102,-0.008277904,-0.008277904
200.1,21,140785.3441,-0.000183105,1.00038147,-0.036682129,140785.3381,0.01421915,-0.08196038,-0.015817046,-0.015817046
210.1,22,140785.3541,-0.005584717,0.999649048,-0.031097412,140785.3481,0.007825166,-0.085149782,-0.019072761,-0.019072761
220.1,23,140785.3641,-0.000671387,1.000869751,-0.035705566,140785.3581,0.016390425,-0.080887659,-0.021188909,-0.021188909
230.2,24,140785.3742,0.002761841,1.002090454,-0.041061401,140785.3681,0.013195431,-0.065968631,-0.029861493,-0.029861493
240.2,25,140785.3842,0.00567627,1.002593994,-0.038848877,140785.3782,0.006822752,-0.077675887,-0.033091641,-0.033091641
250.2,26,140785.3942,0.00541687,1.004058838,-0.037399292,140785.3882,0.001512409,-0.086188948,-0.036325251,-0.036325251
260.2,27,140785.4042,0.001495361,1.005767822,-0.033996582,140785.3982,0.000479369,-0.095768338,-0.038454981,-0.038454981
270.2,28,140785.4142,-0.008499146,1.003067017,-0.032104492,140785.4082,-0.003792608,-0.102158327,-0.037384124,-0.037384124
280.2,29,140785.4242,-0.015853882,1.005004883,-0.027755737,140785.4182,-0.011331484,-0.107496367,-0.027725371,-0.027725371
290.2,30,140785.4342,-0.014404297,1.003311157,-0.023590088,140785.4282,-0.012497682,-0.095800296,-0.017004816,-0.017004816
300.2,31,140785.4442,-0.004394531,1.003799438,-0.025970459,140785.4382,-0.010451576,-0.071319454,-0.011685152,-0.011685152
310.2,32,140785.4542,0.001449585,1.009185791,-0.026199341,140785.4482,-0.011587148,-0.058550662,-0.00634871,-0.00634871
320.2,33,140785.4642,-0.001464844,1.0050354,-0.024978638,140785.4582,-0.012678777,-0.060686517,-0.00204371,-0.00204371
330.2,34,140785.4742,-0.013717651,0.998916626,-0.016494751,140785.4682,-0.010536797,-0.07453602,0.003391003,0.003391003
340.2,35,140785.4842,-0.019577026,0.989883423,-0.014312744,140785.4782,-0.006347378,-0.072427329,0.017399497,0.017399497
350.2,36,140785.4942,-0.01272583,0.997451782,-0.018432617,140785.4882,-0.00538358,-0.056472331,0.028119519,0.028119519
360.2,37,140785.5042,-0.00151062,1.002105713,-0.0181427,140785.4982,-0.00328421,-0.042632415,0.029166408,0.029166408
370.2,38,140785.5142,0.010421753,1.004074097,-0.017333984,140785.5082,-0.001140898,-0.054350857,0.033518545,0.033518545
380.2,39,140785.5242,0.011169434,1.00553894,-0.019042969,140785.5182,-0.001123588,-0.079915605,0.041128528,0.041128528
390.2,40,140785.5342,0.007766724,1.002120972,-0.020278931,140785.5282,0.002147307,-0.101208644,0.040134637,0.040134637
400.3,41,140785.5443,-0.000762939,0.994293213,-0.019821167,140785.5382,0.01183349,-0.106522715,0.033748643,0.033748643
410.3,42,140785.5543,-0.002487183,0.9894104,-0.016647339,140785.5483,0.017227723,-0.123558424,0.033830402,0.033830402
420.3,43,140785.5643,-0.004425049,0.99331665,-0.019592285,140785.5583,0.022584671,-0.141668452,0.040372457,0.040372457
430.3,44,140785.5743,-0.006088257,0.968902588,-0.023696899,140785.5683,0.022552713,-0.15019909,0.04900749,0.04900749
440.3,45,140785.5843,-0.010025024,0.964996338,-0.018081665,140785.5783,0.026772758,-0.162998242,0.064136909,0.064136909
450.3,46,140785.5943,-0.012466431,0.978668213,-0.020095825,140785.5883,0.030946198,-0.159828015,0.080294573,0.080294573
460.3,47,140785.6043,0.006362915,0.969161987,-0.027282715,140785.5983,0.031920649,-0.153458799,0.093195724,0.093195724
470.3,48,140785.6143,0.017440796,0.985031128,-0.047286987,140785.6083,0.047971521,-0.138544564,0.087861945,0.087861945
480.3,49,140785.6243,0.014053345,0.999664307,-0.052719116,140785.6183,0.064110277,-0.142785914,0.07612859,0.07612859
490.3,50,140785.6343,0.021575928,0.95916748,-0.043273926,140785.6283,0.076094236,-0.14167005,0.041754904,0.041754904
500.3,51,140785.6443,0.017791748,0.898620605,-0.05607605,140785.6383,0.093480416,-0.15013038,0.003135872,0.003135872
510.3,52,140785.6543,-0.001174927,0.879058838,-0.062240601,140785.6483,0.098979844,-0.190579003,-0.004245345,-0.004245345
520.3,53,140785.6643,-0.016616821,0.909072876,-0.054367065,140785.6583,0.089195124,-0.225772677,0.034547591,0.034547591
530.3,54,140785.6743,-0.001831055,0.961334229,-0.042694092,140785.6683,0.093393864,-0.230053975,0.049651443,0.049651443
540.3,55,140785.6843,0.009902954,0.95451355,-0.047485352,140785.6783,0.098995823,-0.228928523,0.008783904,0.008783904
550.3,56,140785.6943,0.008270264,0.951080322,-0.060180664,140785.6883,0.089460108,-0.259800952,0.005592905,0.005592905
560.4,57,140785.7044,0.010177612,0.982086182,-0.056838989,140785.6983,0.073561037,-0.330078044,0.008940498,0.008940498
570.4,58,140785.7144,0.01348877,1.0128479,-0.041519165,140785.7084,0.062984292,-0.351355104,-0.002894856,-0.002894856
580.4,59,140785.7244,0.03036499,1.04800415,-0.051773071,140785.7184,0.063205335,-0.338517602,-0.043828175,-0.043828175
590.4,60,140785.7344,0.048171997,1.053649902,-0.053878784,140785.7284,0.056041964,-0.350157746,-0.092264151,-0.092264151
600.4,61,140785.7444,0.056686401,1.07611084,-0.051193237,140785.7384,0.034868502,-0.344774965,-0.132221421,-0.132221421
610.4,62,140785.7544,0.041702271,1.057556152,-0.031707764,140785.7484,0.023470439,-0.35107707,-0.190383527,-0.190383527
620.4,63,140785.7644,0.014144897,1.045074463,-0.032562256,140785.7584,0.020637634,-0.37442447,-0.241988399,-0.241988399
630.4,64,140785.7744,0.000701904,1.057022095,-0.029998779,140785.7684,0.008946623,-0.354162608,-0.263640165,-0.263640165
640.4,65,140785.7844,-0.018386841,1.091415405,-0.021179199,140785.7784,0.000463923,-0.290221176,-0.302623517,-0.302623517
650.4,66,140785.7944,-0.059997559,1.014953613,-0.032699585,140785.7884,0.014195714,-0.241257894,-0.293005244,-0.293005244
660.4,67,140785.8044,-0.095535278,0.958511353,-0.04057312,140785.7984,0.015872973,-0.269068752,-0.206815231,-0.206815231
670.4,68,140785.8144,-0.08895874,0.96194458,-0.039810181,140785.8084,0.00773089,-0.259636368,-0.105725631,-0.105725631
680.4,69,140785.8244,-0.059249878,0.996398926,-0.03288269,140785.8184,0.010459831,-0.194764427,-0.054245396,-0.054245396
690.4,70,140785.8344,-0.029220581,1.042327881,-0.040145874,140785.8284,0.006885337,-0.14797535,-0.014585601,-0.014585601
700.4,71,140785.8444,-0.017547607,1.042098999,-0.033493042,140785.8384,-0.006083725,-0.151201504,0.006874151,0.006874151
710.4,72,140785.8544,-0.009811401,1.060668945,-0.022018433,140785.8484,-0.005179848,-0.167222015,0.040289899,0.040289899
720.4,73,140785.8644,0.000335693,1.093154907,-0.011291504,140785.8584,-0.002036786,-0.169369056,0.052152684,0.052152684
730.5,74,140785.8745,0.003051758,1.100723267,-0.017410278,140785.8684,0.00222587,-0.156589078,0.049986468,0.049986468
740.5,75,140785.8845,0.000137329,1.099731445,-0.020111084,140785.8785,0.010815097,-0.167236396,0.050067428,0.050067428
750.5,76,140785.8945,-0.009613037,1.098007202,-0.02015686,140785.8885,0.017218402,-0.170436983,0.054418501,0.054418501
760.5,77,140785.9045,-0.008392334,1.099716187,-0.018936157,140785.8985,0.022526082,-0.176839755,0.064153953,0.064153953
770.4,78,140785.9144,0.00718689,1.117080688,-0.01864624,140785.9085,0.034226414,-0.182184187,0.078227694,0.078227694
780.5,79,140785.9245,0.032333374,1.146636963,-0.023696899,140785.9185,0.043895286,-0.199221494,0.079410137,0.079410137
790.5,80,140785.9345,0.042602539,1.182769775,-0.032531738,140785.9284,0.055860603,-0.233267345,0.062360846,0.062360846
800.5,81,140785.9445,0.046554565,1.208389282,-0.043075562,140785.9385,0.061402641,-0.253463694,0.039852342,0.039852342
810.5,82,140785.9545,0.039321899,1.221542358,-0.060501099,140785.9485,0.057261159,-0.269410702,0.023733026,0.023733026
820.5,83,140785.9645,0.009857178,1.212463379,-0.070419312,140785.9585,0.039077628,-0.282192278,0.026895796,0.026895796
830.5,84,140785.9745,-0.027191162,1.170196533,-0.068084717,140785.9685,0.001625594,-0.261947992,0.016935041,0.016935041
840.5,85,140785.9845,-0.082275391,1.082260132,-0.070373535,140785.9785,-0.048915345,-0.186363219,0.023953536,0.023953536
850.5,86,140785.9945,-0.134918213,0.971374512,-0.068191528,140785.9885,-0.109420767,-0.092746715,0.077138461,0.077138461
860.5,87,140786.0045,-0.181243896,0.875152588,-0.062835693,140785.9985,-0.166053687,0.044451887,0.178645112,0.178645112
870.5,88,140786.0145,-0.197128296,0.841217041,-0.05355835,140786.0085,-0.215435351,0.222076742,0.302673052,0.302673052
880.5,89,140786.0245,-0.164749146,0.822235107,-0.039398193,140786.0185,-0.24990571,0.452952569,0.416941304,0.416941304
890.5,90,140786.0345,-0.084228516,0.809906006,-0.038619995,140786.0285,-0.267920397,0.70736275,0.456974475,0.456974475
900.5,91,140786.0445,0.061080933,0.763748169,-0.016616821,140786.0385,-0.271264529,0.883117001,0.406924357,0.406924357
910.5,92,140786.0545,0.226791382,0.710983276,-0.058197021,140786.0485,-0.212316523,0.881262375,0.222157969,0.222157969
920.6,93,140786.0646,0.435516357,0.775680542,-0.086166382,140786.0585,-0.12104946,0.53027319,-0.027029753,-0.027029753
930.6,94,140786.0746,0.262786865,0.919143677,-0.149154663,140786.0686,-0.035607529,-0.279490767,-0.358825271,-0.358825271
940.5,95,140786.0845,-0.041809082,1.097198486,-0.065292358,140786.0786,-0.117062708,-0.925132095,-0.078622641,-0.078622641
950.6,96,140786.0946,-0.179321289,1.050201416,0.007980347,140786.0886,-0.156705991,-0.980541292,-0.049626143,-0.049626143
960.6,97,140786.1046,-0.178924561,0.960372925,-0.009094238,140786.0986,-0.156469236,-0.476820884,-0.120007365,-0.120007365
970.6,98,140786.1146,-0.090255737,0.96585083,-0.025909424,140786.1086,-0.160897274,-0.118082965,-0.06944592,-0.06944592
980.6,99,140786.1246,0.012451172,1.005783081,-0.03125,140786.1186,-0.179911712,0.036199283,-6.15E-05,-6.15E-05
990.6,100,140786.1346,0.06060791,1.006317139,-0.04536438,140786.1286,-0.191621365,0.074567978,-0.026072347,-0.026072347
1000.6,101,140786.1446,0.048919678,0.99458313,-0.050048828,140786.1386,-0.195464572,0.003293265,-0.067853882,-0.067853882
1010.6,102,140786.1546,0.017379761,0.998214722,-0.038040161,140786.1486,-0.209003284,-0.077584807,-0.095671399,-0.095671399
1020.6,103,140786.1646,-0.001754761,1.004547119,-0.018630981,140786.1586,-0.221707362,-0.104185525,-0.107503025,-0.107503025
