timeInMs,loggingSample,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,gyroRotationZ
0,1,140614.595,-0.043258667,0.676895142,-0.750091553,140614.589,-0.219434886,-0.095630919,-0.132268559,-0.132268559
10.00000001,2,140614.605,-0.104507446,0.699508667,-0.75100708,140614.599,-0.251454072,-0.115851236,-0.138848697,-0.138848697
19.99999999,3,140614.615,-0.075180054,0.680496216,-0.755905151,140614.609,-0.301105781,-0.021133249,-0.110357933,-0.110357933
30,4,140614.625,-0.075500488,0.681243896,-0.744186401,140614.619,-0.351502909,-0.024351412,-0.094493483,-0.094493483
40.00000001,5,140614.635,-0.079269409,0.68296814,-0.724685669,140614.629,-0.377319859,-0.012663331,-0.078532892,-0.078532892
49.99999999,6,140614.645,-0.096176147,0.700271606,-0.713104248,140614.639,-0.375327016,0.006477873,-0.062435415,-0.062435415
60,7,140614.655,-0.084487915,0.692733765,-0.708129883,140614.649,-0.353133829,0.037305561,-0.029037777,-0.029037777
70.00000001,8,140614.665,-0.075515747,0.679321289,-0.697784424,140614.6591,-0.320124214,0.046852993,-0.005200621,-0.005200621
79.99999999,9,140614.675,-0.079650879,0.68762207,-0.701248169,140614.669,-0.282773379,0.045761097,0.013312077,0.013312077
90.1,10,140614.6851,-0.077911377,0.697128296,-0.708343506,140614.679,-0.249703843,0.049996056,0.029631928,0.029631928
100.1,11,140614.6951,-0.072052002,0.694946289,-0.708557129,140614.6891,-0.229423605,0.04572115,0.040522925,0.040522925
110.1,12,140614.7051,-0.065490723,0.692276001,-0.704101563,140614.6991,-0.210165754,0.038261635,0.044960284,0.044960284
120.1,13,140614.7151,-0.052566528,0.685211182,-0.700836182,140614.7091,-0.179074414,0.036143357,0.037611025,0.037611025
130.1,14,140614.7251,-0.054748535,0.689117432,-0.703552246,140614.7191,-0.139321941,0.026591131,0.017418938,0.017418938
140.1,15,140614.7351,-0.057922363,0.703262329,-0.704818726,140614.7291,-0.104978348,0.031940356,0.000380033,0.000380033
150.1,16,140614.7451,-0.062301636,0.708129883,-0.708770752,140614.7391,-0.077087328,0.041543715,-0.013479856,-0.013479856
160.1,17,140614.7551,-0.068634033,0.712036133,-0.70930481,140614.7491,-0.068519406,0.050067961,-0.017761154,-0.017761154
170.1,18,140614.7651,-0.072036743,0.717391968,-0.712036133,140614.7591,-0.066421368,0.05644996,-0.013463345,-0.013463345
180.1,19,140614.7751,-0.073013306,0.716903687,-0.712280273,140614.7691,-0.068621938,0.056435579,-0.003789945,-0.003789945
190.1,20,140614.7851,-0.069351196,0.717636108,-0.71446228,140614.7791,-0.081485805,0.051103931,0.001533448,0.001533448
200.1,21,140614.7951,-0.072036743,0.717391968,-0.712280273,140614.7891,-0.098641623,0.044704355,0.008987902,0.008987902
210.1,22,140614.8051,-0.066452026,0.716430664,-0.707595825,140614.7991,-0.120058764,0.043636427,0.01102096,0.01102096
220.1,23,140614.8151,-0.060073853,0.710571289,-0.713897705,140614.8091,-0.133968987,0.044702757,0.009861952,0.009861952
230.1,24,140614.8251,-0.063934326,0.712753296,-0.721984863,140614.8191,-0.154210609,0.036202479,-0.002066879,-0.002066879
240.1,25,140614.8351,-0.066848755,0.708847046,-0.724182129,140614.8291,-0.183022816,0.030896397,-0.0140543,-0.0140543
250.1,26,140614.8451,-0.068099976,0.700317383,-0.717575073,140614.8391,-0.219355258,0.034106571,-0.025033981,-0.025033981
260.2,27,140614.8552,-0.069839478,0.697387695,-0.711959839,140614.8491,-0.250306782,0.036258406,-0.040284573,-0.040284573
270.2,28,140614.8652,-0.068389893,0.698852539,-0.709030151,140614.8592,-0.27375272,0.038413436,-0.057644654,-0.057644654
280.2,29,140614.8752,-0.068145752,0.704467773,-0.70880127,140614.8692,-0.289669102,0.03631593,-0.07925381,-0.07925381
290.2,30,140614.8852,-0.074752808,0.713485718,-0.706665039,140614.8792,-0.315225062,0.039543681,-0.102010255,-0.102010255
300.2,31,140614.8952,-0.079208374,0.725692749,-0.697692871,140614.8892,-0.337619318,0.033171269,-0.112881545,-0.112881545
310.2,32,140614.9052,-0.087844849,0.732772827,-0.681396484,140614.8992,-0.347200306,0.015072427,-0.113958527,-0.113958527
320.2,33,140614.9152,-0.090576172,0.73374939,-0.673843384,140614.9092,-0.337672581,0.017177922,-0.09776704,-0.09776704
330.2,34,140614.9252,-0.079116821,0.734985352,-0.670120239,140614.9192,-0.311086244,0.024594293,-0.072884061,-0.072884061
340.2,35,140614.9352,-0.065719604,0.735015869,-0.66784668,140614.9292,-0.273726088,0.022439263,-0.055444351,-0.055444351
350.2,36,140614.9452,-0.064529419,0.734771729,-0.661483765,140614.9392,-0.233061749,0.004326039,-0.046547795,-0.046547795
360.2,37,140614.9552,-0.065582275,0.733062744,-0.649032593,140614.9492,-0.181708813,0.005385977,-0.043028427,-0.043028427
370.2,38,140614.9652,-0.067749023,0.728179932,-0.652938843,140614.9592,-0.118574318,0.008578575,-0.04160044,-0.04160044
380.2,39,140614.9752,-0.066238403,0.726226807,-0.660247803,140614.9692,-0.0596865,-0.002070341,-0.040155409,-0.040155409
390.2,40,140614.9852,-0.071060181,0.726455688,-0.670776367,140614.9792,-0.029684126,-0.018042916,-0.038859781,-0.038859781
400.2,41,140614.9952,-0.076644897,0.730102539,-0.67741394,140614.9892,-0.0146876,-0.030824492,-0.035507128,-0.035507128
410.2,42,140615.0052,-0.067840576,0.746459961,-0.682540894,140614.9992,-0.023275495,-0.028699822,-0.032333971,-0.032333971
420.3,43,140615.0153,-0.061218262,0.769897461,-0.691604614,140615.0092,-0.044656684,-0.004190218,-0.046520364,-0.046520364
430.3,44,140615.0253,-0.052658081,0.860443115,-0.703277588,140615.0192,-0.078871114,0.010733604,-0.058599131,-0.058599131
440.3,45,140615.0353,-0.132904053,0.877212524,-0.667663574,140615.0293,-0.101774033,-2.24E-05,0.014484667,0.014484667
450.3,46,140615.0453,-0.157974243,0.656509399,-0.696762085,140615.0393,-0.057112289,-0.04402951,0.252715612,0.252715612
460.3,47,140615.0553,-0.063796997,0.621261597,-0.692184448,140615.0493,-0.127788589,0.056915481,0.389765343,0.389765343
470.3,48,140615.0653,-0.049728394,0.549987793,-0.713638306,140615.0593,-0.151029463,0.025027855,0.353136226,0.353136226
480.3,49,140615.0753,-0.057693481,0.564346313,-0.771347046,140615.0693,-0.258519705,0.025174862,0.253508701,0.253508701
490.3,50,140615.0853,-0.007598877,0.706924438,-0.800994873,140615.0793,-0.704550718,0.666598808,-0.057681672,-0.057681672
500.3,51,140615.0953,-0.030731201,0.766433716,-0.816680908,140615.0893,-1.0173555,0.961898632,-0.308959976,-0.308959976
510.3,52,140615.1053,0.205459595,0.884902954,-0.789932251,140615.0993,-1.363679892,1.251790108,-0.503374464,-0.503374464
520.3,53,140615.1153,0.142440796,0.665008545,-0.66784668,140615.1093,-1.675435122,1.104404382,-0.916909319,-0.916909319
530.3,54,140615.1253,0.028442383,0.797927856,-0.588806152,140615.1193,-1.766540265,0.83402642,-0.959671697,-0.959671697
540.3,55,140615.1353,0.097396851,0.880722046,-0.621826172,140615.1293,-1.693928379,0.554049892,-0.990706312,-0.990706312
550.3,56,140615.1453,0.008407593,0.918151855,-0.682785034,140615.1393,-1.765831598,0.389128315,-1.06596032,-1.06596032
560.3,57,140615.1553,-0.076797485,0.924041748,-0.800048828,140615.1493,-2.020937663,0.422066292,-1.021241318,-1.021241318
570.3,58,140615.1653,-0.238082886,0.882522583,-0.538650513,140615.1593,-2.230842427,0.094968324,-0.869718904,-0.869718904
580.3,59,140615.1753,-0.223022461,0.909103394,-0.613113403,140615.1693,-2.186264573,0.108471084,-0.641346182,-0.641346182
590.4,60,140615.1854,-0.123291016,0.897491455,-0.644958496,140615.1793,-2.270709682,-0.108838067,-0.571226216,-0.571226216
600.4,61,140615.1954,-0.088592529,0.826248169,-0.688018799,140615.1894,-2.448541732,-0.497479557,-0.561397021,-0.561397021
610.3,62,140615.2053,-0.050643921,0.779953003,-0.964080811,140615.1994,-2.844191329,-0.977616076,-0.600970796,-0.600970796
620.4,63,140615.2154,0.109527588,0.691299438,-1.018051147,140615.2094,-3.939880517,-1.639428651,-0.908757383,-0.908757383
630.4,64,140615.2254,0.47328186,0.39932251,-0.806503296,140615.2194,-5.220630904,-1.909159465,-1.394197588,-1.394197588
640.4,65,140615.2354,0.267227173,0.298461914,-0.516891479,140615.2294,-5.898612063,-1.672283004,-2.456706184,-2.456706184
650.4,66,140615.2454,-0.396621704,0.692199707,-0.525909424,140615.2394,-6.442256984,-0.828746969,-2.643141576,-2.643141576
660.4,67,140615.2554,-0.512161255,1.197662354,-0.303329468,140615.2494,-6.927753382,-0.691981397,-2.252433207,-2.252433207
670.4,68,140615.2654,-0.286087036,0.94670105,-0.469039917,140615.2594,-7.478808815,-0.859719533,-1.867647708,-1.867647708
680.4,69,140615.2754,-0.376861572,1.106216431,0.199050903,140615.2694,-8.688158256,-1.011231028,-1.658872657,-1.658872657
690.4,70,140615.2854,-0.947311401,0.583709717,2.574752808,140615.2794,-8.864966586,0.087155142,-1.382273017,-1.382273017
700.4,71,140615.2954,-0.233566284,0.057296753,0.993759155,140615.2894,-4.24322362,3.882396717,-1.012009204,-1.012009204
710.4,72,140615.3054,-0.011947632,0.376647949,-0.858963013,140615.2994,-1.085719377,3.947909415,-1.374039589,-1.374039589
720.4,73,140615.3154,-0.537521362,0.342559814,0.519104004,140615.3094,-1.384604349,-0.082565983,-1.767291543,-1.767291543
730.4,74,140615.3254,-0.142272949,0.32850647,0.269042969,140615.3194,-0.856957835,-0.129153193,-1.222795741,-1.222795741
740.4,75,140615.3354,0.018875122,0.464553833,0.103103638,140615.3294,-0.410608307,-0.5507774,-1.225439195,-1.225439195
750.5,76,140615.3455,-0.336227417,0.765930176,0.042739868,140615.3394,0.102093079,-0.903411353,-1.081543541,-1.081543541
760.5,77,140615.3555,-0.671676636,1.155990601,0.076980591,140615.3494,0.744983629,-1.207388821,-0.720728623,-0.720728623
770.4,78,140615.3654,-0.738616943,1.268447876,0.122177124,140615.3595,0.993974809,-1.170452375,-0.497713382,-0.497713382
780.5,79,140615.3755,-0.730957031,1.390411377,0.007369995,140615.3695,0.944116173,-0.800366727,-0.202068413,-0.202068413
790.5,80,140615.3855,-0.653305054,1.515151978,-0.10458374,140615.3794,0.816857553,-0.683663279,0.07774726,0.07774726
800.5,81,140615.3955,-0.526153564,1.501434326,-0.065673828,140615.3895,0.647157732,-0.767968839,0.206173942,0.206173942
810.5,82,140615.4055,-0.457122803,1.370025635,-0.003356934,140615.3995,0.431060053,-0.835061324,0.214823623,0.214823623
820.5,83,140615.4155,-0.463790894,1.143798828,0.036773682,140615.4095,0.179945267,-0.794478477,0.130396623,0.130396623
830.5,84,140615.4255,-0.199569702,1.116516113,0.258956909,140615.4195,-0.128032268,-1.010425688,-0.000943025,-0.000943025
840.5,85,140615.4355,-0.221130371,0.725616455,0.104095459,140615.4295,-0.078426898,-1.346737127,-0.096514023,-0.096514023
850.5,86,140615.4455,-0.284301758,0.805023193,0.003875732,140615.4395,-0.110614396,-0.284029326,-0.170903037,-0.170903037
860.5,87,140615.4555,-0.297866821,0.780578613,-0.009078979,140615.4495,0.113132681,-0.295736582,-0.172816252,-0.172816252
870.5,88,140615.4655,-0.320983887,0.779602051,0.022033691,140615.4595,0.220205073,-0.364976107,-0.15047233,-0.15047233
880.5,89,140615.4755,-0.327651978,0.788391113,0.033691406,140615.4695,0.269691666,-0.537505803,-0.120615897,-0.120615897
890.5,90,140615.4855,-0.30947876,0.792327881,0.05796814,140615.4795,0.243046739,-0.697284283,-0.074013774,-0.074013774
900.5,91,140615.4955,-0.291595459,0.806289673,0.086608887,140615.4895,0.175553715,-0.802771028,-0.021350296,-0.021350296
910.5,92,140615.5055,-0.285842896,0.840484619,0.100952148,140615.4995,0.113323097,-0.827310993,0.01280581,0.01280581
920.6,93,140615.5156,-0.292098999,0.917617798,0.119750977,140615.5095,0.145165183,-0.786891132,0.039772713,0.039772713
930.5,94,140615.5255,-0.326400757,0.965164185,0.13772583,140615.5196,0.219616514,-0.715624408,0.087339433,0.087339433
940.5,95,140615.5355,-0.373413086,1.002914429,0.119018555,140615.5296,0.255660003,-0.653916302,0.118571655,0.118571655
950.6,96,140615.5456,-0.396377563,1.079986572,0.073501587,140615.5395,0.217664683,-0.592252938,0.179514368,0.179514368
960.6,97,140615.5556,-0.394226074,1.031143188,0.044830322,140615.5496,0.187226883,-0.511397237,0.222147316,0.222147316
970.6,98,140615.5656,-0.370162964,0.998947144,0.021377563,140615.5596,0.123135248,-0.445313557,0.174229591,0.174229591
980.6,99,140615.5756,-0.360015869,0.97505188,0.042007446,140615.5696,0.103274458,-0.494206532,0.117222497,0.117222497
990.6,100,140615.5856,-0.359100342,0.943099976,0.056518555,140615.5796,0.046848199,-0.513310984,0.076060413,0.076060413
1000.6,101,140615.5956,-0.357437134,0.904296875,0.068847656,140615.5896,0.017804297,-0.463273383,0.078973379,0.078973379
1010.6,102,140615.6056,-0.362472534,0.881103516,0.055206299,140615.5996,0.012264922,-0.412180638,0.088475005,0.088475005
1020.6,103,140615.6156,-0.379806519,0.869613647,0.057815552,140615.6096,0.025055552,-0.422847131,0.101494667,0.101494667
1030.6,104,140615.6256,-0.408782959,0.905227661,0.086837769,140615.6196,0.077469492,-0.484646316,0.132113296,0.132113296
1040.6,105,140615.6356,-0.41217041,0.915008545,0.122695923,140615.6296,0.159912437,-0.546431121,0.153217783,0.153217783
1050.6,106,140615.6456,-0.39666748,0.990692139,0.134536743,140615.6396,0.192146007,-0.571970303,0.143792589,0.143792589
1060.6,107,140615.6556,-0.367614746,0.983139038,0.088592529,140615.6496,0.144447461,-0.619800144,0.087699226,0.087699226
1070.6,108,140615.6656,-0.349090576,0.990219116,0.050338745,140615.6596,0.059318185,-0.671884118,0.028175712,0.028175712
1080.7,109,140615.6757,-0.33241272,0.969726563,0.037307739,140615.6696,0.020041086,-0.679263737,-0.021532989,-0.021532989
1090.6,110,140615.6856,-0.334945679,0.955337524,0.053939819,140615.6796,0.047974717,-0.686696087,-0.035341746,-0.035341746
