time,x-accel,y-accel,z-accel,x-gyro,y-gyro,z-gyro 
10,-0.315436070,9.6234940,-0.47584760,-0.0042760570,0.0152716310,-0.082161374 
20,-0.119111540,9.7533790,-0.50936640,-0.0152716310,0.0155770640,0.0106901415 
30,0.178966580,10.1693720,-0.511162040,0.0555887370,0.049174650,0.09193522 
40,-0.0652420,9.8371760,-0.868496660,0.102930790,0.0503963830,0.038179077 
50,0.0754173550,9.7036990,-0.94750530,0.229685340,0.0277943690,0.005192355 
60,0.00179565130,9.7976720,-1.14742110,0.101403630,0.0226020140,-0.070554934 
70,-0.356736060,9.6725750,-1.01454290,0.15546520,0.00183259580,-0.09193522 
80,-0.349553440,9.6157120,-1.17854580,0.106290550,0.01252273750,-0.01282817 
90,-0.0029927520,9.6025450,-1.08337630,-0.0277943690,0.0586430650,0.11636983 
100,0.254383920,9.773730,-1.26713120,-0.031459560,0.0320704240,0.105068825 
110,-0.2609680,9.70070650,-1.21266320,-0.0775798860,0.0259617730,0.013744468 
120,-0.065840550,9.7270430,-1.32459210,-0.1038470940,-0.0167987940,0.008246681 
130,0.184952080,9.75637150,-1.26533560,-0.0247400420,-0.0620028230,-0.002443461 
140,0.198718740,9.6312750,-0.77452430,-0.12553280,-0.0024434610,-0.032986723 
150,0.0221463670,9.8383730,-0.881664750,-0.0045814890,-0.0155770640,-0.0106901415 
160,0.460883830,9.8928410,-0.96606040,0.0164933610,-0.0305432620,-0.080634214 
170,0.21128830,9.7132760,-0.975038650,0.1023199260,-0.037262780,-0.12644911 
180,-0.67157360,9.5283240,-0.937329950,0.149661990,0.005803220,-0.15393804 
190,-0.104746330,9.8856590,-1.50535430,0.206472460,0.0226020140,-0.04550946 
200,-0.373495460,9.7258460,-1.67414560,0.207694190,0.0259617730,-0.062308256 
210,-0.198718740,9.6809550,-1.82617740,0.091935220,0.045204030,0.06658431 
220,0.175375270,9.7964740,-1.67653980,-0.0235183130,0.040622540,0.038179077 
230,-0.0927753150,9.819220,-1.60112240,-0.111788340,-0.00610865230,-0.105374254 
240,0.263960750,9.984420,-1.43173270,-0.136222940,-0.0113010070,0.095294975 
250,0.196923090,9.8730890,-1.49278470,-0.0623082560,0.00702495030,0.10262536 
260,0.0508767850,9.6390560,-1.10851540,-0.05803220,0.0323758570,0.008246681 
270,-0.149637610,9.6516260,-1.27730660,-0.0226020140,-0.019853120,0.013133603 
280,-0.0227449160,9.6552170,-1.17914440,-0.065362580,-0.0079412480,-0.030848695 
290,-0.0496796850,9.8832650,-1.2928690,0.0048869220,-0.0519235470,-0.100792766 
300,-0.373495460,9.4415340,-1.05464590,0.077274460,0.0024434610,-0.12034045 
310,-0.41659110,9.9880110,-1.83874690,-0.00366519160,0.0381790770,0.04886922 
320,0.454898330,10.2220440,-2.1541830,0.237321150,-0.121867620,-0.02443461 
330,-0.390853430,9.5462810,-1.74238030,0.239153740,-0.0589484940,-0.23487769 
340,-0.150834710,10.3662950,-2.5564090,0.413250330,-0.018631390,-0.44532076 
350,3.93846180,16.0190050,-2.21463660,0.095600410,-0.34086280,-2.0176878 
360,-2.2445640,19.6085110,-2.25593660,0.299934830,-0.97860610,-8.720407 
370,12.9071420,10.2561620,1.03788640,-0.205861580,-2.17620750,0.010995574 
380,3.58591560,2.9394810,-1.08038350,0.430354570,-0.71043630,7.5557923 
390,-19.609110,13.68884850,3.8199490,1.9202550,-0.78771070,5.7696223 
