time,x-accel,y-accel,z-accel,x-gyro,y-gyro,z-gyro
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.8870517,9.71986,0.015562311,0.016187929,0.004581489,-0.07269296
2,1.0271125,9.807249,-0.078410104,0.13744467,0.0125227375,-0.016187929
3,0.9235633,9.773131,-0.4782418,0.2171626,0.02076942,-0.004886922
4,0.96306765,9.733627,-0.6392518,0.21135938,0.05497787,0.04337143
5,0.88405895,9.797073,-0.7685388,0.29626966,0.017715093,-0.1142318
6,0.6422446,9.742006,-1.2395979,0.37293324,0.03481932,-0.1637118
7,0.53211135,9.763555,-1.3030443,0.22815818,0.06872234,-0.10262536
8,0.5033809,9.704298,-1.8046296,0.21624629,0.109650314,0.031154128
9,0.52612585,9.677363,-1.9997569,0.18325958,0.05375614,0.053145275
10,0.60214174,9.710882,-2.1859062,0.11636983,0.005497787,-0.063224554
11,0.21068975,9.623494,-1.9764135,-0.018936822,-0.030848695,-0.07941248
12,0.350152,9.60015,-1.988983,-0.053145275,0.014049901,-0.013133603
13,0.32321724,9.59177,-1.9141643,-0.064446285,0.026267206,0.0729984
14,0.50038815,9.655815,-1.8195933,-0.14569137,-6.1086525E-4,0.10445796
15,0.7404069,9.704298,-1.5167267,-0.27397305,-0.038789943,0.06688975
16,0.93972415,9.803658,-1.3425486,-0.37965274,-0.08155051,-0.03145956
17,0.81043726,10.07121,-1.0414777,-0.45937067,-0.15027285,-0.108123146
18,0.57760113,9.888652,-1.1270704,-0.27152961,-0.43676865,-0.27885997
19,-2.5432408,9.1829605,-4.6561236,0.12339478,-1.59558,-0.4746423
20,2.1146786,9.242816,0.6039374,0.7199047,-4.0900483,0.08155051
21,2.066196,10.972627,2.3277626,0.3555236,-1.933083,0.183565
22,-2.7503393,10.333375,0.6039374,0.13316862,-0.030543262,-0.33536503
23,-1.8076223,9.879075,-0.6913257,-0.21288654,-1.4156802,-0.27885997
24,-0.9331401,9.066243,-1.8644845,-0.31337386,-0.8402451,-0.49235737
25,-2.119467,6.823475,-1.6801311,0.03359759,-1.1777482,-0.4822781
26,3.3171666,9.583989,-3.1962593,0.5516113,-1.0149527,0.7791586
27,1.4077905,10.007165,2.1631613,-0.0720821,-0.38881573,0.57543504
28,0.729633,10.40939,-1.8387469,0.10903945,0.12797627,0.20922135
29,0.51475334,9.855731,-1.1408371,0.26328292,0.13713925,0.052534413
30,0.39803603,9.640852,-1.1384429,0.27885997,0.1160644,0.020158553
31,0.59974754,9.734824,-1.7381904,0.30390546,0.044898596,0.0580322
32,0.66139823,9.669582,-2.0177135,0.21563543,0.016187929,0.01863139
33,0.700304,9.612122,-2.0207062,0.12767084,-0.009162978,0.025961773
34,0.6991069,9.610924,-2.0452468,0.08979719,-0.006414085,6.1086525E-4
35,0.66738373,9.580399,-2.0991163,0.071776666,3.0543262E-4,0.012217305
36,0.7493851,9.58818,-2.2122424,0.05589417,0.0076358155,-0.0015271631
37,0.79607207,9.60853,-2.2463598,0.04886922,0.011301007,-0.0070249503
38,0.6859388,9.53012,-2.2038627,0.0580322,0.0125227375,-0.005497787
39,0.86849666,9.636662,-2.4528596,0.04642576,-0.0012217305,-0.01282817
40,0.6919243,9.564238,-2.3050177,-0.04337143,-0.0030543262,-0.045814894
41,0.85473,9.635465,-2.3959973,-0.03176499,-0.021380283,0.0030543262
42,0.6871359,9.607931,-2.2870612,-0.048563786,-0.014049901,-0.06719518
43,0.6805518,9.584588,-2.0733786,-0.055283304,0.0033597588,-0.0143553335
44,0.748188,9.615712,-2.1021092,-0.06963864,0.011301007,-0.005192355
45,0.6973112,9.642049,-2.043451,-0.11942416,0.012217305,-0.01038471
46,0.7380127,9.692925,-1.8417397,-0.15790866,-0.0021380284,-0.013133603
47,0.7062895,9.697116,-1.6777369,-0.22479841,-0.00580322,-0.009773844
48,0.87448215,9.846753,-1.5346833,-0.2556471,-0.02107485,0.002443461
49,0.94211835,10.142437,-0.9379285,-0.1600467,-0.16646078,-0.23090707
50,1.18094,10.602123,-0.9187749,-0.18203785,0.04153884,-0.6462954
51,-0.207697,9.79827,-0.2873042,-0.44440445,0.61483586,-0.8848383
52,1.0121487,8.397064,-0.23104046,-0.53023106,0.8503244,-0.55863625
53,-0.15083471,8.590396,-2.1200657,0.019242255,2.4147503,0.03970624
54,-0.35075054,9.688137,-1.513734,-0.1600467,0.9092729,0.86529064
55,-0.5614403,10.281301,-1.4993688,0.102319926,1.2223413,0.636827
56,-2.429516,9.660604,-1.9273324,-0.0036651916,1.3637567,0.38606682
57,-0.4950012,9.1033535,-0.15562311,0.13347405,0.5103779,0.03634648
