time,x-accel,y-accel,z-accel,x-gyro,y-gyro,z-gyro 
0,0.0,0.0,0.0,0.0,0.0,0.0 
1,-0.3477578,10.208876,-0.3890578,0.007330383,0.021685716,-0.054367006 
2,-0.7781156,9.632472,-0.15203181,0.26145032,0.06566802,-0.04153884 
3,-0.79966336,9.685743,-0.4261679,0.24007004,0.17806722,-0.026572637 
4,-0.3172317,9.61272,-0.37229836,0.3051272,0.071776666,-0.038179077 
5,-1.2509704,9.601347,-0.9660604,0.31031954,0.062002823,-0.11209377 
6,-1.0965444,9.352949,-1.3000516,0.5390886,-0.12644911,-0.14966199 
7,-1.0857705,9.782109,-2.3971944,0.66523224,-0.12980886,-0.40286562 
8,-1.8393455,9.532514,-2.4301147,0.71837753,-0.100792766,-0.6072 
9,-1.917157,10.128671,-4.3406878,0.68844515,-0.31581733,-0.95386606 
10,5.4408236,14.923657,-2.2397757,1.201572,-0.9111055,-3.182608 
11,-7.177218,11.8896055,-10.210073,2.932764,-2.3787093,-5.0045137 
12,2.498948,3.0071173,-0.38367084,-0.14172074,-2.3823745,2.9364293 
13,-0.55006784,9.924564,-4.6495395,-0.37293324,1.153619,4.670065 
14,-4.2945995,15.960347,-7.1939774,-0.14966199,2.0836613,4.1532726 
15,-17.232864,10.888829,0.7733272,0.8744536,-0.23243423,2.490803 
16,-19.60911,1.7052702,6.163274,-2.1297817,1.6013832,-4.1419716 
17,-4.4633904,9.320028,-2.2720973,0.25045475,-0.15577064,-0.2556471 
18,-2.315193,9.473258,-1.4425066,0.18051068,-0.016493361,-0.28221974 
19,-2.7371712,8.711303,-1.4012065,0.15943582,-0.30909783,-0.57940567 
20,-2.617461,9.762956,-1.7058687,0.02565634,-0.31490102,-0.5555819 
21,0.492607,14.8590145,-2.6970682,-0.15760323,-0.63163465,-2.1401663 
22,-7.374141,17.075447,-4.256891,-0.47158796,-1.0665708,-7.047552 
23,4.4424415,1.0097545,-0.10654198,-0.15943582,-0.37018433,2.7186558 
24,-0.8230068,6.7827735,-0.8726865,0.1704314,1.6578883,5.5100045 
25,-7.4286094,15.210363,-3.6577415,0.26939157,0.5882632,5.5249705 
26,-19.60911,4.455011,0.7589619,0.076358154,1.6811012,2.8221974 
