time,x-accel,y-accel,z-accel,x-gyro,y-gyro,z-gyro 
0,0.0,0.0,0.0,0.0,0.0,0.0 
1,-1.4670471,2.6671407,8.652046,0.04917465,0.07513642,-0.1337795 
2,-3.2399535,-0.9056068,4.5783124,1.1297953,6.880175,-1.9031507 
3,-3.684078,-2.779668,-5.2241483,0.9077458,8.357247,-2.5149322 
4,-7.1766195,-3.9737763,1.882441,-1.9807305,-2.1945333,-2.364354 
5,-12.238561,-7.6614456,-1.3257892,1.8985692,0.82833326,-3.6325102 
6,-11.579556,-7.7745714,-3.6499605,0.01985312,1.2938126,-3.2971451 
7,-9.243414,-8.066066,-4.5352163,-0.16615535,2.6233609,-2.4291058 
8,-5.708974,-9.635465,-8.198345,-0.09437868,3.0671544,-1.6517797 
9,-0.90381116,-10.004171,-4.128801,0.09682214,2.5674667,-0.28924468 
10,-1.7884687,-10.554838,-6.4697313,-1.3045027,0.6774496,-0.37690386 
11,-0.074818805,-3.3740287,-4.172495,-1.7003434,-0.28160888,-0.095294975 
12,2.1176715,-8.273763,-9.16261,0.84635377,0.5580254,0.4370741 
13,1.0720038,-9.562442,-5.693412,0.26053402,-0.23640485,0.37843102 
14,-0.42197806,-9.745598,-13.379996,0.79168135,-0.5112942,0.90010995 
15,-0.7386112,-9.706693,-5.1140146,1.044885,0.98349303,0.35827246 
16,-1.5071499,-8.924985,-4.9338512,0.004581489,-0.064751714,-0.48349985 
17,-2.2254105,-10.070611,-4.4837413,0.6963864,-0.19761491,-0.16615535 
18,-2.6713305,-7.989451,-4.7818193,0.10415252,-0.06352998,3.467882 
19,-2.1625626,-6.9132576,-4.554969,-0.09468412,-0.6814202,-0.10140363 
20,-3.2968156,-11.787253,-4.235343,1.6707164,-0.66798115,-1.1050552 
21,-7.6907744,-8.219893,-2.9873652,-0.28710666,0.06841691,-2.293188 
22,-2.5516205,-11.432912,-1.9452889,0.6365216,0.7281514,-1.0965031 
23,-1.0737995,-11.531074,-2.3355439,0.38331795,0.344528,-0.02443461 
24,-1.1833342,-9.188348,-2.3415294,-0.26847526,0.20769419,1.9071213 
25,-2.190096,-9.39365,-1.7345991,0.081855945,-0.080634214,-0.34055737 
26,-1.7998412,-9.100959,-2.861071,-0.29871312,-0.14294247,-0.030848695 
27,-2.0153193,-9.17099,-2.1841104,0.15515977,0.07880162,-0.14508049 
28,-1.8291701,-5.8029466,-2.019509,0.5222898,-0.2864958,-0.172264 
29,-0.2112883,-10.513538,-1.3431472,0.25900686,-0.50976706,-1.2858714 
30,-0.49200845,-9.598354,-2.1374235,-0.2837469,0.3491095,0.3323107 
31,-2.8149827,-7.6081743,-1.8231846,-0.019242255,0.890947,0.7877107 
32,-1.0582372,-11.713034,-2.8898015,0.47678033,0.63438356,-1.187522 
33,0.055066638,-9.595961,-1.9991584,0.077579886,-0.30970868,-1.7913623 
