time,x-accel,y-accel,z-accel,x-gyro,y-gyro,z-gyro 
0,3.0292637,-2.6162639,5.8161144,0.92271197,-0.13103059,-0.03604105 
1,4.7070007,0.01316811,6.4230447,0.18997909,-0.04337143,-0.058337633 
2,4.2940006,-1.9327193,7.466318,0.64873886,-0.9950995,0.116675265 
3,4.107253,-2.653374,7.8308353,0.5012149,-0.81031275,0.45448375 
4,6.7624226,-2.023699,8.569447,0.4202753,-0.79229224,0.77366084 
5,5.397728,-1.8662802,6.2584434,0.18784106,-0.4700608,0.6087272 
6,4.3317094,-2.835932,5.111022,-0.2125811,-0.24648413,0.0021380284 
7,7.6548615,-2.005144,6.0363812,-0.98746365,-1.2366967,0.3885103 
8,7.3867106,-3.5577838,5.331289,-1.0454959,-1.4355333,0.643852 
9,9.604341,-5.063138,2.753332,-0.6078109,-1.7800614,1.2727377 
10,9.813833,-5.203199,0.2124854,0.82436264,-4.733595,1.2589933 
11,6.577471,-4.537611,-15.403695,4.1205916,-8.049982,-0.095294975 
12,6.8384385,-6.7869635,-1.9363106,2.132225,-4.5949283,-0.25992316 
13,8.212111,-5.9400144,-5.463568,3.5692856,-3.585779,-0.8008443 
14,3.0974984,-8.654441,-3.4243069,-0.39187005,-0.96883225,-0.21533 
15,4.9799395,-8.140884,-4.483143,-0.5155703,-2.3038783,-0.1160644 
16,1.2904748,-6.359598,-4.630386,-1.0467176,-4.286136,-1.8329011 
17,-0.4141969,-4.9901147,-12.662334,-0.1826487,-1.7666223,-1.4969252 
18,6.0489507,-4.0456023,-5.989694,0.7461719,-2.127949,-0.6750061 
19,3.7576995,-7.9266033,-2.272696,1.387275,0.36102137,-0.37751472 
20,3.781043,-9.490616,-4.9494133,2.1190915,0.5002986,-0.21410827 
21,2.5965118,-10.259154,-3.7696705,1.434617,0.2846632,-0.19333886 
22,3.5703533,-9.413403,-4.3861775,-0.08368854,-0.29718593,0.3857614 
23,4.8015714,-8.292317,-3.9959226,0.16493362,-0.6658431,0.9807441 
24,1.8890251,-7.9343843,-5.031415,0.16157386,-0.076358154,0.4718934 
25,1.0067618,-6.3482256,-0.7990648,3.854865,0.27977628,-0.7360926 
26,4.322731,-12.466608,-1.7064673,-1.2030991,0.84971356,-0.31581733 
27,2.9071593,-8.990826,-0.6326678,-0.032986723,0.39675698,-0.0125227375 
