time,x-accel,y-accel,z-accel,x-gyro,y-gyro,z-gyro 
0,0.0,0.0,0.0,0.0,0.0,0.0 
1,-5.9873,-7.7931266,-0.7457938,0.0067195175,0.0076358155,-0.082161374 
2,-5.8388596,-7.8787193,-0.6811504,-0.08093964,-0.040927973,-0.051618114 
3,-5.93343,-7.9248075,-0.5835867,-0.116980694,-0.06719518,-0.030543262 
4,-6.3033347,-7.493851,0.060453594,0.3390302,0.7593055,0.18936823 
5,-5.327099,-9.123106,-3.6044707,0.20189096,2.3047945,-0.43004912 
6,-5.2343235,-7.8996687,-2.1218612,0.06383542,-0.2134974,-0.24037547 
7,-6.5349736,-7.541735,-2.2756886,0.6805039,-0.23457226,-0.8176431 
8,-4.0054994,-9.064447,-2.1110873,0.2855795,-0.047036625,-0.9630291 
9,-3.4344823,-8.734647,-1.9452889,-0.008552114,-0.124311075,-0.52564955 
10,-1.4730326,-7.0048356,-3.1561563,-0.4251622,0.015577064,-1.4104879 
11,-2.043451,-13.818733,-1.483208,-0.86926126,0.22602014,-2.2748623 
12,1.2312182,-11.353305,-2.520496,0.364992,-0.49449542,-0.5842926 
13,0.5895722,-8.954314,-1.6412252,0.49327368,0.14172074,0.17379116 
14,1.7741034,-9.21229,-2.167351,0.13225232,1.0351112,-0.49021935 
15,0.20949265,-9.544485,-1.6663644,0.0,-0.38423425,-0.65393126 
16,1.7196354,-10.13286,-1.1563994,-0.07086037,0.74189585,0.31703907 
17,0.7020996,-11.104307,-0.60573304,-0.22327125,-0.35094208,-0.26511553 
18,1.9243397,-9.518148,-2.5037365,-0.06811147,-0.2678644,-0.33505958 
19,2.171541,-9.408614,-2.171541,-0.038179077,-0.036957346,-0.30115658 
20,3.520075,-8.434174,-2.60968,-0.06261369,0.15424347,-0.2510656 
21,4.260482,-10.800842,-3.834314,-0.18967366,0.37873647,-0.28985557 
22,2.1559787,-9.703699,-3.271078,0.17654006,2.559831,-0.74372846 
23,2.5995045,-8.813655,-2.0087352,0.11301007,0.9468411,-0.657291 
24,3.7894228,-8.592192,-2.308609,0.29077184,0.61758476,-0.62980205 
25,1.9578584,-8.412626,-5.00867,-0.044593163,1.0433578,-0.06414085 
26,-1.2449849,-5.9172697,-3.7068229,-0.571159,-1.2733486,0.99173975 
27,9.813833,-17.61474,-2.6916811,-1.3374895,-0.6789767,2.7207937 
28,0.59256494,-7.1263413,-2.4498668,-0.77549344,-2.7797422,0.5815437 
29,3.8881836,-8.411429,-2.5767596,-0.6096435,-0.7788532,-0.04520403 
30,-1.0079589,-9.419388,-3.0783448,0.29718593,0.6133087,-0.8579602 
31,-1.4059949,-9.132683,-7.4208283,-0.11881329,-1.1282681,-0.19822577 
32,1.22224,-18.98542,-8.295909,0.9669997,-1.2550226,-0.05497787 
33,8.655039,-16.127941,-5.4354362,1.0955868,-1.7128662,-0.72051555 
34,3.233968,-9.8437605,-3.4039562,-0.36713,1.0247264,-1.4563028 
35,2.2272062,-8.680179,-2.873042,0.24740042,2.8093693,-1.1053606 
36,3.417723,-6.8210807,-4.6393642,0.4156938,1.7525724,-0.95447695 
37,2.3133974,-8.517971,-9.255983,-0.37201694,1.5109752,-0.12186762 
38,8.37372,-15.989676,-1.6316484,-0.9960158,-1.749518,3.238502 
39,-2.1350293,-16.229095,1.6699557,-2.3228152,-2.1282544,-0.40744713 
40,3.591901,-4.345476,-3.008913,0.059253927,-1.7782288,0.22479841 
41,3.4727895,-3.265691,-1.8237832,0.5833763,-0.28619036,-1.1478158 
42,-7.507618,-14.2042,-14.292786,-0.01160644,0.3585779,-0.18570304 
