time,x-accel,y-accel,z-accel,x-gyro,y-gyro,z-gyro 
0,-2.4666264,3.0478187,6.8144965,0.27488935,-0.8481864,0.713796 
1,-2.0829554,3.1148565,7.7039423,0.059253927,0.05100725,-0.13683382 
2,-1.2138603,3.4225113,7.9194207,-0.06841691,-0.024740042,-0.04428773 
3,-1.9698294,0.51116204,8.754997,0.12675454,0.08735373,0.4092797 
4,-3.193865,0.18435353,5.988497,-3.3496795,4.6102,1.8118263 
5,-7.9547353,-4.068946,-5.0200424,-2.6123652,3.7186422,0.19058995 
6,-6.3524156,-3.8247373,7.354389,-2.9782734,-0.14996742,0.47494772 
7,-7.763199,-7.03177,6.741473,-1.9230038,0.7883216,-1.0543534 
8,-10.666168,-5.2810106,4.250905,-1.6123788,0.77518797,-1.1462886 
9,-6.2339025,-4.8722005,1.7914615,-0.7703011,1.2925909,1.003957 
10,-5.825093,-2.2511482,1.6340426,0.2144137,0.62796944,0.788627 
11,-7.1987658,-2.585738,0.2088941,-0.6411031,-0.09621128,0.06414085 
12,-10.782886,-5.6269727,-4.222773,0.6462954,0.3811799,-1.0677924 
13,-12.837709,-6.311714,0.96306765,-0.35277468,-0.44806966,0.90194255 
14,-6.229114,-3.406949,2.344522,-0.03848451,0.19639318,0.58032197 
15,-8.6712,-4.127005,-0.44352585,0.3155119,-0.38820487,0.37812558 
16,-10.001778,-2.629432,-0.2136825,0.044593163,0.75228053,0.67164636 
17,-2.0242975,-0.53689975,1.7316064,-0.7367035,0.9877691,-1.0870347 
18,-7.2843585,-4.5382094,1.1133038,-0.24037547,-0.7492262,-1.4883732 
19,-3.6176388,-3.1172507,-3.141791,1.6395624,1.3445144,-1.8823812 
20,-5.4761376,-10.323798,-0.57041854,0.79045963,-0.19150625,-1.7718146 
21,-4.422689,-8.403648,-0.712275,0.47494772,-0.5867361,-0.70829827 
22,-6.0986304,-9.983223,1.822586,-0.15577064,-0.076052725,0.8753699 
23,-4.833295,-9.111733,-0.58538234,-0.17989981,0.03481932,-0.7641924 
24,-3.5482068,-7.0515227,-0.49440265,-0.1255328,-0.04734206,0.036957346 
25,-4.2922053,-9.937733,-0.4973954,-1.1175779,0.3549127,-0.7965683 
26,-1.6400281,-9.361927,-0.5081693,0.08124508,-1.2144,-1.6270396 
27,-1.2743138,-15.251065,-0.076015905,-0.73364913,-2.0815234,-0.53786683 
28,-1.1575965,-12.308591,-0.43155485,-0.13194689,-0.40561453,-0.50976706 
29,-3.7301662,-5.6640825,1.371279,0.27366763,-1.3487904,0.30604348 
30,-1.2360066,-10.538078,-1.8106151,0.06719518,-0.16920967,-0.11178834 
31,-0.45370123,-9.8198185,-1.2162545,-0.014660766,0.16035213,-0.21533 
32,-1.0049661,-9.9233675,-0.9032126,-0.07147124,0.06383542,-0.18967366 
33,-0.59256494,-9.796474,-0.5363012,-0.017715093,0.034208454,-0.13805555 
34,-0.3812766,-9.826403,-0.78410107,-0.042455133,-0.046731193,-0.1328632 
35,0.079008654,-9.824607,-1.2725182,0.009468411,0.03145956,-0.14080444 
36,0.094570965,-9.93893,-1.1079168,-0.052839845,0.07452556,-0.11942416 
37,-0.18854338,-9.924564,-1.2312182,0.027488936,0.0061086523,-0.116675265 
38,0.47285482,-9.807847,-1.0175357,0.15302174,-0.112399206,-0.15974127 
39,0.27473465,-9.69113,-0.85473,0.1994475,-0.044593163,-0.09743301 
40,0.3357868,-9.737817,-0.5805939,0.12705997,-0.065973446,-0.044898596 
41,0.47524905,-9.998785,-0.44532153,0.19517145,-0.07574729,-0.0421497 
42,0.75357497,-9.838373,-0.30226797,0.19120082,0.06994407,-0.0852157 
43,0.6015432,-9.873688,-0.20709845,0.23884831,0.06536258,-0.093767814 
44,0.44831428,-9.750985,0.38726214,0.3915646,0.12614368,-0.05009095 
45,0.6063316,-9.903017,0.8379706,0.6087272,0.1740966,0.07544186 
46,-0.20470424,-9.227852,2.03567,0.7684685,-0.04337143,0.09865474 
47,0.23822308,-9.5570545,1.7914615,0.29168814,-0.2855795,0.33475417 
48,0.29867667,-8.704121,2.44448,0.33261612,-0.5549711,0.48288897 
49,-0.40880993,-8.525752,2.0919337,-0.2452624,-0.43066,0.31642818 
50,-0.16220717,-8.871715,1.0426749,-1.1301007,-0.24251351,0.32803464 
51,2.7102363,-9.294889,2.3241713,-0.21227567,-0.5348125,-0.4279111 
52,-1.0486604,-9.619903,1.2246342,-0.6032294,0.13347405,-0.005192355 
53,0.40761283,-9.657013,-0.2873042,-0.49663344,-0.5342017,0.055283304 
54,-0.599149,-9.940725,-0.9056068,-0.35124752,-0.34269542,0.032375857 
55,-0.0796072,-9.829395,-0.97623575,-0.24587326,-0.24465153,0.08460484 
56,-0.45489833,-9.978435,-1.1246762,-0.10293079,-0.36896262,0.0870483 
57,-0.89303726,-9.720459,-1.3850456,0.0711658,-0.42394048,0.07391469 
58,-1.2419921,-10.0341,-0.6913257,-0.03970624,-0.43218717,0.00580322 
