timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478209546.13,-0.050487,0.547591,-0.782973,-0.077996,0.009837,-0.005610,-0.043086,-0.520632,-0.852693,-0.009297,-0.023512,-0.038344,-17.656830,-36.537872,-22.648987,,,,,,
,,,,,,,,,,,,,,,,37.322730,-122.016850,59.260529,0.000000,353.320312,1478209508.00
,,,,,,,,,,,,,,,,37.322730,-122.016850,59.260529,0.000000,353.320312,1478209500.00
1478209546.15,-0.050321,0.547428,-0.782796,0.012704,0.053130,-0.005177,-0.042950,-0.520493,-0.852785,-0.017063,-0.014480,-0.030485,-17.582458,-36.687683,-22.798401,,,,,,
,,,,,,,,,,,,,,,,37.322730,-122.016850,59.260529,0.000000,353.320312,1478209508.00
1478209546.17,-0.048850,0.547421,-0.783006,-0.010629,0.071291,-0.011720,-0.041695,-0.520487,-0.852851,-0.019630,-0.019537,-0.016320,-17.656128,-36.312988,-22.574097,,,,,,
1478209546.19,-0.048204,0.547161,-0.783249,-0.038355,0.033133,-0.027791,-0.041151,-0.520265,-0.853013,-0.012911,-0.013991,-0.007247,-17.879730,-35.938202,-22.350952,,,,,,
,,,,,,,,,,,,,,,,37.322681,-122.016753,59.260529,-1.000000,-1.000000,1478209546.19
1478209546.21,-0.047278,0.546481,-0.783989,-0.026703,0.016083,-0.026636,-0.040377,-0.519684,-0.853404,-0.006834,-0.003036,-0.002721,-17.503204,-35.638962,-21.973267,,,,,,
,,,,,,,,,,,,,,,,37.322632,-122.016656,59.260529,-1.000000,-1.000000,1478209546.20
1478209546.23,-0.047331,0.546502,-0.784640,0.020855,-0.078703,-0.018779,-0.040422,-0.519702,-0.853391,0.015214,0.010837,0.010633,-17.503204,-35.638962,-21.973267,,,,,,
1478209546.25,-0.048010,0.546620,-0.785575,-0.011811,-0.031764,-0.049901,-0.040999,-0.519803,-0.853302,0.001036,0.011426,0.019363,-17.656555,-36.312653,-22.799133,,,,,,
1478209546.27,-0.046954,0.545674,-0.786669,-0.048118,0.009753,-0.012907,-0.040120,-0.518995,-0.853835,0.017537,0.018735,0.016540,-17.731995,-36.537704,-22.724609,,,,,,
1478209546.29,-0.047504,0.544638,-0.786407,-0.052651,-0.022172,0.012665,-0.040616,-0.518108,-0.854350,0.034359,0.026287,0.019130,-17.356140,-36.313141,-22.571838,,,,,,
1478209546.31,-0.046480,0.542821,-0.786527,-0.066151,0.062939,0.003945,-0.039784,-0.516553,-0.855330,0.015034,0.023969,-0.004411,-17.280365,-36.013168,-22.571472,,,,,,
1478209546.33,-0.045543,0.541286,-0.786266,-0.079162,0.022558,0.017774,-0.039019,-0.515239,-0.856158,0.012362,0.016383,-0.007032,-17.280365,-36.013168,-22.571472,,,,,,
1478209546.35,-0.046628,0.539660,-0.785936,-0.014629,-0.100981,0.020445,-0.039987,-0.513844,-0.856951,-0.007803,0.003850,-0.040617,-17.581909,-36.462677,-22.798523,,,,,,
1478209546.37,-0.050169,0.540220,-0.785022,0.060365,-0.173628,0.082709,-0.043007,-0.514325,-0.856517,0.011818,-0.038654,-0.048269,-17.506866,-36.312500,-22.947998,,,,,,
1478209546.39,-0.058638,0.540766,-0.779234,0.044625,-0.293069,0.318060,-0.050243,-0.514793,-0.855841,-0.009541,0.022957,-0.031549,-17.431305,-36.162628,-22.872559,,,,,,
1478209546.41,-0.071290,0.539482,-0.768840,-0.112552,-0.373744,0.535542,-0.061114,-0.513691,-0.855796,-0.092832,-0.002666,-0.014276,-18.105560,-36.087753,-22.577576,,,,,,
1478209546.43,-0.086139,0.532596,-0.754550,-0.429323,-0.306980,0.632701,-0.074116,-0.507772,-0.858298,-0.106883,-0.026713,0.056524,-18.105560,-36.087753,-22.577576,,,,,,
1478209546.45,-0.105289,0.521870,-0.739064,-0.439728,-0.853696,0.798473,-0.091106,-0.498502,-0.862088,-0.099294,-0.019564,0.079709,-18.555298,-35.862289,-22.731079,,,,,,
1478209546.47,-0.145357,0.515771,-0.718565,0.004065,-1.854829,0.990852,-0.126003,-0.493206,-0.860739,-0.076420,0.009930,0.075460,-19.154755,-35.411530,-23.035828,,,,,,
1478209546.49,-0.201826,0.520557,-0.692005,0.696946,-2.318803,1.174202,-0.173907,-0.497364,-0.849933,-0.113355,0.032093,0.119663,-21.927246,-34.735794,-22.606934,,,,,,
