timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478209601.47,0.089505,0.344583,0.605647,0.150049,0.134341,0.057192,0.084131,-0.337804,-0.937449,0.018881,-0.026408,0.049082,-24.435852,-2.304779,-42.442017,,,,,,
,,,,,,,,,,,,,,,,37.322730,-122.016464,59.341583,0.380000,63.281250,1478209585.00
,,,,,,,,,,,,,,,,37.322730,-122.016464,59.341583,0.380000,63.281250,1478209577.00
,,,,,,,,,,,,,,,,37.322730,-122.016464,59.341583,0.380000,63.281250,1478209585.00
1478209601.49,0.094461,0.350455,0.607763,0.317302,0.317541,0.160025,0.088588,-0.343326,-0.935029,0.042562,-0.020139,0.015977,-24.435852,-2.304779,-42.442017,,,,,,
1478209601.51,0.098633,0.355786,0.610584,0.172332,0.046856,0.192637,0.092306,-0.348327,-0.932817,0.046747,-0.020829,-0.049284,-24.436218,-2.454788,-42.441956,,,,,,
1478209601.53,0.093763,0.356409,0.614257,-0.071644,-0.306337,0.168415,0.087742,-0.348911,-0.933039,0.042416,-0.000973,-0.050893,-24.286469,-2.379517,-42.665833,,,,,,
1478209601.55,0.084519,0.353860,0.617656,-0.139310,-0.482579,0.157666,0.079188,-0.346521,-0.934694,0.022923,-0.005911,-0.024428,-24.436707,-2.529556,-42.591858,,,,,,
,,,,,,,,,,,,,,,,37.322597,-122.016076,59.341583,-1.000000,-1.000000,1478209601.53
,,,,,,,,,,,,,,,,37.322438,-122.015776,59.341583,-1.000000,-1.000000,1478209601.54
1478209601.57,0.075247,0.352308,0.621259,-0.054682,-0.318097,0.174913,0.070559,-0.345065,-0.935923,0.001432,0.002688,0.036341,-25.260010,-2.229813,-42.148193,,,,,,
1478209601.59,0.069783,0.354072,0.625850,0.053743,-0.034638,0.201690,0.065401,-0.346721,-0.935686,-0.024065,0.000438,0.058168,-25.260010,-2.229813,-42.148193,,,,,,
1478209601.61,0.069733,0.356293,0.629959,0.107570,0.108729,0.192188,0.065301,-0.348803,-0.934918,-0.036935,-0.006666,0.030316,-25.184448,-1.929733,-42.222778,,,,,,
1478209601.63,0.068837,0.357660,0.634054,0.058763,0.094069,0.152558,0.064430,-0.350084,-0.934500,-0.034294,0.013063,-0.008646,-25.710266,-2.079132,-42.451660,,,,,,
1478209601.65,0.068834,0.357688,0.636819,-0.046721,0.025369,0.116955,0.064426,-0.350110,-0.934490,-0.038074,0.012219,-0.010563,-25.109741,-1.929550,-42.372253,,,,,,
1478209601.67,0.066027,0.355479,0.639400,-0.081633,-0.013752,0.056149,0.061854,-0.348039,-0.935437,-0.040507,0.015047,-0.010120,-24.735626,-2.229630,-42.444275,,,,,,
1478209601.69,0.065968,0.354353,0.639831,-0.032135,0.028711,0.001003,0.061824,-0.346984,-0.935831,-0.034892,-0.006867,0.002588,-24.735626,-2.229630,-42.444275,,,,,,
1478209601.71,0.066221,0.355709,0.640331,0.080025,0.120832,0.004674,0.062030,-0.348255,-0.935345,-0.021808,-0.013530,0.002468,-24.734619,-2.004959,-42.219360,,,,,,
1478209601.73,0.069360,0.357752,0.640629,0.103495,0.175994,0.030267,0.064916,-0.350170,-0.934434,-0.006887,-0.011006,-0.001357,-25.185791,-2.229294,-42.522644,,,,,,
1478209601.75,0.071826,0.360099,0.641688,0.071101,0.117560,0.067435,0.067162,-0.352366,-0.933449,0.001457,-0.010869,-0.008156,-25.334381,-1.779449,-42.374023,,,,,,
1478209601.77,0.072290,0.360757,0.643438,0.003514,0.022057,0.089564,0.067578,-0.352982,-0.933186,-0.001492,-0.006866,-0.000117,-24.586304,-2.304367,-42.668091,,,,,,
1478209601.79,0.071271,0.361103,0.645210,0.018508,0.002912,0.066257,0.066618,-0.353306,-0.933133,-0.006270,0.008336,0.021466,-24.586304,-2.304367,-42.668091,,,,,,
1478209601.81,0.071007,0.362041,0.646385,0.087935,0.029291,0.051696,0.066348,-0.354184,-0.932819,-0.004718,0.027020,0.035343,-24.660614,-2.229660,-42.443726,,,,,,
1478209601.83,0.072202,0.364170,0.647125,0.104251,0.100493,0.037839,0.067408,-0.356174,-0.931985,-0.003001,0.011066,0.047815,-24.587067,-2.679474,-42.592896,,,,,,
1478209601.85,0.074263,0.365757,0.648021,-0.015360,0.084867,0.076591,0.069287,-0.357656,-0.931279,0.024829,-0.022730,0.019658,-24.885834,-2.304550,-42.445374,,,,,,
1478209601.87,0.074205,0.364028,0.650641,-0.126694,0.012852,0.122927,0.069278,-0.356041,-0.931899,0.014965,-0.015266,-0.019975,-24.361755,-2.379242,-42.816406,,,,,,
1478209601.89,0.073472,0.362643,0.652432,0.006000,0.016839,0.029974,0.068631,-0.354747,-0.932440,-0.013807,0.001308,-0.049616,-24.361755,-2.379242,-42.816406,,,,,,
1478209601.91,0.073343,0.365712,0.651504,0.221449,-0.063443,-0.056008,0.068431,-0.357614,-0.931359,0.001134,0.032648,-0.082450,-24.135956,-2.004257,-42.889832,,,,,,
1478209601.93,0.071326,0.367987,0.649381,0.213666,-0.215389,-0.089883,0.066494,-0.359738,-0.930681,0.009632,0.029400,-0.075956,-24.660217,-2.004547,-42.518799,,,,,,
1478209601.95,0.066944,0.370792,0.646656,0.112506,-0.285146,-0.136106,0.062348,-0.362354,-0.929953,0.003738,0.018238,-0.039545,-24.961182,-2.379395,-42.520874,,,,,,
1478209601.97,0.063114,0.371493,0.643435,0.069196,-0.200997,-0.148180,0.058770,-0.363007,-0.929931,-0.002571,-0.002914,0.007858,-25.487518,-2.979248,-42.449585,,,,,,
1478209601.99,0.061591,0.372842,0.640530,0.084328,-0.089465,-0.120590,0.057323,-0.364264,-0.929530,-0.003460,-0.013269,0.032847,-25.487518,-2.979248,-42.449585,,,,,,
1478209602.01,0.061511,0.375550,0.638358,0.066261,-0.021421,-0.088858,0.057188,-0.366785,-0.928546,-0.002562,-0.015646,0.039478,-25.186981,-3.130066,-41.997253,,,,,,
1478209602.03,0.061811,0.375941,0.636705,-0.000939,-0.008483,-0.067957,0.057458,-0.367148,-0.928386,0.003593,-0.023233,0.041439,-25.112396,-3.054657,-42.296692,,,,,,
1478209602.05,0.062836,0.376934,0.635442,-0.029752,0.021336,-0.042614,0.058387,-0.368072,-0.927962,0.007379,-0.027802,0.039565,-25.487244,-3.054581,-42.224487,,,,,,
1478209602.07,0.064643,0.377697,0.634500,0.022476,0.054102,-0.028540,0.060045,-0.368781,-0.927575,0.013518,-0.015832,0.016686,-25.412415,-3.129608,-42.223877,,,,,,
1478209602.09,0.065686,0.379082,0.634003,0.100032,0.030425,-0.007852,0.060979,-0.370068,-0.927001,0.017207,-0.013980,0.006423,-25.412415,-3.129608,-42.223877,,,,,,
1478209602.11,0.066144,0.381818,0.634250,0.112325,-0.011174,0.047632,0.061336,-0.372609,-0.925959,0.012379,-0.016491,-0.012487,-25.187927,-3.204529,-42.372192,,,,,,
1478209602.13,0.065234,0.384796,0.635140,0.188951,-0.052865,0.036407,0.060421,-0.375370,-0.924903,0.009327,0.016285,-0.066552,-25.112457,-3.204895,-42.146606,,,,,,
1478209602.15,0.062567,0.388200,0.634862,0.291170,-0.171103,-0.022462,0.057874,-0.378523,-0.923781,-0.002774,0.026137,-0.074358,-25.337738,-3.429993,-41.998230,,,,,,
1478209602.17,0.058595,0.393832,0.633489,0.270859,-0.246466,-0.053329,0.054078,-0.383730,-0.921861,-0.007325,0.016436,-0.037963,-25.414520,-4.029739,-42.148438,,,,,,
1478209602.19,0.053410,0.398088,0.632427,0.168540,-0.248274,-0.046436,0.049210,-0.387657,-0.920489,-0.014252,-0.005700,-0.004620,-25.414520,-4.029739,-42.148438,,,,,,
1478209602.21,0.049256,0.400127,0.631170,0.066422,-0.228783,-0.059801,0.045347,-0.389536,-0.919894,-0.015165,-0.022330,0.003848,-25.714386,-4.029694,-42.075745,,,,,,
1478209602.23,0.044915,0.401918,0.629519,0.035775,-0.231802,-0.100416,0.041322,-0.391185,-0.919384,-0.011537,-0.024846,0.012081,-25.638489,-4.030411,-41.625122,,,,,,
1478209602.25,0.041191,0.402653,0.627149,0.040018,-0.235007,-0.099323,0.037886,-0.391860,-0.919244,-0.007857,-0.020722,0.035272,-26.013916,-4.255325,-41.552795,,,,,,
1478209602.27,0.037697,0.404963,0.625549,0.003452,-0.222234,-0.036745,0.034640,-0.393985,-0.918464,0.011015,-0.025510,0.067664,-26.164490,-4.480255,-41.553833,,,,,,
1478209602.29,0.033821,0.404601,0.625576,-0.033998,-0.176490,0.015140,0.031084,-0.393652,-0.918734,0.015959,-0.027903,0.077410,-26.164490,-4.480255,-41.553833,,,,,,
1478209602.31,0.031356,0.405205,0.625911,-0.115006,-0.149685,0.038071,0.028812,-0.394208,-0.918570,0.022305,-0.031711,0.071646,-26.689545,-4.555099,-41.482727,,,,,,
1478209602.33,0.028477,0.401984,0.626619,-0.181874,-0.114350,0.018489,0.026204,-0.391245,-0.919913,0.024837,-0.024359,0.064048,-26.463959,-4.555664,-41.181030,,,,,,
1478209602.35,0.026820,0.399793,0.626670,-0.117879,-0.120906,0.002882,0.024702,-0.389227,-0.920810,0.016192,-0.002634,0.047641,-27.212860,-4.180389,-41.111816,,,,,,
1478209602.37,0.024813,0.398204,0.626396,-0.066462,-0.091255,-0.025622,0.022869,-0.387763,-0.921475,0.012058,0.001869,0.064954,-26.912384,-4.180878,-40.884583,,,,,,
1478209602.39,0.024646,0.397632,0.624699,-0.061548,-0.040104,-0.101253,0.022721,-0.387236,-0.921701,0.010787,0.019637,0.089044,-26.912384,-4.180878,-40.884583,,,,,,
1478209602.41,0.026226,0.396049,0.621577,-0.082117,0.040890,-0.173875,0.024193,-0.385777,-0.922275,0.004784,0.017292,0.127902,-27.137329,-4.030533,-41.036316,,,,,,
1478209602.43,0.030058,0.394234,0.616465,-0.086392,0.137852,-0.287948,0.027748,-0.384101,-0.922874,0.027076,0.068640,0.214653,-26.912567,-4.255875,-40.884583,,,,,,
1478209602.45,0.042322,0.393706,0.606613,0.044204,0.726911,-0.570219,0.039072,-0.383614,-0.922667,0.006490,0.156227,0.485121,-27.137848,-4.180420,-41.111267,,,,,,
1478209602.47,0.076693,0.395851,0.592193,0.233348,1.884286,-0.697617,0.070693,-0.385593,-0.919957,-0.030776,0.065845,0.762974,-26.088501,-4.330750,-41.253357,,,,,,
1478209602.49,0.132263,0.404375,0.574644,0.716516,2.772762,-0.804893,0.121242,-0.393444,-0.911319,-0.022044,0.073513,0.874209,-26.088501,-4.330750,-41.253357,,,,,,
1478209602.51,0.204406,0.423175,0.554066,1.281008,3.446992,-0.748528,0.185080,-0.410658,-0.892808,0.000375,0.153745,1.186997,-24.217438,-5.005005,-42.364014,,,,,,
1478209602.53,0.291248,0.447123,0.530471,1.469076,4.136445,-0.795382,0.258920,-0.432373,-0.863721,-0.041040,0.354508,1.385862,-21.371735,-5.980011,-43.317139,,,,,,
1478209602.55,0.398558,0.461380,0.502367,0.707370,5.222687,-1.038604,0.347511,-0.445184,-0.825256,-0.030754,0.520044,1.527206,-14.182922,-9.055984,-45.061646,,,,,,
1478209602.57,0.527238,0.445144,0.484264,-1.024474,6.566011,-1.196002,0.454116,-0.430588,-0.779983,-0.022078,0.733979,1.457412,-9.761292,-9.882217,-45.703186,,,,,,
1478209602.59,0.671185,0.398016,0.480022,-2.231357,7.416123,-1.761726,0.573301,-0.387590,-0.721873,0.008914,1.012667,1.100779,-9.761292,-9.882217,-45.703186,,,,,,
1478209602.61,0.819674,0.329980,0.479272,-2.523529,7.383752,-2.758589,0.691489,-0.324024,-0.645640,0.040582,1.239033,0.708186,-3.085876,-9.209641,-46.328430,,,,,,
1478209602.63,0.959753,0.249372,0.472664,-2.091426,6.618437,-3.632196,0.793715,-0.246796,-0.555976,0.078676,1.234284,0.381079,9.903992,-4.192841,-45.183472,,,,,,
1478209602.65,1.079682,0.167654,0.461498,-1.479581,5.520638,-3.792160,0.869444,-0.166870,-0.464997,0.270311,1.058792,0.226654,17.490967,-1.124878,-43.028076,,,,,,
1478209602.67,1.181890,0.090396,0.455972,-1.376182,4.920397,-3.626745,0.921546,-0.090273,-0.377629,0.481179,1.166918,0.285176,22.677795,1.719009,-40.665588,,,,,,
1478209602.69,1.277553,0.003312,0.450132,-1.032263,4.740489,-4.722081,0.957306,-0.003312,-0.289057,0.521164,1.513749,0.211695,22.677795,1.719009,-40.665588,,,,,,
1478209602.71,1.365963,-0.111577,0.439229,-0.833945,4.279237,-6.371326,0.973007,0.111346,-0.202140,0.708604,1.752057,0.093467,25.615204,4.563553,-38.020020,,,,,,
1478209602.73,1.443893,-0.255440,0.436237,-1.232170,3.771227,-7.540497,0.959772,0.252671,-0.122457,1.158759,1.799194,0.099141,31.046417,12.577469,-32.433289,,,,,,
1478209602.75,1.522009,-0.410500,0.456441,-1.862969,3.484342,-7.679783,0.915830,0.399068,-0.044716,1.715624,1.733333,0.055733,30.990112,17.898453,-29.736328,,,,,,
1478209602.77,1.612752,-0.560578,0.500996,-2.020301,3.592978,-7.501976,0.846203,0.531676,0.035523,2.136372,1.604951,-0.026231,29.511536,24.194946,-26.900635,,,,,,
1478209602.79,1.722744,-0.705081,0.562486,-1.631461,3.737226,-7.421286,0.752785,0.648095,0.115272,2.277550,1.112891,-0.243233,29.511536,24.194946,-26.900635,,,,,,
,,,,,,,,,,,,,,,,37.322896,-122.016104,58.768402,0.540000,96.679688,1478209602.22
1478209602.81,1.854194,-0.832793,0.648960,-1.801451,3.354504,-6.515749,0.645974,0.739813,0.188132,2.157660,0.336557,-0.575400,27.279510,29.367264,-24.369934,,,,,,
1478209602.83,2.002144,-0.917923,0.771265,-2.453140,2.219980,-4.638761,0.551829,0.794342,0.253981,1.820867,-0.290588,-0.874067,21.238068,38.136581,-18.569641,,,,,,
1478209602.85,2.125872,-0.951866,0.900506,-2.489045,0.126383,-2.621739,0.493058,0.814500,0.305751,1.373168,-0.414475,-1.120555,17.875732,41.134369,-15.971313,,,,,,
1478209602.87,2.168619,-0.963154,0.983953,-1.120226,-2.028786,-1.424020,0.471913,0.820996,0.321347,0.958324,-0.282834,-1.077695,14.958435,42.858276,-14.269043,,,,,,
1478209602.89,2.136059,-0.980389,1.011150,0.318692,-3.031284,-1.081398,0.470104,0.830714,0.298189,0.700886,-0.073725,-0.698885,14.958435,42.858276,-14.269043,,,,,,
1478209602.91,2.074573,-1.007174,1.007778,0.921974,-2.775820,-1.159374,0.467880,0.845325,0.257903,0.545884,-0.004703,-0.272140,13.310333,43.383667,-13.981689,,,,,,
1478209602.93,2.023557,-1.036728,0.998641,0.826904,-1.745213,-1.223206,0.457750,0.860743,0.222679,0.428297,-0.111201,0.001152,9.706238,43.388550,-16.033752,,,,,,
1478209602.95,2.000163,-1.063478,0.992943,0.648556,-0.439307,-1.103757,0.441736,0.874050,0.202251,0.348639,-0.285412,0.108556,7.906311,43.840256,-16.572449,,,,,,
1478209602.97,2.000209,-1.086928,0.987312,0.577935,0.629139,-0.967386,0.422971,0.885202,0.193683,0.292925,-0.395395,0.020581,7.003906,43.617065,-17.479126,,,,,,
1478209602.99,2.019262,-1.107061,0.985419,0.388665,1.216428,-0.866064,0.403061,0.894388,0.193939,0.334167,-0.381357,-0.099456,7.003906,43.617065,-17.479126,,,,,,
1478209603.01,2.054369,-1.124049,0.995169,0.072865,1.363126,-0.879732,0.382497,0.901857,0.200872,0.417597,-0.311571,-0.208868,5.652557,43.618774,-18.164246,,,,,,
1478209603.03,2.101578,-1.140382,1.017754,-0.046994,1.309495,-0.993146,0.359839,0.908793,0.211214,0.562036,-0.281702,-0.285509,5.127136,43.393921,-18.093079,,,,,,
1478209603.05,2.149931,-1.158673,1.043994,0.096137,1.202930,-1.113550,0.335240,0.916272,0.219224,0.743587,-0.266095,-0.304460,4.604279,43.843414,-17.572205,,,,,,
1478209603.07,2.195177,-1.179470,1.066712,0.300578,1.237289,-1.078415,0.309452,0.924404,0.222973,0.901028,-0.360012,-0.313519,3.778870,43.618713,-17.503296,,,,,,
1478209603.09,2.229474,-1.197626,1.076382,0.430063,1.286048,-0.632816,0.288302,0.931176,0.223143,1.004941,-0.521874,-0.332640,3.778870,43.618713,-17.503296,,,,,,
,,,,,,,,,,,,,,,,37.322848,-122.016132,59.511993,0.830000,306.914062,1478209603.00
1478209603.11,2.240140,-1.204054,1.062943,0.352262,1.044448,0.260239,0.281206,0.933500,0.222487,1.025480,-0.644819,-0.379301,3.028809,43.769424,-17.734009,,,,,,
1478209603.13,2.212922,-1.193724,1.018073,0.353611,0.531245,1.291463,0.294864,0.929746,0.220515,0.948926,-0.672056,-0.399623,4.527252,43.319000,-17.947510,,,,,,
1478209603.15,2.146797,-1.170840,0.943318,0.614662,-0.068291,1.970832,0.326551,0.921078,0.212084,0.827731,-0.521511,-0.347628,5.200623,43.094437,-18.467407,,,,,,
1478209603.17,2.059115,-1.142822,0.855495,0.927246,-0.534215,2.149966,0.366522,0.909808,0.194707,0.692774,-0.395267,-0.243444,6.549896,42.793747,-18.457153,,,,,,
1478209603.19,1.969019,-1.112679,0.771311,0.997770,-0.763034,2.158153,0.407654,0.896887,0.171500,0.577179,-0.330298,-0.119513,6.549896,42.793747,-18.457153,,,,,,
1478209603.21,1.888426,-1.078109,0.697173,0.982341,-0.682411,2.285685,0.449336,0.881065,0.147724,0.505727,-0.332847,0.000927,10.366150,41.070175,-20.677612,,,,,,
1478209603.23,1.820482,-1.037456,0.631911,0.970024,-0.487116,2.490769,0.492647,0.861114,0.125628,0.439604,-0.329894,0.060849,11.863220,40.545654,-21.491150,,,,,,
1478209603.25,1.767479,-0.991264,0.577536,0.830370,-0.250908,2.638672,0.537075,0.836719,0.107017,0.369313,-0.256000,0.091958,13.733856,39.270599,-22.076416,,,,,,
1478209603.27,1.732206,-0.941083,0.536624,0.630597,0.031342,2.714848,0.581258,0.808196,0.094644,0.322962,-0.180816,0.094839,15.681152,38.595383,-22.586548,,,,,,
1478209603.29,1.710564,-0.888627,0.505555,0.519948,0.194240,2.783185,0.624330,0.776207,0.087834,0.300856,-0.108085,0.057002,15.681152,38.595383,-22.586548,,,,,,
1478209603.31,1.694018,-0.833622,0.479064,0.481688,0.142046,2.909729,0.667102,0.740371,0.082620,0.310987,-0.017364,0.024924,19.572693,35.744415,-23.230957,,,,,,
1478209603.33,1.679356,-0.776226,0.457481,0.360373,-0.004395,2.977414,0.709362,0.700591,0.077312,0.339481,0.162476,0.037434,22.118622,34.318558,-23.511108,,,,,,
1478209603.35,1.667748,-0.718127,0.442461,0.182442,-0.088793,2.933985,0.749503,0.657976,0.072894,0.336541,0.334090,0.081265,23.764069,32.668030,-23.722961,,,,,,
1478209603.37,1.659417,-0.662754,0.432629,0.098563,-0.101947,2.711064,0.785207,0.615290,0.069769,0.324961,0.474691,0.113367,26.161346,31.391479,-23.479309,,,,,,
1478209603.39,1.654476,-0.613184,0.426319,0.003914,-0.030893,2.383634,0.814958,0.575474,0.068355,0.365507,0.638027,0.145680,26.161346,31.391479,-23.479309,,,,,,
1478209603.41,1.653634,-0.570310,0.423509,-0.106378,0.075356,2.022001,0.838848,0.539893,0.069648,0.391286,0.756311,0.145211,29.153229,28.315277,-23.680359,,,,,,
1478209603.43,1.656223,-0.534130,0.424456,-0.239543,0.110378,1.700802,0.857573,0.509092,0.073439,0.367494,0.749590,0.110003,30.200348,26.889297,-23.371765,,,,,,
1478209603.45,1.658973,-0.503350,0.427905,-0.314810,0.023936,1.422686,0.872569,0.482363,0.077140,0.322698,0.745436,0.092736,31.472565,25.613312,-23.136597,,,,,,
1478209603.47,1.661893,-0.477969,0.433520,-0.368586,-0.001983,1.148854,0.884249,0.459977,0.080776,0.154401,0.583816,0.051991,32.821442,25.087494,-23.051208,,,,,,
1478209603.49,1.662486,-0.457286,0.438407,-0.279409,-0.132694,0.954739,0.893485,0.441515,0.082154,-0.070182,0.368178,0.005722,32.821442,25.087494,-23.051208,,,,,,
1478209603.51,1.660164,-0.437945,0.440670,-0.115793,-0.183268,0.997231,0.902011,0.424080,0.080826,-0.200595,0.236443,0.001220,33.568451,23.586548,-22.669861,,,,,,
1478209603.53,1.654093,-0.416426,0.437302,0.172777,-0.263135,1.143710,0.911369,0.404495,0.076091,-0.247063,0.250565,0.030233,33.567810,23.136215,-22.444702,,,,,,
1478209603.55,1.645271,-0.392829,0.428318,0.394690,-0.258751,1.264147,0.921269,0.382803,0.068738,-0.293553,0.277566,0.092318,34.616211,22.385452,-22.286438,,,,,,
1478209603.57,1.637217,-0.366977,0.417016,0.440113,-0.155985,1.383464,0.931358,0.358795,0.061952,-0.371315,0.293442,0.133147,34.838043,21.410889,-22.659302,,,,,,
