timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478209376.71,0.901112,1.505264,-2.526594,0.026466,0.066202,-0.012377,0.051342,-0.997854,-0.040650,0.000584,0.002889,0.004807,5.679321,-36.925034,21.461121,,,,,,
,,,,,,,,,,,,,,,,37.322668,-122.017224,60.779205,0.420000,92.812500,1478209300.00
,,,,,,,,,,,,,,,,37.322668,-122.017224,60.779205,0.420000,92.812500,1478209292.00
,,,,,,,,,,,,,,,,37.322668,-122.017224,60.779205,0.420000,92.812500,1478209300.00
1478209376.73,0.914849,1.504854,-2.539735,0.024212,0.014133,-0.021893,0.052220,-0.997827,-0.040190,0.013607,-0.009391,-0.001131,5.754211,-36.849854,21.311646,,,,,,
1478209376.75,0.922812,1.504889,-2.547438,0.018895,0.020525,-0.019802,0.052510,-0.997829,-0.039751,-0.007954,-0.018971,0.001437,5.754211,-36.849854,21.311646,,,,,,
1478209376.77,0.930430,1.504749,-2.554773,0.009234,0.010972,-0.017710,0.052924,-0.997820,-0.039434,-0.002920,0.002245,0.002966,5.304993,-36.775055,21.608215,,,,,,
,,,,,,,,,,,,,,,,37.320252,-122.012089,60.779205,-1.000000,-1.000000,1478209376.77
,,,,,,,,,,,,,,,,37.318955,-122.009442,60.779205,-1.000000,-1.000000,1478209376.77
1478209376.79,0.941438,1.504451,-2.565882,-0.000423,-0.011320,-0.018796,0.053595,-0.997800,-0.039024,0.012354,-0.003634,0.011863,5.528870,-36.924622,21.234985,,,,,,
1478209376.81,0.947334,1.504222,-2.571813,-0.014192,0.008926,-0.019967,0.054009,-0.997785,-0.038840,-0.002068,-0.003466,0.012855,5.757538,-35.950653,21.836182,,,,,,
1478209376.83,0.948904,1.504016,-2.572716,-0.017277,0.041892,-0.018968,0.054237,-0.997771,-0.038876,-0.005470,-0.006089,0.004955,5.756592,-36.325653,21.836365,,,,,,
1478209376.85,0.948364,1.503426,-2.571548,-0.018453,0.021685,-0.012558,0.054695,-0.997731,-0.039248,0.007317,-0.008235,-0.000699,5.756592,-36.325653,21.836365,,,,,,
1478209376.87,0.948489,1.502787,-2.571460,-0.015316,0.008913,-0.010394,0.055218,-0.997688,-0.039613,0.007832,0.000893,-0.001342,5.979584,-36.775070,21.388245,,,,,,
1478209376.89,0.944702,1.502431,-2.567278,-0.005649,0.030146,-0.011437,0.055354,-0.997664,-0.040030,-0.005901,0.001433,-0.006494,5.753876,-36.924744,21.236694,,,,,,
1478209376.91,0.940854,1.501868,-2.562924,-0.006782,0.007828,-0.013538,0.055654,-0.997625,-0.040573,0.011546,-0.014307,-0.010757,5.979370,-36.925186,21.463379,,,,,,
1478209376.93,0.941043,1.501754,-2.563262,-0.000511,-0.011346,-0.009212,0.055754,-0.997617,-0.040630,-0.008711,0.005781,0.003307,5.754791,-36.624847,21.311523,,,,,,
1478209376.95,0.941237,1.501721,-2.563565,-0.004725,0.000364,-0.010317,0.055788,-0.997615,-0.040638,-0.002611,-0.007374,0.001683,5.754791,-36.624847,21.311523,,,,,,
1478209376.97,0.943571,1.501661,-2.565867,-0.012186,0.002511,-0.008232,0.055931,-0.997611,-0.040543,-0.000740,-0.008843,0.010026,5.754059,-36.849747,21.236633,,,,,,
1478209376.99,0.950341,1.502008,-2.572354,-0.044192,0.017469,0.008602,0.055923,-0.997635,-0.039962,0.002061,-0.000641,0.044845,5.903259,-37.074600,21.087830,,,,,,
1478209377.01,0.957632,1.501494,-2.579216,-0.093388,0.009075,0.036015,0.056632,-0.997600,-0.039849,0.043511,-0.006230,0.042351,5.829987,-36.549881,21.312073,,,,,,
1478209377.03,0.918230,1.501050,-2.540024,-0.139624,-0.033380,0.080535,0.055371,-0.997569,-0.042318,0.067920,-0.019414,0.027517,5.978149,-36.999390,20.938416,,,,,,
1478209377.05,0.875187,1.499870,-2.498175,-0.165676,-0.088661,0.127307,0.054402,-0.997486,-0.045415,0.075664,-0.019070,0.007405,5.978149,-36.999390,20.938416,,,,,,
1478209377.07,0.808189,1.499800,-2.433323,-0.179910,-0.132270,0.164553,0.051290,-0.997481,-0.049004,0.059550,-0.015443,0.006478,5.527527,-37.224167,20.935181,,,,,,
1478209377.09,0.738473,1.499234,-2.366509,-0.181267,-0.172738,0.184836,0.048131,-0.997441,-0.052875,0.030070,-0.012142,-0.004514,5.752228,-37.224060,20.786804,,,,,,
1478209377.11,0.663657,1.499125,-2.295403,-0.163313,-0.198330,0.195619,0.044112,-0.997433,-0.056411,-0.006011,0.007427,-0.022630,5.601593,-37.298630,20.560730,,,,,,
1478209377.13,0.592785,1.499099,-2.228130,-0.129176,-0.184620,0.195786,0.040021,-0.997431,-0.059414,-0.017774,0.005182,-0.024647,5.076263,-37.147812,20.181702,,,,,,
1478209377.15,0.526853,1.499550,-2.165569,-0.081287,-0.179479,0.206686,0.035793,-0.997463,-0.061533,0.013157,-0.002369,-0.052893,5.076263,-37.147812,20.181702,,,,,,
1478209377.17,0.466010,1.500747,-2.108103,-0.022683,-0.167982,0.211249,0.031449,-0.997548,-0.062528,0.010742,0.011387,-0.063998,5.526550,-37.148270,20.335083,,,,,,
1478209377.19,0.406845,1.502679,-2.052069,0.023073,-0.169207,0.218954,0.026934,-0.997681,-0.062509,0.004758,0.007218,-0.040244,5.374664,-37.597626,19.959106,,,,,,
1478209377.21,0.345626,1.505047,-1.994389,0.046359,-0.194816,0.228701,0.022259,-0.997839,-0.061816,0.020420,-0.006174,-0.022046,4.625153,-37.522476,20.103455,,,,,,
