timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478209474.19,0.249915,0.538375,-2.147022,0.026975,-0.046611,0.018387,0.212336,-0.512742,-0.831871,0.010152,0.008775,0.011329,19.993225,-38.360153,-20.340759,,,,,,
,,,,,,,,,,,,,,,,37.322789,-122.017177,58.605743,0.000000,133.945312,1478209414.00
1478209474.21,0.249258,0.538920,-2.146813,0.022743,-0.030657,0.022597,0.211721,-0.513209,-0.831739,0.007899,-0.007024,-0.008745,19.393005,-38.509964,-20.270142,,,,,,
,,,,,,,,,,,,,,,,37.322789,-122.017177,58.605743,0.000000,133.945312,1478209406.00
,,,,,,,,,,,,,,,,37.322789,-122.017177,58.605743,0.000000,133.945312,1478209414.00
1478209474.23,0.248094,0.539561,-2.146176,0.023619,-0.048769,0.042855,0.210672,-0.513759,-0.831666,0.008948,-0.003575,-0.022017,19.394379,-38.135300,-20.045288,,,,,,
1478209474.25,0.246558,0.540163,-2.145251,0.033200,-0.044554,0.046095,0.209318,-0.514276,-0.831689,-0.007292,0.007302,-0.012656,19.394379,-38.135300,-20.045288,,,,,,
1478209474.27,0.245847,0.541031,-2.144646,0.037715,-0.006261,0.026901,0.208619,-0.515020,-0.831404,-0.010178,0.005269,-0.010255,19.245789,-38.061111,-19.446472,,,,,,
,,,,,,,,,,,,,,,,37.320957,-122.013469,58.605743,-1.000000,-1.000000,1478209474.26
,,,,,,,,,,,,,,,,37.319753,-122.011031,58.605743,-1.000000,-1.000000,1478209474.26
1478209474.29,0.245683,0.541315,-2.144274,0.015523,0.018289,0.011839,0.208446,-0.515263,-0.831297,-0.000835,0.001500,-0.013399,19.019836,-38.135437,-19.823120,,,,,,
1478209474.31,0.245639,0.541145,-2.144162,0.001544,-0.022061,0.009694,0.208431,-0.515118,-0.831390,0.010396,-0.004093,-0.019043,19.168823,-38.360168,-20.046875,,,,,,
1478209474.33,0.244751,0.540581,-2.144098,-0.015636,-0.069837,0.004349,0.207763,-0.514634,-0.831857,0.012955,-0.004378,-0.024024,19.393555,-38.585526,-19.895142,,,,,,
1478209474.35,0.242941,0.540277,-2.143809,-0.024179,-0.074064,0.005373,0.206294,-0.514374,-0.832383,-0.003948,-0.009094,-0.008498,19.393555,-38.585526,-19.895142,,,,,,
1478209474.37,0.241437,0.539916,-2.143339,-0.030436,-0.035771,0.005282,0.205087,-0.514064,-0.832873,-0.007012,-0.010228,-0.010190,19.167908,-38.735168,-20.046692,,,,,,
1478209474.39,0.240912,0.539456,-2.143048,-0.036685,-0.002786,0.000940,0.204706,-0.513669,-0.833210,0.001196,-0.013934,-0.010082,19.242889,-38.735214,-20.046143,,,,,,
1478209474.41,0.240833,0.539006,-2.142803,-0.043095,-0.002771,0.004098,0.204695,-0.513283,-0.833451,0.005922,-0.018837,-0.015212,19.541595,-38.959808,-20.418762,,,,,,
1478209474.43,0.240637,0.538399,-2.142556,-0.046359,-0.018710,0.006233,0.204606,-0.512762,-0.833793,0.008818,-0.010446,-0.004677,19.467377,-38.584671,-20.494507,,,,,,
1478209474.45,0.240286,0.537564,-2.142371,-0.054856,-0.025047,-0.001256,0.204415,-0.512045,-0.834281,0.006263,-0.008737,-0.002832,19.467377,-38.584671,-20.494507,,,,,,
1478209474.47,0.240033,0.536645,-2.142343,-0.050435,-0.005898,-0.016163,0.204316,-0.511256,-0.834789,0.000442,-0.004110,0.001995,18.944214,-38.210068,-20.048645,,,,,,
1478209474.49,0.240024,0.535766,-2.142565,-0.041803,0.000477,-0.029964,0.204415,-0.510500,-0.835227,-0.005013,-0.003462,0.000602,18.943512,-38.434952,-20.123535,,,,,,
1478209474.51,0.240036,0.535100,-2.143087,-0.032267,-0.021873,-0.034135,0.204506,-0.509927,-0.835555,-0.000115,-0.006080,0.000701,19.168762,-38.284943,-20.196960,,,,,,
1478209474.53,0.239688,0.534680,-2.143772,-0.023820,-0.047412,-0.036178,0.204266,-0.509565,-0.835834,0.001071,-0.004885,0.005420,19.618591,-38.285080,-20.268555,,,,,,
1478209474.55,0.238965,0.534491,-2.144502,-0.019584,-0.056992,-0.037205,0.203685,-0.509403,-0.836075,-0.003291,-0.002468,0.018189,19.618591,-38.285080,-20.268555,,,,,,
1478209474.57,0.238621,0.534513,-2.145381,-0.009866,-0.033621,-0.044638,0.203394,-0.509422,-0.836134,-0.004786,0.005012,0.031843,18.941986,-38.433823,-20.873535,,,,,,
1478209474.59,0.238479,0.534725,-2.146449,-0.009798,-0.037851,-0.057404,0.203250,-0.509604,-0.836058,-0.009478,-0.000634,0.033827,19.168396,-38.059265,-20.647034,,,,,,
1478209474.61,0.237766,0.534590,-2.148472,-0.010939,-0.156822,-0.111519,0.202670,-0.509488,-0.836270,0.001401,0.019727,0.051846,19.317444,-38.208923,-20.945862,,,,,,
1478209474.63,0.234960,0.533715,-2.152512,0.016648,-0.330061,-0.190943,0.200427,-0.508735,-0.837268,0.023145,0.063468,0.064838,19.242615,-38.133881,-20.946472,,,,,,
1478209474.65,0.228397,0.533600,-2.157358,0.059719,-0.540667,-0.211675,0.194940,-0.508636,-0.838622,0.043799,0.049270,0.073943,19.242615,-38.133881,-20.946472,,,,,,
1478209474.67,0.217827,0.534021,-2.163465,0.076152,-0.813849,-0.266524,0.186019,-0.508998,-0.840427,0.058503,0.030666,0.122226,19.167816,-38.058823,-20.947021,,,,,,
1478209474.69,0.201486,0.533646,-2.170803,0.023289,-1.137803,-0.341901,0.172300,-0.508676,-0.843541,0.070254,0.029565,0.212544,19.542938,-38.059128,-20.869202,,,,,,
1478209474.71,0.177632,0.531803,-2.179075,-0.045208,-1.598919,-0.378832,0.152296,-0.507089,-0.848332,0.075991,0.014016,0.289723,18.941528,-37.907486,-21.773804,,,,,,
1478209474.73,0.143654,0.530603,-2.187371,0.059405,-2.103232,-0.354071,0.123476,-0.506054,-0.853618,0.090651,0.002254,0.353572,18.715607,-37.906677,-22.225586,,,,,,
1478209474.75,0.101168,0.533445,-2.196829,0.269125,-2.575822,-0.424585,0.086963,-0.508503,-0.856658,0.081754,0.024799,0.344435,18.715607,-37.906677,-22.225586,,,,,,
1478209474.77,0.051964,0.540315,-2.209051,0.444592,-2.891919,-0.551944,0.044542,-0.514406,-0.856389,0.051268,0.007952,0.305608,17.889252,-37.830154,-22.981812,,,,,,
1478209474.79,0.001240,0.550378,-2.223718,0.575042,-2.921943,-0.645921,0.001057,-0.523010,-0.852326,-0.001134,-0.033600,0.359070,15.861816,-37.902420,-24.121948,,,,,,
1478209474.81,-0.046115,0.564825,-2.238544,0.813468,-2.673942,-0.644989,-0.038939,-0.535268,-0.843784,-0.029894,-0.024104,0.351337,14.886017,-37.675888,-24.804382,,,,,,
1478209474.83,-0.087460,0.586177,-2.252168,1.164276,-2.321009,-0.669146,-0.072767,-0.553181,-0.829877,-0.032031,0.009281,0.301404,13.685883,-37.900635,-24.588196,,,,,,
1478209474.85,-0.120652,0.614428,-2.266979,1.440312,-1.951658,-0.822544,-0.098346,-0.576491,-0.811163,-0.012097,-0.016023,0.226264,13.685883,-37.900635,-24.588196,,,,,,
1478209474.87,-0.145044,0.646774,-2.284545,1.548885,-1.643425,-0.976769,-0.115344,-0.602615,-0.789653,-0.009854,-0.072175,0.165904,13.233887,-38.575180,-24.741272,,,,,,
1478209474.89,-0.163593,0.680808,-2.304046,1.584991,-1.500952,-1.049173,-0.126556,-0.629421,-0.766689,0.010605,-0.116093,0.138454,12.485565,-39.102036,-23.246643,,,,,,
1478209474.91,-0.180849,0.716184,-2.324222,1.655367,-1.559577,-1.092341,-0.135675,-0.656511,-0.742015,0.050638,-0.117766,0.110224,12.785583,-39.703323,-22.494141,,,,,,
1478209474.93,-0.199911,0.754446,-2.346551,1.777905,-1.825488,-1.245616,-0.144697,-0.684885,-0.714140,0.064008,-0.090094,0.106321,12.710541,-40.379517,-21.669312,,,,,,
1478209474.95,-0.220794,0.795283,-2.372396,1.820701,-2.032682,-1.390901,-0.153321,-0.714062,-0.683087,0.084183,-0.120899,0.104474,12.710541,-40.379517,-21.669312,,,,,,
1478209474.97,-0.241892,0.836314,-2.402761,1.727112,-2.276615,-1.552848,-0.160540,-0.742178,-0.650691,0.062014,-0.165109,0.113917,13.010925,-41.056244,-20.616699,,,,,,
1478209474.99,-0.264423,0.876476,-2.438277,1.636163,-2.620550,-1.681628,-0.167230,-0.768489,-0.617624,0.056924,-0.200246,0.132699,13.613953,-41.584839,-18.437012,,,,,,
1478209475.01,-0.290780,0.916927,-2.476726,1.629939,-2.971274,-1.734354,-0.174388,-0.793736,-0.582727,0.062953,-0.210368,0.121668,14.064484,-41.885971,-17.833374,,,,,,
1478209475.03,-0.322101,0.958984,-2.516005,1.696171,-3.273372,-1.762271,-0.181817,-0.818608,-0.544814,0.069238,-0.189265,0.100539,14.515015,-41.961746,-17.454956,,,,,,
