timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478502860.43,0.086046,1.487725,-2.840599,0.029824,0.026793,0.018536,0.007131,-0.996552,-0.082669,0.003108,0.000839,-0.006961,-1.646606,-34.605225,-23.499634,,,,,,
,,,,,,,,,,,,,,,,37.391856,-122.011729,10.837952,-1.000000,-1.000000,1478502568.23
1478502860.45,0.080647,1.487860,-2.834612,0.013709,0.023614,0.036500,0.006674,-0.996563,-0.082572,0.001856,-0.002430,-0.009653,-2.170532,-34.305237,-23.353760,,,,,,
,,,,,,,,,,,,,,,,37.391855,-122.011740,10.837952,-1.000000,-1.000000,1478502565.94
,,,,,,,,,,,,,,,,37.391856,-122.011729,10.837952,-1.000000,-1.000000,1478502568.23
1478502860.47,0.071282,1.487847,-2.825128,-0.007664,-0.012446,0.026858,0.005901,-0.996562,-0.082644,-0.004177,-0.019475,-0.001294,-2.246216,-34.454956,-23.504272,,,,,,
1478502860.49,0.063185,1.487748,-2.817674,-0.021450,-0.027253,0.008710,0.005238,-0.996553,-0.082787,-0.014103,-0.022261,0.008202,-2.842651,-33.555664,-22.834106,,,,,,
,,,,,,,,,,,,,,,,37.392600,-122.003822,10.837952,-1.000000,-1.000000,1478502860.48
,,,,,,,,,,,,,,,,37.392599,-122.003832,10.837952,-1.000000,-1.000000,1478502860.49
1478502860.51,0.056681,1.487607,-2.811371,-0.012851,-0.001770,0.010849,0.004707,-0.996542,-0.082959,-0.006584,0.012792,0.003980,-2.169189,-34.005676,-23.053833,,,,,,
1478502860.53,0.054411,1.487516,-2.809104,-0.008555,0.000350,0.006612,0.004524,-0.996534,-0.083061,-0.000007,0.005857,0.004127,-2.169189,-34.005676,-23.053833,,,,,,
1478502860.55,0.053260,1.487626,-2.807842,-0.005339,0.007780,0.007683,0.004422,-0.996543,-0.082957,0.002200,-0.005547,0.008021,-2.169128,-33.855408,-23.203979,,,,,,
1478502860.57,0.050718,1.487823,-2.805119,-0.004279,0.007775,0.008753,0.004202,-0.996560,-0.082772,-0.002126,-0.005714,0.007042,-2.319031,-34.005676,-22.979980,,,,,,
1478502860.59,0.048427,1.488116,-2.802907,-0.001158,-0.010316,0.011955,0.003998,-0.996584,-0.082489,0.003036,-0.005552,0.007142,-2.471313,-34.454712,-23.580933,,,,,,
1478502860.61,0.048495,1.488363,-2.803269,0.006298,-0.016713,0.008811,0.003992,-0.996604,-0.082243,0.004355,0.004814,0.002043,-2.394592,-33.930115,-23.355591,,,,,,
1478502860.63,0.048316,1.488554,-2.803355,0.006323,-0.011395,0.007738,0.003968,-0.996620,-0.082054,0.002914,-0.003624,0.002479,-2.394592,-33.930115,-23.355591,,,,,,
