timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478384983.90,2.932700,1.531252,-1.971580,0.041757,-0.089369,-0.003408,0.008199,-0.999218,0.038675,-0.038136,0.017437,0.006033,24.263184,-41.345154,8.986877,,,,,,
,,,,,,,,,,,,,,,,37.354404,-122.033562,36.120422,0.670000,79.804688,1478384983.90
1478384983.92,2.937867,1.530111,-1.976633,0.063624,0.062145,-0.011501,0.008229,-0.999172,0.039833,-0.024709,0.017666,0.010643,23.438202,-41.345169,8.978638,,,,,,
,,,,,,,,,,,,,,,,37.354404,-122.033562,36.120422,0.670000,79.804688,1478384983.00
1478384983.94,2.937471,1.528670,-1.975251,0.073326,0.024781,-0.015860,0.008537,-0.999113,0.041239,0.000329,0.009458,-0.018504,24.114075,-41.270538,8.610229,,,,,,
1478384983.96,2.936895,1.527181,-1.975096,0.074617,-0.043473,-0.012841,0.008863,-0.999049,0.042691,-0.000287,0.007014,-0.008664,24.412842,-41.420151,8.988586,,,,,,
1478384983.98,2.936737,1.525725,-1.975877,0.071418,-0.042418,-0.012843,0.009166,-0.998984,0.044114,-0.015559,0.017646,0.007339,23.512665,-41.420013,9.129578,,,,,,
1478384984.00,2.936706,1.524293,-1.976779,0.066190,-0.054134,-0.013859,0.009458,-0.998919,0.045515,-0.005567,0.016222,0.008562,23.512665,-41.420013,9.129578,,,,,,
1478384984.02,2.934467,1.522970,-1.975925,0.060925,-0.075561,-0.019270,0.009832,-0.998857,0.046786,-0.004216,0.015138,0.011060,24.114899,-41.045380,8.759521,,,,,,
1478384984.04,2.940941,1.521609,-1.983502,0.065038,-0.032936,-0.025553,0.009799,-0.998791,0.048181,-0.022235,0.014080,0.005286,24.115021,-41.045456,8.684509,,,,,,
1478384984.06,2.939785,1.520163,-1.982129,0.079777,0.020464,-0.026448,0.010145,-0.998718,0.049585,-0.007719,0.015671,-0.004495,24.339417,-41.195526,8.612244,,,,,,
,,,,,,,,,,,,,,,,37.354405,-122.033558,36.327637,0.590000,71.015625,1478384984.00
1478384984.08,2.928513,1.518684,-1.971594,0.088705,-0.094486,-0.004315,0.011015,-0.998642,0.050911,0.053102,0.004593,-0.026741,23.438538,-41.119720,9.427917,,,,,,
1478384984.10,2.933001,1.516912,-1.980159,0.093475,-0.246954,0.004890,0.011153,-0.998549,0.052690,0.014924,0.004255,-0.036104,23.438538,-41.119720,9.427917,,,,,,
1478384984.12,2.943749,1.515533,-1.994802,0.113298,-0.129762,-0.017187,0.010857,-0.998473,0.054158,-0.060967,0.024322,-0.018300,24.338867,-41.195160,8.987183,,,,,,
1478384984.14,2.939799,1.512766,-1.990510,0.146606,0.094041,-0.051771,0.011624,-0.998317,0.056821,-0.081708,0.021647,-0.001309,24.489410,-41.120300,8.838501,,,,,,
1478384984.16,2.932598,1.509506,-1.980407,0.158168,0.149458,-0.066456,0.012708,-0.998122,0.059919,-0.016798,0.017470,-0.011488,24.639771,-40.970078,9.064514,,,,,,
1478384984.18,2.926126,1.506176,-1.971747,0.154156,0.076993,-0.057047,0.013807,-0.997913,0.063083,0.025882,0.014087,-0.004016,24.414215,-40.969711,9.437256,,,,,,
1478384984.20,2.922262,1.503060,-1.967111,0.145804,0.030148,-0.045438,0.014727,-0.997707,0.066063,0.003340,0.009212,0.004158,24.414215,-40.969711,9.437256,,,,,,
1478384984.22,2.919247,1.499889,-1.963112,0.157394,0.066398,-0.051728,0.015623,-0.997487,0.069104,-0.023054,0.017140,0.004398,24.264557,-40.894699,9.435486,,,,,,
1478384984.24,2.916354,1.496471,-1.958203,0.171072,0.117634,-0.054769,0.016584,-0.997239,0.072381,-0.021330,0.019929,-0.008432,24.639771,-40.819626,9.514038,,,,,,
1478384984.26,2.915979,1.492561,-1.955394,0.195543,0.127342,-0.053631,0.017484,-0.996941,0.076174,-0.005338,0.011971,-0.033252,25.013428,-40.969177,9.968262,,,,,,
1478384984.28,2.919335,1.488351,-1.956179,0.206222,0.125402,-0.040797,0.018153,-0.996603,0.080326,-0.009394,-0.001718,-0.028416,23.963440,-40.743500,10.632080,,,,,,
1478384984.30,2.924068,1.484016,-1.958536,0.217998,0.109490,-0.036546,0.018705,-0.996237,0.084629,-0.008955,0.021048,-0.008137,23.963440,-40.743500,10.632080,,,,,,
1478384984.32,2.927047,1.479863,-1.959828,0.225574,0.073261,-0.034496,0.019333,-0.995868,0.088726,0.000579,0.014881,-0.014492,24.639435,-40.593735,10.413391,,,,,,
1478384984.34,2.934372,1.475774,-1.965775,0.239435,0.070150,-0.031274,0.019520,-0.995489,0.092849,-0.010686,-0.004542,-0.018661,24.789337,-40.518433,10.714661,,,,,,
1478384984.36,2.943596,1.472676,-1.973052,0.276557,0.119429,-0.026797,0.019270,-0.995190,0.096049,-0.006529,-0.002918,-0.042033,23.889435,-40.217606,11.529785,,,,,,
1478384984.38,2.949604,1.469241,-1.976390,0.323359,0.138852,-0.023456,0.019345,-0.994848,0.099518,-0.002468,-0.002574,-0.051819,24.713898,-40.367676,11.463501,,,,,,
1478384984.40,2.956438,1.464855,-1.980661,0.362810,0.126246,-0.019148,0.019467,-0.994393,0.103936,-0.003323,0.003625,-0.047722,24.713898,-40.367676,11.463501,,,,,,
1478384984.42,2.965399,1.459911,-1.986846,0.389340,0.158475,-0.009397,0.019397,-0.993858,0.108945,0.001935,0.007546,-0.057127,24.939087,-40.142151,11.990112,,,,,,
1478384984.44,2.975797,1.454464,-1.994080,0.423347,0.181051,-0.006070,0.019156,-0.993241,0.114479,0.000955,0.015305,-0.074257,23.962219,-40.366562,12.580933,,,,,,
1478384984.46,2.983451,1.449047,-1.997904,0.486165,0.195390,0.013309,0.019126,-0.992598,0.119933,0.012932,-0.034731,-0.071883,23.737579,-40.065887,13.252808,,,,,,
1478384984.48,2.996631,1.439534,-2.007376,0.578871,0.195702,0.002961,0.018907,-0.991397,0.129513,0.045104,-0.042233,-0.104367,24.638000,-39.915726,13.411377,,,,,,
1478384984.50,3.015461,1.426233,-2.022435,0.726923,0.207044,0.012866,0.018122,-0.989569,0.142915,-0.003154,-0.027719,-0.118440,24.638000,-39.915726,13.411377,,,,,,
1478384984.52,3.033785,1.411032,-2.036183,0.878048,0.250296,0.013249,0.017118,-0.987265,0.158162,-0.044583,-0.020212,-0.165197,24.187225,-39.839981,14.156616,,,,,,
1478384984.54,3.055028,1.390982,-2.052084,1.098486,0.288869,0.046859,0.015463,-0.983877,0.178177,-0.023855,-0.007227,-0.236862,23.660126,-39.763336,15.801086,,,,,,
1478384984.56,3.077335,1.365596,-2.069991,1.388626,0.194528,0.098389,0.013084,-0.979020,0.203343,-0.024605,-0.072753,-0.314671,24.336792,-39.162659,16.481079,,,,,,
1478384984.58,3.098533,1.335113,-2.088234,1.599597,0.191331,0.122252,0.010052,-0.972355,0.233291,-0.083919,-0.085415,-0.279296,24.185516,-39.011383,17.754089,,,,,,
1478384984.60,3.120564,1.302890,-2.104251,1.590341,0.443807,0.178489,0.005566,-0.964327,0.264654,-0.080609,-0.117444,-0.184652,24.185516,-39.011383,17.754089,,,,,,
1478384984.62,-3.135742,1.273640,-2.120808,1.344976,0.581289,0.240408,-0.001713,-0.956173,0.292798,-0.001674,-0.187061,-0.180173,24.036774,-38.335190,18.950623,,,,,,
1478384984.64,-3.112377,1.251489,-2.133536,0.938142,0.530177,0.197892,-0.009170,-0.949453,0.313775,0.112395,-0.093378,-0.219613,22.535706,-37.582214,21.933350,,,,,,
1478384984.66,-3.096663,1.239170,-2.141052,0.389848,0.376286,0.082193,-0.014623,-0.945514,0.325253,0.109716,-0.118069,-0.276638,22.760956,-37.281464,22.684631,,,,,,
1478384984.68,-3.090632,1.238821,-2.140362,-0.212117,0.333887,-0.063208,-0.016602,-0.945400,0.325488,0.101410,-0.121601,-0.289950,22.460388,-37.281082,23.056641,,,,,,
1478384984.70,-3.091390,1.250241,-2.132616,-0.761988,0.325896,-0.203081,-0.015812,-0.949060,0.314697,0.111836,-0.106069,-0.303360,22.460388,-37.281082,23.056641,,,,,,
1478384984.72,-3.099382,1.271579,-2.117592,-1.226592,0.316396,-0.317168,-0.012439,-0.955567,0.294510,0.109973,-0.152404,-0.326798,22.534576,-37.355789,23.357605,,,,,,
1478384984.74,-3.113421,1.300449,-2.096017,-1.530457,0.371164,-0.372036,-0.007523,-0.963678,0.266960,0.083039,-0.138311,-0.290184,21.633850,-37.580948,23.199341,,,,,,
1478384984.76,-3.132744,1.332874,-2.066018,-1.648339,0.558890,-0.431556,-0.002086,-0.971830,0.235674,0.036921,-0.077120,-0.304781,22.383118,-38.483185,20.959534,,,,,,
1478384984.78,3.123041,1.365701,-2.023996,-1.630892,0.749629,-0.459848,0.003778,-0.979042,0.203625,-0.019525,-0.062142,-0.312619,22.531403,-39.159088,20.062988,,,,,,
1478384984.80,3.086620,1.396738,-1.970001,-1.556701,0.872795,-0.445491,0.009515,-0.984890,0.172919,-0.044702,-0.044468,-0.267630,22.531403,-39.159088,20.062988,,,,,,
1478384984.82,3.035185,1.427281,-1.900320,-1.572603,0.864594,-0.412420,0.015190,-0.989719,0.142214,-0.021461,-0.030071,-0.135272,21.704102,-39.834534,19.606750,,,,,,
1478384984.84,2.955470,1.457750,-1.804051,-1.606192,0.732705,-0.365831,0.020875,-0.993617,0.110857,-0.028031,0.034450,-0.084383,21.778137,-40.285278,18.858887,,,,,,
1478384984.86,2.822601,1.487937,-1.658349,-1.661840,0.520014,-0.287449,0.025956,-0.996569,0.078589,-0.053620,0.047015,-0.065024,22.754730,-40.662445,16.694763,,,,,,
1478384984.88,2.550895,1.516265,-1.379082,-1.683194,0.243409,-0.210252,0.030356,-0.998514,0.045269,-0.080740,0.058755,-0.027462,22.602448,-41.488419,15.720703,,,,,,
1478384984.90,1.931360,1.535737,-0.757258,-1.614052,0.014904,-0.065455,0.032798,-0.999385,0.012366,-0.124519,0.067165,0.055550,22.602448,-41.488419,15.720703,,,,,,
1478384984.92,1.046472,1.533809,0.127242,-1.515417,-0.102304,0.096794,0.032012,-0.999316,-0.018513,-0.167586,0.067691,0.104603,21.928223,-41.639404,14.739441,,,,,,
1478384984.94,0.523366,1.515833,0.646446,-1.378159,-0.278488,0.312369,0.027457,-0.998490,-0.047582,-0.221198,0.152909,0.222799,22.454590,-41.941193,12.945557,,,,,,
1478384984.96,0.255314,1.497565,0.910197,-1.028828,-0.170490,0.489564,0.018478,-0.997320,-0.070795,-0.261352,0.260580,0.454614,22.304321,-42.542847,11.295898,,,,,,
1478384984.98,0.084603,1.484145,1.080413,-0.619180,0.022097,0.582691,0.007313,-0.996248,-0.086234,-0.387135,0.300447,0.658469,20.952240,-43.594574,9.560547,,,,,,
1478384985.00,-0.036747,1.479761,1.207562,0.046125,0.481872,0.541308,-0.003340,-0.995859,-0.090849,-0.490541,0.521051,0.842130,20.952240,-43.594574,9.560547,,,,,,
