timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478385036.98,-2.893906,1.392218,-0.502648,-0.048487,-0.178051,-0.113243,-0.043548,-0.984097,0.172209,0.028793,0.010434,-0.030959,-13.321457,-36.599472,29.671753,,,,,,
1478385037.00,-2.892155,1.392523,-0.507898,-0.028123,-0.115672,0.099580,-0.043776,-0.984151,0.171843,-0.061693,0.034353,0.004534,-12.721603,-36.749832,29.303223,,,,,,
,,,,,,,,,,,,,,,,37.354389,-122.033303,39.600464,0.000000,324.843750,1478385036.98
,,,,,,,,,,,,,,,,37.354389,-122.033303,39.600464,0.000000,324.843750,1478385036.00
1478385037.02,-2.887304,1.392616,-0.513098,-0.002024,0.020305,0.040168,-0.044586,-0.984168,0.171539,-0.017914,-0.007379,-0.010330,-13.621689,-36.599319,29.818787,,,,,,
1478385037.04,-2.881274,1.392682,-0.518288,-0.019114,0.036299,0.044456,-0.045603,-0.984179,0.171205,-0.000906,-0.001187,-0.045289,-13.621689,-36.599319,29.818787,,,,,,
1478385037.06,-2.874567,1.393366,-0.525756,-0.057079,-0.075727,0.057971,-0.046572,-0.984300,0.170246,0.002749,0.014437,0.002606,-13.320908,-36.524628,29.521606,,,,,,
,,,,,,,,,,,,,,,,37.354389,-122.033303,39.567322,0.000000,321.679688,1478385037.00
1478385037.08,-2.869210,1.394695,-0.532752,-0.107198,-0.071940,0.033321,-0.047132,-0.984534,0.168734,0.020413,0.017951,0.060804,-13.095245,-36.449844,29.298584,,,,,,
1478385037.10,-2.863833,1.396938,-0.539907,-0.139168,-0.074347,0.020438,-0.047433,-0.984925,0.166354,-0.017814,0.001007,0.054548,-13.846802,-36.674469,29.666748,,,,,,
1478385037.12,-2.858202,1.400024,-0.546059,-0.173592,0.020282,0.002475,-0.047518,-0.985454,0.163165,-0.026685,0.010265,0.022458,-13.847260,-36.824631,29.517212,,,,,,
1478385037.14,-2.850336,1.403794,-0.552116,-0.202720,0.128919,-0.005824,-0.047733,-0.986087,0.159227,-0.029080,0.003070,0.012496,-13.847260,-36.824631,29.517212,,,,,,
1478385037.16,-2.841760,1.407573,-0.557774,-0.185761,0.151290,-0.014281,-0.047996,-0.986709,0.155250,0.021415,0.026961,-0.002098,-13.171036,-36.750229,28.923706,,,,,,
1478385037.18,-2.832989,1.411190,-0.564018,-0.191992,0.108760,0.000549,-0.048272,-0.987290,0.151422,0.029076,0.010758,-0.055947,-13.097275,-37.125519,28.625671,,,,,,
1478385037.20,-2.824737,1.414204,-0.570775,-0.143991,0.088652,-0.000491,-0.048592,-0.987764,0.148190,-0.006248,0.011995,-0.078122,-14.073486,-37.275146,28.991272,,,,,,
1478385037.22,-2.817328,1.416372,-0.575809,-0.108981,0.138000,0.010390,-0.049006,-0.988100,0.145795,-0.019567,0.009966,-0.096509,-13.848267,-37.350525,28.618835,,,,,,
1478385037.24,-2.809397,1.417808,-0.580957,-0.046124,0.138287,0.014774,-0.049698,-0.988320,0.144061,0.027085,0.022271,-0.073580,-13.848267,-37.350525,28.618835,,,,,,
1478385037.26,-2.802890,1.418078,-0.585000,-0.005499,0.102373,0.032909,-0.050546,-0.988361,0.143483,0.030359,0.016834,-0.079716,-13.247055,-37.200897,28.249390,,,,,,
1478385037.28,-2.799227,1.416991,-0.587376,0.070263,0.063173,0.032933,-0.051432,-0.988195,0.144309,0.000116,0.026647,-0.058524,-14.372803,-37.350830,28.313599,,,,,,
1478385037.30,-2.798262,1.414760,-0.587261,0.125749,0.037847,0.039370,-0.052313,-0.987851,0.146334,-0.008020,0.011304,-0.050936,-14.374054,-37.726120,28.014709,,,,,,
1478385037.32,-2.798822,1.411950,-0.586538,0.146157,-0.007810,0.052101,-0.053164,-0.987410,0.148977,0.025057,0.009322,-0.040441,-14.147827,-37.275604,28.540588,,,,,,
1478385037.34,-2.798660,1.408562,-0.587574,0.166631,-0.073743,0.064777,-0.054312,-0.986869,0.152118,0.039954,0.028571,-0.055103,-14.147827,-37.275604,28.540588,,,,,,
1478385037.36,-2.800369,1.404861,-0.587362,0.182552,-0.057727,0.060575,-0.055274,-0.986264,0.155652,-0.013039,0.005094,-0.017423,-13.547592,-37.200516,28.621399,,,,,,
1478385037.38,-2.800598,1.401483,-0.587044,0.102290,0.046335,0.042558,-0.056352,-0.985701,0.158803,-0.039335,0.013823,-0.002843,-14.297714,-37.050003,29.138367,,,,,,
1478385037.40,-2.797121,1.400168,-0.589727,0.054350,0.050513,0.049965,-0.057342,-0.985478,0.159826,0.004348,0.019582,0.147913,-13.696228,-36.825302,28.843811,,,,,,
1478385037.42,-2.795453,1.400094,-0.589611,-0.029033,0.097123,-0.041936,-0.057633,-0.985466,0.159799,0.006455,0.064552,0.076377,-14.070221,-36.600296,28.839355,,,,,,
1478385037.44,-2.800132,1.401523,-0.581432,-0.050961,0.254096,-0.115263,-0.056413,-0.985707,0.158740,-0.128249,0.011525,0.081784,-14.070221,-36.600296,28.839355,,,,,,
1478385037.46,-2.803031,1.403519,-0.571667,-0.077871,0.348121,-0.096888,-0.055299,-0.986042,0.157047,-0.105834,-0.024136,0.031781,-13.622025,-36.975220,28.919861,,,,,,
1478385037.48,-2.806847,1.405931,-0.561752,-0.086119,0.247370,-0.131369,-0.053918,-0.986440,0.155010,0.025125,-0.006647,-0.003796,-14.971222,-36.825317,28.831055,,,,,,
1478385037.50,-2.817861,1.407898,-0.547568,-0.055870,0.109618,-0.148790,-0.051590,-0.986761,0.153754,0.033432,0.006705,-0.053107,-14.521805,-37.050598,28.536194,,,,,,
1478385037.52,-2.831402,1.409537,-0.532101,-0.021719,0.094921,-0.139156,-0.049010,-0.987026,0.152899,-0.035493,0.013378,-0.061209,-14.295563,-36.825760,28.387756,,,,,,
1478385037.54,-2.846110,1.410087,-0.513817,0.042868,0.209155,-0.154755,-0.046598,-0.987114,0.153083,-0.041674,0.020836,-0.048103,-14.295563,-36.825760,28.387756,,,,,,
1478385037.56,-2.862984,1.409668,-0.492649,0.093061,0.170939,-0.153705,-0.044122,-0.987047,0.154245,0.015939,0.003481,-0.073557,-14.145569,-36.825760,28.389282,,,,,,
1478385037.58,-2.882499,1.407865,-0.470971,0.157396,0.047533,-0.142179,-0.041559,-0.986756,0.156797,0.034311,0.014176,-0.114713,-14.748703,-37.425461,28.685059,,,,,,
1478385037.60,-2.903540,1.404901,-0.449999,0.210989,-0.042692,-0.118829,-0.038941,-0.986271,0.160479,0.007889,0.007709,-0.094454,-13.771469,-36.900375,28.768250,,,,,,
1478385037.62,-2.923569,1.400597,-0.430291,0.267376,-0.016780,-0.111181,-0.036637,-0.985551,0.165369,0.011719,0.017686,-0.046656,-13.847595,-37.200516,28.618347,,,,,,
1478385037.64,-2.942523,1.395344,-0.411856,0.306972,-0.065541,-0.096288,-0.034519,-0.984648,0.171106,0.027546,0.010527,-0.055734,-13.847595,-37.200516,28.618347,,,,,,
1478385037.66,-2.961284,1.389232,-0.394581,0.340101,-0.094127,-0.087762,-0.032382,-0.983562,0.177641,0.023730,-0.002445,-0.042799,-14.448929,-37.274857,29.287537,,,,,,
1478385037.68,-2.977457,1.382830,-0.380418,0.345557,-0.124824,-0.068605,-0.030533,-0.982386,0.184350,0.008072,0.003001,-0.024361,-14.371552,-36.825089,29.061951,,,,,,
1478385037.70,-2.993034,1.376372,-0.366882,0.341221,-0.106826,-0.079247,-0.028596,-0.981159,0.191073,0.003465,0.003635,0.004071,-13.395233,-36.299393,29.745178,,,,,,
1478385037.72,-3.006569,1.370188,-0.354923,0.310278,-0.087631,-0.070701,-0.026824,-0.979946,0.197452,0.005538,0.000057,-0.000949,-13.470337,-36.299316,29.819397,,,,,,
1478385037.74,-3.018759,1.364242,-0.343965,0.308051,-0.058852,-0.072762,-0.025129,-0.978743,0.203543,0.006665,0.012877,-0.000220,-13.470337,-36.299316,29.819397,,,,,,
1478385037.76,-3.030434,1.358091,-0.333557,0.316688,-0.095128,-0.074984,-0.023418,-0.977463,0.209802,0.015041,0.008927,-0.028924,-13.995667,-36.223877,30.263977,,,,,,
1478385037.78,-3.042859,1.351832,-0.323289,0.329556,-0.121771,-0.076103,-0.021412,-0.976123,0.216161,-0.003918,-0.004499,-0.031240,-12.943314,-35.698868,30.272888,,,,,,
1478385037.80,-3.054865,1.345008,-0.312633,0.362303,-0.046124,-0.096138,-0.019392,-0.974618,0.223033,-0.034289,0.012551,-0.056880,-13.169113,-35.698349,30.795593,,,,,,
1478385037.82,-3.066322,1.337493,-0.300588,0.402485,0.039232,-0.109723,-0.017386,-0.972908,0.230538,-0.032663,-0.026711,-0.075097,-13.544098,-35.472672,31.466248,,,,,,
