timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478385111.08,0.426888,1.485873,-0.270065,-0.010796,0.046529,-0.009070,0.035119,-0.996396,-0.077209,0.032141,-0.011462,0.046127,12.221313,-4.607010,-2.868713,,,,,,
,,,,,,,,,,,,,,,,37.354238,-122.033504,47.674927,0.000000,305.156250,1478385200.67
,,,,,,,,,,,,,,,,37.354238,-122.033504,47.674927,0.000000,305.156250,1478385200.00
1478385111.10,0.421330,1.485474,-0.263807,-0.042658,0.014331,-0.014554,0.034852,-0.996362,-0.077766,-0.022111,0.008463,0.002647,11.769409,-4.831406,-2.272583,,,,,,
1478385111.12,0.424579,1.484326,-0.265763,-0.054657,0.089772,-0.037873,0.035576,-0.996264,-0.078695,-0.012016,0.035555,0.027135,11.470764,-4.531403,-2.276428,,,,,,
1478385111.14,0.430076,1.482755,-0.269785,-0.077950,0.052501,-0.024128,0.036661,-0.996127,-0.079921,0.021933,-0.025541,0.004207,12.070618,-4.681778,-2.645020,,,,,,
1478385111.16,0.428585,1.480875,-0.267264,-0.099312,0.068390,-0.027327,0.037319,-0.995960,-0.081678,0.007496,0.010471,0.018690,12.070618,-4.681778,-2.645020,,,,,,
1478385111.18,0.426774,1.479164,-0.263341,-0.094116,0.115530,-0.013299,0.037877,-0.995805,-0.083296,0.004070,-0.003249,0.013823,12.296875,-4.456924,-2.793457,,,,,,
1478385111.20,0.425129,1.477367,-0.258863,-0.088957,0.164574,-0.018497,0.038478,-0.995639,-0.084989,0.006032,0.018969,0.008054,11.844940,-4.681335,-2.197266,,,,,,
1478385111.21,0.429532,1.475682,-0.259717,-0.074049,0.173414,-0.004438,0.039550,-0.995480,-0.086344,0.027268,0.004803,0.004038,11.996307,-4.607010,-2.870972,,,,,,
1478385111.23,0.423557,1.474457,-0.250696,-0.068548,0.134321,0.026449,0.039535,-0.995363,-0.087690,0.046769,-0.006407,-0.002734,12.071747,-4.456848,-2.720703,,,,,,
1478385111.25,0.421978,1.472844,-0.247107,-0.044886,0.074931,0.049827,0.040054,-0.995207,-0.089217,0.051148,0.024534,-0.020906,12.071747,-4.456848,-2.720703,,,,,,
