timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478385458.87,-1.840384,1.460580,1.729674,0.005709,0.014078,0.007320,-0.106020,-0.993932,0.029295,0.002962,0.003454,0.004366,-10.962219,-44.972427,-18.279541,,,,,,
1478385458.89,-1.841080,1.460597,1.730417,0.001505,-0.004092,0.006194,-0.105984,-0.993934,0.029364,0.005108,0.017265,-0.001532,-9.911560,-44.822418,-18.269470,,,,,,
,,,,,,,,,,,,,,,,37.354439,-122.033393,36.759735,0.000000,189.843750,1478385548.48
1478385458.91,-1.840208,1.460393,1.729490,0.001489,0.001257,0.007277,-0.106204,-0.993912,0.029326,-0.002103,0.014175,-0.000960,-10.211990,-44.972565,-18.421997,,,,,,
,,,,,,,,,,,,,,,,37.354439,-122.033393,36.759735,0.000000,189.843750,1478385548.00
1478385458.93,-1.838765,1.460218,1.728246,0.002528,0.008718,0.006231,-0.106415,-0.993892,0.029219,0.000915,0.016948,-0.006498,-10.061798,-44.897491,-18.345703,,,,,,
1478385458.95,-1.839478,1.460290,1.728770,0.004737,-0.018016,0.000819,-0.106325,-0.993900,0.029275,0.009783,0.013767,0.002112,-10.061798,-44.897491,-18.345703,,,,,,
1478385458.97,-1.840945,1.460418,1.729690,-0.000555,-0.028707,0.000779,-0.106160,-0.993914,0.029398,0.000416,0.010638,-0.001947,-10.813583,-45.197189,-18.052307,,,,,,
1478385458.99,-1.841064,1.460308,1.729692,-0.000657,0.008795,0.013703,-0.106261,-0.993902,0.029439,0.005187,0.009497,0.001155,-10.285980,-44.822784,-18.648132,,,,,,
1478385459.01,-1.840644,1.459883,1.729817,0.002512,0.038852,0.014808,-0.106680,-0.993855,0.029507,-0.004160,0.015996,0.001941,-10.211884,-45.047867,-18.721680,,,,,,
1478385459.03,-1.837625,1.459138,1.727846,-0.002885,0.061255,0.015931,-0.107483,-0.993773,0.029380,-0.014435,0.020369,0.001977,-10.210876,-44.747635,-18.497681,,,,,,
1478385459.05,-1.834084,1.458386,1.726158,-0.009453,0.112364,0.008584,-0.108308,-0.993689,0.029194,-0.010970,0.005636,0.003277,-10.210876,-44.747635,-18.497681,,,,,,
1478385459.07,-1.828214,1.458372,1.722575,-0.014760,0.105941,0.008557,-0.108492,-0.993687,0.028561,0.005006,0.015065,-0.005337,-11.187912,-45.122421,-18.281311,,,,,,
1478385459.09,-1.821103,1.458004,1.717333,-0.023230,0.094286,0.018127,-0.109045,-0.993646,0.027880,-0.006677,0.016091,-0.000460,-10.435883,-44.747635,-18.499939,,,,,,
1478385459.11,-1.814892,1.458037,1.713178,-0.012593,0.104058,0.028854,-0.109185,-0.993649,0.027194,0.023995,-0.001529,-0.004519,-10.285645,-44.747787,-18.648376,,,,,,
1478385459.13,-1.811752,1.459500,1.711276,-0.013383,0.021961,0.035027,-0.107858,-0.993813,0.026504,0.064477,-0.000496,-0.005325,-9.913025,-45.122330,-18.193542,,,,,,
1478385459.15,-1.808352,1.459463,1.707322,-0.029116,-0.044005,0.056182,-0.107983,-0.993809,0.026146,0.034695,0.005375,0.015282,-9.913025,-45.122330,-18.193542,,,,,,
1478385459.17,-1.800328,1.458381,1.698489,-0.037609,-0.020252,0.067913,-0.109237,-0.993688,0.025523,0.002532,0.008840,0.026189,-11.037445,-44.972275,-18.130249,,,,,,
1478385459.19,-1.794467,1.457130,1.693056,-0.038902,0.051255,0.069175,-0.110596,-0.993547,0.025158,0.010667,0.011293,0.014866,-10.436661,-44.972794,-18.649231,,,,,,
1478385459.21,-1.784117,1.455791,1.683574,-0.038804,0.027957,0.084069,-0.112151,-0.993394,0.024294,0.036056,0.006440,-0.011919,-10.660980,-44.822800,-18.651917,,,,,,
