timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478385508.31,-0.870590,1.456599,-2.206999,-0.001819,0.121337,0.169108,-0.087138,-0.993487,-0.073426,-0.019765,0.017733,0.007310,-7.811218,-46.277008,27.130920,,,,,,
,,,,,,,,,,,,,,,,37.354371,-122.033716,39.508911,0.000000,73.476562,1478385597.92
1478385508.33,-0.872043,1.455502,-2.204136,-0.034475,-0.020363,0.108822,-0.088079,-0.993361,-0.074001,0.065695,-0.005693,-0.005452,-8.034851,-46.052231,26.903015,,,,,,
,,,,,,,,,,,,,,,,37.354371,-122.033716,39.508911,0.000000,73.476562,1478385597.00
1478385508.35,-0.877973,1.453648,-2.201974,-0.040226,-0.228092,0.052727,-0.089934,-0.993146,-0.074653,0.083540,0.000531,-0.016228,-7.959854,-46.052231,26.903809,,,,,,
1478385508.37,-0.891546,1.452533,-2.191073,-0.005672,-0.054326,0.027628,-0.091799,-0.993015,-0.074121,-0.038831,0.046497,0.025766,-7.810104,-46.127304,26.830505,,,,,,
1478385508.39,-0.892369,1.452175,-2.188289,0.003208,0.152452,0.004707,-0.092138,-0.992973,-0.074269,-0.025981,0.008125,0.030919,-7.810104,-46.127304,26.830505,,,,,,
1478385508.41,-0.881141,1.453843,-2.196870,0.021462,0.097841,-0.016787,-0.090020,-0.993169,-0.074244,0.062188,0.024175,-0.002797,-8.185654,-46.202164,26.976990,,,,,,
1478385508.43,-0.884529,1.453765,-2.193658,0.010358,-0.065888,0.037233,-0.090331,-0.993160,-0.073988,0.019912,-0.000264,-0.041368,-8.711639,-46.351944,27.197144,,,,,,
1478385508.45,-0.892306,1.452881,-2.187650,0.020040,-0.085885,0.057495,-0.091587,-0.993056,-0.073834,-0.001965,0.008834,-0.012103,-8.259171,-45.827011,27.125122,,,,,,
,,,,,,,,,,,,,,,,37.354371,-122.033716,39.507690,0.000000,73.476562,1478385598.00
1478385508.47,-0.903686,1.452268,-2.177282,0.030586,-0.038820,0.064081,-0.092900,-0.992984,-0.073164,0.002781,0.016910,0.002714,-8.484604,-45.977158,26.973328,,,,,,
1478385508.49,-0.913310,1.452160,-2.167710,0.044344,0.001023,0.089853,-0.093684,-0.992971,-0.072332,0.029109,0.012350,0.001440,-8.484604,-45.977158,26.973328,,,,,,
1478385508.51,-0.932995,1.450652,-2.148273,0.053107,-0.041905,0.155992,-0.096293,-0.992791,-0.071366,0.009302,0.005807,-0.007583,-8.260971,-46.277161,26.976440,,,,,,
1478385508.53,-0.964840,1.448061,-2.117772,0.093868,-0.094240,0.228573,-0.100630,-0.992478,-0.069728,-0.003985,-0.002365,-0.007802,-9.085281,-46.051941,27.192505,,,,,,
1478385508.55,-1.003912,1.445205,-2.080642,0.124939,-0.135397,0.257361,-0.105668,-0.992124,-0.067266,0.025406,0.002851,-0.014613,-8.708939,-45.827164,26.970642,,,,,,
1478385508.57,-1.047225,1.442021,-2.040344,0.152864,-0.182726,0.306425,-0.111217,-0.991720,-0.064207,0.022426,0.018926,-0.008120,-8.784164,-45.827026,27.119812,,,,,,
1478385508.59,-1.092995,1.439119,-1.997762,0.193381,-0.189941,0.315018,-0.116593,-0.991343,-0.060374,0.040147,0.000910,-0.003591,-8.784164,-45.827026,27.119812,,,,,,
1478385508.61,-1.146909,1.435825,-1.946207,0.264452,-0.071663,0.367816,-0.122653,-0.990905,-0.055346,0.029803,-0.055314,0.051333,-9.610489,-45.976578,27.562073,,,,,,
1478385508.63,-1.210032,1.431470,-1.878460,0.399314,0.403772,0.372596,-0.129936,-0.990310,-0.049022,-0.050453,-0.122605,0.098811,-9.310730,-46.051651,27.490234,,,,,,
1478385508.65,-1.283501,1.426966,-1.788680,0.607588,0.927267,0.448119,-0.137460,-0.989674,-0.040615,0.003213,0.075673,-0.004383,-10.287292,-46.276291,27.856201,,,,,,
1478385508.67,-1.372641,1.420529,-1.679687,0.743213,0.869153,0.543285,-0.146773,-0.988731,-0.029471,0.047484,-0.066079,-0.028284,-12.463486,-46.049805,29.333679,,,,,,
1478385508.69,-1.474433,1.410059,-1.562585,0.866803,0.622103,0.726589,-0.159303,-0.987110,-0.015399,-0.011442,-0.028180,0.010317,-12.463486,-46.049805,29.333679,,,,,,
1478385508.71,-1.576457,1.394794,-1.445668,0.985911,0.735890,0.835020,-0.175092,-0.984552,0.000991,-0.096408,-0.022681,0.123643,-14.038681,-45.899231,29.917542,,,,,,
1478385508.73,-1.676419,1.375780,-1.327361,1.280889,0.810648,0.926554,-0.192702,-0.981045,0.020430,-0.141084,0.065227,0.260698,-14.334854,-44.923859,30.286682,,,,,,
1478385508.75,-1.790606,1.351967,-1.192035,1.708167,1.113325,0.939883,-0.211864,-0.976152,0.047335,-0.172688,0.237810,0.665785,-15.458130,-44.247971,31.173401,,,,,,
1478385508.77,-1.894367,1.323499,-1.057384,1.935318,1.371511,0.953809,-0.232082,-0.969577,0.077830,-0.168019,0.210849,0.354817,-16.580872,-43.497223,31.909912,,,,,,
1478385508.79,-1.977208,1.294235,-0.948618,1.751202,0.913248,0.793034,-0.250808,-0.962000,0.107941,0.063263,0.250895,0.131592,-16.580872,-43.497223,31.909912,,,,,,
1478385508.81,-2.037566,1.270257,-0.872262,1.317298,0.562685,0.525277,-0.264367,-0.955177,0.133217,0.114938,0.286400,-0.066017,-19.271912,-40.719864,34.274658,,,,,,
1478385508.83,-2.067961,1.256014,-0.825870,0.721578,0.786520,0.154114,-0.272128,-0.950864,0.147664,0.101305,0.226468,-0.228856,-20.017960,-39.594116,35.013855,,,,,,
1478385508.85,-2.064504,1.255156,-0.811295,-0.084466,0.858889,-0.146247,-0.273355,-0.950598,0.147109,0.201928,-0.019800,-0.610533,-20.541367,-39.068619,35.532104,,,,,,
1478385508.87,-2.046437,1.254441,-0.832138,-0.287260,-1.016669,0.487157,-0.276572,-0.950376,0.142457,0.317160,-0.856128,-0.978608,-22.193604,-39.368027,36.116394,,,,,,
1478385508.89,-2.066081,1.243998,-0.866944,-0.222113,-3.272120,0.679792,-0.282438,-0.947075,0.152572,0.485715,-0.369179,-0.253860,-22.193604,-39.368027,36.116394,,,,,,
1478385508.91,-2.105187,1.237319,-0.887190,-0.069748,-2.448359,0.360728,-0.281694,-0.944910,0.166715,0.084489,0.309397,0.196749,-20.693390,-39.292938,36.206177,,,,,,
1478385508.93,-2.119162,1.232210,-0.901816,-0.081656,-0.765969,0.327941,-0.283453,-0.943225,0.173150,-0.368174,-0.061932,0.305793,-18.968857,-39.142166,36.972961,,,,,,
1478385508.95,-2.112125,1.228195,-0.912440,-0.023619,0.015301,0.232965,-0.287907,-0.941884,0.173101,-0.234905,0.127568,0.194255,-18.519073,-39.066788,37.352234,,,,,,
1478385508.97,-2.113516,1.224310,-0.918288,0.029695,-0.665553,0.213021,-0.290798,-0.940572,0.175389,0.122814,0.142537,-0.125707,-19.345657,-39.291428,37.719666,,,,,,
1478385508.99,-2.131051,1.219699,-0.924755,0.033265,-1.397656,0.295419,-0.291349,-0.938996,0.182764,0.066693,-0.005767,-0.277872,-19.345657,-39.291428,37.719666,,,,,,
1478385509.01,-2.152365,1.213046,-0.930896,0.144613,-1.217345,0.347393,-0.292601,-0.936687,0.192359,-0.050523,0.020122,-0.121131,-18.820221,-39.216492,37.649658,,,,,,
1478385509.03,-2.170267,1.204616,-0.928079,0.347773,-0.482825,0.313441,-0.295619,-0.933702,0.202015,0.061656,0.064058,-0.001926,-17.619446,-38.840881,38.260559,,,,,,
1478385509.05,-2.181289,1.195086,-0.921462,0.361803,-0.204082,0.328121,-0.300653,-0.930247,0.210352,0.082559,-0.157323,0.009542,-18.144196,-38.540131,39.004364,,,,,,
1478385509.07,-2.190826,1.185152,-0.917377,0.338777,-0.301617,0.388713,-0.306139,-0.926556,0.218569,-0.000654,-0.023639,0.114545,-18.369644,-38.615067,39.077332,,,,,,
1478385509.09,-2.195159,1.174903,-0.916088,0.296473,-0.058224,0.409609,-0.312877,-0.922653,0.225433,-0.019169,-0.018738,0.121826,-18.369644,-38.615067,39.077332,,,,,,
1478385509.11,-2.192545,1.165568,-0.920027,0.153866,-0.095968,0.421010,-0.320453,-0.919012,0.229621,-0.004666,-0.090631,0.119759,-17.918976,-38.389832,39.306213,,,,,,
1478385509.13,-2.187278,1.158768,-0.928753,0.003590,-0.110258,0.343782,-0.326750,-0.916310,0.231539,-0.068682,0.004064,0.139921,-18.368179,-38.014236,39.900574,,,,,,
1478385509.15,-2.175667,1.154622,-0.939530,-0.091390,0.234220,0.267638,-0.332538,-0.914642,0.229887,-0.149838,-0.035462,0.140153,-19.342377,-37.713882,40.264954,,,,,,
1478385509.17,-2.155973,1.152262,-0.950822,-0.138508,0.607844,0.204479,-0.338799,-0.913686,0.224485,-0.076408,-0.031139,0.091143,-19.042831,-37.939255,39.893616,,,,,,
1478385509.19,-2.129712,1.150917,-0.960892,-0.134499,0.989269,0.153182,-0.345618,-0.913138,0.216164,-0.014474,-0.070947,0.048424,-19.042831,-37.939255,39.893616,,,,,,
1478385509.21,-2.097093,1.147316,-0.970639,-0.041532,1.322808,0.352988,-0.355325,-0.911664,0.206427,0.161828,0.021238,-0.063788,-19.493393,-38.164551,39.589783,,,,,,
1478385509.23,-2.057277,1.138349,-0.981804,0.041324,1.517217,0.611157,-0.370472,-0.907943,0.195934,0.139576,-0.164979,-0.081783,-20.693039,-38.089569,39.577545,,,,,,
