timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478385621.46,-1.134043,1.501140,2.650779,0.006183,-0.035173,0.000616,-0.063066,-0.997575,-0.029441,0.029863,0.015565,-0.005990,11.322556,-9.698196,9.250977,,,,,,
,,,,,,,,,,,,,,,,37.354267,-122.033429,39.206116,0.000000,117.773438,1478385711.06
,,,,,,,,,,,,,,,,37.354267,-122.033429,39.206116,0.000000,117.773438,1478385710.00
1478385621.48,-1.127160,1.501804,2.642493,0.007419,-0.086315,0.002509,-0.062264,-0.997621,-0.029590,0.013802,0.015855,-0.008984,11.174240,-9.323212,9.248352,,,,,,
1478385621.50,-1.139164,1.500825,2.653109,0.009471,-0.049718,0.028258,-0.063502,-0.997553,-0.029249,-0.027029,0.006113,0.006818,10.199356,-9.248062,9.388367,,,,,,
,,,,,,,,,,,,,,,,37.354267,-122.033429,39.205383,0.000000,117.773438,1478385711.00
1478385621.52,-1.158441,1.500015,2.672111,0.012470,0.003446,0.011319,-0.064794,-0.997496,-0.028343,-0.015254,0.025694,0.019203,11.099319,-9.248062,9.397339,,,,,,
1478385621.54,-1.168099,1.499553,2.681815,0.005041,-0.002934,0.015564,-0.065489,-0.997463,-0.027897,-0.011599,0.001095,0.002887,11.025009,-9.248505,8.946655,,,,,,
1478385621.56,-1.173644,1.498891,2.687119,0.008266,-0.009261,0.020895,-0.066251,-0.997416,-0.027789,-0.006777,0.018061,0.001116,11.025009,-9.248505,8.946655,,,,,,
1478385621.58,-1.181954,1.498172,2.695290,0.014663,-0.005908,0.031601,-0.067144,-0.997364,-0.027509,-0.008265,0.014790,-0.000491,11.174576,-9.323425,9.023315,,,,,,
1478385621.60,-1.186658,1.498372,2.699997,0.015656,-0.002108,-0.007919,-0.067088,-0.997379,-0.027118,0.014307,0.021716,0.004764,10.574265,-9.323212,9.242371,,,,,,
1478385621.62,-1.185660,1.499768,2.698532,0.010440,-0.040660,-0.017654,-0.065770,-0.997479,-0.026662,0.023427,0.000286,0.004842,11.099228,-9.398422,9.022766,,,,,,
1478385621.64,-1.189820,1.500058,2.701650,0.011584,-0.049806,0.015322,-0.065612,-0.997499,-0.026280,0.001708,0.021715,0.001836,11.323563,-9.473206,9.250305,,,,,,
1478385621.66,-1.199232,1.499939,2.709776,0.006330,-0.093048,-0.029678,-0.065966,-0.997491,-0.025705,-0.009046,0.004006,0.005121,11.323563,-9.473206,9.250305,,,,,,
1478385621.68,-1.204880,1.500319,2.714049,0.014828,-0.055992,0.032406,-0.065757,-0.997517,-0.025196,0.012092,0.013448,0.009129,10.497879,-9.547974,9.467224,,,,,,
1478385621.70,-1.213024,1.499574,2.721303,0.024371,-0.038780,0.041017,-0.066656,-0.997465,-0.024920,-0.000300,0.013013,-0.005704,11.099777,-9.248367,9.097351,,,,,,
1478385621.72,-1.225870,1.498505,2.733589,0.013656,-0.018519,0.043193,-0.067974,-0.997388,-0.024423,-0.016742,-0.003451,0.007272,11.323776,-9.473358,9.100281,,,,,,
1478385621.74,-1.240040,1.497883,2.748020,0.024166,0.021970,0.034776,-0.068900,-0.997343,-0.023658,0.003928,0.031950,0.010749,11.248550,-9.473206,9.249573,,,,,,
1478385621.76,-1.247890,1.497656,2.755962,0.020034,-0.013146,0.044286,-0.069299,-0.997326,-0.023189,0.013833,0.001217,0.000346,11.248550,-9.473206,9.249573,,,,,,
1478385621.78,-1.257277,1.497004,2.764748,0.013725,-0.037689,0.046344,-0.070132,-0.997279,-0.022738,-0.002988,0.009272,0.004641,10.574600,-9.248215,9.242126,,,,,,
1478385621.80,-1.272002,1.495835,2.778937,0.010461,-0.015216,0.047402,-0.071573,-0.997192,-0.022046,-0.010611,0.022140,0.013760,11.474442,-9.398575,8.876587,,,,,,
1478385621.82,-1.283558,1.495214,2.790516,0.012530,0.001802,0.042110,-0.072417,-0.997145,-0.021393,0.008818,0.014647,0.010223,11.173904,-9.473434,9.023743,,,,,,
1478385621.84,-1.292494,1.494662,2.799345,0.021095,-0.013156,0.037810,-0.073134,-0.997103,-0.020896,0.000029,0.012515,0.000571,11.098892,-9.398209,9.247803,,,,,,
1478385621.86,-1.295153,1.493693,2.801290,0.021233,-0.050352,0.050529,-0.074119,-0.997029,-0.020964,0.005943,0.018269,-0.016298,11.098892,-9.398209,9.247803,,,,,,
1478385621.88,-1.300284,1.493263,2.804964,0.032041,-0.093937,0.061109,-0.074639,-0.996996,-0.020698,0.019280,0.007509,-0.010277,11.098770,-9.473358,9.098022,,,,,,
1478385621.90,-1.317063,1.492180,2.819683,0.038498,-0.107632,0.073904,-0.076020,-0.996911,-0.019714,-0.000106,0.009591,0.006317,10.648697,-9.473282,9.168518,,,,,,
1478385621.92,-1.333833,1.491266,2.833999,0.036449,-0.127788,0.084527,-0.077226,-0.996839,-0.018650,0.026201,0.013639,0.000019,11.023453,-9.548355,9.097473,,,,,,
1478385621.94,-1.349489,1.490878,2.847154,0.060971,-0.129715,0.094175,-0.077886,-0.996808,-0.017524,0.023626,0.025602,-0.002603,10.271896,-9.848221,9.240906,,,,,,
1478385621.96,-1.370118,1.489417,2.865664,0.073713,-0.106989,0.111201,-0.079658,-0.996691,-0.016204,0.013191,-0.003874,-0.012651,10.271896,-9.848221,9.240906,,,,,,
1478385621.98,-1.391523,1.486918,2.885555,0.074635,-0.055558,0.128440,-0.082438,-0.996484,-0.014939,-0.017004,-0.005683,-0.007125,11.322769,-9.698349,9.100952,,,,,,
1478385622.00,-1.418367,1.484037,2.912364,0.094606,0.026661,0.126567,-0.085646,-0.996239,-0.013157,-0.035082,0.025948,0.006733,11.096939,-9.848282,9.174133,,,,,,
1478385622.02,-1.444302,1.481778,2.938828,0.098968,-0.003164,0.129698,-0.088191,-0.996040,-0.011216,0.024516,0.007958,0.000443,11.098221,-9.548203,9.248291,,,,,,
1478385622.04,-1.467515,1.479647,2.960792,0.096131,-0.105403,0.147573,-0.090538,-0.995849,-0.009384,0.022759,0.006759,-0.009094,10.420639,-9.997833,9.617859,,,,,,
1478385622.06,-1.493208,1.476815,2.983432,0.079333,-0.181233,0.147335,-0.093560,-0.995587,-0.007274,0.015527,0.006970,0.026210,10.420639,-9.997833,9.617859,,,,,,
