timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478385954.90,2.814775,1.398462,-2.490608,0.000189,0.030133,-0.020011,0.055051,-0.985187,0.162405,0.009219,0.004490,0.007623,3.447266,-1.774261,-16.801575,,,,,,
,,,,,,,,,,,,,,,,37.354341,-122.033455,37.936279,0.000000,170.156250,1478386172.67
,,,,,,,,,,,,,,,,37.354341,-122.033455,37.936279,0.000000,170.156250,1478386172.00
1478385954.92,2.812515,1.398413,-2.487911,-0.005049,0.006884,-0.020089,0.055434,-0.985179,0.162327,0.013002,0.008311,-0.009907,3.073303,-1.474030,-16.581238,,,,,,
1478385954.94,2.809080,1.398502,-2.484759,-0.002807,-0.023966,-0.012691,0.055962,-0.985194,0.162053,0.009605,0.008479,-0.011097,3.598740,-1.474335,-16.875977,,,,,,
1478385954.96,2.807194,1.398489,-2.483351,-0.003868,-0.025024,-0.011628,0.056272,-0.985192,0.161959,-0.003492,0.009362,-0.008013,3.822159,-1.698944,-16.498047,,,,,,
1478385954.98,2.805383,1.398435,-2.481831,-0.001796,-0.007968,-0.013714,0.056583,-0.985183,0.161906,-0.002689,0.016692,-0.004344,3.822159,-1.698944,-16.498047,,,,,,
1478385955.00,2.804591,1.398419,-2.480826,-0.004004,0.015489,-0.014721,0.056716,-0.985180,0.161877,-0.008041,0.011120,0.001072,3.447388,-1.774338,-16.876587,,,,,,
1478385955.02,2.803014,1.398378,-2.478733,-0.002988,0.027142,-0.022166,0.056985,-0.985173,0.161825,0.002265,0.011265,-0.003500,3.146942,-1.774033,-16.579590,,,,,,
1478385955.04,2.800495,1.398236,-2.475764,-0.000812,0.015475,-0.016853,0.057439,-0.985148,0.161813,0.006236,0.016063,-0.009042,3.522827,-1.699402,-16.951050,,,,,,
1478385955.06,2.795296,1.398218,-2.470458,0.005618,0.005053,-0.012584,0.058286,-0.985145,0.161528,0.014774,0.012291,-0.007384,3.972046,-1.774109,-16.646301,,,,,,
1478385955.08,2.791396,1.397976,-2.466392,0.008785,0.015787,-0.008278,0.058997,-0.985104,0.161525,0.009027,0.014538,-0.005137,3.972046,-1.774109,-16.646301,,,,,,
1478385955.10,2.789848,1.397844,-2.464333,0.005544,0.029648,-0.008246,0.059292,-0.985081,0.161555,0.001881,0.013249,-0.006144,3.296051,-1.923874,-16.427673,,,,,,
1478385955.12,2.790417,1.397596,-2.464159,0.001238,0.044597,-0.006075,0.059284,-0.985038,0.161818,0.000317,0.008415,0.002641,2.698410,-1.549332,-16.884705,,,,,,
1478385955.14,2.791995,1.397364,-2.464571,0.000108,0.064869,-0.006021,0.059107,-0.984998,0.162126,-0.007013,0.006620,0.005675,3.448273,-1.624481,-17.026978,,,,,,
1478385955.16,2.793908,1.397417,-2.465095,0.001179,0.063832,-0.003884,0.058779,-0.985007,0.162190,-0.002764,0.003410,-0.003330,3.598389,-1.549332,-16.875732,,,,,,
