timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478386032.75,2.634822,1.380361,-0.349984,-0.001784,-0.022809,-0.045029,0.091871,-0.981922,0.165496,-0.002867,0.003269,-0.003631,7.844528,-3.159912,-52.453491,,,,,,
1478386032.77,2.628828,1.380057,-0.344657,0.012182,-0.057934,-0.041897,0.093008,-0.981864,0.165203,0.008951,0.010658,-0.017147,7.844406,-3.084610,-52.153687,,,,,,
,,,,,,,,,,,,,,,,37.354326,-122.033685,33.338226,0.390000,146.250000,1478386250.53
,,,,,,,,,,,,,,,,37.354326,-122.033685,33.338226,0.390000,146.250000,1478386250.00
1478386032.79,2.625886,1.379276,-0.343778,0.032662,-0.121631,-0.020668,0.093872,-0.981716,0.165596,0.009018,0.013668,-0.007804,7.844406,-3.084610,-52.153687,,,,,,
1478386032.81,2.622105,1.378438,-0.342840,0.054036,-0.153559,-0.024104,0.094906,-0.981556,0.165954,0.003010,0.023335,-0.017196,6.944229,-3.084457,-52.012695,,,,,,
1478386032.83,2.623252,1.377551,-0.346703,0.055129,-0.136909,0.029365,0.095147,-0.981386,0.166819,0.015968,0.006761,-0.013636,7.619522,-3.009460,-52.006165,,,,,,
1478386032.85,2.625843,1.376660,-0.351787,0.048565,-0.104376,-0.014361,0.095145,-0.981215,0.167824,-0.013373,-0.000261,0.007331,7.318619,-3.234543,-52.083496,,,,,,
1478386032.87,2.621249,1.375550,-0.346064,0.004076,0.117774,-0.073659,0.096456,-0.981000,0.168331,-0.045126,0.030194,0.017659,6.567978,-3.309326,-51.865723,,,,,,
1478386032.89,2.616851,1.375119,-0.338785,-0.003449,0.146763,-0.056499,0.097408,-0.980916,0.168271,0.006520,0.004339,-0.009762,6.567978,-3.309326,-51.865723,,,,,,
1478386032.91,2.614037,1.374499,-0.333481,0.004136,0.100739,-0.070502,0.098187,-0.980796,0.168521,0.005893,0.020087,-0.002613,6.794327,-3.084534,-52.089172,,,,,,
1478386032.93,2.611820,1.373111,-0.329599,0.004241,0.072003,-0.064170,0.099248,-0.980524,0.169478,-0.000265,0.034128,0.023347,7.318741,-3.234619,-52.158508,,,,,,
1478386032.95,2.607449,1.372173,-0.324444,0.030012,0.003890,-0.060179,0.100457,-0.980339,0.169835,0.009559,0.016090,-0.027104,7.619858,-3.084900,-52.455933,,,,,,
1478386032.97,2.601974,1.370446,-0.319086,0.026776,0.011207,-0.071919,0.102254,-0.979997,0.170734,0.022395,-0.009902,0.013471,7.018753,-3.159393,-51.936707,,,,,,
1478386032.99,2.599209,1.370270,-0.314222,-0.053550,0.155264,-0.047089,0.102815,-0.979962,0.170598,-0.011430,-0.004459,0.024592,7.018753,-3.159393,-51.936707,,,,,,
1478386033.01,2.601201,1.370648,-0.312146,-0.073992,0.236751,-0.008435,0.102284,-0.980037,0.170485,-0.017262,-0.002141,0.035509,8.070877,-2.784683,-52.227295,,,,,,
