timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478386139.21,-2.027220,1.561136,0.657653,0.002552,0.064659,-0.022354,-0.008671,-0.999953,0.004258,0.001744,0.036071,-0.004761,14.256058,-35.631668,25.783081,,,,,,
,,,,,,,,,,,,,,,,37.354421,-122.033416,36.085968,0.000000,255.937500,1478386356.99
,,,,,,,,,,,,,,,,37.354421,-122.033416,36.085968,0.000000,255.937500,1478386356.00
1478386139.23,-2.079889,1.561797,0.710139,0.022085,-0.037496,-0.004441,-0.007858,-0.999960,0.004386,0.022873,-0.006205,0.001031,14.181259,-35.707047,25.407532,,,,,,
1478386139.25,-2.146204,1.561580,0.774734,0.035084,-0.095936,0.012515,-0.007732,-0.999958,0.005015,-0.001515,0.011768,0.004735,13.956039,-35.556442,26.004822,,,,,,
1478386139.27,-2.163408,1.560600,0.791473,-0.007818,0.005079,-0.004408,-0.008458,-0.999948,0.005695,-0.018108,0.009515,0.005352,13.956039,-35.556442,26.004822,,,,,,
,,,,,,,,,,,,,,,,37.354421,-122.033416,35.919891,0.000000,255.937500,1478386357.00
1478386139.29,-2.139340,1.560632,0.768573,0.004698,0.080727,-0.018065,-0.008565,-0.999948,0.005472,-0.007106,0.021921,-0.007410,14.181839,-35.406525,25.931702,,,,,,
1478386139.31,-2.159120,1.560922,0.789533,0.017624,0.041419,-0.007467,-0.008214,-0.999951,0.005480,0.003484,0.009366,-0.004503,14.255264,-35.781601,25.858521,,,,,,
1478386139.33,-2.187400,1.560644,0.818207,0.015601,0.012714,0.002067,-0.008283,-0.999948,0.005871,-0.003772,0.016397,0.002369,14.330582,-35.706604,25.859070,,,,,,
1478386139.35,-2.198397,1.560237,0.829221,0.024186,-0.009740,-0.004389,-0.008547,-0.999944,0.006200,-0.004560,0.016790,-0.002325,13.278580,-36.081390,26.074646,,,,,,
1478386139.37,-2.269680,1.560185,0.899629,0.040335,-0.065248,-0.010925,-0.008124,-0.999944,0.006827,0.004812,0.004506,-0.005194,13.278580,-36.081390,26.074646,,,,,,
1478386139.39,-2.319045,1.559721,0.947582,0.052068,-0.061785,0.007268,-0.008116,-0.999939,0.007535,0.000487,0.018829,-0.003903,14.329788,-35.856522,25.934509,,,,,,
