timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
,,,,,,,,,,,,,,,,37.354383,-122.033353,45.891785,0.360000,31.289062,1478384634.95
,,,,,,,,,,,,,,,,37.354383,-122.033353,45.891785,0.360000,31.289062,1478384634.00
1478384634.98,-2.135232,1.442471,1.410910,-0.031675,-0.178722,0.055972,-0.108124,-0.991778,0.068458,-0.056320,0.024126,0.030449,5.560516,-46.435028,-24.260376,,,,,,
1478384635.00,-2.133016,1.442887,1.406367,-0.034300,-0.067729,-0.031338,-0.107926,-0.991831,0.067998,-0.004180,0.010584,0.009486,5.560516,-46.435028,-24.260376,,,,,,
1478384635.02,-2.132689,1.444238,1.406150,-0.034695,0.038600,-0.063099,-0.106814,-0.992002,0.067249,-0.004011,0.014021,-0.003696,5.485840,-46.360031,-24.261353,,,,,,
1478384635.04,-2.130916,1.445348,1.405284,-0.029355,0.049675,-0.031007,-0.106001,-0.992142,0.066475,-0.010836,0.020386,0.000618,4.810944,-46.209656,-23.893555,,,,,,
1478384635.06,-2.128659,1.445934,1.404528,-0.013499,0.094733,-0.015897,-0.105657,-0.992215,0.065927,-0.011927,0.007687,-0.002603,5.560272,-46.510101,-24.335205,,,,,,
1478384635.08,-2.123100,1.446213,1.402125,-0.026601,0.199430,-0.001743,-0.105786,-0.992249,0.065194,0.007809,-0.003844,0.001045,5.861511,-46.210022,-24.258057,,,,,,
,,,,,,,,,,,,,,,,37.354388,-122.033347,46.201233,0.360000,32.695312,1478384635.00
1478384635.10,-2.113858,1.446606,1.397367,-0.037298,0.215461,0.003625,-0.106050,-0.992298,0.064012,0.037798,0.011738,0.014663,5.861511,-46.210022,-24.258057,,,,,,
1478384635.12,-2.104777,1.446591,1.390704,-0.032517,0.066360,0.026729,-0.106639,-0.992296,0.063053,0.060543,0.017519,-0.017094,5.710724,-46.284729,-23.959351,,,,,,
1478384635.14,-2.099338,1.446869,1.385560,-0.033415,-0.001282,-0.007649,-0.106743,-0.992331,0.062333,0.042076,0.025046,-0.020082,5.184601,-46.584885,-24.113708,,,,,,
1478384635.16,-2.098981,1.447411,1.384620,-0.008788,-0.043977,-0.016271,-0.106300,-0.992398,0.062024,-0.002434,0.031353,-0.008512,5.935730,-46.284714,-23.957092,,,,,,
1478384635.18,-2.100722,1.447662,1.384666,-0.020317,-0.099435,-0.010033,-0.105977,-0.992429,0.062083,0.022207,0.025143,0.003774,5.710724,-46.435181,-24.408936,,,,,,
1478384635.20,-2.100447,1.448393,1.381965,-0.049058,-0.119083,-0.037916,-0.105368,-0.992518,0.061688,0.074027,0.027049,0.024341,5.710724,-46.435181,-24.408936,,,,,,
1478384635.22,-2.120748,1.452913,1.399577,-0.056575,-0.143698,-0.130960,-0.100269,-0.993060,0.061469,0.026111,0.002764,0.023477,5.860840,-46.435257,-24.482422,,,,,,
1478384635.24,-2.117828,1.453627,1.393566,-0.036979,-0.110698,0.213197,-0.099842,-0.993143,0.060807,-0.163295,-0.042272,0.023635,5.936279,-46.285095,-24.332092,,,,,,
1478384635.26,-2.095495,1.448831,1.370474,-0.010048,0.105535,0.172170,-0.105296,-0.992571,0.060947,-0.129460,0.019702,0.045727,5.636383,-46.209946,-24.185303,,,,,,
