timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478384891.30,-3.128083,1.454789,0.728659,0.007431,-0.154270,-0.004571,-0.001564,-0.993279,0.115736,0.022331,0.005593,-0.045439,-27.327393,-40.975327,3.819885,,,,,,
,,,,,,,,,,,,,,,,37.354387,-122.033361,44.611816,0.000000,267.890625,1478384891.28
1478384891.32,-3.136095,1.454141,0.731246,0.047310,-0.309162,-0.030569,-0.000640,-0.993204,0.116389,0.002181,0.045999,-0.024714,-27.327393,-40.975327,3.819885,,,,,,
,,,,,,,,,,,,,,,,37.354387,-122.033361,44.611816,0.000000,267.890625,1478384891.00
1478384891.34,-3.119316,1.452743,0.711643,0.059292,-0.022125,0.053588,-0.002623,-0.993040,0.117750,-0.050309,-0.062991,0.011232,-27.629166,-41.199799,4.342590,,,,,,
1478384891.36,-3.093893,1.452703,0.691066,-0.063135,0.280458,0.052070,-0.005618,-0.993035,0.117685,-0.080900,0.018243,-0.035119,-27.329300,-41.049271,4.870117,,,,,,
1478384891.37,-3.097631,1.453115,0.699242,0.041417,0.184661,-0.049511,-0.005160,-0.993084,0.117297,0.039523,0.098857,0.014784,-28.227829,-40.824585,4.560425,,,,,,
1478384891.39,-3.097141,1.452086,0.700195,0.029365,-0.012077,0.010827,-0.005263,-0.992962,0.118315,0.050551,-0.015949,-0.003248,-27.326935,-40.749939,4.194214,,,,,,
1478384891.41,-3.105403,1.452479,0.706175,-0.001110,-0.133642,0.027529,-0.004271,-0.993009,0.117964,0.004424,-0.002459,-0.004103,-27.326935,-40.749939,4.194214,,,,,,
1478384891.43,-3.103868,1.452208,0.702798,0.018867,-0.060126,0.011740,-0.004462,-0.992977,0.118227,-0.031777,0.032237,-0.008623,-27.253403,-41.125092,4.046082,,,,,,
1478384891.45,-3.092196,1.451755,0.691346,0.015310,0.039879,-0.012558,-0.005864,-0.992923,0.118616,-0.017192,0.003238,-0.000863,-28.079514,-41.199585,4.563049,,,,,,
1478384891.47,-3.094058,1.451449,0.694076,0.021744,0.026005,-0.014722,-0.005658,-0.992887,0.118930,-0.002460,0.019727,-0.020282,-27.477951,-40.899719,4.418152,,,,,,
1478384891.49,-3.095368,1.451919,0.694997,0.047529,-0.038891,-0.006308,-0.005480,-0.992942,0.118471,-0.001646,0.018028,-0.027590,-27.028290,-40.974716,4.422852,,,,,,
1478384891.51,-3.097730,1.450999,0.696715,0.042142,-0.022968,-0.011615,-0.005240,-0.992833,0.119396,-0.004357,0.001942,-0.003063,-27.028290,-40.974716,4.422852,,,,,,
1478384891.53,-3.098579,1.450268,0.697831,0.035547,0.035598,-0.020012,-0.005170,-0.992745,0.120125,-0.005389,0.011025,0.004096,-27.254196,-41.124573,4.571106,,,,,,
1478384891.55,-3.101256,1.449565,0.701389,0.036607,0.037749,-0.018936,-0.004877,-0.992661,0.120836,0.000513,0.016083,-0.003572,-27.853500,-40.899353,4.789368,,,,,,
1478384891.57,-3.105991,1.448898,0.706132,0.040038,-0.027142,-0.003083,-0.004328,-0.992580,0.121519,0.013666,0.007487,-0.003798,-26.952621,-40.824722,4.423157,,,,,,
1478384891.59,-3.105956,1.448365,0.705064,0.042264,-0.052630,0.006467,-0.004351,-0.992515,0.122048,-0.001813,0.014075,-0.007561,-27.327377,-40.674423,4.719055,,,,,,
1478384891.61,-3.102860,1.447656,0.701523,0.047411,-0.001490,-0.001929,-0.004756,-0.992428,0.122737,-0.005376,0.006268,-0.004954,-27.327377,-40.674423,4.719055,,,,,,
1478384891.63,-3.101743,1.447153,0.700838,0.050520,0.024120,-0.002921,-0.004913,-0.992366,0.123231,-0.001053,0.007136,-0.007462,-27.027725,-40.824646,4.497437,,,,,,
1478384891.65,-3.106160,1.446836,0.705316,0.064494,-0.009823,0.009829,-0.004380,-0.992327,0.123566,0.012208,0.011904,-0.015228,-27.178726,-40.974426,4.721436,,,,,,
1478384891.67,-3.111219,1.446229,0.709548,0.073301,-0.054398,0.019293,-0.003773,-0.992252,0.124188,0.010106,0.014789,-0.011456,-27.328857,-40.974350,4.794861,,,,,,
