timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478384764.33,-0.345423,1.500572,1.470095,-0.043971,-0.009151,-0.017334,-0.023758,-0.997535,-0.066022,0.018967,0.013862,-0.000964,18.890686,-39.978325,10.895691,,,,,,
,,,,,,,,,,,,,,,,37.354525,-122.033590,44.342712,0.190000,200.742188,1478384764.33
1478384764.35,-0.345519,1.500135,1.469139,-0.003142,-0.100363,0.016675,-0.023912,-0.997505,-0.066430,0.006212,0.000312,-0.023353,18.890686,-39.978325,10.895691,,,,,,
,,,,,,,,,,,,,,,,37.354525,-122.033590,44.342712,0.190000,200.742188,1478384764.00
1478384764.37,-0.350618,1.500199,1.471632,0.024607,-0.127206,-0.005787,-0.024228,-0.997509,-0.066247,0.000959,0.020535,-0.002143,19.641815,-39.828621,10.602661,,,,,,
1478384764.39,-0.350737,1.500544,1.469500,0.006439,-0.112411,-0.012189,-0.024118,-0.997533,-0.065921,-0.004019,0.020254,0.006335,19.716156,-39.978615,10.603882,,,,,,
1478384764.41,-0.351534,1.500844,1.468680,-0.004468,-0.036761,-0.018410,-0.024068,-0.997554,-0.065621,0.005269,0.003490,0.022835,19.040131,-40.128395,10.822632,,,,,,
1478384764.43,-0.342054,1.500764,1.459555,-0.030206,0.022762,-0.025909,-0.023471,-0.997549,-0.065921,0.002750,0.015066,0.007709,19.039795,-40.278618,10.598022,,,,,,
1478384764.45,-0.330638,1.500561,1.448371,-0.014213,0.019646,-0.023754,-0.022783,-0.997535,-0.066377,0.006807,0.015280,0.000840,19.039795,-40.278618,10.598022,,,,,,
1478384764.47,-0.320643,1.500707,1.439384,-0.015449,0.070826,-0.026821,-0.022072,-0.997545,-0.066463,0.000863,0.007341,0.008693,19.641479,-40.054070,10.153381,,,,,,
1478384764.49,-0.306949,1.500494,1.427044,-0.045266,0.060931,-0.041858,-0.021224,-0.997530,-0.066961,0.003707,0.019853,0.004034,19.640930,-40.128914,10.303589,,,,,,
1478384764.51,-0.285752,1.499860,1.406632,-0.027041,0.031286,-0.028021,-0.019979,-0.997485,-0.068003,0.011251,0.013095,-0.009924,18.967712,-39.603554,10.670288,,,,,,
1478384764.53,-0.275256,1.499664,1.396882,-0.006796,0.042353,-0.001247,-0.019317,-0.997471,-0.068397,0.012634,0.009388,-0.002327,19.865143,-40.278831,10.381287,,,,,,
1478384764.55,-0.269771,1.499569,1.391812,-0.034279,-0.011881,0.023128,-0.018967,-0.997464,-0.068593,0.011460,0.006253,0.005437,19.865143,-40.278831,10.381287,,,,,,
1478384764.57,-0.278213,1.498532,1.399292,-0.042610,-0.050898,0.064673,-0.019829,-0.997390,-0.069425,0.008233,0.010253,0.000089,19.790680,-40.128761,10.455139,,,,,,
1478384764.59,-0.289991,1.497269,1.410592,-0.017156,-0.009300,0.058261,-0.021006,-0.997298,-0.070394,0.001505,0.016097,-0.009852,19.642151,-39.828835,10.377686,,,,,,
