time,accelerometer-x,accelerometer-y,accelerometer-z,gyro-x,gyro-y,gyro-z
0.0,0.0,0.0,0.0,0.0,0.0,0.0#
211.0,0.0,0.0,0.0,0.0,0.0,0.0#
317.0,-0.122146,8.746612,0.94603276,0.26205507,-0.024501082,-0.27696875#
423.0,-0.25866213,9.261541,-0.09340577,0.47830373,-0.7946873,-0.41545314#
528.0,-4.023633,11.781101,-0.9268726,0.30360037,-0.16405073,0.15339808#
635.0,-0.98195803,7.33355,-3.1087356,-0.27696875,-0.8404937,0.65726817#
740.0,-2.0309765,9.390872,-0.60594,-0.2396845,-0.51771855,0.38136467#
845.0,-0.41194338,8.4304695,0.17004639,-0.49215218,-0.75633776,0.084155895#
951.0,-0.6394702,8.590936,1.343606,-0.3323625,-0.16937704,0.017044231#
1058.0,-0.5963599,8.59333,1.4058765,-0.3323625,-0.16937704,0.017044231#
1164.0,-0.08861572,8.176597,2.5411158,-0.017044231,0.5422196,0.41971418#
1270.0,-2.9650342,10.317744,-4.495452,-0.12357068,-0.13528858,-0.49215218#
1375.0,-0.5939649,9.982442,-1.6932789,0.17044231,1.0471549,0.41971418#
1480.0,-0.70174074,7.0054326,-1.0466236,0.07350325,0.2972088,-0.15765914#
1586.0,-1.0753639,9.462723,-0.7831714,0.082025364,-0.21411815,-0.1470065#
1691.0,2.2800586,8.904683,-0.23950197,0.11930962,-0.43995422,-0.101200126#
1796.0,2.0094216,9.22801,-0.8861573,0.11824436,0.002130529,-0.22796659#
1902.0,-3.8559816,12.700789,-0.14370118,0.58056915,-0.05219796,-0.37071204#
2009.0,-3.5182838,7.6209526,-0.06945557,-0.18535602,-0.644485,-0.4048005#
2115.0,-3.1087356,8.440049,-1.2430152,0.16937704,-0.386691,0.22903186#
2219.0,-1.3555812,10.051897,-0.26584718,-0.221575,-0.9896307,-0.12144015#
2325.0,0.5939649,9.031619,1.0298585,0.221575,0.12250541,0.43888897#
2431.0,2.2106032,5.257068,-2.184258,0.26738137,1.4551512,0.72011876#
2537.0,-2.6560767,15.895745,1.1424243,-0.101200126,0.9768475,0.011717909#
2643.0,-1.3986914,4.8834453,-0.31374758,0.14061491,0.27057716,-0.17470337#
2750.0,-3.7482057,9.366921,-0.9148975,-0.8426242,-1.4008228,-0.033023197#
2856.0,-3.278782,10.583591,-0.8382569,-0.294013,-0.74035877,0.10652645#
2961.0,-0.20118165,10.425521,-1.4130616,-0.20026971,0.64768076,0.7052051#
3068.0,1.5232325,5.4822,-0.2203418,0.03195793,1.7449032,1.0801781#
3174.0,0.64186525,6.3947024,-2.675237,0.1949434,2.1965754,-0.15339808#
3281.0,1.22146,7.192244,1.1663746,-0.40373522,-0.09161274,0.8277105#
3387.0,-1.5639478,5.249883,-0.79035646,-0.23755397,-1.3624732,-0.4111921#
3493.0,0.3520679,9.235196,-1.1879297,-0.070307456,-1.2772521,0.023435818#
3599.0,2.6560767,8.796907,1.1088941,-0.12250541,-1.2506205,-0.6061355#
3704.0,2.0166066,7.580237,0.6322852,-0.17257284,-0.8671253,-0.58269966#
3809.0,-10.96919,16.918419,-4.679868,0.36218992,-1.3965617,-0.35153726#
3915.0,-0.043110352,6.7755103,2.1315675,0.30679616,-0.19068234,0.6498113#
4022.0,-1.7699195,6.75156,0.84544194,-0.16618125,-0.113983296,-0.09374327#
4127.0,0.33530274,9.877061,1.5639478,-0.15765914,0.7552725,0.6061355#
4233.0,0.51492923,9.869876,1.6789087,-0.0628506,0.85540736,0.7254451#
4338.0,3.3721876,8.123906,-0.05748047,0.13848437,2.1156151,0.56459016#
4445.0,-2.9530592,11.53202,-5.8031325,-1.099353,1.2133362,0.43036684#
4549.0,1.4130616,7.3694754,-1.2406201,0.25246766,1.3028184,0.6668556#
4654.0,-0.69695073,6.5096636,-1.7172291,-0.19600865,0.5187838,0.17470337#
4759.0,1.0202783,10.633887,-0.20118165,0.22264028,-1.3198626,-0.5933523#
4866.0,1.5399976,7.810159,-0.5125342,0.056459017,-1.361408,-0.16937704#
4972.0,3.6859353,10.38241,0.17962648,-0.12144015,-1.748099,-1.0684602#
5079.0,-2.44292,10.6746025,-2.4572902,0.535828,-0.39947417,-0.608266#
5184.0,-2.7015822,9.201666,1.1567944,-0.03195793,-0.3749731,0.24607609#
5288.0,-0.8143067,7.6113725,0.16525635,0.12676647,0.13102753,0.43249738#
5391.0,0.0047900393,8.140672,0.6945557,-0.082025364,-0.0053263223,0.034088463#
5500.0,0.5963599,8.064031,1.2861255,0.008522116,0.8127968,0.28655612#
5606.0,1.2909156,9.730965,2.0213966,0.056459017,1.2420983,0.21624869#
5713.0,3.3578174,15.632293,0.3161426,1.5211977,1.6820526,-0.7307714#
5817.0,-1.3483961,8.988508,-0.5292993,-0.60293967,1.3475596,0.56459016#
5922.0,-0.2562671,6.7659307,-1.4154567,0.12250541,-0.082025364,0.17789917#
6027.0,0.5364844,8.423284,-1.6166383,0.041545313,-0.15339808,-0.027696876#
6131.0,0.84544194,8.279583,-0.21076173,-0.3057309,-0.98430437,-0.017044231#
6237.0,2.0549269,8.840017,-1.8130299,-0.049002163,-1.3859091,-0.054328486#
6340.0,2.095642,11.682906,-1.839375,-0.18429075,-1.3156016,-0.56672066#
6446.0,-3.9254372,9.74773,-3.7577858,0.39734364,-0.96299905,-0.49428272#
6553.0,1.2645704,9.891431,-0.79993653,0.041545313,-0.039414786,0.59761333#
6659.0,-0.5388794,6.6533647,0.41912845,-0.33981937,1.0013486,-0.080960095#
6765.0,-0.34009278,7.8580594,0.086220704,0.09267801,0.34514567,0.02130529#
6871.0,2.8261232,8.159832,0.15088624,0.5699165,1.3443637,0.3121225#
6978.0,2.8357031,11.821816,0.4981641,0.7637946,1.8333201,-0.294013#
7083.0,-3.7985013,6.006709,-5.9875493,-0.71159667,1.4093449,0.013848438#
7190.0,-2.2752686,7.692803,-1.0729688,0.02130529,0.03089267,0.36005938#
7295.0,0.66342044,6.696475,-1.8800904,-0.07882957,-0.57311225,0.10972224#
7400.0,-0.3784131,7.7622585,-0.88376224,-0.27803403,-0.74248934,0.020240024#
7505.0,1.8250049,10.059082,-0.86939216,-0.25033715,-1.0961571,0.0063915867#
7611.0,0.62989014,12.657679,-1.8010547,0.49428272,-0.10546118,-0.53263223#
7716.0,-4.7086086,11.685301,-2.066902,-1.2378373,-0.59867865,0.5773733#
7820.0,0.8382569,6.8904715,-1.0442286,0.45593318,0.9438243,0.7488809#
7925.0,-0.7376661,6.2821364,0.7711963,-0.32490566,0.5784386,0.043675844#
8029.0,1.8920655,6.806646,1.0825489,0.0628506,0.81705785,0.7052051#
8137.0,3.427273,11.635005,0.10538086,0.41225734,0.67537767,-0.10652645#
8247.0,-4.006868,6.3084817,-3.4416432,-0.7680557,1.0684602,-0.3749731#
8351.0,-1.585503,9.12263,-1.9974464,0.17576863,0.33129725,0.49641323#
8457.0,0.8813672,6.8521514,-1.3028907,-0.0777643,-0.4133226,0.21198763#
