accelerometerTime(ms),AccelerationX,AccelerationY,AccelerationZ,gyroTime(ms),gyroX,gyroY,gyroZ
0,0.022735596,0.993789673,-0.092391968,0,-0.008494685,0.011460381,-0.043832169
59.15,0.004348755,0.979537964,-0.090805054,34.98,0.001140366,0.013546169,-0.053306898
118.32,0.022369385,0.995452881,-0.099075317,104.92,-0.003369964,0.066882361,-0.031769381
177.49,0.042739868,0.974822998,-0.111694336,174.87,0.032996832,0.061590394,-0.032390164
236.64,0.01940918,1.010375977,-0.117523193,209.84,0.015930497,0.039319177,-0.014562165
295.81,-0.004394531,1.070236206,-0.110687256,279.79,0.102613461,0.030731547,-0.042305645
354.95,-0.002487183,0.986801147,-0.12046814,349.73,0.408072712,0.074972246,0.015234613
414.13,0.003036499,0.820846558,-0.090118408,419.68,0.686375709,-0.050726028,0.532881756
473.27,0.099319458,1.000457764,-0.390518188,454.65,0.490321246,0.128481544,0.441474078
532.44,0.245651245,0.986358643,-0.326782227,524.6,0.338706154,0.174873011,-0.195539407
591.62,0.056243896,0.751449585,-0.352615356,594.55,0.199722967,-0.162391574,-0.142287104
650.79,0.025222778,0.813308716,-0.382339478,629.52,0.152145328,-0.130508476,0.050489273
709.93,0.092575073,0.861740112,-0.362335205,699.5,-0.070122363,0.108080398,0.115959094
769.11,0.104156494,0.981079102,-0.420578003,734.47,-0.185516867,0.133155125,0.049451173
828.28,0.111419678,1.005325317,-0.421875,804.42,-0.06614653,0.005945773,-0.069160163
887.42,0.068435669,0.908843994,-0.46987915,874.36,0.002639992,-0.287728723,-0.254311378
946.6,-0.124679565,1.304016113,-0.319122314,944.31,0.393449028,-0.01663943,0.005019526
1005.77,0.187835693,1.038497925,-0.381851196,979.28,-0.080497772,0.66869951,0.055382565
1064.91,0.136825562,0.778427124,-0.078109741,1049.23,-0.267769662,0.451091552,0.002854909
1124.09,0.006591797,0.937942505,-0.045822144,1119.17,-0.582694853,-0.266803467,-0.027977573
1183.26,-0.048919678,0.957290649,-0.117919922,1154.15,-0.41970247,-0.139676141,0.028094752
1242.4,0.158813477,0.890670776,-0.073669434,1224.09,-0.348851999,0.841048376,0.27796877
1301.58,0.061462402,0.928146362,-0.087097168,1294.04,-0.599556924,0.549885507,0.022496254
1360.72,0.108047485,0.957275391,-0.085342407,1363.99,-0.511754899,0.417196968,-0.31328495
1419.89,-0.007278442,1.053085327,-0.027389526,1398.96,-0.447901617,0.549879648,-0.391929428
1479.04,0.143096924,0.94543457,-0.151428223,1468.91,-0.279122984,1.056363619,-0.64901795
1538.21,0.193054199,1.004272461,-0.152709961,1538.85,-0.369424918,0.719296375,-0.374127528
1597.35,0.240432739,1.03515625,-0.213470459,1573.82,-0.434696333,0.742602763,-0.383408112
1656.53,0.190856934,1.165420532,0.165298462,1643.77,-0.497752797,0.105624964,0.128560373
1715.7,-0.623535156,0.931518555,0.225082397,1713.72,0.528392998,-1.098805352,0.631767324
1774.84,0.222351074,1.109359741,-0.003814697,1748.69,0.941112926,0.377177114,0.683329585
1834.02,0.092834473,1.206726074,-0.149429321,1818.64,1.059597762,-0.42163699,0.575531482
1893.16,0.148010254,0.831192017,-0.239074707,1888.58,0.869449125,-0.980382035,0.429595581
1952.33,0.107345581,0.762802124,-0.175369263,1923.56,0.526272057,-1.141566664,0.210885074
2011.48,-0.010025024,0.635635376,-0.180206299,1993.5,0.211168434,-1.392056672,0.007079215
2070.65,0.016082764,0.742370605,-0.253738403,2063.48,-0.141418914,-0.743352709,0.343913965
2129.79,0.257171631,1.054824829,-0.380935669,2098.45,-0.077978422,-0.548450596,0.353095746
2188.97,0.289337158,0.772903442,-0.585739136,2168.4,-0.043907271,-0.491093563,0.3249709
2248.11,-0.222457886,2.669326782,0.231521606,2238.35,0.94205968,0.049311091,0.2921525
2307.28,0.468536377,0.396530151,0.001708984,2308.29,-0.065371017,0.293167963,0.092306229
2366.43,-0.131896973,1.170410156,0.207748413,2343.26,-0.227776706,-0.829437793,-0.58646509
2425.6,0.088104248,0.646331787,-0.032928467,2413.21,-0.652204156,0.614309504,0.520707382
2484.74,0.062988281,1.139099121,0.051589966,2483.16,-0.366160948,0.953951759,-0.28760462
2543.92,0.13999939,0.858352661,-0.122390747,2518.13,-0.451219383,1.284071615,-0.053385727
2603.06,0.131530762,0.958969116,-0.201049805,2588.08,-0.391726495,1.314083843,-0.413349765
2662.23,0.291229248,0.930465698,-0.071487427,2658.02,-0.062634087,1.151265631,-1.042954337
2721.38,0.310516357,0.977325439,-0.333084106,2727.97,0.001989914,0.875202086,-0.346187506
2780.55,0.319244385,1.018859863,-0.220214844,2762.94,-0.307183115,0.600571588,-0.294854277
2839.69,0.186645508,1.362136841,0.143066406,2832.89,-0.834104184,-0.413268539,0.286264783
2898.87,-0.65512085,0.975540161,0.208145142,2867.86,-0.468299567,-1.037631477,0.697077888
2958.01,0.156829834,1.064544678,0.038787842,2937.81,0.874037752,0.67878064,0.56745731
