Elapsed Time, accel x, accel y, accel z, gyro x, gyro y, gyro z
0,0.001623,-0.036322,-0.040894,-0.035635,-0.349347,0.042313
0.00999999,0.003321,-0.013524,-0.039715,0.032271,-0.320198,0.007234
0.019999981,0.006848,-0.005277,-0.042205,0.04594,-0.298862,-0.019911
0.029999971,-0.004099,-0.005173,-0.024922,0.008999,-0.266798,-0.035703
0.039999962,-0.006102,-0.002829,4.75E-04,-0.040837,-0.206314,-0.058291
0.049999952,-0.005937,-0.011541,-7.90E-04,-0.055677,-0.101302,-0.056599
0.059999943,-9.16E-04,-0.021787,-0.015686,-0.042475,-0.023386,-0.047912
1.48E+09,-0.041196,-0.022318,-0.027062,-0.002159,-0.026076,-0.026923
1.48E+09,-0.075441,-0.006473,-0.024145,0.026932,-0.033013,-0.02694
1.48E+09,-0.121303,0.035371,-0.032872,0.027021,-0.025606,-0.041248
1.48E+09,-0.124295,-0.05833,-0.066905,0.030642,-0.014536,-0.070167
1.48E+09,-0.106272,-0.097678,-0.080698,0.043689,0.003846,-0.06582
1.48E+09,-0.051984,-0.097181,-0.100773,0.042854,0.008915,-0.061495
1.48E+09,0.008394,-0.071901,-0.122404,0.031774,0.007078,-0.054808
1.48E+09,0.049271,0.017359,-0.118418,0.016247,0.001652,-0.044922
1.48E+09,0.061426,0.07524,-0.0812,6.09E-04,0.002497,-0.025962
1.48E+09,0.062549,0.093622,-0.060644,-0.016014,-0.003234,-0.013777
1.48E+09,0.047672,0.070751,8.50E-04,0.012244,-0.013823,-0.017478
1.48E+09,0.025246,0.044211,0.053708,0.026822,-0.022067,-0.023961
1.48E+09,0.007877,0.012959,0.080967,0.02495,-0.021156,-0.028993
1.48E+09,0.010614,-0.00935,0.088742,0.022158,-0.011247,-0.030882
1.48E+09,0.057615,-0.041064,0.070332,0.019054,-0.017004,-0.046741
1.48E+09,0.127464,-0.086166,0.042667,0.014928,-0.016339,-0.05617
1.48E+09,0.140147,-0.094568,0.022141,0.008598,-0.002354,-0.003846
1.48E+09,0.086727,-0.052904,0.029252,0.008551,0.00177,0.023197
1.48E+09,0.057128,0.011008,0.054727,-0.00677,-0.025981,0.015657
1.48E+09,0.059087,0.076406,0.073275,-0.020869,-0.028501,0.018247
1.48E+09,0.075013,0.125119,0.026081,-0.028105,-4.98E-04,0.005187
1.48E+09,0.100485,0.094805,-0.027003,-0.023643,0.005035,-0.018407
1.48E+09,0.116285,0.025793,-0.055103,-0.003837,-0.011454,-0.041783
1.48E+09,0.101456,-0.012523,-0.068161,0.005279,-0.004505,-0.036173
1.48E+09,0.076543,-0.053364,-0.082548,-0.008232,-0.007191,-0.027441
1.48E+09,0.061611,-0.079363,-0.089683,-0.010357,-0.002578,-0.020262
1.48E+09,0.057844,-0.083023,-0.098261,-0.012777,-4.92E-04,-0.01982
1.48E+09,0.112208,-0.090009,-0.11085,-0.007756,0.002673,-0.033235
1.48E+09,0.153978,-0.099636,-0.112537,-0.011677,-0.002031,-0.043527
1.48E+09,0.134924,-0.08392,-0.083642,-0.005333,0.012536,-0.023813
1.48E+09,0.082962,-0.180831,0.080358,0.03949,-0.057103,-0.040295
1.48E+09,0.049394,-0.240397,0.080878,0.005299,0.028572,-0.015004
1.48E+09,0.040233,-0.213927,0.015297,-0.016494,0.048643,-0.016798
1.48E+09,0.071305,-0.167377,-0.056174,-0.029358,0.05686,-0.041188
1.48E+09,0.132606,-0.114454,-0.130991,-0.051543,0.048072,-0.056959
1.48E+09,0.191709,-0.08677,-0.145323,-0.049054,0.010853,-0.075929
1.48E+09,0.226194,-0.130947,-0.16125,-0.054119,0.013268,-0.062592
1.48E+09,0.204639,-0.127052,-0.19842,-0.056171,0.040119,-0.013275
1.48E+09,0.121283,-0.132387,-0.214246,-0.049329,0.049294,0.02698
1.48E+09,0.03881,-0.092058,-0.216117,-0.040959,0.055423,0.045935
1.48E+09,0.06792,-0.098081,-0.214369,-0.022356,0.020537,-0.011078
1.48E+09,0.148457,-0.200461,-0.188175,-0.016696,-0.003892,-0.053253
1.48E+09,0.217849,-0.335822,-0.219226,-0.02519,0.001145,-0.019991
1.48E+09,0.239508,-0.364838,-0.2822,-0.02265,0.003615,-0.021082
1.48E+09,0.175852,-0.310751,-0.288937,0.057594,-0.048225,-0.019977
1.48E+09,0.066551,-0.233694,-0.266061,0.075533,-0.049907,-0.010767
1.48E+09,-0.094805,-0.12145,-0.200377,0.094527,-0.043584,0.021537
1.48E+09,-0.224992,-0.094807,-0.077615,0.065994,-0.021241,0.014477
1.48E+09,-0.330223,0.077137,-0.158077,0.036631,-0.079802,0.01906
1.48E+09,-0.370789,0.231575,-0.169855,0.021816,0.015617,0.001432
1.48E+09,-0.476839,0.221283,-0.198194,-0.020661,0.008296,-0.003689
1.48E+09,-0.490463,0.186862,-0.232151,-0.002185,-0.028461,-0.045159
1.48E+09,-0.364674,0.103646,-0.246101,0.031662,-0.038356,-0.122371
1.48E+09,-0.1176,-0.124594,-0.28038,0.030969,-0.022145,-0.193826
1.48E+09,0.09834,-0.261544,-0.310518,0.023764,-0.019637,-0.200895
1.48E+09,0.143489,-0.225409,-0.310477,0.017334,-0.028921,-0.162642
1.48E+09,0.129146,-0.031602,-0.279615,0.023493,-0.00269,-0.09141
1.48E+09,0.099632,0.166866,-0.225748,0.039585,0.011848,-0.004784
1.48E+09,0.070732,0.300804,-0.145027,0.036284,0.012705,-0.004974
1.48E+09,0.042555,0.355547,-0.058053,0.049988,-0.016735,-0.026619
1.48E+09,0.028576,0.374665,0.012552,0.035402,-0.020247,-0.049459
1.48E+09,0.001362,0.316051,0.051168,0.034593,-0.023409,-0.079259
1.48E+09,-0.033568,0.272253,0.086971,0.030834,-0.019573,-0.069488
1.48E+09,-0.075203,0.267039,0.08891,0.039401,-0.010411,-0.071144
1.48E+09,-0.063647,0.244865,0.089445,0.05179,0.011377,-0.070463
1.48E+09,8.69E-04,0.231817,0.069747,0.054708,0.010407,-0.055359
1.48E+09,0.099515,0.209492,0.00164,0.057079,0.010596,-0.047178
1.48E+09,0.13896,0.175259,-0.016836,0.064237,0.018147,-0.026823
1.48E+09,0.074432,0.190747,0.008947,0.044342,0.0036,0.012081
1.48E+09,-0.023745,0.291578,0.007054,0.008426,-0.01339,0.057413
1.48E+09,-0.097312,0.322231,-0.014149,0.001954,-0.020418,0.027332
1.48E+09,-0.101779,0.256693,-0.018013,0.022143,-0.026478,-0.025446
1.48E+09,-0.059405,0.173296,-0.069957,0.031098,-0.012695,-0.055443
1.48E+09,-0.05239,0.09313,-0.090579,0.023999,-0.008801,-0.065389
1.48E+09,-0.034235,0.04125,-0.084536,0.005435,-0.009589,-0.05872
1.48E+09,0.004142,-0.010554,-0.073296,-0.011366,8.78E-04,-0.04686
1.48E+09,0.023131,-0.014204,-0.066828,-0.018744,1.05E-04,-0.008147
