accelerometerTime(ms),AccelerationX,AccelerationY,AccelerationZ,gyroTime(ms),gyroX,gyroY,gyroZ
0,0.4115448,0.891311646,-0.069396973,0,-0.065137724,-0.058282482,0.058680624
59.143,0.459747314,0.894577026,-0.066879272,34.973,-0.193183309,-0.105416704,0.025845712
118.256,0.519851685,0.873214722,-0.095596313,104.919,-0.153007127,-0.001918009,0.064205085
177.399,0.436645508,0.901428223,-0.110565186,174.866,-0.114988638,-0.134220123,0.001103348
236.542,0.365356445,0.96282959,-0.030593872,209.839,-0.052240834,-0.016224244,-0.038118624
295.685,0.456390381,0.871841431,-0.090454102,279.785,0.101323426,0.130473854,-0.099522596
354.828,0.403305054,0.916824341,-0.109542847,349.731,0.07303959,-0.071486967,-0.043153596
413.971,0.16619873,0.973236084,-0.022781372,419.678,0.426405913,-0.018272481,0.089784481
473.145,0.465652466,1.008102417,-0.27482605,454.651,0.296748583,0.10583056,0.032083634
532.288,0.234024048,0.90776062,-0.2109375,524.567,0.324228145,-0.026851322,-0.098419249
591.431,0.283004761,0.897155762,-0.176727295,559.54,0.274816653,0.110876717,-0.208402209
650.574,0.286575317,0.703231812,-0.34262085,629.486,0.322122117,0.311284383,-0.163103703
709.717,0.25390625,0.671951294,-0.339401245,699.432,-0.187746199,0.173479645,0.027184749
768.86,0.451156616,0.84828186,-0.361541748,734.406,-0.28406448,0.115605692,0.165538365
828.003,0.310195923,0.678192139,-0.279098511,804.352,-0.335537258,-0.110400278,0.111528126
887.146,0.248352051,0.812332153,-0.261016846,874.298,-0.627759267,-0.284381662,0.073854783
946.289,0.200088501,0.644439697,-0.257736206,944.244,-0.266473768,-0.020652282,0.160875702
1005.432,0.180404663,0.870132446,-0.240097046,979.218,-0.303777997,0.428571595,0.366360152
1064.575,0.339935303,0.885406494,0.334762573,1049.164,-0.511278992,0.762140511,-0.107785586
1123.718,0.744522095,1.227340698,0.14855957,1119.11,0.23055385,0.02852139,0.115220333
1182.861,0.775909424,1.207946777,0.017974854,1154.083,0.375884149,-0.486719853,0.469223684
1242.004,0.685653687,1.285232544,-0.055343628,1224.03,-0.722070856,-0.873781289,0.144689009
1301.148,0.415924072,0.579116821,0.115966797,1293.976,-0.619305861,-0.607573305,0.145095408
1360.291,0.044326782,0.662719727,-0.019378662,1363.922,0.119026523,0.293109107,-0.143395512
1419.434,0.535461426,0.743209839,-0.206329346,1398.895,0.418530146,0.524579085,-0.105366371
1478.577,0.555801392,0.518814087,-0.089538574,1468.842,0.098359327,0.085552186,-0.138201283
1537.72,0.583343506,0.761001587,-0.132766724,1538.788,0.151861169,-0.839465127,-0.150257413
