accelerometerTime(ms),AccelerationX,AccelerationY,AccelerationZ,gyroTime(ms),gyroX,gyroY,gyroZ
0,0.155288696,0.917495728,-0.295455933,0,0.007319432,0.004628574,0.066311113
59.174,0.163192749,0.945800781,-0.338638306,34.973,0.013795973,-0.026123213,0.086540751
118.317,0.137252808,1.019836426,-0.278442383,104.919,0.376945152,-0.214418556,0.045545115
177.46,0.247497559,1.000823975,-0.44090271,139.893,0.366389447,-0.050674363,0.208438428
236.603,0.269317627,0.818756104,-0.583496094,209.839,0.760255526,-0.422379479,0.102946356
295.746,0.153930664,0.933624268,-0.536209106,279.785,0.641798121,-0.8772932,0.244545566
354.92,0.095108032,0.787109375,-0.532913208,314.758,0.563894533,-0.876640459,0.182682731
414.063,0.093673706,0.817550659,-0.35307312,384.705,0.650447269,-0.80259233,0.083779852
473.206,0.121612549,0.822311401,-0.614532471,454.62,0.383488805,-0.368810527,0.229633728
532.349,0.122894287,0.711807251,-0.545150757,524.567,0.188421044,-0.135577803,0.090439619
591.522,0.122192383,0.580551147,-0.544082642,559.54,0.183909116,0.179992938,0.181500554
650.666,0.145675659,0.727676392,-0.64050293,629.486,0.165983379,-0.167288062,0.134846765
709.809,0.114883423,0.66204834,-0.629379272,699.432,-0.088399371,-0.161301276,0.104888067
768.952,0.143829346,0.394622803,-0.627059937,734.405,-0.317303926,-0.124249514,0.106362926
828.095,0.16885376,0.728622437,-0.682632446,804.352,-0.458326029,-0.171033265,0.139556832
887.238,0.062332153,0.801727295,-0.796768188,874.298,-0.785898571,-0.05203364,0.155074006
946.411,0.290969849,1.833450317,-0.805648804,944.244,-1.047915273,-0.133782832,-0.149772718
1005.554,-0.01008606,1.076629639,-0.690719604,979.217,-1.806818978,0.71366805,0.394102035
1064.697,0.14440918,1.388793945,-0.25680542,1049.164,-1.087334585,0.987041536,0.43242226
1123.871,0.451538086,0.539413452,0.175994873,1119.11,-1.13261072,0.581659948,0.277315763
1183.014,-0.018203735,1.015457153,-0.139953613,1154.083,-1.225673819,0.74263259,0.530947236
1242.157,0.572494507,0.490951538,-0.022384644,1224.03,-0.671584246,1.171301923,0.188810664
1301.331,0.162796021,0.934707642,-0.105728149,1259.003,-0.880516956,0.39296087,0.181496825
1360.474,0.302185059,0.693099976,0.089065552,1328.949,-0.625614623,0.42103405,0.404864668
1419.617,0.504364014,1.072738647,-0.039108276,1398.895,-0.505020564,0.166301893,-0.063437562
1478.76,0.448074341,1.036636353,-0.024169922,1468.811,-0.493496533,-0.016191487,-0.151667024
1537.903,0.483795166,1.336029053,0.443588257,1503.784,-0.372710726,-0.145302069,-0.422944869
1597.046,-0.208236694,1.282272339,0.096343994,1573.73,0.316136662,-1.111231129,-0.044734981
1656.22,0.655426025,0.993713379,-0.155471802,1643.677,1.683974814,-0.308300577,0.368464316
1715.363,0.115447998,0.631332397,0.030059814,1678.65,1.07710485,-1.17291207,0.612912144
1774.506,0.059204102,0.985397339,-0.096542358,1748.596,0.773759617,-0.944259451,-0.342333912
1833.649,0.202728271,0.366928101,-0.175857544,1818.542,0.662099131,-0.521091942,0.17062447
1892.792,-0.009292603,0.550704956,-0.198913574,1888.489,0.335327135,-1.076763167,-0.555741532
1951.935,0.07522583,0.92515564,-0.48260498,1923.462,0.334260273,-0.14288019,-0.100952447
2011.078,0.47227478,1.096618652,-0.538223267,1993.408,-0.792485101,-0.004127367,0.157341954
2070.221,-0.009216309,1.83744812,0.429946899,2063.354,-0.368856866,0.261995929,0.088234255
2129.364,0.424240112,-0.187438965,-0.164321899,2098.328,-1.144816254,1.401644319,0.151700047
2188.507,0.199813843,1.606536865,-0.024246216,2168.274,-0.903057419,0.273907716,0.409143835
2247.65,0.219802856,0.345184326,0.003158569,2238.22,-0.276384722,1.888480818,0.65735471
2306.793,0.390762329,0.904510498,-0.038818359,2308.166,-0.808049946,0.251661532,0.024845695
2365.937,0.46975708,0.842453003,0.061264038,2343.14,-0.345970991,0.668267279,0.215295535
2425.08,0.405227661,0.955535889,0.047271729,2413.086,-0.46021927,0.142309209,0.018176074
2484.223,0.457229614,1.073776245,-0.098739624,2448.059,-0.139691321,0.292904044,-0.137137882
2543.396,0.53604126,1.561737061,0.116043091,2517.975,-0.151774616,0.499478792,-0.315722541
2602.539,0.359375,1.255935669,0.358261108,2587.921,0.106669455,-0.263121115,-0.442896739
2661.682,0.110534668,1.187271118,0.076248169,2622.894,0.459343356,-1.006514836,-0.189741972
2720.825,0.655563354,0.818984985,-0.047302246,2692.841,1.731333542,-0.36181094,0.30797727
2779.999,0.132019043,0.759017944,0.019180298,2762.787,0.466910196,-1.872003841,-0.790405972
2839.142,0.005554199,0.515563965,-0.037185669,2832.733,1.16325385,-0.288974284,-0.095152083
2898.285,0.127319336,0.645401001,-0.197021484,2867.706,1.082786438,-0.79013353,0.341404469
2957.428,0.02961731,0.539901733,-0.278533936,2937.653,0.100617954,-0.303613414,-0.062002651
3016.571,0.324142456,0.878662109,-0.505264282,3007.599,-0.565022648,-0.153694222,0.019743078
3075.714,0.276412964,1.035339355,-0.295532227,3042.572,-0.737691894,-0.081784878,0.156630624
3134.857,0.019332886,2.55380249,0.262954712,3112.518,-0.247832972,0.340159174,0.345329169
3193.89875,0.43309021,0.075897217,0.172485352,3182.372041,-0.668038513,0.620135436,0.421235918
3253.07275,0.011047363,1.277801514,-0.027267456,3252.318041,-1.15137775,0.578369347,0.068862954
3312.21575,0.303771973,0.647140503,0.002929688,3287.291041,-0.208822722,1.795150338,0.707985397
3371.35875,0.300521851,0.66267395,-0.014175415,3357.237041,-0.62823837,0.672337654,0.228741303
3430.50175,0.519851685,0.837753296,-0.020843506,3427.184041,-0.356341074,0.937092884,0.129903139
3489.67575,0.564315796,0.943603516,-0.001220703,3462.157041,-0.41757993,0.510411867,-0.024439297
3548.81875,0.520858765,0.944046021,-0.036132813,3532.103041,-0.044520863,0.206386462,-0.013517407
3607.96175,0.551818848,1.239318848,0.081558228,3567.076041,-0.241727675,0.198496049,-0.254196596
3667.10475,0.199081421,1.584365845,0.579193115,3636.992041,-0.288414221,-0.036140428,-0.523852575
3726.24775,0.106018066,0.932312012,0.142822266,3706.938041,0.606987676,-0.383004909,-0.260798039
3785.39075,0.622619629,1.097366333,-0.047424316,3776.885041,1.648601377,-1.240429862,0.433164483
3844.53375,0.17791748,0.609085083,-0.016860962,3811.858041,1.029920294,-1.056506364,0.496455039
3903.67675,0.044311523,0.739074707,-0.130844116,3881.804041,0.449256101,-0.776373243,-0.34150194
3962.81975,0.29510498,0.610214233,-0.204833984,3951.750041,0.547998658,-0.503953702,0.015480955
4021.99375,-0.047927856,0.517654419,-0.145004272,3986.723041,0.40191069,-0.559867834,-0.062469503
4081.13675,0.211578369,0.959121704,-0.437347412,4056.670041,0.10656426,0.06319122,0.052915413
4140.27975,0.447494507,1.118530273,-0.353485107,4126.616041,-0.629021605,-0.223755066,0.065572885
