accelerometerTime(ms),AccelerationX,AccelerationY,AccelerationZ,gyroTime(ms),gyroX,gyroY,gyroZ
0,-0.050567627,0.966949463,-0.23500061,0,-0.108038853,0.037002227,-0.027922445
59.143,-0.066360474,0.961975098,-0.215774536,35.004,-0.139051097,0.013781592,0.013209279
118.287,-0.076919556,0.948043823,-0.230697632,104.95,-0.038269891,-0.061771489,0.000291084
177.399,-0.080978394,0.958053589,-0.226928711,139.923,-0.026526949,-0.058554657,0.00259312
236.542,-0.080886841,0.95602417,-0.242431641,209.9,-0.069168419,-0.065218418,-0.040696031
295.685,-0.11390686,0.935379028,-0.242752075,279.847,-0.194176934,-0.009565009,-0.158437312
354.828,-0.06578064,0.95300293,-0.205886841,314.82,-0.262575966,0.011433483,-0.199798867
413.971,-0.201370239,0.972045898,-0.151153564,384.796,-0.346558218,0.148959388,-0.146877595
473.114,0.034362793,1.015472412,-0.027435303,454.743,-0.4226932,-0.438872436,0.40037804
532.227,-0.117324829,0.958023071,-0.266204834,524.72,0.063075373,-0.151919492,0.237147571
591.37,-0.021011353,1.01725769,-0.214035034,559.693,-0.229420675,0.313208251,0.280317412
650.513,0.037826538,0.896286011,-0.214126587,629.639,-0.094835699,0.679261873,0.236748097
709.656,0.036392212,0.924942017,-0.224899292,699.616,-0.026699255,0.457885009,0.230217493
768.799,0.128860474,0.913986206,-0.262832642,734.589,-0.110831444,0.394757173,0.185066526
827.942,0.13092041,0.902816772,-0.291549683,804.566,-0.20695771,0.151223874,0.048188036
887.085,0.06803894,0.959350586,-0.222366333,874.512,-0.304688532,0.164393738,-0.250896406
946.259,-0.0078125,1.011123657,-0.165115356,944.489,-0.765923798,0.611017038,-0.253770223
1005.402,0.158279419,1.238952637,-0.163391113,979.462,-0.724553721,0.683606288,-0.223009648
1064.545,-0.125396729,1.559646606,-0.03553772,1049.408,-1.158651908,0.383163367,-0.199035605
1123.688,-0.059646606,1.133605957,0.590835571,1084.381,-1.153364202,0.870832637,0.022122613
1182.831,-0.19871521,1.089645386,0.115081787,1154.358,-0.05576393,0.295874001,-0.385871269
1241.944,0.02772522,0.977905273,0.196044922,1224.305,-0.371885146,0.096417617,-0.212572187
1301.087,-0.116867065,0.893371582,0.120407104,1259.308,0.051077299,-0.044204213,-0.304891997
1360.23,-0.266799927,0.581787109,0.127716064,1329.255,-0.471101479,0.01828553,-0.661564369
1419.373,-0.009552002,0.571014404,0.060913086,1399.231,-0.222404577,0.152936553,-0.21892063
1478.516,-0.275970459,0.667205811,0.096099854,1469.178,-0.33032705,0.005519668,-0.490040549
1537.629,-0.261169434,0.921127319,0.091156006,1504.151,0.084035516,-0.027899542,-0.248872404
1596.772,-0.181793213,1.145874023,0.035415649,1574.128,0.397307416,0.112083129,-0.009292302
1655.945,-0.114822388,1.254318237,0.089233398,1644.074,0.225105289,0.049372876,-0.351325276
1715.088,-0.846450806,1.602539063,0.397949219,1679.047,0.099556951,-0.072512018,-0.428242162
1774.231,0.173492432,0.736038208,0.409805298,1749.024,-0.002418683,-0.588705607,0.56955961
1833.374,-0.355010986,0.818359375,0.278091431,1818.97,-0.305572701,-0.717229229,0.088870218
1892.518,-0.094528198,0.751953125,0.168930054,1888.947,0.736114237,-0.40665591,0.838326892
1951.661,0.089523315,0.686706543,0.183044434,1923.92,0.292388989,-0.36149003,0.802891403
2010.804,-0.15083313,0.717391968,0.248886108,1993.866,-0.17097654,-0.104802579,0.133970319
2069.947,0.097457886,0.762145996,0.010314941,2063.843,0.508905583,0.143324139,0.233587457
2129.09,0.093078613,0.935317993,0.132507324,2098.816,-0.042592202,0.184737892,0.114528976
2188.233,0.080291748,1.092086792,0.029586792,2168.793,0.113565178,-0.050104446,-0.03292253
2247.376,-0.05619812,1.314697266,0.084640503,2203.766,-0.154928864,0.088311487,-0.174566481
2306.519,-0.114044189,1.612091064,0.139099121,2273.713,0.151791926,-0.171306772,-0.20700831
2365.662,-0.170272827,1.189361572,0.769073486,2343.689,-0.960671181,0.160702597,-0.424896433
2424.805,-0.359069824,0.906555176,0.291305542,2413.636,0.309201258,0.114699951,-0.293352787
2483.918,-0.006225586,0.912734985,0.222839355,2448.609,0.145963865,-0.23556299,0.1107883
2542.9995,-0.114547729,0.71395874,0.116394043,2518.586,-0.015121162,-0.091954425,-0.266462849
2602.1425,-0.389984131,0.47492981,0.140090942,2588.479625,-0.409265542,0.365411002,-0.650643278
2661.2855,0.065841675,0.650558472,0.107025146,2623.483625,0.006037919,0.093796534,0.021858161
2720.4285,-0.384002686,0.704345703,0.168121338,2693.429625,-0.208958011,-0.204719856,-0.415756198
2779.5715,-0.25541687,1.075927734,0.185333252,2763.406625,0.305017432,-0.093433811,-0.008219314
2838.7145,-0.148162842,1.147537231,0.080917358,2833.352625,0.50927523,-0.149359928,0.046487075
2897.8575,-0.098388672,1.202056885,0.328674316,2868.325625,0.761397223,-0.428888245,0.080510556
2957.0005,-0.914077759,1.480361938,0.510681152,2938.302625,-1.012439837,0.6208465,-0.942359285
3016.1435,0.062911987,0.555892944,0.343276978,3008.248625,0.029643646,-1.218651862,0.601274662
3075.2865,-0.641082764,0.832855225,0.347808838,3043.221625,-0.415209717,-0.101153782,-0.129686358
3134.4295,0.07913208,0.700317383,0.109725952,3113.198625,0.654901406,0.165643826,1.366237592
3193.5725,0.079116821,0.761398315,0.193405151,3183.144625,-0.156378689,0.61737214,0.60721724
3252.7165,-0.160705566,0.781097412,0.240737915,3218.148625,-0.22445894,0.388024968,0.335172938
3311.8595,0.167861938,0.887161255,0.04083252,3288.094625,0.501286812,0.541467788,0.630336142
3371.0025,0.116088867,0.927352905,0.136489868,3358.041625,-0.027495807,0.387564773,0.218142987
3430.1455,0.090682983,0.891387939,0.076095581,3393.044625,-0.085408908,0.190111352,0.131081588
3489.2885,-0.004760742,1.040985107,0.037353516,3462.991625,-0.014910506,0.361283368,-0.111722271
3548.4315,0.055175781,1.139419556,0.154953003,3532.967625,-0.44246797,0.609271336,-0.044597562
3607.5745,-0.291381836,1.447006226,0.402557373,3567.941625,-0.240730321,0.714690704,-0.071400148
3666.7175,-0.092315674,1.289138794,0.594238281,3637.887625,-0.431001996,1.103855238,0.271694363
3725.8605,-0.382461548,0.901000977,0.39100647,3707.864625,-0.362307087,1.415624583,-0.342040964
3785.0035,-0.211914063,0.804168701,0.397537231,3777.810625,-0.307124525,1.504767775,0.181167658
3844.1465,-0.229476929,0.811935425,0.046035767,3812.783625,0.191316965,1.652805976,0.305739149
3903.2895,-0.170272827,0.689254761,0.252593994,3882.760625,-0.402468888,2.186880295,0.161682374
3962.4325,-0.088928223,0.752761841,0.062683105,3952.706625,0.344353653,1.907384202,0.312082
4021.5755,-0.200119019,0.716659546,0.085632324,3987.710625,0.236299887,1.718074195,0.165686703
4080.7185,-0.371353149,0.814712524,0.013504028,4057.656625,0.159356635,1.649340404,0.261535202
4139.8625,-0.149429321,0.985687256,0.088272095,4127.602625,0.113574233,1.81503776,0.398357234
4199.0055,-0.114334106,0.825454712,-0.046615601,4197.579625,0.184765589,1.352912199,0.357673453
4258.1485,-0.196487427,0.967529297,-0.068069458,4232.552625,0.217835925,1.344669715,0.401838518
4317.2915,-0.156784058,1.573562622,0.152770996,4302.529625,0.10246459,1.230933296,0.062444736
4376.4345,-0.285354614,0.631240845,-0.047927856,4337.502625,0.434043592,1.156418049,-0.382019806
4435.5775,-0.383026123,0.899749756,0.592849731,4407.449625,-1.408069195,1.565647904,0.016646355
4494.7205,-0.0078125,1.085632324,0.145782471,4477.425625,0.501899605,1.955602864,0.537483699
4553.8635,-0.049072266,0.895980835,0.206787109,4512.399625,-0.339044375,2.128537094,0.575424956
4613.0065,0.025817871,0.971389771,0.119903564,4582.345625,-0.28784031,2.61376105,0.343408764
4672.1495,0.032821655,0.97265625,0.009918213,4652.322625,-0.198089118,2.688888558,0.246687547
4731.2925,0.011993408,0.999343872,0.081085205,4722.268625,-0.383291465,2.557988864,0.088882202
