accelerometerTime(ms),AccelerationX,AccelerationY,AccelerationZ,gyroTime(ms),gyroX,gyroY,gyroZ
0,0.005142212,0.975463867,-0.131576538,0,-0.007717042,0.060719807,0.009785253
59.173,0.009246826,0.979721069,-0.135421753,69.946,0.010582337,0.036155608,-0.00823982
118.316,0.003921509,0.98336792,-0.125991821,104.919,-0.007685617,0.058532286,-0.000900947
177.459,0.028457642,0.989578247,-0.13508606,174.865,0.013461214,0.129831766,-0.00777643
236.633,0.035018921,0.989517212,-0.14616394,244.812,0.038224617,0.078767783,-0.006620352
295.776,-0.004837036,1.016204834,-0.108612061,279.785,0.05760018,0.035190744,0.001973669
354.95,-0.004379272,0.965621948,-0.112854004,349.731,0.212289093,0.111045295,0.026742931
414.123,-0.044937134,0.926574707,-0.189620972,419.677,0.328721164,0.116653646,0.059238556
473.266,0.111968994,0.983123779,-0.387313843,489.624,0.561816203,0.437027398,0.015669507
532.44,0.204299927,1.104431152,-0.36831665,524.597,0.484118211,0.308424681,0.064258615
591.613,0.014511108,0.819992065,-0.354721069,594.543,0.405454292,-0.348058377,-0.06573081
650.756,0.05670166,0.767532349,-0.346221924,664.52,0.145754806,-0.183339733,0.122767465
709.93,0.072250366,0.882369995,-0.39616394,699.493,-0.004455202,-0.041780204,0.146022454
769.073,0.055648804,0.973098755,-0.379608154,769.439,-0.094972852,-0.007891745,-0.064258082
828.247,0.086868286,0.972320557,-0.422302246,839.386,-0.084444577,-0.018039454,0.024448351
887.39,0.006149292,0.929504395,-0.426879883,909.332,-0.05816184,-0.13457965,-0.073966636
946.563,-0.010772705,0.85005188,-0.453186035,944.305,-0.138541901,-0.119382055,-0.006607835
1005.706,0.044219971,1.28704834,-0.471588135,1014.251,-0.144975566,0.058462245,0.203380286
1064.849,0.107666016,0.836608887,-0.397354126,1084.198,-0.10654402,0.092399439,0.174137712
1124.023,-0.053848267,1.001815796,-0.274581909,1119.171,-0.046949666,0.232423656,0.076253493
1183.166,0.152511597,0.999786377,0.051818848,1189.117,-0.50088574,0.354503759,-0.295279051
1242.309,-0.058502197,0.819396973,-0.010421753,1224.09,-0.730216134,0.136697928,-0.182864092
1301.483,0.013824463,1.02532959,-0.093688965,1294.037,-0.419030554,0.025930401,-0.053353503
1360.626,0.156219482,0.827911377,-0.093261719,1363.983,-0.498034826,0.75108573,0.203026352
1419.769,0.003952026,0.943847656,0.000747681,1433.929,-0.536747601,0.433994857,-0.157653011
1478.942,0.070510864,1.043151855,-0.125335693,1468.902,-0.556962591,0.566714555,-0.409280189
1538.086,0.133850098,0.954940796,-0.148864746,1538.849,-0.054346596,0.942409087,-0.115995579
1597.229,0.091964722,0.995742798,-0.126571655,1608.795,-0.296809303,0.482652141,-0.44793251
1656.402,0.156906128,1.012527466,-0.241546631,1643.799,-0.320592131,0.465335469,-0.302049073
1715.545,0.2003479,1.077301025,-0.059661865,1713.745,-0.452081449,0.452548035,-0.282456729
1774.719,-0.234817505,1.226730347,0.144607544,1783.691,-0.158072193,-0.494904813,0.231655866
1833.862,-0.17640686,0.665252686,0.0599823,1853.637,0.778376473,0.118057132,0.239097537
1893.005,0.102615356,1.394790649,-0.097702026,1888.611,0.861295325,0.204754477,0.31209931
1952.148,0.218887329,0.981338501,-0.240524292,1958.557,1.06336214,-0.174485255,0.417622275
2011.322,0.024536133,0.7084198,-0.192108154,2028.503,0.717459859,-1.10193217,0.224217924
2070.465,-0.008911133,0.749847412,-0.183120728,2063.476,0.277750657,-0.971698532,0.172138743
2129.638,0.039825439,0.769515991,-0.201446533,2133.423,-0.060374927,-0.586592123,0.188729704
2188.781,0.066513062,1.039169312,-0.380447388,2203.369,-0.195364704,-0.169689168,0.146171325
2247.955,0.228713989,1.032958984,-0.371551514,2238.342,-0.005468269,-0.699353559,0.192130827
2307.098,0.238540649,0.996063232,-0.579055786,2308.288,-0.135208422,-0.545498216,0.124955252
2366.272,-0.238922119,1.560272217,-0.014968872,2378.235,0.58181095,-0.167902986,0.146634981
2425.415,0.137527466,0.480895996,-0.107254028,2413.208,-0.056199091,0.611432492,-0.685523231
2484.588,0.150558472,1.215789795,0.166000366,2483.154,-0.301933492,-0.22548186,0.083680516
2543.731,-0.174530029,0.744903564,-0.147033691,2553.1,-0.460873609,-0.115155884,0.235867922
2602.874,0.027511597,1.090072632,-0.051269531,2588.104,-0.355075007,0.224298351,0.199278485
2662.048,0.082733154,0.846801758,-0.107009888,2658.05,-0.360024758,0.867042959,-0.026342392
