accelerometerTime(ms),AccelerationX,AccelerationY,AccelerationZ,gyroTime(ms),gyroX,gyroY,gyroZ
0,0.097366333,0.994003296,-0.156646729,0,-0.178618481,0.015888685,0.015909458
59.143,0.12399292,0.973190308,-0.19581604,69.977,-0.062253787,0.061765097,0.015489744
118.316,0.142990112,0.959594727,-0.174179077,104.95,-0.109392538,0.109460981,-0.013730726
177.459,0.151031494,0.981781006,-0.146240234,174.896,-0.147988133,0.160352924,-0.043893688
236.633,-0.055236816,0.942443848,-0.0884552,244.873,-0.559606045,0.546840981,-0.15102973
295.776,0.121337891,1.023147583,-0.177932739,314.819,-0.580025833,0.957066859,-0.265803717
354.95,0.290939331,1.105545044,-0.143310547,349.792,-0.639042814,0.924835952,-0.116173745
414.093,0.156051636,0.965362549,-0.133468628,419.769,-0.474056256,0.581678591,-0.218093985
473.266,0.126998901,0.902389526,-0.148376465,489.716,-0.389774132,0.36532365,-0.282046603
532.409,0.079208374,0.868377686,-0.205093384,524.689,-0.467697426,0.332253314,-0.282138482
591.583,0.171020508,0.882217407,-0.212295532,594.665,-0.53445675,0.40935023,-0.187630085
650.726,0.20098877,0.925582886,-0.13444519,629.639,-0.524200916,0.20095894,-0.145738561
709.899,0.192871094,0.989227295,-0.168991089,699.615,-0.361837306,-0.068195832,-0.145927912
768.961125,0.183425903,1.157058716,-0.060089111,769.562,-0.431331429,-0.614865306,-0.245404435
828.134125,0.095474243,1.230697632,0.006378174,839.427375,-0.312887073,-0.610002907,-0.155232198
887.308125,-0.197784424,1.622161865,0.235855103,874.431375,-0.545308332,-0.194933272,-0.127527067
946.451125,0.022872925,1.136169434,0.265350342,944.377375,0.078929703,0.075941903,0.441245845
1005.594125,0.086456299,0.594299316,0.355072021,1014.323375,-0.07064381,-0.954342445,0.09617234
1064.737125,-0.270568848,0.891693115,0.275848389,1049.327375,-0.086538088,-0.777403087,-0.244881657
1123.910125,-0.157043457,0.762680054,0.250610352,1119.273375,0.197165267,-0.007286409,-0.197133309
1183.054125,0.352340698,0.930862427,0.242904663,1189.219375,0.20429668,0.66257637,0.830965116
1242.197125,0.010665894,0.850372314,0.080825806,1259.196375,0.354731992,0.574840924,0.141734498
1301.340125,0.234909058,0.815872192,-0.015731812,1294.169375,0.12784638,0.722445829,0.50354171
1360.483125,0.17414856,0.898635864,-0.001693726,1364.116375,0.328631149,0.53846241,-0.081911112
1419.626125,0.116851807,0.898178101,-0.222488403,1434.093375,0.329703071,0.94527012,-0.241264285
1478.769125,0.221801758,1.085388184,-0.368835449,1469.066375,0.481250253,0.700687004,-0.223331624
1537.942125,0.227554321,1.444519043,-0.050888062,1539.012375,-0.009750898,0.634022489,-0.456338512
1597.086125,-0.42149353,1.380828857,0.525756836,1608.989375,-0.929471184,0.11587334,0.516984815
1656.229125,0.52230835,1.28944397,0.359664917,1678.935375,0.361335832,-0.118934377,0.184573841
1715.402125,-0.006958008,0.902999878,0.082214355,1713.908375,-0.292039049,-0.180760727,-0.109235411
1774.545125,0.23600769,0.949066162,0.175582886,1783.885375,-0.32476131,-0.70521784,-0.434479818
1833.688125,-0.158828735,0.547531128,0.076583862,1818.858375,-0.041223337,-0.799988291,-0.876455636
1892.831125,-0.016433716,0.640457153,0.019332886,1888.835375,-0.236773397,-1.143357374,-0.374476402
1951.974125,-0.151977539,0.646530151,0.098571777,1958.781375,-0.350400627,-0.741165721,-0.385862747
2011.148125,0.158416748,0.940032959,-0.070465088,1993.754375,-0.102006527,-0.927608302,-0.263915536
2070.291125,0.397888184,1.148284912,-0.102767944,2063.731375,0.346601894,-1.139440929,0.240597962
2129.434125,0.156906128,1.091110229,-0.132080078,2133.678375,0.134259804,-0.830326756,-0.421630865
2188.577125,-0.733123779,2.260116577,0.71321106,2203.624375,-1.026070694,0.993224863,-1.166119412
2247.751125,0.168777466,0.462814331,0.285324097,2238.627375,0.963689874,-0.79129094,0.538442703
2306.894125,-0.505249023,1.26499939,0.350753784,2308.574375,-0.128965174,-0.139316082,0.044673462
2366.067125,0.119613647,0.60609436,0.233398438,2378.520375,0.612916405,0.061890266,0.700066221
2425.211125,-0.00541687,0.933929443,0.168228149,2413.524375,0.216878252,0.340302186,0.486941428
2484.384125,0.117050171,0.719573975,-0.02507019,2483.470375,0.289758585,0.86226365,0.544710453
2543.527125,0.279754639,0.659423828,-0.072921753,2553.416375,0.058206315,0.604053937,0.277891539
2602.701125,0.156936646,1.036483765,0.08442688,2623.393375,0.39753192,0.83545707,-0.284659696
2661.844125,0.320098877,1.058380127,-0.261123657,2658.366375,0.329805603,0.873255581,-0.174327595
2720.987125,0.421905518,1.101150513,-0.477416992,2728.313375,0.292989532,0.148887483,-0.267783244
2780.160125,0.222808838,1.454986572,0.662475586,2798.289375,-1.498631053,-0.929839499,-0.047125701
2839.304125,-0.897903442,1.097671509,0.323028564,2833.262375,-0.62160124,0.116180136,0.520973165
2898.477125,0.211425781,1.143951416,0.174514771,2903.209375,0.355235063,0.319271469,0.316743331
2957.620125,0.18157959,1.049835205,0.130630493,2938.212375,-0.151051568,0.480777276,0.349357467
3016.763125,0.060180664,0.717056274,0.073699951,3008.159375,-0.491524462,-0.040056872,-0.039645148
3075.937125,-0.168411255,0.618713379,0.046218872,3078.105375,-0.150273925,-0.240273057,-0.309459052
3135.080125,-0.028182983,0.634429932,0.014190674,3148.082375,-0.15293389,0.158316405,-0.220131836
3194.254125,0.019470215,0.761886597,0.036392212,3183.055375,-0.29601142,0.21947803,0.086848879
3253.427125,0.297164917,1.227233887,-0.140914917,3253.032375,0.542137573,-0.78392437,0.206311361
3312.601125,0.201919556,1.22644043,-0.106262207,3322.978375,-0.036099149,-0.718733116,-0.42439709
3371.774125,-0.71395874,1.718704224,0.6849823,3357.951375,-0.185752823,-0.647131367,-0.541317319
3430.948125,0.234298706,0.804992676,0.471740723,3427.928375,0.224956951,0.249700381,-0.11873251
3490.091125,-0.435287476,1.028274536,0.410232544,3497.874375,-0.096911899,-0.13447046,-0.435338954
3549.264125,-0.013137817,0.619003296,0.094573975,3567.821375,0.551745725,-0.228313599,0.781231914
3608.408125,0.094573975,0.81539917,0.197814941,3602.824375,0.273181206,-0.280330462,0.659944634
3667.581125,0.274108887,0.659942627,-0.029266357,3672.771375,0.513025227,0.321513052,0.504570756
3726.755125,0.201126099,0.771575928,-0.028244019,3742.717375,0.173520924,-0.412759076,0.015316905
3785.928125,0.16104126,1.013748169,0.13659668,3777.720375,0.044488905,-0.010012953,-0.28026548
3845.071125,0.153671265,0.939102173,-0.324493408,3847.667375,0.385888846,0.465285668,-0.236314001
3904.245125,0.321075439,1.200485229,-0.363937378,3917.613375,0.069392657,0.149098405,-0.191670633
3963.419125,0.29473877,1.499771118,0.427886963,3952.617375,-0.026162362,0.033425069,-0.305539146
4022.592125,-0.562637329,0.996276855,0.41885376,4022.563375,-0.284184588,0.933196413,0.37745062
4081.735125,0.105224609,1.108200073,0.167572021,4092.509375,0.331555034,0.398795856,0.264482789
4140.909125,0.248214722,1.009124756,0.103637695,4127.513375,-0.146945506,0.574067809,0.27936906
4200.082125,0.013519287,0.635696411,0.037384033,4197.459375,-0.584894624,0.216144551,-0.277778354
4259.225125,-0.171691895,0.611923218,0.043624878,4267.406375,-0.057816428,-0.22301817,-0.090379432
4318.399125,0.022689819,0.647720337,0.025360107,4302.409375,-0.22975357,-0.092239916,0.105506986
4377.542125,-0.001235962,0.787414551,0.090194702,4372.355375,-0.586517554,0.24810275,-0.079068188
4436.716125,0.178207397,1.105712891,-0.203735352,4442.302375,0.474657864,-0.716123484,0.158768609
4495.859125,0.398849487,1.246917725,-0.050979614,4512.279375,-0.105851066,-0.429534328,-0.278782366
4555.032125,-0.831680298,1.851608276,0.809753418,4547.252375,0.021769211,-0.480011617,-0.381990511
4614.175125,0.374145508,0.641220093,0.483978271,4617.198375,0.782510498,-0.098442152,0.162362013
4673.349125,-0.420120239,1.200668335,0.502655029,4687.175375,-0.43574482,-0.140177348,-0.448294167
4732.492125,-0.142776489,0.611923218,0.004470825,4722.148375,0.74165228,0.116835274,0.410510569
4791.666125,0.230804443,0.833374023,0.27722168,4792.094375,0.237774479,0.02123072,0.724917775
4850.809125,0.129592896,0.688842773,0.04888916,4862.071375,0.238793138,0.24931076,0.389653757
4909.982125,0.26852417,0.783233643,-0.020202637,4932.017375,0.419699807,-0.019675434,0.223149464
4969.156125,0.067626953,1.010726929,0.084899902,4966.990375,0.121372501,-0.066720175,-0.15247556
5028.299125,0.201095581,0.987991333,-0.147796631,5036.967375,0.194593985,0.410082599,-0.177117789
5087.442125,0.326919556,1.176742554,-0.386642456,5071.940375,0.24556822,0.587202253,-0.302704211
5146.616125,0.470733643,1.402603149,0.240829468,5141.887375,-0.050521764,-0.098018976,-0.201821272
5205.759125,-0.835006714,1.269683838,0.428131104,5211.864375,-0.731543986,0.196932773,0.319195569
5264.932125,0.238510132,1.080444336,0.336700439,5246.837375,-0.619756468,0.215598603,0.016443422
