Elapsed Time, accel x, accel y, accel z, gyro x, gyro y, gyro z
0,0.02908,-0.04555,0.014946,-0.303666,-0.289746,0.125242
0.00999999,0.032309,-0.048058,0.016142,-0.249613,-0.253964,0.17325
0.019999981,0.015633,-0.034776,0.018427,-0.185306,-0.237713,0.198433
0.029999971,0.013622,-0.003636,0.013115,-0.122437,-0.207533,0.184114
0.039999962,-0.002157,0.016752,0.011362,-0.085164,-0.142749,0.154124
0.049999952,-0.016112,0.019308,0.015124,-0.095981,-0.067168,0.129389
0.059999943,-0.021683,0.021039,0.019525,-0.143521,0.018101,0.102734
1.48E+09,-0.214528,0.045059,0.081631,-0.027606,0.026277,0.026067
1.48E+09,-0.275973,-0.010612,0.039986,-0.034225,0.018254,0.050226
1.48E+09,-0.310274,0.002105,-0.025726,-0.038327,0.029254,0.031447
1.48E+09,-0.271019,-0.148537,-0.025069,0.009299,-0.011012,0.010528
1.48E+09,-0.179322,-0.230874,-0.021129,-8.13E-04,-0.008466,-0.007619
1.48E+09,-0.047474,-0.280951,-0.00121,0.006688,-0.013444,-0.014512
1.48E+09,0.048998,-0.330022,0.020634,0.010159,-0.017466,-0.030477
1.48E+09,0.122367,-0.340762,0.02678,0.02184,-0.003307,-0.022219
1.48E+09,0.135009,-0.198669,0.050319,-0.010615,0.013886,-0.001319
1.48E+09,0.082578,-0.121465,0.096092,-0.015396,0.01018,0.026296
1.48E+09,-0.093761,0.10952,0.148517,-0.042301,0.010123,0.030374
1.48E+09,-0.172799,0.194084,0.182742,-0.047133,-0.02533,0.048336
1.48E+09,-0.20746,0.254536,0.175089,-0.035927,-0.031439,0.035014
1.48E+09,-0.231279,0.229957,0.139594,-0.028358,-0.01302,0.029888
1.48E+09,-0.213081,0.166186,0.089422,-0.026561,0.001739,0.01248
1.48E+09,-0.173564,0.121009,0.049056,-0.017027,0.013697,0.004916
1.48E+09,-0.127674,0.074327,0.046785,-0.013216,0.01873,-0.001353
1.48E+09,-0.073513,0.091942,0.049723,-9.64E-04,0.007139,-0.010438
1.48E+09,0.002974,0.153102,0.03753,-0.014417,0.001243,-0.01501
1.48E+09,0.287901,0.362095,0.094532,-0.032765,-0.006338,-0.049311
1.48E+09,0.140989,0.260077,0.062245,-0.029792,-0.00878,-0.048293
1.48E+09,0.388038,0.326639,0.117427,-0.028547,0.001999,-0.065312
1.48E+09,0.411342,0.261391,0.099241,-0.030776,0.005923,-0.067012
1.48E+09,0.441447,0.272253,0.006282,-0.027238,0.021502,-8.59E-04
1.48E+09,0.393983,0.195154,-0.123106,-0.062894,0.060359,0.051373
1.48E+09,0.229153,-0.170988,-0.229686,-0.119734,0.065502,0.052823
1.48E+09,0.169163,-0.536499,-0.33721,-0.090236,0.00786,0.073633
1.48E+09,0.324227,-0.794508,-0.42628,-0.024702,-0.035971,0.116004
1.48E+09,0.59478,-0.825911,-0.468449,-0.00644,-0.027604,0.063178
1.48E+09,0.835585,-0.919383,-0.503868,-0.058347,0.033524,-0.01229
1.48E+09,0.998193,-1.030383,-0.569554,-0.107121,0.079823,-0.079339
1.48E+09,1.109914,-1.254641,-0.73218,-0.135081,0.099712,-0.065612
1.48E+09,1.124347,-1.896245,-0.894071,-0.163074,0.059555,0.0167
1.48E+09,1.044541,-2.451932,-1.046508,-0.216324,0.065782,-0.025959
1.48E+09,0.709961,-2.347726,-1.176969,-0.188022,0.120772,0.092979
1.48E+09,0.225461,-1.856797,-1.226592,-0.125969,0.159252,0.20435
1.48E+09,-0.198483,-1.201988,-1.16282,-0.06966,0.13204,0.243986
1.48E+09,-0.537122,-0.463683,-0.967995,-0.025177,0.057861,0.242123
1.48E+09,-0.881052,0.180612,-0.628165,0.024783,-0.023403,0.22901
1.48E+09,-1.248916,0.547152,-0.217763,0.073971,-0.096223,0.202507
1.48E+09,-1.595364,0.765129,0.081395,0.13736,-0.149414,0.146857
1.48E+09,-1.851156,0.99367,0.219793,0.157717,-0.138302,0.118685
1.48E+09,-2.029467,1.169818,0.320946,0.131501,2.30E-05,0.116612
1.48E+09,-2.055077,1.070584,0.338196,0.091162,0.058715,0.105187
1.48E+09,-1.868306,0.660527,0.264415,0.07404,0.025803,0.044583
1.48E+09,-1.508367,0.227441,0.112577,0.0546,-0.013061,-0.053047
1.48E+09,-1.094606,-0.025113,-0.144553,-0.001828,-0.054822,-0.138819
1.48E+09,-0.704729,-0.14928,-0.391931,-0.051784,-0.062913,-0.184451
1.48E+09,-0.400778,-0.259768,-0.563514,-0.082909,-0.008642,-0.182597
1.48E+09,-0.182779,-0.348271,-0.617743,-0.066873,0.007505,-0.170793
1.48E+09,-0.021283,-0.320502,-0.569275,-0.023506,0.013043,-0.136618
1.48E+09,0.082967,-0.233392,-0.413481,0.012036,0.024998,-0.076387
1.48E+09,0.059328,-0.246357,-0.213691,0.029667,0.034582,-0.018275
1.48E+09,-0.176417,-0.143585,-0.104769,0.024104,0.044655,0.055818
1.48E+09,-0.448938,-0.17519,-0.071376,0.019581,0.043794,0.144949
1.48E+09,-0.675593,-0.39657,-0.084403,0.040577,0.013101,0.160831
