Elapsed Time, accel x, accel y, accel z, gyro x, gyro y, gyro z
0,0.007893,-0.031232,0.078488,-0.245544,-0.168366,0.03111
0.00999999,-0.02168,-0.029279,0.082804,-0.230397,-0.035436,-0.029785
0.019999981,-0.016948,-0.016531,0.071877,-0.154869,0.122754,-0.109858
0.029999971,-0.019031,-0.004462,0.063495,-0.05966,0.066692,-0.139425
0.039999962,-0.032423,-0.030265,0.045738,0.029862,-0.050539,-0.105493
0.049999952,-0.029731,-0.001753,0.017453,0.083839,-0.140053,-0.011218
0.059999943,0.002081,0.037084,0.013928,0.086745,-0.17976,0.006664
1.48E+09,0.054276,-0.231295,-0.064069,-0.014729,0.007225,0.032626
1.48E+09,-0.040187,-0.268542,-0.113862,-0.034327,-0.023648,0.025374
1.48E+09,-0.155245,-0.256853,-0.11572,-0.032632,-0.024581,0.025596
1.48E+09,-0.237863,-0.200446,-0.117865,-0.035101,-0.010647,0.023196
1.48E+09,-0.288423,-0.060763,-0.146709,-0.021077,0.003206,0.013408
1.48E+09,-0.294663,0.069151,-0.158803,-0.02347,-0.00946,0.009485
1.48E+09,-0.287549,0.121109,-0.155898,-0.024604,-0.025606,0.026414
1.48E+09,-0.251182,0.152141,-0.143633,-0.030723,-0.027277,0.018278
1.48E+09,-0.265635,0.216225,-0.127753,-0.022744,-0.014451,0.002472
1.48E+09,-0.328262,0.29862,-0.117783,-0.022502,-0.013246,-0.0023
1.48E+09,-0.397354,0.399404,-0.0935,-0.027813,-0.018822,0.012402
1.48E+09,-0.464176,0.525156,-0.095361,-0.02896,-0.014104,0.033967
1.48E+09,-0.540763,0.747647,-0.137016,-0.029448,-0.017592,0.029247
1.48E+09,-0.562389,0.76365,-0.143731,-0.043909,-0.015113,0.03248
1.48E+09,-0.497577,0.580981,-0.139711,-0.059942,-0.033863,0.064526
1.48E+09,-0.302044,0.317073,-0.234228,-0.033071,-0.012982,-0.017347
1.48E+09,-0.02599,0.062709,-0.521524,0.011308,0.011738,-0.04158
1.48E+09,0.185765,-0.319783,-0.619939,-0.002382,0.111492,-0.043584
1.48E+09,0.295928,-0.63649,-0.673098,-0.035286,0.230949,-0.047614
1.48E+09,0.26228,-0.832971,-0.714419,0.026049,0.089086,-0.058994
1.48E+09,0.131182,-0.862265,-0.707232,0.016515,0.019906,-0.028797
1.48E+09,-0.083749,-0.833143,-0.648278,0.018654,-0.030908,0.019525
1.48E+09,-0.300293,-0.613111,-0.499359,0.013751,-0.111234,0.066407
1.48E+09,-0.692903,-0.025271,-0.099182,0.014577,-0.116258,0.068982
1.48E+09,-1.001421,0.747064,0.187487,-0.017501,-0.155339,0.108381
1.48E+09,-1.071896,1.274881,0.165295,-0.039131,-0.171134,0.132406
1.48E+09,-0.864463,1.366323,0.029383,-0.073067,-0.077125,0.135849
1.48E+09,-0.550943,0.88743,-0.145671,-0.090568,0.080752,0.068218
1.48E+09,-0.270438,0.42733,-0.376692,-0.118383,0.133474,-0.029781
1.48E+09,-0.095768,0.21178,-0.646484,-0.161978,0.098755,-0.096599
1.48E+09,-0.088379,0.196764,-0.912264,-0.16774,0.071215,-0.052732
1.48E+09,-0.143387,0.112417,-1.067395,-0.237329,0.016851,0.103755
1.48E+09,-0.202981,-0.004104,-1.077327,-0.267044,0.002294,0.160296
1.48E+09,-0.303945,-0.150845,-1.053005,-0.275923,0.029836,0.195131
1.48E+09,-0.320164,-0.451554,-1.040804,-0.252938,0.084686,0.230007
1.48E+09,0.227294,-1.377551,-1.266239,-0.10888,0.133372,0.062837
1.48E+09,-0.099588,-0.966627,-1.102512,-0.115648,0.130948,0.064573
1.48E+09,0.468452,-1.53385,-1.475975,-0.088198,0.172003,-0.084973
1.48E+09,0.495581,-1.486326,-1.66526,-0.081148,0.17131,-0.164672
1.48E+09,0.299026,-1.144768,-1.833302,-0.079994,0.135592,-0.182322
1.48E+09,-0.00644,-0.750804,-1.841909,-0.05189,0.09515,-0.134812
1.48E+09,-0.380396,-0.71416,-1.616127,-0.016309,0.045844,-0.037592
1.48E+09,-0.666331,-0.768763,-1.359325,0.043092,0.038205,0.042592
1.48E+09,-0.77076,-0.776707,-1.07984,0.135059,0.088055,0.062183
1.48E+09,-0.74604,-0.820828,-0.817504,0.192555,0.040079,0.051416
1.48E+09,-0.594386,-0.938077,-0.591347,0.225904,-0.009394,0.019947
1.48E+09,-0.405913,-1.087765,-0.45119,0.245676,-0.050177,-0.050995
1.48E+09,-0.290754,-0.966167,-0.41724,0.220639,-0.113677,-0.138798
1.48E+09,-0.303912,-0.770679,-0.4379,0.190004,-0.134997,-0.082984
1.48E+09,-0.470744,-0.488023,-0.492912,0.193257,-0.138308,-0.081943
1.48E+09,-1.065277,0.571514,-0.590515,0.096354,-0.198269,0.03476
1.48E+09,-0.77564,-0.029012,-0.588461,0.103032,-0.189627,0.029967
1.48E+09,-1.347724,0.941657,-0.544424,0.038063,-0.222329,0.112312
1.48E+09,-1.507158,1.125358,-0.445578,0.029061,-0.180454,0.152824
1.48E+09,-1.485707,1.150075,-0.282567,0.029682,-0.035814,0.156146
1.48E+09,-1.304162,0.928599,-0.140071,0.029234,0.049742,0.140075
1.48E+09,-0.977572,0.573123,-0.134262,0.055096,0.038743,0.105389
