time(ms),time(ds),x_accel,y_accel,z_accel,g_measured,TimeInterval
0,0,-0.02858,-0.995651,-0.074661,0.998856,5259.276136
29.542,2.9542,0.005875,-0.961502,-0.164291,0.975455,5259.305678
59.087,5.9087,-0.008652,-0.969009,-0.146347,0.980036,5259.335223
88.632,8.8632,0.015137,-0.986481,-0.141998,0.996763,5259.364768
118.176,11.8176,-0.011948,-0.979507,-0.147125,0.990567,5259.394312
147.72,14.772,-0.016769,-0.974197,-0.182587,0.991302,5259.423856
177.259,17.7259,-0.004715,-0.981644,-0.149551,0.992981,5259.453395
206.808,20.6808,-0.003021,-0.983719,-0.12471,0.991597,5259.482944
236.35,23.635,0.012207,-0.98175,-0.123077,0.989511,5259.512486
265.894,26.5894,0.010452,-0.982544,-0.11026,0.988766,5259.54203
295.437,29.5437,0.021942,-0.982178,-0.122314,0.990008,5259.571573
324.981,32.4981,0.05191,-0.988632,-0.102905,0.995328,5259.601117
354.522,35.4522,-0.033737,-0.979248,-0.139069,0.989649,5259.630658
384.073,38.4073,-0.040283,-0.983063,-0.113876,0.990456,5259.660209
413.618,41.3618,-0.052826,-0.987091,-0.085526,0.992197,5259.689754
443.166,44.3166,-0.000244,-0.946121,-0.141541,0.95665,5259.719302
472.71,47.271,0.086624,-1.038483,-0.17955,1.057444,5259.748846
502.255,50.2255,-0.092636,-0.952866,-0.088181,0.96141,5259.778391
531.795,53.1795,-0.020645,-0.975815,-0.109787,0.982188,5259.807931
561.345,56.1345,-0.001038,-0.978287,-0.06813,0.980657,5259.837481
590.891,59.0891,0.043793,-0.994202,-0.066986,0.997418,5259.867027
620.434,62.0434,0.056396,-1.004593,0.020538,1.006384,5259.89657
649.979,64.9979,0.043198,-1.009827,-0.03244,1.011271,5259.926115
679.525,67.9525,0.125778,-1.003036,0.0327,1.011421,5259.955661
709.059,70.9059,0.137161,-1.017822,-0.079544,1.030098,5259.985195
738.615,73.8615,0.050507,-0.993057,-0.095459,0.998912,5260.014751
768.162,76.8162,-0.097549,-0.95108,-0.074921,0.959001,5260.044298
797.706,79.7706,-0.112839,-0.970581,-0.13176,0.985962,5260.073842
827.252,82.7252,-0.062912,-0.955963,-0.105377,0.963809,5260.103388
856.799,85.6799,-0.028671,-0.997513,-0.138275,1.007459,5260.132935
886.335,88.6335,-0.039902,-0.94751,-0.210281,0.971383,5260.162471
915.891,91.5891,-0.010773,-1.021027,-0.142685,1.031005,5260.192027
945.436,94.5436,-0.016052,-0.976303,-0.077042,0.97947,5260.221572
974.982,97.4982,-0.064209,-0.966614,-0.086243,0.972575,5260.251118
1004.529,100.4529,0.042191,-1.007446,-0.096298,1.012917,5260.280665
1034.076,103.4076,0.024017,-0.946487,-0.049255,0.948072,5260.310212
1063.626,106.3626,0.053268,-0.992737,-0.064285,0.996241,5260.339762
1093.175,109.3175,0.039734,-0.986618,-0.096115,0.992085,5260.369311
1122.724,112.2724,-0.027191,-0.987396,-0.032562,0.988307,5260.39886
1152.265,115.2265,0.038025,-0.998245,-0.054382,1.000448,5260.428401
1181.814,118.1814,0.055496,-0.982605,-0.094803,0.988726,5260.45795
1211.362,121.1362,0.024185,-1.007248,-0.042343,1.008428,5260.487498
1240.912,124.0912,-0.060745,-0.951508,-0.128555,0.962072,5260.517048
1270.457,127.0457,-0.043396,-0.980972,-0.089554,0.986007,5260.546593
1300.006,130.0006,-0.073441,-0.96962,-0.092468,0.976784,5260.576142
1329.553,132.9553,-0.100754,-0.949615,-0.123871,0.962946,5260.605689
1359.102,135.9102,-0.123169,-1.011703,-0.045898,1.020206,5260.635238
1388.649,138.8649,-0.098511,-0.951584,-0.007629,0.9567,5260.664785
1418.197,141.8197,0.035309,-0.968445,-0.002457,0.969091,5260.694333
1447.742,144.7742,-0.027908,-1.024811,0.076019,1.028005,5260.723878
1477.288,147.7288,0.095825,-0.979218,0.020996,0.984119,5260.753424
1506.833,150.6833,0.129684,-1.053299,0.093948,1.065403,5260.782969
1536.383,153.6383,0.01825,-0.966873,0.028015,0.967451,5260.812519
1565.927,156.5927,0.003876,-1.031891,0.041107,1.032717,5260.842063
1595.474,159.5474,-0.064056,-0.983765,0.017227,0.985998,5260.87161
1625.017,162.5017,-0.076797,-0.988007,0.018753,0.991164,5260.901153
1654.562,165.4562,-0.029312,-1.000946,0.019333,1.001562,5260.930698
1684.11,168.411,0.003372,-0.97345,0.040054,0.974279,5260.960246
1713.653,171.3653,-0.102844,-1.047897,0.051178,1.054175,5260.989789
1743.194,174.3194,-0.089172,-0.971939,0.04718,0.977161,5261.01933
1772.745,177.2745,0.021255,-0.98259,-0.014664,0.982929,5261.048881
1802.292,180.2292,-0.031586,-0.99147,0.009567,0.992019,5261.078428
1831.837,183.1837,-0.116745,-1.027359,0.074707,1.036666,5261.107973
1861.382,186.1382,0.005936,-1.055008,0.093857,1.059191,5261.137518
1890.929,189.0929,0.174438,-0.986099,0.108414,1.007261,5261.167065
1920.449,192.0449,0.105667,-0.943848,-0.037628,0.950489,5261.196585
1950.013,195.0013,-0.022888,-1.151093,-0.228455,1.173767,5261.226149
1979.554,197.9554,-0.121582,-1.070358,-0.096909,1.081592,5261.25569
2009.097,200.9097,0.163254,-0.850708,0.487259,0.99387,5261.285233
2038.644,203.8644,0.7164,-0.920044,0.420807,1.239673,5261.31478
2068.188,206.8188,1.085419,-1.01152,0.592667,1.597674,5261.344324
2097.73,209.773,0.479645,-0.949234,0.851669,1.362514,5261.373866
2127.215,212.7215,0.299866,-0.77182,0.749069,1.116571,5261.403351
2156.77,215.677,0.368927,-0.539322,0.63797,0.913226,5261.432906
2186.317,218.6317,0.380463,-0.61647,0.385864,0.820779,5261.462453
2215.865,221.5865,0.609879,-0.582184,0.379898,0.924777,5261.492001
2245.411,224.5411,0.309296,-0.511505,0.38681,0.711986,5261.521547
2274.96,227.496,-0.026871,-0.610092,0.357849,0.707807,5261.551096
2304.504,230.4504,0.186615,-0.754211,0.495163,0.921329,5261.58064
2334.048,233.4048,0.493515,-0.856308,0.719849,1.222703,5261.610184
2363.595,236.3595,0.288712,-0.942505,0.354553,1.047558,5261.639731
2393.141,239.3141,0.175369,-1.111603,0.207825,1.14438,5261.669277
2422.686,242.2686,0.10495,-1.193787,0.024094,1.198633,5261.698822
2452.231,245.2231,0.132507,-1.157257,-0.028046,1.165156,5261.728367
2481.778,248.1778,0.243912,-1.186874,-0.005051,1.211689,5261.757914
2511.32,251.132,0.211945,-1.164505,0.172333,1.196115,5261.787456
2540.863,254.0863,-0.091843,-1.205856,0.325256,1.252324,5261.816999
2570.412,257.0412,-0.093369,-1.107468,0.316681,1.155634,5261.846548
2599.961,259.9961,-0.114609,-0.946167,0.224045,0.979062,5261.876097
2629.508,262.9508,-0.155548,-0.920944,0.182877,0.951723,5261.905644
2659.056,265.9056,-0.124496,-0.935715,0.140228,0.954319,5261.935192
2688.603,268.8603,-0.084961,-0.942291,0.141678,0.956663,5261.964739
2718.149,271.8149,-0.077225,-0.956497,0.162262,0.973231,5261.994285
2747.694,274.7694,-0.116714,-0.976151,0.126923,0.991263,5262.02383
2777.241,277.7241,-0.102325,-0.947266,0.134277,0.962192,5262.053377
2806.788,280.6788,-0.042099,-1.011337,0.160385,1.024841,5262.082924
2836.332,283.6332,0.124908,-1.016647,0.120911,1.031404,5262.112468
2865.88,286.588,-0.056229,-0.977081,0.13028,0.987331,5262.142016
2895.428,289.5428,-0.284424,-0.914841,0.123184,0.965922,5262.171564
