time(ms),time(ds),locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot
0,0,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,39.10451508,27.60754395,-1.291320801,284.4981689,271.0394897,15,20238.68118,0.467376709,0.817565918,-0.305557251,20238.6809,-0.069594791,0.054818242,-0.028255607,20238.6809,1.503854193,0.997487926,-0.977322099,0.006392213,-0.025767691,-0.025975117,0.016637938,-0.016212827,-0.007921728,-0.589581704,0.026874873,0.3656349,0.719709855,0.469827503,0.829002738,-0.303342313,37.63080215,27.41880798,-0.76278019,1,20228.82009
9.651,0.9651,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,39.10451508,27.60754395,-1.291320801,284.4981689,271.0394897,15,20238.69083,0.467956543,0.829574585,-0.293289185,20238.6809,-0.069594791,0.054818242,-0.028255607,20238.6809,1.503854193,0.997487926,-0.977322099,0.006392213,-0.025767691,-0.025975117,0.016637938,-0.016212827,-0.007921728,-0.589581704,0.026874873,0.3656349,0.719709855,0.469827503,0.829002738,-0.303342313,37.63080215,27.41880798,-0.76278019,1,20228.82009
19.337,1.9337,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,39.10451508,27.60754395,-1.291320801,284.4981689,271.0394897,15,20238.70052,0.474807739,0.828384399,-0.284851074,20238.69092,-0.068588116,0.067463463,-0.036669331,20238.69092,1.503303664,0.996814058,-0.977390228,0.007398882,-0.013122216,-0.034388579,-0.001619024,0.000533743,0.010338991,-0.589465203,0.026771008,0.365615306,0.719819099,0.469575554,0.829040825,-0.303628176,37.63080215,27.41880798,-0.76278019,1,20228.82009
28.996,2.8996,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,39.10451508,27.60754395,-1.291320801,284.4981689,271.0394897,15,20238.71018,0.476806641,0.821929932,-0.291213989,20238.70091,-0.063426111,0.095870337,-0.062006912,20238.70091,1.503380273,0.997244109,-0.977887841,0.012559522,0.015285688,-0.059725873,0.005448224,-0.000934599,0.01835124,-0.589647619,0.026730646,0.365369308,0.7197961,0.469359517,0.829319,-0.303202301,37.61296844,27.44234848,-0.795339584,1,20228.82009
38.71,3.871,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,39.10451508,27.60754395,-1.291320801,284.4981689,271.0394897,15,20238.71989,0.479217529,0.823455811,-0.292404175,20238.7109,-0.062447399,0.111661285,-0.074659324,20238.7109,1.50304345,0.997460195,-0.978299353,0.013537555,0.031077275,-0.072377607,0.007668362,-0.00761894,0.011701752,-0.58976755,0.026765036,0.365062938,0.719852014,0.469138265,0.829548895,-0.302915752,37.61296844,27.44234848,-0.795339584,1,20228.82009
48.386,4.8386,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,39.10451508,27.60754395,-1.291320801,284.4981689,271.0394897,15,20238.72957,0.476196289,0.833099365,-0.291259766,20238.7109,-0.062447399,0.111661285,-0.074659324,20238.7109,1.50304345,0.997460195,-0.978299353,0.013537555,0.031077275,-0.072377607,0.007668362,-0.00761894,0.011701752,-0.58976755,0.026765036,0.365062938,0.719852014,0.469138265,0.829548895,-0.302915752,37.61296844,27.44234848,-0.795339584,1,20228.82009
58.06,5.806,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,39.10451508,27.60754395,-1.291320801,284.4981689,271.0394897,15,20238.73924,0.471099854,0.838378906,-0.288085938,20238.73089,-0.044387971,0.115805429,-0.088500838,20238.73089,1.501846931,0.997588155,-0.979330235,0.031595476,0.035222758,-0.086218081,0.007737984,0.002975255,0.011131997,-0.589987732,0.026806608,0.364290196,0.72006148,0.468458295,0.83012408,-0.302391768,37.59470749,27.46904945,-0.734516144,1,20228.82009
67.753,6.7753,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,39.10451508,27.60754395,-1.291320801,284.4981689,271.0394897,15,20238.74894,0.466812134,0.847686768,-0.290542603,20238.74088,-0.030510239,0.096737196,-0.09083137,20238.74088,1.500852719,0.99715746,-0.980076328,0.045472007,0.01615534,-0.088548802,0.003292172,0.007839022,0.014171359,-0.590050164,0.026686249,0.363838997,0.720242899,0.46780768,0.830539882,-0.302257299,37.59470749,27.46904945,-0.734516144,1,20238.74399
77.457,7.7457,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,38.82511902,27.3281517,-1.425384521,284.4729309,271.0142517,15,20238.75864,0.466949463,0.847900391,-0.292327881,20238.74088,-0.030510239,0.096737196,-0.09083137,20238.74088,1.500852719,0.99715746,-0.980076328,0.045472007,0.01615534,-0.088548802,0.003292172,0.007839022,0.014171359,-0.590050164,0.026686249,0.363838997,0.720242899,0.46780768,0.830539882,-0.302257299,37.59470749,27.46904945,-0.734516144,1,20238.74399
87.146,8.7146,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,38.44094849,27.36307526,-1.391860962,284.4657593,271.0070801,15,20238.76833,0.466766357,0.850799561,-0.29776001,20238.76084,-0.028249215,0.090531764,-0.070610254,20238.76084,1.498431914,0.995506183,-0.9816481,0.047731016,0.009950956,-0.068329006,0.000737398,0.016486119,0.00999086,-0.590043204,0.026261128,0.362990091,0.72069242,0.466212064,0.831414282,-0.302318752,37.5200882,27.57211685,-0.686594009,1,20238.74399
96.806,9.6806,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,38.44094849,27.36307526,-1.391860962,284.4657593,271.0070801,15,20238.77799,0.468338013,0.845947266,-0.299865723,20238.77083,-0.03242372,0.10018306,-0.053430735,20238.77083,1.497368509,0.994846733,-0.982162187,0.043555696,0.019602712,-0.051150132,0.001112286,0.019099746,0.004633282,-0.590016144,0.026159195,0.36264964,0.720889648,0.465654075,0.831699789,-0.302393287,37.5200882,27.57211685,-0.686594009,1,20238.74399
106.51,10.651,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,38.23140717,27.6424675,-1.056678772,284.4977112,271.039032,15,20238.78769,0.462265015,0.843948364,-0.296432495,20238.77083,-0.03242372,0.10018306,-0.053430735,20238.77083,1.497368509,0.994846733,-0.982162187,0.043555696,0.019602712,-0.051150132,0.001112286,0.019099746,0.004633282,-0.590016144,0.026159195,0.36264964,0.720889648,0.465654075,0.831699789,-0.302393287,37.5200882,27.57211685,-0.686594009,1,20238.74399
116.199,11.6199,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,38.23140717,27.6424675,-1.056678772,284.4977112,271.039032,15,20238.79738,0.457946777,0.84072876,-0.306259155,20238.78085,-0.035562788,0.118274979,-0.040436905,20238.78085,1.496585606,0.994614569,-0.9827289,0.040415481,0.037695218,-0.038157236,-0.002923527,0.011934029,0.005812053,-0.590081331,0.026110323,0.362268629,0.721029621,0.465188533,0.832014322,-0.302244544,37.45274353,27.66363144,-0.682291985,1,20238.74399
125.885,12.5885,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,38.23140717,27.6424675,-1.056678772,284.4977112,271.039032,15,20238.80707,0.451705933,0.847671509,-0.310394287,20238.78085,-0.035562788,0.118274979,-0.040436905,20238.78085,1.496585606,0.994614569,-0.9827289,0.040415481,0.037695218,-0.038157236,-0.002923527,0.011934029,0.005812053,-0.590081331,0.026110323,0.362268629,0.721029621,0.465188533,0.832014322,-0.302244544,37.45274353,27.66363144,-0.682291985,1,20238.74399
135.554,13.5554,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,38.23140717,27.6424675,-1.056678772,284.4977112,271.039032,15,20238.81674,0.455947876,0.847763062,-0.312652588,20238.80083,-0.05152977,0.119379924,-0.032948629,20238.80083,1.494786391,0.994036308,-0.983115201,0.024448454,0.038800109,-0.030669654,-0.013038306,0.015442934,-0.008056079,-0.590033271,0.026298964,0.361676412,0.721359326,0.46474424,0.832228601,-0.302338213,37.45274353,27.66363144,-0.682291985,1,20238.74399
145.245,14.5245,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,38.23140717,27.6424675,-1.056678772,284.4977112,271.039032,15,20238.82643,0.461669922,0.839920044,-0.315841675,20238.81083,-0.062198127,0.08652637,-0.036479182,20238.81083,1.493743469,0.993125589,-0.983544616,0.013780138,0.005946458,-0.034201209,-0.008221398,0.015296482,-0.010086433,-0.589944207,0.026129583,0.361442123,0.721555729,0.464169264,0.832466602,-0.302566141,37.41438675,27.71614838,-0.655133247,1,20238.74399
154.934,15.4934,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,38.23140717,27.6424675,-1.056678772,284.4977112,271.039032,15,20238.83612,0.469314575,0.836486816,-0.314834595,20238.8308,-0.091994905,0.06012459,-0.024993767,20238.8308,1.492829234,0.991899088,-0.984110616,-0.016016169,-0.020455597,-0.022716146,-0.001733425,0.007139991,-0.012964273,-0.58982851,0.025760989,0.36130699,0.721731224,0.463403344,0.832780063,-0.302877396,37.41438675,27.71614838,-0.655133247,1,20238.74399
164.616,16.4616,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,37.74246216,27.85200882,-0.989646912,284.6316528,271.1729736,15,20238.8458,0.470779419,0.833404541,-0.313964844,20238.84081,-0.111132114,0.061266554,-0.012166385,20238.84081,1.492916182,0.991693306,-0.984208737,-0.035153091,-0.019313585,-0.00988852,0.006041957,0.003652447,-0.011906561,-0.589812878,0.025627168,0.361370106,0.721717163,0.463272631,0.832834363,-0.30292803,37.37635803,27.76667595,-0.685340881,1,20238.74399
