time(ms),time(ds),locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy
0,0,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,28.78122902,-10.32249451,-26.44165802,302.681427,289.2227478,10,20945.9635,0.245056152,-0.546768188,-0.809997559,20945.95803,-0.394283396,0.184774111,-0.043946952,20945.95803,0.153506474,0.287194493,0.572254871,-0.316448092,0.106293209,-0.039640833,0.020594127,-0.005941039,-0.002435633,0.267985113,0.158300803,0.113074099,0.94357781,0.238133892,-0.541529059,-0.806249678,31.51345253,-6.980267525,-25.81093979,2
9.683,0.9683,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,28.78122902,-10.32249451,-26.44165802,302.681427,289.2227478,10,20945.97318,0.2394104,-0.542373657,-0.798843384,20945.96802,-0.424054608,0.192318048,-0.023579362,20945.96802,0.154388947,0.287854798,0.568895215,-0.346219391,0.11383722,-0.019273248,0.005874775,-0.008066588,-0.002165364,0.266282013,0.158675115,0.113384444,0.943959779,0.239181384,-0.538701594,-0.807832181,31.51345253,-6.980267525,-25.81093979,2
19.34,1.934,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,28.78122902,-10.32249451,-26.44165802,302.681427,289.2227478,10,20945.98284,0.241149902,-0.527313232,-0.792205811,20945.96802,-0.424054608,0.192318048,-0.023579362,20945.96802,0.154388947,0.287854798,0.568895215,-0.346219391,0.11383722,-0.019273248,0.005874775,-0.008066588,-0.002165364,0.266282013,0.158675115,0.113384444,0.943959779,0.239181384,-0.538701594,-0.807832181,31.51345253,-6.980267525,-25.81093979,2
29.047,2.9047,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,28.78122902,-10.32249451,-26.44165802,302.681427,289.2227478,10,20945.99255,0.238418579,-0.518936157,-0.784683228,20945.97801,-0.377091626,0.195518102,-0.023559122,20945.97801,0.15510797,0.288788986,0.566379242,-0.299255461,0.117037833,-0.019252587,0.000828728,0.009266966,0.016699266,0.264976376,0.159169663,0.113701898,0.944205707,0.240321174,-0.536580205,-0.808905065,28.7362957,-9.347846985,-26.91073608,2
38.728,3.8728,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,28.78122902,-10.32249451,-26.44165802,302.681427,289.2227478,10,20946.00223,0.254516602,-0.504074097,-0.785919189,20945.97801,-0.377091626,0.195518102,-0.023559122,20945.97801,0.15510797,0.288788986,0.566379242,-0.299255461,0.117037833,-0.019252587,0.000828728,0.009266966,0.016699266,0.264976376,0.159169663,0.113701898,0.944205707,0.240321174,-0.536580205,-0.808905065,28.7362957,-9.347846985,-26.91073608,2
48.397,4.8397,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,28.85107994,-9.903404236,-26.3075943,302.9850769,289.5263977,10,20946.0119,0.265930176,-0.486907959,-0.795578003,20945.99798,-0.244326388,0.20561601,0.045901712,20945.99798,0.15684956,0.290255275,0.562575119,-0.166490376,0.127135903,0.050208237,0.012427157,0.029292122,0.024582617,0.262945591,0.160027225,0.114495885,0.944532475,0.24208945,-0.533366203,-0.810501814,28.7362957,-9.347846985,-26.91073608,2
58.092,5.8092,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,28.85107994,-9.903404236,-26.3075943,302.9850769,289.5263977,10,20946.02159,0.263397217,-0.477111816,-0.782363892,20946.00799,-0.301731624,0.242964447,0.090063048,20946.00799,0.158473563,0.290942823,0.56085684,-0.223895922,0.16448465,0.09436956,0.023020992,0.045004006,0.015633924,0.261958995,0.160535111,0.115252517,0.944628404,0.242909178,-0.531911969,-0.811211944,28.83081055,-9.190198898,-26.86389923,2
67.745,6.7745,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,28.57168388,-10.11294556,-26.10648346,302.1923523,288.7336731,10,20946.03124,0.260726929,-0.476074219,-0.789489746,20946.02795,-0.479847566,0.363865037,0.12975773,20946.02795,0.162501702,0.295067995,0.55284559,-0.402015835,0.28538996,0.134060398,0.015912436,0.047999229,0.031890169,0.257582845,0.162862052,0.117218325,0.945191459,0.247484788,-0.52511102,-0.814254045,28.83081055,-9.190198898,-26.86389923,2
77.45,7.745,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,28.57168388,-10.11294556,-26.10648346,302.1923523,288.7336731,10,20946.04095,0.238342285,-0.488357544,-0.809890747,20946.02795,-0.479847566,0.363865037,0.12975773,20946.02795,0.162501702,0.295067995,0.55284559,-0.402015835,0.28538996,0.134060398,0.015912436,0.047999229,0.031890169,0.257582845,0.162862052,0.117218325,0.945191459,0.247484788,-0.52511102,-0.814254045,28.83081055,-9.190198898,-26.86389923,2
87.136,8.7136,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,28.85107994,-9.624015808,-25.70427704,301.9077148,288.4490356,10,20946.05063,0.224136353,-0.49168396,-0.81741333,20946.03796,-0.536628824,0.446251256,0.106046542,20946.03796,0.165335715,0.297047506,0.548918938,-0.458797425,0.367776453,0.110349201,-0.011355436,0.033407748,0.005837166,0.255365679,0.164086603,0.11857719,0.945411766,0.249697715,-0.521765292,-0.81572789,28.83081055,-9.190198898,-26.86389923,2
96.819,9.6819,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,28.85107994,-9.624015808,-25.70427704,301.9077148,288.4490356,10,20946.06032,0.200485229,-0.526107788,-0.822555542,20946.04796,-0.556047263,0.514883048,0.081119887,20946.04796,0.167981511,0.29986256,0.544649801,-0.47820124,0.436390549,0.085421517,-0.028512372,0.026434634,-0.000270904,0.252947181,0.165669885,0.119928669,0.945615317,0.252648711,-0.51811862,-0.817142427,29.13909149,-8.835409164,-26.64945221,2
106.472,10.6472,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,28.85107994,-9.624015808,-25.70427704,301.9077148,288.4490356,10,20946.06997,0.227981567,-0.509094238,-0.807998657,20946.05795,-0.578679871,0.548524099,0.049436526,20946.05795,0.1703993,0.303294876,0.540104871,-0.500833929,0.470031679,0.053738154,-0.055667356,-0.011881851,-0.004046203,0.250374306,0.167505334,0.121226964,0.94581113,0.25615257,-0.51422596,-0.81850934,29.13909149,-8.835409164,-26.64945221,2
116.177,11.6177,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,28.85107994,-9.624015808,-25.70427704,301.9077148,288.4490356,10,20946.07968,0.235992432,-0.473175049,-0.775650024,20946.06793,-0.592754944,0.557815336,0.017506023,20946.06793,0.172857355,0.306249361,0.535488803,-0.514909148,0.479321867,0.021808237,-0.031301048,0.001167242,0.012004848,0.247788255,0.169113063,0.122472916,0.946045526,0.259282619,-0.510261476,-0.82000351,29.37211227,-8.609056473,-26.46710587,2
