time(ms),time(ds),locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot
0,0,1478282460,37.35289344,-122.0352152,46.87988,0.82,329.0625,6,10,1478282461,-0.79942131,31.90087128,-24.19644928,44.8418808,31.38320923,10,20504.60903,0.410171509,0.348007202,-0.875213623,20504.60527,-0.193736181,0.034228544,-0.085013162,20504.60027,-2.039704679,0.402855092,-0.411407135,-0.034377515,0.063648403,-0.068860568,0.040873796,-0.052350007,-0.020692075,0.062105994,0.273039762,-0.838597158,0.467276087,0.359333724,0.399899453,-0.843184292,-0.840929985,33.87898254,-26.66231918,2,20501.83445
9.7,0.97,1478282460,37.35289344,-122.0352152,46.87988,0.82,329.0625,6,10,1478282461,-0.79942131,31.90087128,-24.19644928,44.8418808,31.38320923,10,20504.61873,0.398681641,0.353134155,-0.886901855,20504.61526,-0.315392043,-0.205322796,-0.11301417,20504.61027,-2.039947654,0.401720434,-0.413132322,-0.184856474,-0.163202882,-0.095658913,0.05206503,-0.053472884,-0.03225841,0.061200318,0.27345368,-0.838629789,0.46709494,0.358106494,0.401480079,-0.842955232,-0.840929985,33.87898254,-26.66231918,2,20501.83445
19.38,1.938,1478282460,37.35289344,-122.0352152,46.87988,0.82,329.0625,6,10,1478282461,-0.79942131,31.90087128,-24.19644928,44.8418808,31.38320923,10,20504.62841,0.387985229,0.364425659,-0.885131836,20504.61526,-0.315392043,-0.205322796,-0.11301417,20504.62024,-2.039989538,0.398326368,-0.415923099,-0.274453878,-0.392095298,-0.116087757,0.043874238,-0.050900348,-0.043772075,0.059033802,0.273770194,-0.838643786,0.467163237,0.354807407,0.404034495,-0.843129754,-0.840929985,33.87898254,-26.66231918,2,20501.83445
29.058,2.9058,1478282460,37.35289344,-122.0352152,46.87988,0.82,329.0625,6,10,1478282461,-0.79942131,31.90087128,-24.19644928,44.8418808,31.38320923,10,20504.63808,0.365737915,0.385406494,-0.87147522,20504.62524,-0.37723304,-0.397102352,-0.127738788,20504.63023,-2.039930205,0.393279725,-0.419270276,-0.323487818,-0.539357126,-0.125029877,0.037957523,-0.042668384,-0.041476075,0.056011199,0.273924925,-0.838653718,0.467426809,0.35002771,0.407094032,-0.843655765,-0.840929985,33.87898254,-26.66231918,2,20501.83445
38.75,3.875,1478282460,37.35289344,-122.0352152,46.87988,0.82,329.0625,6,10,1478282461,-0.79942131,31.90087128,-24.19644928,44.8418808,31.38320923,10,20504.64778,0.347167969,0.415542603,-0.856262207,20504.64524,-0.417625471,-0.476406762,-0.110377375,20504.65024,-2.039357784,0.382407445,-0.426359645,-0.325438201,-0.512639046,-0.090597861,0.025988674,-0.028152594,-0.026762646,0.049471517,0.274219405,-0.83853433,0.468205579,0.339749247,0.413559079,-0.844712555,-1.192730904,34.06441116,-26.41146088,2,20501.83445
48.424,4.8424,1478282460,37.35289344,-122.0352152,46.87988,0.82,329.0625,6,10,1478282461,-0.79942131,31.90087128,-24.19644928,44.8418808,31.38320923,10,20504.65745,0.329727173,0.43069458,-0.858978271,20504.65523,-0.3822776,-0.377674592,-0.076297967,20504.66023,-2.038850449,0.378366055,-0.429267925,-0.270904392,-0.394853026,-0.058466822,0.011281024,-0.000662657,-0.011304728,0.046927109,0.274443267,-0.83839539,0.468585008,0.335886955,0.416205257,-0.844957471,-1.192730904,34.06441116,-26.41146088,2,20501.83445
58.108,5.8108,1478282460,37.35289344,-122.0352152,46.87988,0.82,329.0625,6,10,1478282461,-0.485105515,31.72625351,-24.43108368,44.34770203,30.88902855,10,20504.66713,0.321060181,0.423187256,-0.846496582,20504.66523,-0.301177154,-0.247300074,-0.062195997,20504.66023,-2.038850449,0.378366055,-0.429267925,-0.270904392,-0.394853026,-0.058466822,0.011281024,-0.000662657,-0.011304728,0.046927109,0.274443267,-0.83839539,0.468585008,0.335886955,0.416205257,-0.844957471,-1.192730904,34.06441116,-26.41146088,2,20501.83445
67.795,6.7795,1478282460,37.35289344,-122.0352152,46.87988,0.82,329.0625,6,10,1478282461,-0.79942131,31.48178482,-24.66570282,45.1084671,31.64979553,10,20504.67682,0.303100586,0.419647217,-0.840011597,20504.67522,-0.19340222,-0.120104304,-0.050267965,20504.67022,-2.038633718,0.375533134,-0.431281333,-0.166383326,-0.259241372,-0.053926434,-0.012123697,0.005152108,-0.001372261,0.045169427,0.274586165,-0.838326548,0.468797141,0.333183885,0.41803515,-0.845124304,-1.693422318,34.31308746,-26.05986404,2,20501.83445
77.475,7.7475,1478282460,37.35289344,-122.0352152,46.87988,0.82,329.0625,6,10,1478282461,-0.79942131,31.48178482,-24.66570282,45.1084671,31.64979553,10,20504.6865,0.302352905,0.417053223,-0.829223633,20504.68521,-0.120737071,-0.008685634,-0.021408353,20504.69021,-2.038600701,0.373212854,-0.432623004,-0.023185577,-0.039581574,0.003761357,-0.027916677,0.00039363,0.005360512,0.043832213,0.27457728,-0.838314017,0.468951665,0.331017256,0.419253588,-0.845372081,-1.693422318,34.31308746,-26.05986404,2,20501.83445
87.156,8.7156,1478282460,37.35289344,-122.0352152,46.87988,0.82,329.0625,6,10,1478282461,-0.79942131,31.48178482,-24.66570282,45.1084671,31.64979553,10,20504.69618,0.305236816,0.415893555,-0.811325073,20504.68521,-0.120737071,-0.008685634,-0.021408353,20504.69021,-2.038600701,0.373212854,-0.432623004,-0.023185577,-0.039581574,0.003761357,-0.027916677,0.00039363,0.005360512,0.043832213,0.27457728,-0.838314017,0.468951665,0.331017256,0.419253588,-0.845372081,-1.693422318,34.31308746,-26.05986404,2,20501.83445
