time(ms),time(ds),locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy
0,0,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,28.11752892,1.167655945,-26.27451324,243.3145752,229.855896,10,20441.60992,0.310348511,0.508651733,-0.774429321,20441.59595,-0.356868646,-0.083049347,0.107081446,20441.59094,0.49726898,0.367113419,-0.57038385,-0.236112326,-0.086713605,0.107869118,0.065465972,-0.042671237,0.018244939,-0.311211441,0.101699157,0.182400393,0.927111006,0.302102983,0.539955199,-0.785609424,27.92029572,3.37264061,-24.97132874,2
9.6840001,0.96840001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,28.11752892,1.167655945,-26.27451324,243.3145752,229.855896,10,20441.61961,0.292312622,0.525054932,-0.772155762,20441.60594,-0.446367637,-0.221736923,0.115317272,20441.60094,0.499803055,0.366475685,-0.572764389,-0.319196045,-0.240221888,0.11595419,0.00920803,-0.033305593,0.010170365,-0.312354369,0.100672264,0.183390978,0.926643185,0.301140487,0.541957319,-0.784599662,27.92029572,3.37264061,-24.97132874,2
19.3680001,1.93680001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,28.11752892,1.167655945,-26.27451324,243.3145752,229.855896,10,20441.62929,0.279754639,0.532958984,-0.780059814,20441.61591,-0.549966467,-0.258957262,0.100023004,20441.62091,0.505940472,0.363309346,-0.580330381,-0.522130728,-0.331625432,0.081991151,-0.004876337,-0.023245327,0.009538263,-0.315771656,0.097166089,0.185829353,0.925372608,0.297188967,0.548300266,-0.781694055,27.83340073,3.47248745,-25.05451393,2
29.0700001,2.90700001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,28.11752892,1.167655945,-26.27451324,243.3145752,229.855896,10,20441.63899,0.286300659,0.542434692,-0.77494812,20441.62592,-0.641000238,-0.244533582,0.051082359,20441.62091,0.505940472,0.363309346,-0.580330381,-0.522130728,-0.331625432,0.081991151,-0.004876337,-0.023245327,0.009538263,-0.315771656,0.097166089,0.185829353,0.925372608,0.297188967,0.548300266,-0.781694055,27.83340073,3.47248745,-25.05451393,2
38.7540001,3.87540001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,28.01275444,1.412124634,-26.50913239,242.9421082,229.4834442,10,20441.64868,0.28868103,0.557403564,-0.77482605,20441.63591,-0.672418082,-0.206954781,-0.02112739,20441.63092,0.508816733,0.3617295,-0.585565586,-0.587616801,-0.309853762,0.02244206,-0.008633087,-0.010236138,0.00451903,-0.318115987,0.095229424,0.186786754,0.924577895,0.294933736,0.552670836,-0.779467165,27.83340073,3.47248745,-25.05451393,2
48.4380001,4.84380001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,28.01275444,1.412124634,-26.50913239,242.9421082,229.4834442,10,20441.65836,0.288528442,0.56817627,-0.779281616,20441.64591,-0.631249073,-0.140719301,-0.088796981,20441.6509,0.512082373,0.358818958,-0.596491757,-0.508446813,-0.189000949,-0.108742863,-0.001844813,-0.004339962,-0.000204242,-0.322899536,0.091787723,0.187460464,0.923130261,0.290525854,0.561743498,-0.774621785,27.59828568,3.819357872,-25.26325607,2
58.1180001,5.81180001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,28.01275444,1.412124634,-26.50913239,242.9421082,229.4834442,10,20441.66804,0.2862854,0.58203125,-0.783447266,20441.6559,-0.532254582,-0.083768667,-0.126682312,20441.6509,0.512082373,0.358818958,-0.596491757,-0.508446813,-0.189000949,-0.108742863,-0.001844813,-0.004339962,-0.000204242,-0.322899536,0.091787723,0.187460464,0.923130261,0.290525854,0.561743498,-0.774621785,27.59828568,3.819357872,-25.26325607,2
67.7750001,6.77750001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,28.01275444,1.412124634,-26.50913239,242.9421082,229.4834442,10,20441.6777,0.286651611,0.585968018,-0.787643433,20441.66589,-0.409566479,-0.035030156,-0.130493562,20441.6609,0.512463748,0.357525687,-0.600893542,-0.393321037,-0.139315099,-0.127488881,-0.002370271,0.01665153,-0.010774194,-0.324768323,0.090493096,0.187321659,0.92263055,0.288655668,0.565379739,-0.77267307,27.59828568,3.819357872,-25.26325607,2
77.4880001,7.74880001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,27.90798378,1.796295166,-26.60967255,242.9027405,229.4440613,10,20441.68741,0.289199829,0.579681396,-0.782714844,20441.67586,-0.294222309,0.005380384,-0.114102604,20441.68085,0.511967582,0.355552974,-0.606301433,-0.165860593,-0.058526356,-0.098976821,0.000589303,0.016135992,-0.017280001,-0.326983423,0.088882645,0.186771016,0.922116209,0.2860623,0.569832027,-0.77036345,27.44949722,4.261823654,-25.35442543,2
87.1440001,8.71440001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,27.90798378,1.796295166,-26.60967255,242.9027405,229.4440613,10,20441.69707,0.287002563,0.574447632,-0.774658203,20441.68588,-0.195908521,0.041600973,-0.090276367,20441.68085,0.511967582,0.355552974,-0.606301433,-0.165860593,-0.058526356,-0.098976821,0.000589303,0.016135992,-0.017280001,-0.326983423,0.088882645,0.186771016,0.922116209,0.2860623,0.569832027,-0.77036345,27.44949722,4.261823654,-25.35442543,2
96.8550001,9.68550001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,27.90798378,1.796295166,-26.60967255,242.9027405,229.4440613,10,20441.70678,0.28163147,0.570388794,-0.766433716,20441.69587,-0.108267885,0.102193481,-0.062999472,20441.69087,0.511465278,0.355037907,-0.607470232,-0.072881699,-0.008527325,-0.072875455,0.001568802,0.003655522,-0.004772539,-0.327436322,0.088558585,0.186484858,0.922044592,0.285433769,0.570792139,-0.769885659,27.44949722,4.261823654,-25.35442543,2
106.5400001,10.65400001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,27.90798378,1.93598938,-27.01189423,242.5532227,229.0945435,10,20441.71646,0.275146484,0.561798096,-0.763778687,20441.69587,-0.108267885,0.102193481,-0.062999472,20441.70087,0.510933461,0.355142809,-0.607759424,0.006227612,0.05842977,-0.043397203,-0.003825642,-0.000640746,0.003267201,-0.327551996,0.088652304,0.186188159,0.92205446,0.285457104,0.571029544,-0.769700944,27.4063015,4.447554588,-25.36924934,2
116.2140001,11.62140001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,27.66351128,2.250312805,-26.97837067,242.5727234,229.1140442,10,20441.72614,0.277374268,0.561981201,-0.764953613,20441.71585,0.01795157,0.214921627,-0.003180347,20441.71086,0.510459152,0.355901951,-0.607284857,0.073607638,0.117976531,-0.012922921,-0.010989249,-0.008841794,0.005959229,-0.327389074,0.089148396,0.185901566,0.922122316,0.286135733,0.570639908,-0.769737899,27.4063015,4.447554588,-25.36924934,2
125.9050001,12.59050001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,27.66351128,2.250312805,-26.97837067,242.5727234,229.1140442,10,20441.73583,0.2865448,0.571624756,-0.758407593,20441.72584,0.026570625,0.227740487,0.011892612,20441.72085,0.510107336,0.357108856,-0.60632228,0.104688093,0.145700544,0.011902521,-0.009882136,-0.007867956,0.004952678,-0.327054475,0.089901197,0.185656406,0.922217352,0.28725639,0.569849133,-0.769906282,27.4063015,4.447554588,-25.36924934,2
135.5860001,13.55860001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,27.66351128,2.250312805,-26.97837067,242.5727234,229.1140442,10,20441.74551,0.284591675,0.57510376,-0.751159668,20441.72584,0.026570625,0.227740487,0.011892612,20441.73084,0.509860334,0.358434576,-0.605332657,0.095101357,0.14466019,0.01509724,-0.001929724,0.0025891,0.011644919,-0.326723221,0.090695537,0.185443779,0.922299767,0.28847453,0.569035649,-0.770052493,27.49305344,4.400891304,-25.28337669,2
145.2460001,14.52460001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,27.66351128,2.250312805,-26.97837067,242.5727234,229.1140442,10,20441.75517,0.279525757,0.576965332,-0.746353149,20441.73584,0.003059173,0.214975956,0.005364672,20441.74083,0.509629011,0.359572941,-0.604628858,0.064102881,0.118095778,0.004162031,-0.004900113,0.006646988,0.01893864,-0.326503056,0.091359731,0.185235242,0.922354085,0.289491773,0.568456769,-0.770098329,27.49305344,4.400891304,-25.28337669,2
154.9500001,15.49500001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,27.66351128,2.250312805,-26.97837067,242.5727234,229.1140442,10,20441.76487,0.276473999,0.583221436,-0.753952026,20441.73584,0.003059173,0.214975956,0.005364672,20441.74083,0.509629011,0.359572941,-0.604628858,0.064102881,0.118095778,0.004162031,-0.004900113,0.006646988,0.01893864,-0.326503056,0.091359731,0.185235242,0.922354085,0.289491773,0.568456769,-0.770098329,27.49305344,4.400891304,-25.28337669,2
164.6320001,16.46320001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,27.38411903,2.320159912,-26.71022797,242.5561523,229.0974731,10,20441.77455,0.278991699,0.583221436,-0.767974854,20441.75581,-0.065194183,0.152483816,0.006888532,20441.76082,0.509584378,0.361126746,-0.606440408,-0.00519786,0.072591819,0.012260185,-0.013849691,0.013275211,0.01473091,-0.32745565,0.091822269,0.184743729,0.92206899,0.290323675,0.569946229,-0.768682957,27.5715847,4.428265572,-25.19291878,2
174.3140001,17.43140001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,27.38411903,2.320159912,-26.71022797,242.5561523,229.0974731,10,20441.78424,0.286972046,0.574356079,-0.785293579,20441.76581,-0.100398244,0.151430535,0.010089652,20441.77081,0.509847775,0.361975477,-0.60668201,-0.038302593,0.067258097,0.009012177,-0.011935519,0.013076708,0.0003326,-0.327654263,0.092135536,0.18469715,0.921976512,0.290927231,0.570144713,-0.768307447,27.5715847,4.428265572,-25.19291878,2
183.9940001,18.39940001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,27.38411903,2.320159912,-26.71022797,242.5561523,229.0974731,10,20441.79392,0.292892456,0.566116333,-0.7915802,20441.76581,-0.100398244,0.151430535,0.010089652,20441.77081,0.509847775,0.361975477,-0.60668201,-0.038302593,0.067258097,0.009012177,-0.011935519,0.013076708,0.0003326,-0.327654263,0.092135536,0.18469715,0.921976512,0.290927231,0.570144713,-0.768307447,27.5715847,4.428265572,-25.19291878,2
193.6470001,19.36470001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,27.69843483,2.215385437,-26.27449799,243.1265564,229.6678772,10,20441.80357,0.294311523,0.559860229,-0.775772095,20441.78578,-0.162614747,0.067300744,-0.052660815,20441.79079,0.509645225,0.361927044,-0.608389345,-0.094195582,-0.054060187,-0.07226298,0.002347542,-0.005430215,-0.024170142,-0.328404283,0.091899937,0.184406522,0.921791334,0.290544927,0.571546555,-0.76741004,27.60580063,4.469540596,-25.14812279,2
203.3580001,20.33580001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,27.9428997,2.250312805,-26.24097443,243.6142578,230.1555786,10,20441.81328,0.293075562,0.559356689,-0.766876221,20441.79579,-0.178834197,-0.012447082,-0.098297542,20441.80078,0.508944701,0.360539617,-0.608283554,-0.101844035,-0.112572089,-0.110213704,0.004810284,-0.011599506,-0.007903093,-0.328196957,0.091390681,0.184324075,0.921932284,0.28950125,0.571459711,-0.767868996,27.60580063,4.469540596,-25.14812279,2
213.0380001,21.30380001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,27.9428997,2.250312805,-26.24097443,243.6142578,230.1555786,10,20441.82296,0.287628174,0.564987183,-0.764038086,20441.79579,-0.178834197,-0.012447082,-0.098297542,20441.80078,0.508944701,0.360539617,-0.608283554,-0.101844035,-0.112572089,-0.110213704,0.004810284,-0.011599506,-0.007903093,-0.328196957,0.091390681,0.184324075,0.921932284,0.28950125,0.571459711,-0.767868996,27.60580063,4.469540596,-25.14812279,2
222.6980001,22.26980001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,27.9428997,2.250312805,-26.24097443,243.6142578,230.1555786,10,20441.83262,0.291809082,0.562744141,-0.765945435,20441.81575,-0.172583225,-0.029586654,-0.126228776,20441.82077,0.507229968,0.357622788,-0.610027707,-0.094407983,-0.088236816,-0.113172159,0.000717241,-0.007902987,0.003737252,-0.328631279,0.090076709,0.183804103,0.922010694,0.286910921,0.572890162,-0.767775357,27.52663803,4.551423073,-25.22010422,2
232.3990001,23.23990001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,27.9428997,2.250312805,-26.24097443,243.6142578,230.1555786,10,20441.84232,0.289093018,0.564529419,-0.773117065,20441.82576,-0.170373334,0.015018364,-0.107631655,20441.83076,0.506800012,0.357186747,-0.610529224,-0.087902628,-0.042538855,-0.090293474,0.005333451,-0.010557017,0.001685659,-0.328796368,0.089874365,0.18361781,0.922008702,0.286475629,0.573301136,-0.767631114,27.52663803,4.551423073,-25.22010422,2
242.0830001,24.20830001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,27.9428997,2.250312805,-26.24097443,243.6142578,230.1555786,10,20441.85201,0.290313721,0.564620972,-0.770172119,20441.82576,-0.170373334,0.015018364,-0.107631655,20441.83076,0.506800012,0.357186747,-0.610529224,-0.087902628,-0.042538855,-0.090293474,0.005333451,-0.010557017,0.001685659,-0.328796368,0.089874365,0.18361781,0.922008702,0.286475629,0.573301136,-0.767631114,27.52663803,4.551423073,-25.22010422,2
251.7410001,25.17410001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,27.9428997,2.669395447,-26.17394257,244.1686401,230.7099609,10,20441.86166,0.289031982,0.565505981,-0.771102905,20441.84574,-0.151925617,0.089581016,-0.047101466,20441.85074,0.506309343,0.356903149,-0.611461701,-0.06513802,0.022542484,-0.023453403,0.004242696,-0.009443956,-0.002961048,-0.329165709,0.089690584,0.183327245,0.921952633,0.286071032,0.57406491,-0.76721108,27.50037766,4.627563477,-25.2348938,2
261.4500001,26.14500001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,27.9428997,2.669395447,-26.17394257,244.1686401,230.7099609,10,20441.87137,0.28112793,0.557662964,-0.763595581,20441.85574,-0.134645963,0.102550877,-0.011745073,20441.86073,0.506585383,0.357360441,-0.611246234,-0.044675656,0.020651491,0.006415573,0.002566887,-0.008382507,-0.003906873,-0.329123589,0.089886858,0.183404894,0.921933111,0.286465108,0.573888481,-0.767196059,27.50037766,4.627563477,-25.2348938,2
271.1170001,27.11170001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,27.9428997,2.669395447,-26.17394257,244.1686401,230.7099609,10,20441.88104,0.2837677,0.555969238,-0.756088257,20441.85574,-0.134645963,0.102550877,-0.011745073,20441.86073,0.506585383,0.357360441,-0.611246234,-0.044675656,0.020651491,0.006415573,0.002566887,-0.008382507,-0.003906873,-0.329123589,0.089886858,0.183404894,0.921933111,0.286465108,0.573888481,-0.767196059,27.50037766,4.627563477,-25.2348938,2
280.8100001,28.08100001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,28.04767418,2.774177551,-26.34152985,244.1691895,230.7105103,10,20441.89073,0.295440674,0.554626465,-0.740066528,20441.87572,-0.115287445,0.104855843,0.012827648,20441.88072,0.50706512,0.357908824,-0.611125614,-0.037180673,0.034458678,0.011890793,-0.003142317,-0.017820466,0.011015397,-0.329141499,0.090078003,0.183550164,0.921879148,0.286910027,0.573789716,-0.767103672,27.51581955,4.614025116,-25.22053337,2
290.5000001,29.05000001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,28.04767418,2.774177551,-26.34152985,244.1691895,230.7105103,10,20441.90042,0.304718018,0.552154541,-0.737075806,20441.88572,-0.110063122,0.118500282,-0.00411778,20441.89071,0.507898027,0.359750944,-0.611230241,-0.025609901,0.048039455,-0.014663276,0.007139182,-0.019248925,0.026451107,-0.329395061,0.090774864,0.183618267,0.921706651,0.288301498,0.573875368,-0.766517639,27.51581955,4.614025116,-25.22053337,2
300.1540001,30.01540001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,28.04767418,2.774177551,-26.34152985,244.1691895,230.7105103,10,20441.91008,0.301147461,0.549865723,-0.735961914,20441.9057,-0.104980212,0.124554979,-0.045693985,20441.9007,0.508714303,0.362003749,-0.611190498,-0.018280471,0.04999442,-0.038129639,0.014682367,-0.021688303,0.028811727,-0.329621355,0.09168422,0.183628027,0.921533784,0.290035665,0.573842824,-0.765887558,27.51581955,4.614025116,-25.22053337,2
309.8640001,30.98640001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,28.04767418,2.774177551,-26.34152985,244.1691895,230.7105103,10,20441.91979,0.295837402,0.553787231,-0.738739014,20441.9057,-0.104980212,0.124554979,-0.045693985,20441.9007,0.508714303,0.362003749,-0.611190498,-0.018280471,0.04999442,-0.038129639,0.014682367,-0.021688303,0.028811727,-0.329621355,0.09168422,0.183628027,0.921533784,0.290035665,0.573842824,-0.765887558,27.51581955,4.614025116,-25.22053337,2
319.5470001,31.95470001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,28.25721931,2.774177551,-26.81076813,243.8067932,230.348114,10,20441.92947,0.29524231,0.555633545,-0.747146606,20441.91567,-0.136935749,0.112960907,-0.036194223,20441.92067,0.509249886,0.364073256,-0.612035571,-0.080095075,0.035242449,-0.024381498,0.004390148,-0.020747492,0.026093222,-0.330213681,0.092427306,0.183431494,0.921286603,0.291447252,0.574534714,-0.764832258,27.61027527,4.605239868,-25.11870575,2
329.2300001,32.92300001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,28.25721931,2.774177551,-26.81076813,243.8067932,230.348114,10,20441.93915,0.286651611,0.554168701,-0.764022827,20441.92568,-0.183816438,0.110920127,-0.022324214,20441.92067,0.509249886,0.364073256,-0.612035571,-0.080095075,0.035242449,-0.024381498,0.004390148,-0.020747492,0.026093222,-0.330213681,0.092427306,0.183431494,0.921286603,0.291447252,0.574534714,-0.764832258,27.61027527,4.605239868,-25.11870575,2
338.9130001,33.89130001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,28.11752129,3.123420715,-27.01187897,243.582489,230.1238251,10,20441.94884,0.283233643,0.549636841,-0.77192688,20441.93567,-0.230716303,0.091898765,-0.013962954,20441.93068,0.509783967,0.364905344,-0.611998589,-0.129116133,0.026832569,-0.012708439,-0.005439532,-0.020335753,0.000586482,-0.330298216,0.092727739,0.183544576,0.921203584,0.292091131,0.574504435,-0.764609337,27.61027527,4.605239868,-25.11870575,2
348.5840001,34.85840001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,28.11752129,3.123420715,-27.01187897,243.582489,230.1238251,10,20441.95851,0.285842896,0.549133301,-0.778808594,20441.94567,-0.254169431,0.061187458,-0.01319836,20441.95066,0.510635815,0.364734851,-0.614053984,-0.178160667,-0.034600127,-0.012245898,-0.008305314,-0.026548743,-0.008372553,-0.331240112,0.092210763,0.183716131,0.920883026,0.291538954,0.576185584,-0.763554335,27.6668396,4.62843132,-25.05211639,2
358.2590001,35.82590001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,27.83812904,3.123420715,-27.01187897,243.1844788,229.7257996,10,20441.96818,0.289916992,0.549301147,-0.770751953,20441.95566,-0.253126005,0.025124528,-0.022102107,20441.95066,0.510635815,0.364734851,-0.614053984,-0.178160667,-0.034600127,-0.012245898,-0.008305314,-0.026548743,-0.008372553,-0.331240112,0.092210763,0.183716131,0.920883026,0.291538954,0.576185584,-0.763554335,27.6668396,4.62843132,-25.05211639,2
367.9330001,36.79330001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,27.83812904,3.123420715,-27.01187897,243.1844788,229.7257996,10,20441.97786,0.291824341,0.546417236,-0.768188477,20441.96565,-0.232971734,-0.002573679,-0.046940345,20441.96065,0.510627503,0.363552179,-0.613173601,-0.165415242,-0.069654085,-0.028613724,-0.000898995,-0.026164658,-0.006379553,-0.330737761,0.091795059,0.184014569,0.921045514,0.290815979,0.575465798,-0.764372408,27.63171577,4.647346497,-25.08735657,2
377.6440001,37.76440001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,27.83812904,3.123420715,-27.01187897,243.1844788,229.7257996,10,20441.98757,0.292999268,0.550186157,-0.759811401,20441.96565,-0.232971734,-0.002573679,-0.046940345,20441.97065,0.510697228,0.362732143,-0.61354396,-0.142081574,-0.088902973,-0.056569241,0.001710908,-0.029351419,-0.003777166,-0.330830937,0.091352262,0.184137573,0.921031492,0.290113419,0.57576865,-0.76441133,27.63171577,4.647346497,-25.08735657,2
387.3090001,38.73090001,1478282397,37.35297047,-122.0348353,54.57001,1.55,151.875,6,10,1478282398,27.83812904,3.123420715,-27.01187897,243.1844788,229.7257996,10,20441.99723,0.289840698,0.552536011,-0.744018555,20441.98563,-0.171221018,-0.021811023,-0.075974393,20441.98064,0.510566906,0.361857657,-0.614070948,-0.109060802,-0.097449794,-0.069473527,0.003661868,-0.026013291,0.004569436,-0.330979923,0.090894838,0.184158684,0.921019,0.289337397,0.576199472,-0.764380813,27.63171577,4.647346497,-25.08735657,2
