time (ms),time (ds),locationTimestamp_since1970,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,altimeterRelativeAltitude,altimeterPressure
0,0,1478109661,0.177780151,-0.259429932,-0.953521729,-0.865575824,-0.608680647,-0.068890651,-0.056958373,0.206425319,0.310350335,-0.790405512,-0.680557787,-0.062222447,-0.006877226,0.019350994,0.026767796,0.097372742,-0.012066395,0.982781644,0.195170686,-0.305392265,-0.93201071,27.0194912,-17.03863144,-26.24793625,-0.344614,101.4225
9.688,0.9688,1478109661,0.197601318,-0.258666992,-0.991012573,-0.865575824,-0.608680647,-0.068890651,-0.056958373,0.206425319,0.310350335,-0.790405512,-0.680557787,-0.062222447,-0.006877226,0.019350994,0.026767796,0.097372742,-0.012066395,0.982781644,0.195170686,-0.305392265,-0.93201071,27.0194912,-17.03863144,-26.24793625,-0.344614,101.4225
19.382,1.9382,1478109661,0.191009521,-0.260604858,-1.027603149,-0.874116581,-0.682875516,-0.079243157,-0.055979921,0.198770119,0.302323103,-0.798946559,-0.754752457,-0.072574966,0.009093003,0.039071761,-0.055162024,0.093858104,-0.012595072,0.983751309,0.188508317,-0.297738761,-0.935850561,27.0194912,-17.03863144,-26.24793625,-0.344614,101.4225
29.047,2.9047,1478109661,0.144699097,-0.327865601,-0.99798584,-0.76700877,-0.772463456,-0.029995183,-0.054277225,0.181866266,0.287787777,-0.691838861,-0.844340205,-0.02332701,0.017582394,0.02322682,-0.084542915,0.085961222,-0.013727032,0.985566683,0.17342712,-0.283831686,-0.943060219,26.56771088,-16.47508621,-27.056427,-0.344614,101.4225
38.723,3.8723,1478109661,0.113265991,-0.319259644,-1.004333496,-0.632205414,-0.659676986,0.037295441,-0.052898749,0.173830999,0.28195882,-0.557035506,-0.731553733,0.043963615,-0.021428101,-0.049627949,-0.051949073,0.082212816,-0.013891965,0.986319115,0.16612719,-0.278237641,-0.946036756,26.56771088,-16.47508621,-27.056427,-0.344614,101.4225
48.402,4.8402,1478109661,0.105865479,-0.301208496,-1.019042969,-0.632205414,-0.659676986,0.037295441,-0.052898749,0.173830999,0.28195882,-0.557035506,-0.731553733,0.043963615,-0.021428101,-0.049627949,-0.051949073,0.082212816,-0.013891965,0.986319115,0.16612719,-0.278237641,-0.946036756,26.56771088,-16.47508621,-27.056427,-0.344614,101.4225
58.101,5.8101,1478109661,0.107833862,-0.296569824,-1.031524658,-0.268273266,-0.490811534,0.22999938,-0.048508688,0.160371008,0.275984786,-0.19310376,-0.562688231,0.236667633,-0.047776099,-0.028713908,-0.06923195,0.075989596,-0.012929396,0.987288377,0.153641582,-0.272494584,-0.949811041,25.9214859,-15.94787216,-27.98328209,-0.344614,101.4225
67.775,6.7775,1478109661,0.114334106,-0.294372559,-1.05632019,-0.131921549,-0.532179747,0.356591145,-0.044979238,0.153579356,0.275643527,-0.056752272,-0.60405618,0.363259375,-0.03936765,-0.024403596,-0.080600232,0.072887192,-0.01167206,0.987585933,0.147201508,-0.272166222,-0.950924397,25.9214859,-15.94787216,-27.98328209,-0.344614,101.4225
77.459,7.7459,1478109661,0.115219116,-0.282043457,-1.062347412,-0.131921549,-0.532179747,0.356591145,-0.044979238,0.153579356,0.275643527,-0.056752272,-0.60405618,0.363259375,-0.03936765,-0.024403596,-0.080600232,0.072887192,-0.01167206,0.987585933,0.147201508,-0.272166222,-0.950924397,25.9214859,-15.94787216,-27.98328209,-0.344614,101.4225
87.124,8.7124,1478109661,0.113601685,-0.269195557,-1.044128418,-0.057418019,-0.687968013,0.477777225,-0.040302088,0.145150925,0.276357794,0.017751029,-0.759844244,0.484445423,-0.023934308,-0.009189996,-0.110408701,0.069037936,-0.009919372,0.987861813,0.139153421,-0.272853464,-0.951938689,25.27963448,-16.011446,-28.52885818,-0.344614,101.4225
96.815,9.6815,1478109661,0.098968506,-0.222564697,-1.00920105,-0.032311068,-0.883352957,0.544130682,-0.034814588,0.134583045,0.277489497,0.042857904,-0.955229104,0.550798893,-0.015442668,0.004746491,-0.091078937,0.064182643,-0.007902141,0.988161068,0.129044354,-0.273942053,-0.953049481,25.27963448,-16.011446,-28.52885818,-0.344614,101.4225
