time (ms),time (ds),x_accel,y_accel,z_accel,g_measured,TimeInterval
0,0,-0.144547,-0.987961,-0.13092,1.007026,4006.243673
29.549,2.9549,-0.109482,-0.974564,-0.157623,0.99328,4006.273222
59.094,5.9094,-0.121277,-0.976593,-0.148758,0.995274,4006.302767
88.643,8.8643,-0.120728,-0.977127,-0.154724,0.99664,4006.332316
118.19,11.819,-0.131989,-0.975082,-0.153976,0.995949,4006.361863
147.739,14.7739,-0.106171,-0.964951,-0.163223,0.9844,4006.391412
177.289,17.7289,-0.123444,-0.954636,-0.16214,0.976144,4006.420962
206.838,20.6838,-0.137238,-0.968964,-0.152664,0.99047,4006.450511
236.387,23.6387,-0.126694,-0.963867,-0.164551,0.985986,4006.48006
265.935,26.5935,-0.120361,-0.975998,-0.182831,1.000243,4006.509608
295.483,29.5483,-0.082825,-0.981064,-0.175949,1.000152,4006.539156
325.033,32.5033,-0.115585,-0.970383,-0.172958,0.99243,4006.568706
354.584,35.4584,-0.124069,-0.9711,-0.143707,0.989485,4006.598257
384.135,38.4135,-0.112198,-0.970139,-0.144852,0.987289,4006.627808
413.685,41.3685,-0.106674,-0.97934,-0.170486,0.999776,4006.657358
443.233,44.3233,-0.106857,-0.974182,-0.176971,0.995876,4006.686906
472.782,47.2782,-0.11763,-0.965546,-0.1772,0.988694,4006.716455
502.33,50.233,-0.120789,-0.96907,-0.173187,0.991807,4006.746003
531.88,53.188,-0.123459,-0.965668,-0.148987,0.984862,4006.775553
561.427,56.1427,-0.122665,-0.968597,-0.159424,0.989264,4006.8051
590.972,59.0972,-0.134995,-0.969925,-0.136307,0.988715,4006.834645
620.452,62.0452,-0.156372,-0.962341,-0.151352,0.986641,4006.864125
650.001,65.0001,-0.13356,-0.95961,-0.175217,0.984576,4006.893674
679.546,67.9546,-0.127136,-0.970474,-0.189362,0.996916,4006.923219
709.094,70.9094,-0.134506,-0.982941,-0.178619,1.008052,4006.952767
738.64,73.864,-0.135284,-0.973587,-0.144897,0.993564,4006.982313
768.187,76.8187,-0.122574,-0.977707,-0.143372,0.995736,4007.01186
797.729,79.7729,-0.115738,-0.972595,-0.080734,0.982779,4007.041402
827.283,82.7283,-0.117065,-1.001328,-0.133606,1.016962,4007.070956
856.829,85.6829,-0.120621,-0.958908,-0.171188,0.981509,4007.100502
886.379,88.6379,-0.183426,-0.951492,-0.208282,0.991143,4007.130052
915.925,91.5925,-0.221268,-0.934952,-0.209625,0.98338,4007.159598
945.474,94.5474,-0.126724,-0.957642,-0.160538,0.979239,4007.189147
975.018,97.5018,-0.062195,-0.983566,-0.085114,0.989199,4007.218691
1004.575,100.4575,-0.096191,-0.974792,-0.045624,0.980589,4007.248248
1034.124,103.4124,-0.123962,-0.970871,-0.089554,0.982841,4007.277797
1063.668,106.3668,-0.136871,-0.988174,-0.0849,1.001215,4007.307341
1093.214,109.3214,-0.123245,-0.985138,-0.059967,0.994627,4007.336887
1122.76,112.276,-0.102905,-0.990433,-0.023178,0.996034,4007.366433
1152.3,115.23,-0.046234,-0.99025,-0.051193,0.992649,4007.395973
1181.848,118.1848,-0.056412,-0.980255,0.029648,0.982324,4007.425521
1211.393,121.1393,-0.054489,-0.982834,-0.034164,0.984936,4007.455066
1240.938,124.0938,-0.011551,-1.022888,-0.001038,1.022954,4007.484611
1270.486,127.0486,0.016998,-0.992462,0.04805,0.99377,4007.514159
1300.032,130.0032,-0.001114,-0.996307,0.020721,0.996523,4007.543705
1329.574,132.9574,-0.115982,-0.972351,0.002304,0.979247,4007.573247
1359.126,135.9126,-0.134171,-0.957901,0.007401,0.96728,4007.602799
1388.674,138.8674,-0.122894,-1.021118,-0.025497,1.028803,4007.632347
1418.224,141.8224,-0.055298,-1.00412,-0.036438,1.006301,4007.661897
1447.776,144.7776,-0.088715,-0.978897,-0.020844,0.98313,4007.691449
1477.324,147.7324,-0.139603,-0.954514,0.04097,0.965538,4007.720997
1506.872,150.6872,-0.120529,-0.999527,-0.033142,1.007313,4007.750545
1536.427,153.6427,-0.093399,-0.926788,-0.052643,0.932969,4007.7801
1565.975,156.5975,-0.254318,-1.073547,-0.106049,1.108345,4007.809648
1595.523,159.5523,-0.099777,-0.920822,0.060287,0.928172,4007.839196
1625.073,162.5073,-0.047531,-0.944778,0.096451,0.950878,4007.868746
1654.624,165.4624,0.004639,-0.968521,0.193802,0.987732,4007.898297
1684.152,168.4152,0.005615,-0.960709,0.278778,1.000355,4007.927825
1713.717,171.3717,0.008667,-0.940643,0.402771,1.023284,4007.95739
1743.265,174.3265,0.054108,-1.120926,0.231201,1.1458,4007.986938
1772.814,177.2814,-0.109497,-1.04483,0.054474,1.051964,4008.016487
1802.361,180.2361,-0.192474,-0.855316,0.041672,0.877695,4008.046034
1831.908,183.1908,-0.121994,-0.952393,0.036926,0.960884,4008.075581
1861.454,186.1454,-0.123535,-0.88269,0.044617,0.892409,4008.105127
1891.008,189.1008,-0.15892,-0.920944,0.179794,0.951693,4008.134681
1920.557,192.0557,-0.1483,-0.876419,0.262711,0.926887,4008.16423
1950.108,195.0108,-0.121002,-0.917389,0.259583,0.961055,4008.193781
1979.657,197.9657,0.308029,-1.1633,0.20787,1.221212,4008.22333
2009.204,200.9204,0.336945,-1.014618,0.377136,1.133672,4008.252877
2038.753,203.8753,0.190903,-0.867584,0.526871,1.032831,4008.282426
2068.301,206.8301,0.377213,-1.427933,0.659012,1.617275,4008.311974
2097.851,209.7851,0.548309,-1.323196,1.15947,1.842786,4008.341524
2127.397,212.7397,2.064346,2.13295,0.588547,3.026118,4008.37107
2156.944,215.6944,0.502197,-1.766556,-0.990433,2.086595,4008.400617
2186.493,218.6493,0.647873,-0.151215,1.267838,1.431788,4008.430166
2216.039,221.6039,0.439026,0.379028,1.021988,1.175102,4008.459712
2245.588,224.5588,0.716019,0.049103,0.933853,1.177784,4008.489261
2275.135,227.5135,0.805725,-1.381363,0.991806,1.881764,4008.518808
2304.68,230.468,0.71286,-1.369507,0.699402,1.694958,4008.548353
2334.225,233.4225,0.620819,-1.009247,0.730896,1.392194,4008.577898
2363.768,236.3768,0.445923,-0.630737,0.477768,0.908261,4008.607441
2393.315,239.3315,0.362869,-0.365479,0.419678,0.664363,4008.636988
2422.862,242.2862,0.544128,-0.197433,0.471924,0.746839,4008.666535
2452.407,245.2407,0.679031,-0.271637,0.623123,0.960808,4008.69608
2481.953,248.1953,0.519608,-0.713013,0.835556,1.215127,4008.725626
2511.5,251.15,0.342911,-1.233658,1.030136,1.643375,4008.755173
2541.046,254.1046,0.028641,-1.257538,0.955704,1.579744,4008.784719
