time(ms),time(ds),x_accel,y_accel,z_accel,g_measured,TimeInterval
0,0,-0.150787,-0.953705,-0.103119,0.971042,3719.232396
29.543,2.9543,-0.123718,-0.989304,-0.159302,1.009656,3719.261939
59.087,5.9087,-0.101166,-0.985092,-0.145859,1.000957,3719.291483
88.63,8.863,-0.118591,-0.984909,-0.10997,0.9981,3719.321026
118.175,11.8175,-0.098587,-0.980713,-0.133102,0.994602,3719.350571
147.717,14.7717,-0.123245,-0.973877,-0.115967,0.988471,3719.380113
177.262,17.7262,-0.112549,-0.978821,-0.131561,0.994015,3719.409658
206.808,20.6808,-0.053146,-0.96991,-0.152084,0.983198,3719.439204
236.352,23.6352,-0.094391,-0.977676,-0.126328,0.990313,3719.468748
265.895,26.5895,-0.122253,-0.975021,-0.119843,0.989937,3719.498291
295.436,29.5436,-0.105698,-0.968964,-0.129059,0.983219,3719.527832
324.978,32.4978,-0.092346,-0.985596,-0.141937,1.000036,3719.557374
354.521,35.4521,-0.101212,-0.978455,-0.135941,0.993024,3719.586917
384.064,38.4064,-0.119568,-0.97789,-0.143829,0.995617,3719.61646
413.608,41.3608,-0.118469,-0.970871,-0.133789,0.98718,3719.646004
443.148,44.3148,-0.106201,-0.973785,-0.131836,0.988391,3719.675544
472.697,47.2697,-0.102951,-0.966263,-0.110901,0.97804,3719.705093
502.238,50.2238,-0.112442,-0.976898,-0.128677,0.991731,3719.734634
531.785,53.1785,-0.119125,-0.97673,-0.12561,0.991953,3719.764181
561.327,56.1327,-0.118195,-0.977448,-0.132965,0.993506,3719.793723
590.873,59.0873,-0.098129,-0.963623,-0.117935,0.97576,3719.823269
620.412,62.0412,-0.092957,-0.983032,-0.118668,0.994523,3719.852808
649.958,64.9958,-0.09024,-0.9767,-0.115143,0.987595,3719.882354
679.502,67.9502,-0.098694,-0.982132,-0.116135,0.993887,3719.911898
709.045,70.9045,-0.121185,-0.978653,-0.110901,0.992344,3719.941441
738.591,73.8591,-0.094925,-0.97493,-0.127121,0.987754,3719.970987
768.134,76.8134,-0.118576,-0.973999,-0.12384,0.988975,3720.00053
797.675,79.7675,-0.159851,-0.978241,-0.124115,0.998956,3720.030071
827.226,82.7226,-0.163742,-0.973419,-0.108322,0.993021,3720.059622
856.771,85.6771,-0.125687,-0.97171,-0.110779,0.986048,3720.089167
886.314,88.6314,-0.143173,-0.975754,-0.121887,0.993705,3720.11871
915.858,91.5858,-0.154129,-0.963623,-0.11821,0.983005,3720.148254
945.4,94.54,-0.161697,-0.964966,-0.128723,0.986851,3720.177796
974.94,97.494,-0.122406,-0.956436,-0.154068,0.976468,3720.207336
1004.487,100.4487,-0.137299,-0.978149,-0.135101,0.996935,3720.236883
1034.03,103.403,-0.157944,-0.963669,-0.141525,0.986729,3720.266426
1063.574,106.3574,-0.153015,-0.978531,-0.146866,1.001252,3720.29597
1093.12,109.312,-0.164169,-0.968185,-0.138229,0.991686,3720.325516
1122.663,112.2663,-0.161804,-0.983948,-0.110397,1.003255,3720.355059
1152.196,115.2196,-0.123474,-0.96994,-0.136169,0.987204,3720.384592
1181.759,118.1759,-0.121964,-0.978455,-0.168503,1.000321,3720.414155
1211.305,121.1305,-0.204788,-0.962296,-0.102127,0.989131,3720.443701
1240.85,124.085,-0.220276,-0.949539,-0.11261,0.981238,3720.473246
1270.394,127.0394,-0.257111,-0.968124,-0.17128,1.016222,3720.50279
1299.942,129.9942,-0.181854,-0.946396,-0.112869,0.970297,3720.532338
1329.488,132.9488,-0.124847,-0.972229,-0.075546,0.983119,3720.561884
1359.035,135.9035,-0.12442,-0.995148,-0.056381,1.004479,3720.591431
1388.582,138.8582,-0.142899,-0.994171,-0.032608,1.004918,3720.620978
1418.129,141.8129,-0.2677,-0.951385,-0.063583,0.990374,3720.650525
1447.673,144.7673,-0.310349,-0.91011,-0.117432,0.968714,3720.680069
1477.22,147.722,-0.274124,-0.96666,-0.149734,1.015872,3720.709616
1506.767,150.6767,-0.263214,-0.933609,-0.080032,0.9733,3720.739163
1536.303,153.6303,-0.205444,-0.941055,-0.03508,0.963858,3720.768699
1565.859,156.5859,-0.108215,-0.96608,-0.092773,0.976539,3720.798255
1595.407,159.5407,-0.119583,-1.024261,0.008759,1.031256,3720.827803
1624.954,162.4954,-0.162308,-0.919357,0.106857,0.93967,3720.85735
1654.5,165.45,-0.078613,-1.065109,0.066422,1.07007,3720.886896
1684.045,168.4045,-0.09761,-1.009674,0.017685,1.014536,3720.916441
1713.589,171.3589,-0.158493,-0.944244,0.041656,0.958359,3720.945985
1743.133,174.3133,-0.119202,-1.011353,0.079971,1.021488,3720.975529
1772.677,177.2677,-0.086243,-0.972046,0.095383,0.980515,3721.005073
1802.221,180.2221,0.027283,-1.079605,0.055984,1.0814,3721.034617
1831.765,183.1765,0.09259,-1.000046,0.040268,1.00513,3721.064161
1861.309,186.1309,-0.010666,-1.045013,0.038956,1.045794,3721.093705
1890.849,189.0849,-0.164841,-0.966461,0.101395,0.985647,3721.123245
1920.392,192.0392,0.05275,-1.069763,0.081329,1.074146,3721.152788
1949.934,194.9934,-0.027252,-0.852493,0.149048,0.865854,3721.18233
1979.476,197.9476,-0.236526,-0.86499,-0.032272,0.897326,3721.211872
2009.016,200.9016,-0.267334,-0.901413,-0.209854,0.963354,3721.241412
2038.554,203.8554,-0.153183,-1.003708,-0.193558,1.033615,3721.27095
2068.092,206.8092,-0.198975,-0.951706,-0.110886,0.978586,3721.300488
2097.634,209.7634,-0.188828,-0.974487,-0.036362,0.993279,3721.33003
2127.175,212.7175,-0.167389,-1.013809,-0.081894,1.030793,3721.359571
2156.717,215.6717,-0.201874,-0.915588,-0.088013,0.941701,3721.389113
2186.254,218.6254,-0.214386,-0.966766,-0.099014,0.99519,3721.41865
2215.8,221.58,-0.249496,-0.925766,-0.134933,0.968245,3721.448196
2245.342,224.5342,-0.220627,-0.980896,-0.136108,1.014573,3721.477738
2274.887,227.4887,-0.154984,-0.965393,-0.067657,0.980092,3721.507283
