time(ms),time (ds),time_raw,x_accel,y_accel,z_accel,g_measured
0,0,5329.975217,-0.15239,-1.008377,0.009232,1.019869
29.54,2.954,5330.004757,-0.134415,-0.975433,0.002151,0.984653
59.083,5.9083,5330.0343,-0.129318,-0.980377,0.008835,0.988909
88.622,8.8622,5330.063839,-0.148544,-0.980011,0.023361,0.99148
118.162,11.8162,5330.093379,-0.12587,-0.979126,-0.000183,0.987183
147.701,14.7701,5330.122918,-0.125549,-0.977875,-0.008987,0.985942
177.244,17.7244,5330.152461,-0.142319,-0.974884,0.0065,0.985239
206.782,20.6782,5330.181999,-0.130234,-0.983582,0.008453,0.992202
236.322,23.6322,5330.211539,-0.122955,-0.98761,0.017319,0.995385
265.861,26.5861,5330.241078,-0.123077,-0.984283,0.025131,0.992267
295.4,29.54,5330.270617,-0.125076,-0.980164,0.008789,0.988151
324.938,32.4938,5330.300155,-0.124237,-0.977829,-0.002045,0.985692
354.476,35.4476,5330.329693,-0.118317,-0.972885,-0.017639,0.980212
384.014,38.4014,5330.359231,-0.124161,-0.98616,0.020691,0.994161
413.551,41.3551,5330.388768,-0.184006,-0.97142,0.026535,0.98905
443.09,44.309,5330.418307,-0.098297,-0.985031,-0.016663,0.990064
472.631,47.2631,5330.447848,-0.122314,-0.981949,-0.000931,0.989538
502.174,50.2174,5330.477391,-0.123032,-0.97374,-0.008774,0.981521
531.717,53.1717,5330.506934,-0.124634,-0.975006,-0.00975,0.982988
561.256,56.1256,5330.536473,-0.142929,-0.975677,-0.006699,0.986114
590.797,59.0797,5330.566014,-0.13472,-0.981201,-0.00592,0.990424
620.337,62.0337,5330.595554,-0.173874,-0.984909,-0.010376,1.000193
649.875,64.9875,5330.625092,-0.187042,-0.957458,-0.029922,0.976016
679.415,67.9415,5330.654632,-0.165741,-0.969666,-0.051956,0.985099
708.952,70.8952,5330.684169,-0.212753,-0.956482,-0.027252,0.980237
738.491,73.8491,5330.713708,-0.17453,-0.97496,-0.02388,0.990746
768.03,76.803,5330.743247,-0.13649,-0.988586,-0.022095,0.998209
797.568,79.7568,5330.772785,-0.120453,-0.991379,0.008881,0.998709
827.108,82.7108,5330.802325,-0.070969,-0.998093,0.022339,1.000862
856.648,85.6648,5330.831865,-0.043213,-0.990448,0.02037,0.991599
886.192,88.6192,5330.861409,-0.086014,-0.987,0.041916,0.991627
915.733,91.5733,5330.89095,-0.099396,-1.003586,0.0466,1.009572
945.273,94.5273,5330.92049,-0.095718,-1.005447,0.017761,1.010149
974.815,97.4815,5330.950032,-0.075089,-0.990448,0.012909,0.993374
1004.357,100.4357,5330.979574,-0.120346,-0.992325,0.004761,0.999607
1033.902,103.3902,5331.009119,-0.118011,-0.981888,0.020264,0.989162
1063.441,106.3441,5331.038658,-0.180161,-0.973145,-0.019608,0.989875
1092.983,109.2983,5331.0682,-0.198456,-0.992905,-0.001282,1.012544
1122.517,112.2517,5331.097734,-0.205032,-0.956619,-0.050903,0.979668
1152.064,115.2064,5331.127281,-0.163727,-0.9608,-0.029968,0.975111
1181.605,118.1605,5331.156822,-0.192566,-0.959763,-0.033707,0.97947
1211.145,121.1145,5331.186362,-0.174942,-0.960693,-0.055664,0.978077
1240.685,124.0685,5331.215902,-0.159592,-0.981415,-0.054825,0.995816
1270.227,127.0227,5331.245444,-0.124847,-0.989777,-0.029572,0.998058
1299.76,129.976,5331.274977,-0.160477,-0.960968,0.018204,0.974445
