time(ms),time(ds),locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot
0,0,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,23.8918705,-11.16049957,-31.13417816,285.448761,271.9900818,10,20727.96651,0.02722168,-0.385192871,-1.000930786,20727.9627,-0.394164353,-0.258695474,0.271867202,20727.9627,0.458994382,-0.026455164,0.37316419,-0.316285849,-0.334501117,0.276491404,0.018848523,0.008850787,-0.025949743,-0.183578721,-0.029538799,-0.221130759,-0.957354427,-0.024631605,-0.364563674,-0.930852652,25.08695221,-10.01282978,-31.69493866,2,20724.34949
9.675,0.9675,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,23.71725273,-11.47481537,-31.23473358,285.0921631,271.6334839,10,20727.97619,-0.004272461,-0.359024048,-0.956222534,20727.9627,-0.394164353,-0.258695474,0.271867202,20727.9627,0.458994382,-0.026455164,0.37316419,-0.316285849,-0.334501117,0.276491404,0.018848523,0.008850787,-0.025949743,-0.183578721,-0.029538799,-0.221130759,-0.957354427,-0.024631605,-0.364563674,-0.930852652,25.08695221,-10.01282978,-31.69493866,2,20724.34949
19.361,1.9361,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,23.40293694,-11.85897827,-31.26825714,285.313385,271.8547058,10,20727.98587,-0.030975342,-0.324005127,-0.917221069,20727.97271,-0.401640911,-0.269303377,0.269627217,20727.97271,0.461830798,-0.030927037,0.369745941,-0.323762715,-0.345108718,0.274251401,0.024559906,0.002354506,-0.024249231,-0.182399821,-0.027270026,-0.222174841,-0.957405343,-0.028832367,-0.361378551,-0.931973279,24.58333397,-10.10289383,-32.05888748,2,20724.34949
29.042,2.9042,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,23.19339561,-11.99868011,-31.20122528,284.7692566,271.3105774,10,20727.99555,0.007217407,-0.273132324,-0.891983032,20727.97271,-0.401640911,-0.269303377,0.269627217,20727.97271,0.461830798,-0.030927037,0.369745941,-0.323762715,-0.345108718,0.274251401,0.024559906,0.002354506,-0.024249231,-0.182399821,-0.027270026,-0.222174841,-0.957405343,-0.028832367,-0.361378551,-0.931973279,24.58333397,-10.10289383,-32.05888748,2,20724.34949
38.697,3.8697,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,23.19339561,-11.99868011,-31.20122528,284.7692566,271.3105774,10,20728.00521,0.054000854,-0.279602051,-0.888336182,20727.99267,-0.040231043,-0.20712043,0.205038104,20727.99267,0.466865181,-0.038688549,0.366503877,0.037644856,-0.282926172,0.209662601,0.043327481,0.085221373,0.040904254,-0.181651971,-0.023641445,-0.223973444,-0.957224916,-0.036110073,-0.358353704,-0.932887316,24.58333397,-10.10289383,-32.05888748,2,20724.34949
48.4,4.84,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,23.19339561,-11.99868011,-31.20122528,284.7692566,271.3105774,10,20728.01491,0.024459839,-0.29826355,-0.889022827,20728.00269,0.192510594,-0.153952549,0.220459937,20728.00269,0.469265402,-0.041989699,0.368513295,0.270386189,-0.229757994,0.225084424,0.093160018,0.080626883,0.043705486,-0.182954422,-0.022513218,-0.224759128,-0.95681982,-0.039159168,-0.360228926,-0.932041645,24.20476151,-10.08036232,-32.35269165,2,20724.34949
58.08,5.808,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,23.19339561,-11.99868011,-31.20122528,284.7692566,271.3105774,10,20728.02459,-0.008895874,-0.314071655,-0.846115112,20728.02267,0.376790423,-0.277030805,0.318460271,20728.02267,0.475711504,-0.049785467,0.376807988,0.454665869,-0.352836102,0.323084742,0.070733428,0.069690727,0.039668944,-0.187722698,-0.020354443,-0.226847699,-0.955450683,-0.046273589,-0.367954284,-0.928691745,24.20476151,-10.08036232,-32.35269165,2,20724.34949
67.75,6.775,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,23.19339561,-11.99868011,-31.20122528,284.7692566,271.3105774,10,20728.03426,-0.013458252,-0.392440796,-0.559707642,20728.02267,0.376790423,-0.277030805,0.318460271,20728.02267,0.475711504,-0.049785467,0.376807988,0.454665869,-0.352836102,0.323084742,0.070733428,0.069690727,0.039668944,-0.187722698,-0.020354443,-0.226847699,-0.955450683,-0.046273589,-0.367954284,-0.928691745,24.20476151,-10.08036232,-32.35269165,2,20724.34949
77.424,7.7424,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,23.19339561,-11.99868011,-31.20122528,284.7692566,271.3105774,10,20728.04394,-0.008666992,-0.3409729,-0.717681885,20728.03266,0.41650135,0.138708082,0.41124214,20728.03266,0.480104232,-0.052620283,0.381312366,0.494376451,0.062903091,0.415866584,0.03536015,-0.020301899,0.367184699,-0.190146897,-0.019949663,-0.228522058,-0.954580451,-0.048818402,-0.372138888,-0.92689234,23.86875725,-10.6126461,-32.43201065,2,20724.34949
87.119,8.7119,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,23.19339561,-11.99868011,-31.20122528,284.7692566,271.3105774,10,20728.05363,-0.03729248,-0.321029663,-0.892623901,20728.03266,0.41650135,0.138708082,0.41124214,20728.03266,0.480104232,-0.052620283,0.381312366,0.494376451,0.062903091,0.415866584,0.03536015,-0.020301899,0.367184699,-0.190146897,-0.019949663,-0.228522058,-0.954580451,-0.048818402,-0.372138888,-0.92689234,23.86875725,-10.6126461,-32.43201065,2,20724.34949
