time(ms),time(ds),x_accel,y_accel,z_accel,g_measured,TimeInterval
0,0,-0.137024,-0.94664,-0.173065,0.972036,3556.267303
29.542,2.9542,-0.083389,-0.979431,-0.210754,1.005314,3556.296845
59.086,5.9086,-0.104462,-0.964493,-0.200668,0.99067,3556.326389
88.629,8.8629,-0.117126,-0.972839,-0.207748,1.001646,3556.355932
118.172,11.8172,-0.096146,-0.960648,-0.20137,0.986224,3556.385475
147.717,14.7717,-0.090897,-0.955963,-0.192642,0.979407,3556.41502
177.265,17.7265,-0.074081,-0.964478,-0.200699,0.98792,3556.444568
206.812,20.6812,-0.088089,-0.961182,-0.202072,0.986135,3556.474115
236.355,23.6355,-0.10347,-0.967667,-0.206482,0.994846,3556.503658
265.897,26.5897,-0.10965,-0.959213,-0.205383,0.987064,3556.5332
295.439,29.5439,-0.113037,-0.970978,-0.208054,0.999431,3556.562742
324.984,32.4984,-0.120422,-0.963379,-0.208572,0.993027,3556.592287
354.53,35.453,-0.092941,-0.97702,-0.219223,1.005617,3556.621833
384.074,38.4074,-0.065506,-0.969055,-0.189163,0.989516,3556.651377
413.615,41.3615,-0.098969,-0.955627,-0.197464,0.980821,3556.680918
443.162,44.3162,-0.10965,-0.973801,-0.202606,1.00068,3556.710465
472.703,47.2703,-0.112106,-0.964111,-0.207062,0.992448,3556.740006
502.188,50.2188,-0.108719,-0.968735,-0.211884,0.997578,3556.769491
531.73,53.173,-0.09494,-0.962997,-0.187302,0.985627,3556.799033
561.273,56.1273,-0.084473,-0.974762,-0.176193,0.994153,3556.828576
590.818,59.0818,-0.082596,-0.957108,-0.165604,0.974834,3556.858121
620.363,62.0363,-0.103592,-0.96727,-0.190811,0.991338,3556.887666
649.906,64.9906,-0.105255,-0.9758,-0.19548,1.000738,3556.917209
679.45,67.945,-0.120346,-0.963257,-0.186966,0.988586,3556.946753
708.989,70.8989,-0.099319,-0.982803,-0.210526,1.009994,3556.976292
738.533,73.8533,-0.12471,-0.967606,-0.175613,0.991289,3557.005836
768.075,76.8075,-0.121567,-0.96492,-0.210266,0.995018,3557.035378
797.616,79.7616,-0.115524,-0.957214,-0.189194,0.982547,3557.064919
827.161,82.7161,-0.110107,-0.967789,-0.188187,0.992045,3557.094464
856.703,85.6703,-0.120621,-0.972595,-0.149994,0.991458,3557.124006
886.242,88.6242,-0.097702,-0.966827,-0.163712,0.985445,3557.153545
915.79,91.579,-0.080521,-0.971802,-0.172043,0.990192,3557.183093
945.336,94.5336,-0.113892,-0.962372,-0.17897,0.985475,3557.212639
974.88,97.488,-0.18367,-0.966339,-0.204269,1.004625,3557.242183
1004.425,100.4425,-0.160782,-0.949371,-0.224472,0.988708,3557.271728
1033.97,103.397,-0.141098,-0.970764,-0.161346,0.994145,3557.301273
1063.511,106.3511,-0.116669,-0.959793,-0.140961,0.977079,3557.330814
1093.058,109.3058,-0.12146,-0.97316,-0.109589,0.986814,3557.360361
1122.6,112.26,-0.147659,-0.948959,-0.136978,0.970098,3557.389903
1152.142,115.2142,-0.231369,-0.966263,-0.143188,1.003842,3557.419445
1181.684,118.1684,-0.200851,-0.950165,-0.121841,0.978775,3557.448987
1211.227,121.1227,-0.050003,-1.014053,-0.116043,1.021896,3557.47853
1240.762,124.0762,0.018661,-0.995392,-0.046127,0.996635,3557.508065
1270.309,127.0309,-0.032349,-0.98056,-0.037537,0.981812,3557.537612
1299.851,129.9851,-0.045792,-1.01619,-0.078491,1.020245,3557.567154
1329.394,132.9394,-0.05484,-0.963181,-0.093491,0.96926,3557.596697
1358.933,135.8933,-0.07695,-0.969269,-0.040176,0.973148,3557.626236
1388.476,138.8476,-0.152008,-0.964844,-0.0672,0.979053,3557.655779
1418,141.8,-0.120728,-0.993149,-0.105087,1.005964,3557.685303
1447.563,144.7563,-0.155487,-0.948547,-0.052216,0.962624,3557.714866
1477.108,147.7108,-0.189117,-0.955185,0.005814,0.973744,3557.744411
1506.651,150.6651,-0.122879,-1.014267,-0.003311,1.021689,3557.773954
1536.192,153.6192,-0.189453,-0.965088,0.029297,0.983944,3557.803495
1565.735,156.5735,-0.103653,-0.993225,0.069962,1.001067,3557.833038
1595.274,159.5274,-0.118088,-0.996628,0.082718,1.007002,3557.862577
1624.822,162.4822,-0.118591,-0.974976,0.090302,0.986304,3557.892125
1654.366,165.4366,-0.087082,-1.004135,0.04924,1.009106,3557.921669
1683.912,168.3912,-0.07756,-1.011642,0.084091,1.01809,3557.951215
1713.459,171.3459,-0.169083,-0.963821,0.109406,0.984637,3557.980762
1743.004,174.3004,-0.126007,-0.980301,0.066833,0.990623,3558.010307
1772.551,177.2551,-0.147644,-0.993744,-0.020996,1.004871,3558.039854
1802.096,180.2096,-0.111969,-0.96077,0.026215,0.967627,3558.069399
1831.639,183.1639,-0.092896,-0.979309,0.052063,0.985082,3558.098942
1861.181,186.1181,-0.123093,-0.989975,0.101273,1.002725,3558.128484
1890.722,189.0722,-0.084076,-0.983444,0.164658,1.000671,3558.158025
1920.265,192.0265,-0.027115,-0.983917,0.115448,0.991038,3558.187568
1949.805,194.9805,-0.12439,-1.033447,0.117523,1.04752,3558.217108
1979.346,197.9346,-0.145111,-1.033813,0.085861,1.047473,3558.246649
2008.892,200.8892,0.087952,-1.03183,0.18576,1.0521,3558.276195
2038.437,203.8437,0.238403,-1.036575,0.154358,1.074779,3558.30574
2067.983,206.7983,-0.085312,-0.863586,0.262497,0.906622,3558.335286
2097.527,209.7527,-0.318741,-0.849243,0.130707,0.916457,3558.36483
2127.068,212.7068,-0.126266,-1.189758,0.194489,1.212144,3558.394371
2156.611,215.6611,0.031296,-1.6026,-0.578827,1.704215,3558.423914
2186.154,218.6154,-0.12619,-1.127289,-0.251129,1.161796,3558.453457
2215.698,221.5698,0.043228,-0.938217,0.113708,0.946071,3558.483001
2245.241,224.5241,-0.068542,-0.859451,0.166351,0.878082,3558.512544
2274.785,227.4785,-0.167252,-0.704681,0.164108,0.742617,3558.542088
2304.331,230.4331,-0.049835,-0.710281,0.178238,0.733997,3558.571634
2333.876,233.3876,0.237762,-0.778015,0.254456,0.8524,3558.601179
2363.422,236.3422,0.602264,-1.150833,0.389374,1.356006,3558.630725
2392.968,239.2968,0.37532,-1.47522,0.786423,1.713359,3558.660271
2422.514,242.2514,-0.095016,-1.402222,0.705551,1.572595,3558.689817
2452.062,245.2062,0.47467,-1.22226,0.611938,1.446962,3558.719365
2481.612,248.1612,0.624435,-1.052704,0.419205,1.293769,3558.748915
2511.16,251.116,0.623627,-0.660995,0.212372,0.933235,3558.778463
2540.706,254.0706,0.254837,-0.460968,0.324692,0.618755,3558.808009
2570.254,257.0254,0.29277,-0.394135,0.290833,0.570649,3558.837557
2599.802,259.9802,0.311584,-0.362366,0.315598,0.572709,3558.867105
2629.343,262.9343,0.354904,-0.293457,0.23877,0.518734,3558.896646
2658.891,265.8891,0.287552,-0.357178,0.271469,0.532877,3558.926194
2688.436,268.8436,0.1259,-0.78627,0.362061,0.874734,3558.955739
2717.981,271.7981,0.241928,-1.202042,0.667984,1.396294,3558.985284
2747.529,274.7529,0.195435,-1.102936,1.039246,1.52797,3559.014832
2777.076,277.7076,0.068069,-1.366867,0.084137,1.371145,3559.044379
2806.618,280.6618,0.096069,-1.701675,-0.240036,1.721205,3559.073921
2836.17,283.617,-0.203003,-1.597565,0.048767,1.611149,3559.103473
2865.717,286.5717,0.016357,-1.128662,0.126389,1.135834,3559.13302
2895.265,289.5265,0.018845,-1.060791,0.187927,1.077474,3559.162568
2924.812,292.4812,-0.006317,-1.026306,0.272675,1.06193,3559.192115
2954.359,295.4359,0.015732,-1.014236,0.270355,1.049769,3559.221662
2983.903,298.3903,-0.042007,-1.027603,0.304962,1.072723,3559.251206
3013.456,301.3456,-0.086624,-0.954697,0.214874,0.982405,3559.280759
3043.001,304.3001,-0.032547,-0.984238,0.244873,1.014764,3559.310304
3072.546,307.2546,-0.032837,-0.958618,0.254837,0.992456,3559.339849
3102.088,310.2088,-0.093643,-0.934464,0.187637,0.957705,3559.369391
3131.634,313.1634,-0.136642,-0.93988,0.187759,0.968142,3559.398937
3161.177,316.1177,-0.064941,-0.966293,0.172501,0.983716,3559.42848
3190.724,319.0724,-0.100571,-0.927673,0.150925,0.945236,3559.458027
3220.269,322.0269,-0.268326,-0.926926,0.184204,0.982406,3559.487572
3249.812,324.9812,-0.14743,-0.972549,0.19696,1.003186,3559.517115
3279.358,327.9358,0.054413,-0.975464,0.176834,0.992855,3559.546661
3308.906,330.8906,0.001587,-1.048676,0.197266,1.067069,3559.576209
3338.451,333.8451,-0.188538,-1.022079,0.28302,1.077169,3559.605754
3367.999,336.7999,-0.287155,-1.09523,0.471771,1.226603,3559.635302
3397.543,339.7543,0.305954,-1.024368,0.357391,1.127239,3559.664846
3427.089,342.7089,0.626755,-0.91124,0.485657,1.207908,3559.694392
3456.637,345.6637,-0.182938,-1.112686,0.483505,1.226912,3559.72394
3486.185,348.6185,0.30275,-0.938126,0.872787,1.316623,3559.753488
3515.73,351.573,-0.769058,-2.065613,-1.741516,2.809108,3559.783033
3545.275,354.5275,-0.051254,-0.901871,0.241882,0.93515,3559.812578
3574.816,357.4816,0.115341,-0.764359,0.441437,0.890176,3559.842119
3604.36,360.436,0.286346,-0.593872,0.324631,0.73489,3559.871663
3633.906,363.3906,0.372238,-0.659958,0.302155,0.815722,3559.901209
3663.453,366.3453,0.419083,-0.980499,0.850098,1.363699,3559.930756
3693.002,369.3002,-0.078644,-1.375168,0.739563,1.563402,3559.960305
3722.552,372.2552,0.313858,-1.555435,0.707214,1.73725,3559.989855
3752.102,375.2102,0.365921,-1.260956,0.488083,1.400761,3560.019405
3781.646,378.1646,0.407318,-0.828796,0.499023,1.049684,3560.048949
3811.193,381.1193,0.234772,-0.560379,0.394623,0.724479,3560.078496
3840.738,384.0738,0.297897,-0.472549,0.285217,0.627212,3560.108041
3870.283,387.0283,0.378403,-0.418106,0.286987,0.632742,3560.137586
3899.829,389.9829,0.330704,-0.356781,0.344055,0.595845,3560.167132
3929.374,392.9374,0.135193,-0.449112,0.314911,0.564931,3560.196677
3958.919,395.8919,0.193787,-0.735184,0.610229,0.974899,3560.226222
3988.464,398.8464,0.520065,-0.640808,0.776215,1.132966,3560.255767
4018.01,401.801,0.06839,-1.274948,0.638992,1.427754,3560.285313
4047.557,404.7557,-0.121521,-1.290619,0.789124,1.517623,3560.31486
4077.108,407.7108,0.061142,-1.475891,0.049545,1.477988,3560.344411
4106.658,410.6658,0.00795,-1.592026,-0.306076,1.621201,3560.373961
4136.205,413.6205,-0.229599,-1.544891,0.019699,1.561984,3560.403508
4165.75,416.575,0.009872,-1.161682,0.084442,1.164789,3560.433053
4195.297,419.5297,0.067276,-1.09848,0.245102,1.127502,3560.4626
4224.844,422.4844,0.034088,-1.071915,0.290421,1.111084,3560.492147
4254.392,425.4392,-0.022812,-1.009399,0.262146,1.043134,3560.521695
4283.94,428.394,0.002823,-0.997223,0.231079,1.02365,3560.551243
4313.489,431.3489,-0.012955,-0.961502,0.314117,1.011595,3560.580792
4343.035,434.3035,-0.012283,-0.932663,0.328812,0.989004,3560.610338
4372.582,437.2582,0.064056,-0.984894,0.19873,1.006783,3560.639885
4402.131,440.2131,-0.110031,-0.961182,0.137054,0.977119,3560.669434
4431.678,443.1678,-0.197693,-0.942917,0.142319,0.973873,3560.698981
4461.224,446.1224,-0.114426,-0.969116,0.103043,0.981273,3560.728527
4490.771,449.0771,-0.098999,-0.967377,0.172775,0.987659,3560.758074
4520.317,452.0317,-0.192581,-0.97908,0.201569,1.017996,3560.78762
4549.864,454.9864,-0.075211,-0.960785,0.227798,0.990281,3560.817167
4579.409,457.9409,0.041733,-0.952667,0.230179,0.980968,3560.846712
4608.953,460.8953,-0.122574,-0.999939,0.259018,1.040189,3560.876256
4638.499,463.8499,-0.161316,-1.073318,0.184616,1.100963,3560.905802
4668.045,466.8045,0.120667,-1.052994,0.296951,1.100698,3560.935348
4697.589,469.7589,0.418472,-0.974915,0.272568,1.095386,3560.964892
4727.13,472.713,-0.083359,-1.073715,0.652115,1.258994,3560.994433
4756.678,475.6678,0.114655,-0.808426,0.569092,0.995271,3561.023981
4786.221,478.6221,0.457565,-0.787598,0.411301,0.999422,3561.053524
4815.766,481.5766,-1.102768,-2.40744,-2.112244,3.387246,3561.083069
4845.312,484.5312,0.066696,-0.807358,0.473083,0.938127,3561.112615
4874.858,487.4858,0.312958,-0.65744,0.428116,0.844662,3561.142161
4904.401,490.4401,0.16597,-0.59877,0.317078,0.697574,3561.171704
4933.952,493.3952,0.369049,-1.040375,0.432739,1.185681,3561.201255
