time (ms),time (ds),accelerometerTimestamp_sinceReboot,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy
0,0,20029.72196,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,27.28284836,-9.293075562,-31.78261566,275.6678467,262.2091675,10,20029.72196,0.028991699,-0.100189209,-0.986785889,20029.7222,-0.724832288,-0.450048392,-0.250955262,20029.7222,1.557660808,0.048114076,0.140142366,-0.648404896,-0.528015375,-0.246511415,0.010359406,0.067571051,-0.063256919,-0.032961225,-0.06624541,-0.701719584,-0.708600542,0.047623992,-0.139684081,-0.98905021,24.58757782,-6.380383015,-28.11536407,2
9.688,0.9688,20029.73165,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,27.28284836,-9.293075562,-31.78261566,275.6678467,262.2091675,10,20029.73165,0.019882202,-0.129364014,-0.935577393,20029.7222,-0.724832288,-0.450048392,-0.250955262,20029.7222,1.557660808,0.048114076,0.140142366,-0.648404896,-0.528015375,-0.246511415,0.010359406,0.067571051,-0.063256919,-0.032961225,-0.06624541,-0.701719584,-0.708600542,0.047623992,-0.139684081,-0.98905021,24.58757782,-6.380383015,-28.11536407,2
19.382,1.9382,20029.74134,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,27.28284836,-9.293075562,-31.78261566,275.6678467,262.2091675,10,20029.74134,-0.002334595,-0.116241455,-0.997467041,20029.73219,-0.698334367,-0.387501124,-0.095532915,20029.73219,1.556658589,0.043371175,0.133715001,-0.621907234,-0.465467781,-0.091089092,-0.023088343,0.003952879,0.054564081,-0.032371703,-0.062300369,-0.701389006,-0.709312483,0.042970546,-0.133316889,-0.990141451,24.58757782,-6.380383015,-28.11536407,2
29.047,2.9047,20029.75101,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,27.28284836,-9.293075562,-31.78261566,275.6678467,262.2091675,10,20029.75101,-0.022216797,-0.115921021,-1.023178101,20029.75219,-0.258347132,-0.560828702,-0.082442413,20029.75219,1.556093912,0.032772104,0.126137763,-0.181920186,-0.638795197,-0.077998601,-0.034840509,0.009562084,-0.005944557,-0.033409441,-0.055879939,-0.701135699,-0.710049275,0.032505915,-0.125803545,-0.991522491,24.27019119,-5.840527534,-28.50575256,2
38.723,3.8723,20029.76068,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,27.28284836,-9.293075562,-31.78261566,275.6678467,262.2091675,10,20029.76068,0.001220703,-0.140716553,-1.03692627,20029.75219,-0.258347132,-0.560828702,-0.082442413,20029.75219,1.556093912,0.032772104,0.126137763,-0.181920186,-0.638795197,-0.077998601,-0.034840509,0.009562084,-0.005944557,-0.033409441,-0.055879939,-0.701135699,-0.710049275,0.032505915,-0.125803545,-0.991522491,24.27019119,-5.840527534,-28.50575256,2
48.402,4.8402,20029.77036,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,27.28284836,-9.293075562,-31.78261566,275.6678467,262.2091675,10,20029.77036,0.004699707,-0.167221069,-1.051086426,20029.76219,0.05252526,-0.703666548,-0.236623194,20029.76219,1.554280963,0.024674391,0.126832944,0.128951862,-0.78163451,-0.232179806,-0.023253007,-0.014223387,-0.045260742,-0.03654347,-0.053214768,-0.700338201,-0.710886185,0.02447371,-0.126493171,-0.991665542,24.27019119,-5.840527534,-28.50575256,2
58.101,5.8101,20029.78006,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,27.28284836,-9.293075562,-31.78261566,275.6678467,262.2091675,10,20029.78006,-0.003814697,-0.197280884,-1.058242798,20029.77217,0.331182457,-0.793762087,-0.415887225,20029.77217,1.550515655,0.016636094,0.130176031,0.407608807,-0.871729791,-0.411443859,-0.01179487,-0.037412383,-0.059684575,-0.04064467,-0.051449823,-0.698780481,-0.712324902,0.016494576,-0.129808679,-0.991401851,24.27019119,-5.840527534,-28.50575256,2
67.775,6.7775,20029.78973,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,26.82883835,-8.978752136,-32.0172348,275.9525757,262.4938965,10,20029.78973,-0.031082153,-0.225036621,-1.115737915,20029.78216,0.556440346,-0.793833726,-0.587826498,20029.78216,1.545004375,0.008597154,0.135900444,0.632866621,-0.871801317,-0.583383083,-0.012332479,-0.061798375,-0.067499675,-0.045632617,-0.050458917,-0.696521363,-0.714303544,0.008517781,-0.135482505,-0.990743101,23.57668114,-5.679123402,-29.11390495,2
77.459,7.7459,20029.79942,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,26.82883835,-8.978752136,-32.0172348,275.9525757,262.4938965,10,20029.79942,-0.078933716,-0.206970215,-1.157546997,20029.78216,0.556440346,-0.793833726,-0.587826498,20029.78216,1.545004375,0.008597154,0.135900444,0.632866621,-0.871801317,-0.583383083,-0.012332479,-0.061798375,-0.067499675,-0.045632617,-0.050458917,-0.696521363,-0.714303544,0.008517781,-0.135482505,-0.990743101,23.57668114,-5.679123402,-29.11390495,2
87.124,8.7124,20029.80908,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,26.20020676,-8.559669495,-32.95574188,278.6104736,265.1517944,10,20029.80908,-0.050491333,-0.164520264,-1.10144043,20029.80215,0.815434626,-0.940653797,-0.849860244,20029.80215,1.529237789,-0.007269074,0.1519893,0.891860723,-1.018621206,-0.845416903,-0.071748503,-0.055565417,-0.169101268,-0.057296905,-0.049941967,-0.690060327,-0.719749686,-0.007185212,-0.151404798,-0.988445759,23.57668114,-5.679123402,-29.11390495,2
